"Employers who were issued a positive Labour Market Impact Assessment (LMIA) by stream, National Occupational Classification (NOC) 2011 and business location in 2019 (October-December)",,,,,
Province/Territory,Stream,Employer,Address,Occupation,Approved Positions
New Brunswick, Global Talent Stream,Rogers Communications Canada Inc,"Moncton, NB E1C 0G1",0213-Computer and information systems managers,2
New Brunswick, Global Talent Stream,Rogers Communications Canada Inc,"Moncton, NB E1C 0G1",2171-Information systems analysts and consultants,1
New Brunswick, Global Talent Stream,Rogers Communications Canada Inc,"Moncton, NB E1C 0G1",2175-Web designers and developers,1
Quebec,Unspecified,Collège des médecins du Québec,"MONTRÉAL, QC H3B 0G2",3111-Specialist physicians,1
Quebec,    High Wage, 9101-5594 Québec inc.,"CAUSAPSCAL, QC G0J 1J0",7231-Machinists and machining and tooling inspectors,1
Quebec,    High Wage,10036099 Canada Inc.,"Montréal, QC H3B 2E3",1223-Human resources and recruitment officers,1
Quebec,    High Wage,10560995 Canada Inc.,"MONTRÉAL, QC H3B 4G7","0124-Advertising, marketing and public relations managers",1
Quebec,    High Wage,135607 Canada Ltee,"LAVAL, QC H7L 5B8",7332-Appliance servicers and repairers,2
Quebec,    High Wage,163972 Canada Inc.,"MONTREAL, QC H2N  2E","5232-Other performers, n.e.c.",1
Quebec,    High Wage,2629-0387 QC. Restaurant Le Tournesol,"RIVIÈRE-DU-LOUP, QC G5R  2Y",6322-Cooks,2
Quebec,    High Wage,3894207 Canada Inc. (Barbies Resto Bar Grill),"BROSSARD, QC J4Y 0G5",6322-Cooks,1
Quebec,    High Wage,6011217  Canada Inc. (Pizza Plateau),"GATINEAU, QC J9A 3K7",0631-Restaurant and food service managers,1
Quebec,    High Wage,7106106 Canada Inc.,"Hull, Gatineau, QC J8Y 3Y7",6322-Cooks,2
Quebec,    High Wage,9011-1139 Québec Inc.,"SAINT-LÉONARD, QC H1R 2J5",6311-Food service supervisors,1
Quebec,    High Wage,9012656 Canada Inc.,"Longueuil, QC J4K 2W5",7511-Transport truck drivers,2
Quebec,    High Wage,9018-6560 Québec Inc. (Folio Montréal),"MONTRÉAL, QC H2Y 2E1","5232-Other performers, n.e.c.",1
Quebec,    High Wage,9035-2303 Québec Inc.,"SAGUENAY, QC G7H 2A2",6322-Cooks,2
Quebec,    High Wage,9043-4721 Québec,"SAGUENAY, QC G7H 2A2",6322-Cooks,2
Quebec,    High Wage,9087-9586 Québec Inc,"Sept-Iles, QC G4R 1W8","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Quebec,    High Wage,9093451 Canada inc,"Dorval, QC H9P 1A7","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Quebec,    High Wage,9099-7768 QUÉBEC INC.,"Saint-Augustin-de-Demaures, QC G3A 1V9",7237-Welders and related machine operators,1
Quebec,    High Wage,9102-6146 Quebec Inc.,"MONTRÉAL, QC H1J 1G3",6321-Chefs,1
Quebec,    High Wage,9105-0724 quebec inc,"Mont-Tremblant, QC J8E 1K4",6322-Cooks,2
Quebec,    High Wage,9108-1471 Québec Inc,"DRUMMONDVILLE, QC J2C 2B9",6322-Cooks,1
Quebec,    High Wage,9110-5221 Québec inc.,"Sherbrooke, QC J1G 1E4",7322-Motor vehicle body repairers,2
Quebec,    High Wage,9116-1521 Québec inc,"QUÉBEC, QC G1N 2E6",0631-Restaurant and food service managers,1
Quebec,    High Wage,9123-1233 Québec Inc.,"ROXBORO, QC H8Y 3C1",7233-Sheet metal workers,1
Quebec,    High Wage,9123-1233 Québec Inc.,"ROXBORO, QC H8Y 3C1",7322-Motor vehicle body repairers,1
Quebec,    High Wage,9135-0736 Québec Inc.,"MONTRÉAL, QC H3G 0B9",6321-Chefs,1
Quebec,    High Wage,9137-0619 QUÉBEC INC.,"Saint-Lambert-de-Lauzon, QC G0S 2W0",7237-Welders and related machine operators,3
Quebec,    High Wage,9148-6886 Québec Inc.,"SAINT-JÉRÔME, QC J7Y 5K8",0631-Restaurant and food service managers,1
Quebec,    High Wage,9149-0698 Quebec Inc,"Saint-Laurent, QC H4L 3L7",6321-Chefs,1
Quebec,    High Wage,9150-2468 QUÉBEC INC.,"ROUYN-NORANDA, QC J9X 6M6","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
Quebec,    High Wage,9151-5973 QUÉBEC INC.,"Laval, QC H7M 1R1",7322-Motor vehicle body repairers,1
Quebec,    High Wage,9172-7859 Qc Inc,"Carleton-sur-mer, QC G0C 1J0",6322-Cooks,1
Quebec,    High Wage,9180-3411 Quebec Inc.,"Thetford Mines, QC G6G 6N7",6321-Chefs,1
Quebec,    High Wage,9180-8667 Quebec Inc,"Montreal, QC H3H 1M6",6322-Cooks,1
Quebec,    High Wage,9187-9593 QUÉBEC INC.,"Ste-Croix de Lotbinière, QC G0S 2H0",6322-Cooks,2
Quebec,    High Wage,9187-9684 Québec Inc. - M.A.G. Express,"Sherbrooke, QC J1R 0S7",7322-Motor vehicle body repairers,1
Quebec,    High Wage,9207-0697 Québec Inc.,"QUÉBEC, QC G1N 2E6",6322-Cooks,1
Quebec,    High Wage,9208-4144 quc inc,"Sherbrooke, QC J1C 0W2",7311-Construction millwrights and industrial mechanics,3
Quebec,    High Wage,9208-4144 quc inc,"Sherbrooke, QC J1C 0W2",7333-Electrical mechanics,1
Quebec,    High Wage,9225-7385 Québec Inc.,"MONTRÉAL, QC H4C 1L8","5131-Producers, directors, choreographers and related occupations",1
Quebec,    High Wage,9229-3224 QUÉBEC INC.,"Québec, QC G1K 3A8",6322-Cooks,2
Quebec,    High Wage,9235 3804 QUÉBEC INC,"Montreal, QC H1Y 1X6",6322-Cooks,1
Quebec,    High Wage,9254-3677 Québec Inc.,"QUÉBEC, QC G1N 1E8","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Quebec,    High Wage,9256-8328 QUÉBEC INC. (Restaurant Quai 99),"LONGUEUIL, QC J4H 4C9",6321-Chefs,1
Quebec,    High Wage,9257-2734 Québec INC.,"Anjou, QC H1M 0A1",6321-Chefs,2
Quebec,    High Wage,9263-6877 Québec Inc,"LA SARRE, QC J9Z 1Y8",2253-Drafting technologists and technicians,1
Quebec,    High Wage,9275-1171 Québec Inc,"MONTRÉAL, QC H3H 1M1",6321-Chefs,1
Quebec,    High Wage,9278-8983 Québec inc.,"SHERBROOKE, QC J1E 3V4",1311-Accounting technicians and bookkeepers,1
Quebec,    High Wage,9279-7505 Québec Inc,"QUÉBEC, QC G1V 1S5",0631-Restaurant and food service managers,1
Quebec,    High Wage,9280-4210 QUEBEC INC,"MONTREAL, QC H2W 1E8",6322-Cooks,1
Quebec,    High Wage,9286-3513 Québec Inc,"Rouyn-Noranda, QC J9X 4S8",6322-Cooks,2
Quebec,    High Wage,9288-4279 Québec Inc (DBA FPL Mécanique),"SAINT-EUSTACHE, QC J7R 4K3","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
Quebec,    High Wage,9295-3702 Québec Inc.,"REPENTIGNY, QC J5Y 3M6",6322-Cooks,1
Quebec,    High Wage,9299-1439 Québec Inc.,"MONTRÉAL, QC H3B 3C8",6322-Cooks,1
Quebec,    High Wage,9300-6641 Québec Inc.,"MONTRÉAL, QC H2L 1L3",2175-Web designers and developers,1
Quebec,    High Wage,9301-2672 Quebec Inc,"Montreal, QC H3B 1M6",6322-Cooks,1
Quebec,    High Wage,9307-0738 Québec Inc.,"Montréal, QC H3X 2B6",6322-Cooks,1
Quebec,    High Wage,9310-5997 QUÉBEC INC.,"Montréal, QC H1Y 1W5",6322-Cooks,1
Quebec,    High Wage,9316-0851 Québec Inc.,"SAGUENAY, QC G7H 2A2",6322-Cooks,1
Quebec,    High Wage,9320-9880 Québec Inc.,"MONTRÉAL, QC H4A 1X2",6322-Cooks,1
Quebec,    High Wage,9338-0186 Québec inc,"Rouyn-Noranda, QC J9X 6P9",6311-Food service supervisors,1
Quebec,    High Wage,9340-8300 Québec Inc.,"MONTRÉAL, QC H4G 1V4",0213-Computer and information systems managers,1
Quebec,    High Wage,9341-0538 Québec Inc.,"MASCOUCHE, QC J7K 0K8",6322-Cooks,1
