"Employers Who Were Issued a Negative Labour Market Impact Assessment (LMIA) by Program Stream, National Occupational Classification (NOC) 2011 and Business Location, January to March 2020",,,,,
Province/Territory,Program Stream,Employer ,Address ,Occupation ,Requested Positions
Quebec,   Low Wage,9317-4043 Qc Inc,"LONGUEUIL, J4K2T4",(blank),2
Quebec,   Low Wage,9338-4428 Québec Inc.,"MONTRÉAL, H1S1N5",6731-Light duty cleaners,2
Quebec,   Low Wage,9747869 Canada Incorporated,"Montréal, H2X3A4",6332-Bakers,1
Quebec,   Low Wage,Aliments Asta Inc.,"St-Alexandre, G0L2G0",8421-Chain saw and skidder operators,1
Quebec,   Low Wage,Altispa Inc,"NOTRE-DAME-DE-L'ÎLE-PERRÔT, J7V9C5","6562-Estheticians, electrologists and related occupations",1
Quebec,   Low Wage,Aménagement paysager Artifex Inc,"LONGUEUIL, J4G1T2",8612-Landscaping and grounds maintenance labourers,1
Quebec,   Low Wage,Association de Planification Fiscale et Financière du Québec,"MONTRÉAL, H3A1X6",8421-Chain saw and skidder operators,1
Quebec,   Low Wage,Ball Advanced Aluminum Technologies Holding Canada Inc,"Sherbrooke, J1K1B8",9611-Labourers in mineral and metal processing,1
Quebec,   Low Wage,CALÉ TRANSMISSION INC.,"Québec, G1M1R8",7535-Other automotive mechanical installers and servicers,1
Quebec,   Low Wage,DIALLO INC,"Montreal, H1Z2L8",7514-Delivery and courier service drivers,2
Quebec,   Low Wage,ECOSTONE INC.,"Montreal, H8T2V4","9414-Concrete, clay and stone forming operators",1
Quebec,   Low Wage,Gestion Jackson & Philippin Inc,"Québec, G1X4M4",8241-Logging machinery operators,1
Quebec,   Low Wage,Heyseller Inc,"MONTRÉAL, H1P1A5","1123-Professional occupations in advertising, marketing and public relations",1
Quebec,   Low Wage,La Maison Smith Inc,"Québec, G1L2V7",6321-Chefs,1
Quebec,   Low Wage,LES CARRIERES DUCHARME INC.,"HAVELOCK, J0S2C0",8421-Chain saw and skidder operators,1
Quebec,   Low Wage,Les Résidences Chanoine-Scott inc.,"Québec, G1V3N5","3413-Nurse aides, orderlies and patient service associates",1
Quebec,   Low Wage,Proventus Bioscience Inc.,"St.Laurent, H4M2Z2",8241-Logging machinery operators,1
Quebec,   Low Wage,Rotisserie Beau Coq B.B.Q. Ltée,"AMOS, J9T1T7",8241-Logging machinery operators,1
Quebec,   Low Wage,Transport Matte Ltée,"DONNACONA, G3M1W6",7511-Transport truck drivers,2
Quebec,  Primary Agriculture,9225-2766 Québec inc.,"Saint-Théodore-d'Acton, J0H1Z0",8241-Logging machinery operators,1
Quebec,  Primary Agriculture,Amanda-Joe Plantations,"SAWYERVILLE (COOKSHIRE-EATON), J0B3A0",8421-Chain saw and skidder operators,14
Quebec,  Primary Agriculture,Black Bay Farm Inc.,"THURSO, J0X3B0",8431-General farm workers,1
Quebec,  Primary Agriculture,Domaine Vincent Inc.,"Saint-Joseph-du-Lac, J0N1M0",8241-Logging machinery operators,35
Quebec,  Primary Agriculture,Domaine Vincent Inc.,"Saint-Joseph-du-Lac, J0N1M0",8431-General farm workers,55
Quebec,  Primary Agriculture,Entreprise Keurentjes inc.,"HENRYVILLE, J0J1E0",8431-General farm workers,1
Quebec,  Primary Agriculture,ESPACE RICARDO INC.,"SAINT-LAMBERT, J4R1K5",8431-General farm workers,1
Quebec,  Primary Agriculture,Ferme Laliluc Inc.,"SAINT-JULES, G0N1R0",8241-Logging machinery operators,1
Quebec,  Primary Agriculture,Ferme Majonick Inc.,"St-Esprit, J0K 2L0",8241-Logging machinery operators,12
Quebec,  Primary Agriculture,Ferme Noël Maheux et Fils Inc.,"Sainte-Marie, G6E0N1",8421-Chain saw and skidder operators,2
Quebec,  Primary Agriculture,Ferme Vertulait 2006 Inc.,"Warwick, J0A1M0",8241-Logging machinery operators,1
Quebec,  Primary Agriculture,Fermili (2010) Inc.,"NICOLET, J3T1G8",8431-General farm workers,2
Quebec,  Primary Agriculture,J.P.L. Maraîcher Inc.,"SAINT-ANSELME, G0R2N0","0014-Senior managers - health, education, social and community services and membership organizations",3
Quebec,  Primary Agriculture,Les Bleuetières 2000 Inc.,"Saint-Bruno, G0W2L0",8421-Chain saw and skidder operators,3
Quebec,  Primary Agriculture,Les Fermes R.R. & fils inc.,"SAINT-MICHEL, J0L2J0",8421-Chain saw and skidder operators,8
Quebec,  Primary Agriculture,Les Jardins Agripro Inc.,"SAINT-EUSTACHE, J7R4K3",8431-General farm workers,4
Quebec,  Primary Agriculture,P.M. Guinois Inc.,"Saint-Jacques-le-Mineur, J0J1Z0",0012-Senior government managers and officials,6
Quebec,  Primary Agriculture,Robert Douglas Kyle Inc.,"Saint-Patrice-De-Sherrington, J0L2N0",8431-General farm workers,2
Quebec,  Primary Agriculture,SERVICE D'AUTO V.S.M (1987 ) Inc.,"SAINTE-MARIE, G6E1M4",8431-General farm workers,1
Quebec,  Primary Agriculture,Verger Gibouleau Inc.,"Laval, H7J1A3",8431-General farm workers,1
Quebec, Global Talent Stream,Agence du revenu du Québec,"Québec, G1X4A5",8241-Logging machinery operators,3
Quebec, Global Talent Stream,Productions Double Negative Montreal Ltee,"Montreal, H2Y1A6",5241-Graphic designers and illustrators,1
Ontario,    High Wage,002478111 Ontario Inc.,"Brampton, L6R3Y5",1241-Administrative assistants,1
Ontario,    High Wage,1 FOR 1 PIZZA LIMITED,"Ottawa, K1B5M1",0631-Restaurant and food service managers,1
Ontario,    High Wage,10292290 Canada Corp,"Richmond Hill, L4E5B5",1122-Professional occupations in business management consulting,1
Ontario,    High Wage,11348833 Canada Ltd.,"TORONTO, M9B1K7","0016-Senior managers - construction, transportation, production and utilities",1
Ontario,    High Wage,11371193 CANADA INC.,"Brampton, L6X4N2","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Ontario,    High Wage,11515918 Canada Inc,"Brampton, L6Y4X9","0015-Senior managers - trade, broadcasting and other services, n.e.c.",2
Ontario,    High Wage,11637622 Canada Inc.,"BEAMSVILLE, L0R1B2","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Ontario,    High Wage,11658557 Canada Inc.,"MISSISSAUGA, L5A 3H7","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Ontario,    High Wage,11697862 Canada Inc.,"Brampton, L6Y3S8","0014-Senior managers - health, education, social and community services and membership organizations",1
Ontario,    High Wage,11699644 Canada Inc.,"Brampton, L7A4A3",0125-Other business services managers,1
Ontario,    High Wage,11707493 Canada Inc.,"Brampton, L6Y4Z9","0016-Senior managers - construction, transportation, production and utilities",1
Ontario,    High Wage,11716611 CANADA INC.,"Cambridge, N3H0B5",0311-Managers in health care,1
Ontario,    High Wage,11754190 Canada Ltd,"TORONTO, M9B1K7","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Ontario,    High Wage,11890646 Canada Ltd.,"Toronto, M2N6K8","0013-Senior managers - financial, communications and other business services",1
Ontario,    High Wage,1227239 Ontario Inc.,"Scarborough, M1S1T8",1311-Accounting technicians and bookkeepers,1
Ontario,    High Wage,1238843 B.C. Ltd.,"Burlington, L7L7E1","0013-Senior managers - financial, communications and other business services",1
Ontario,    High Wage,1240069 B.C. Ltd.,"Mississauga, L5N8C3","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Ontario,    High Wage,1542766 Ontario Inc.,"Mississauga, L5T1E6","7301-Contractors and supervisors, mechanic trades",1
Ontario,    High Wage,1579901 ONTARIO INC,"Brampton, L6S5N8",7511-Transport truck drivers,15
Ontario,    High Wage,1585908 ONTARIO INC.,"Toronto, M4P1J4",1243-Medical administrative assistants,1
Ontario,    High Wage,1792129 ONTARIO INC.,"Toronto, M6E1C2",6321-Chefs,1
Ontario,    High Wage,1873408 ONTARIO INC.,"North York, M9L1N9",1241-Administrative assistants,1
Ontario,    High Wage,1898879 Ontario Inc.,"Mississauga, L5E1E1",7237-Welders and related machine operators,1
Ontario,    High Wage,1987874 ONTARIO LTD.,"Newmarket, L3Y5L8",1122-Professional occupations in business management consulting,1
Ontario,    High Wage,2085919 ONT INC,"MISSISSAUGA, L5R3N4",7511-Transport truck drivers,3
Ontario,    High Wage,2126113 Ontario Ltd,"Pickering, L1V1B5",7295-Floor covering installers,1
Ontario,    High Wage,2130751 ontario inc,"Mississauga, L5C1W4",1241-Administrative assistants,1
Ontario,    High Wage,2197036 Ontario Inc.,"BRAMPTON, L6P4A5",7511-Transport truck drivers,6
Ontario,    High Wage,2216418 ONTARIO INC.,"Etobicoke, M9W4K9","1123-Professional occupations in advertising, marketing and public relations",1
Ontario,    High Wage,2232665 ONTARIO INC,"MISSISSAUGA, L5S1N6",7511-Transport truck drivers,5
Ontario,    High Wage,2271511 Ontario Ltd,"Concord, L4K2G4",7237-Welders and related machine operators,1
Ontario,    High Wage,2281537 Ontario Inc.,"Toronto, M5G 2J9",3113-Dentists,1
Ontario,    High Wage,2283516 ONTARIO INC,"MISSISSAUGA, L4T3X2","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Ontario,    High Wage,2293891 Ontario Inc.,"North York, M3N1H6",1241-Administrative assistants,1
Ontario,    High Wage,22G Auto Sales Ltd.,"Brampton, L6V1B1",0621-Retail and wholesale trade managers,1
Ontario,    High Wage,2302190 Ontario Inc.,"Brampton, L7A0X1",1241-Administrative assistants,1
Ontario,    High Wage,2307403 ONTARIO INC,"CAMBRIDGE, N1T2H8",2282-User support technicians,1
Ontario,    High Wage,2322948 Ontario Inc,"Brampton, L6W1K5","0124-Advertising, marketing and public relations managers",1
Ontario,    High Wage,2375885 Ontario Inc.,"Markham, L3R3P9",0631-Restaurant and food service managers,1
Ontario,    High Wage,2410879 Ontario Ltd.,"Toronto, M2R1N9",7251-Plumbers,1
Ontario,    High Wage,2473927 Ontario Inc,"Mississauga, L5K2R5","1123-Professional occupations in advertising, marketing and public relations",1
Ontario,    High Wage,2512275 ONTARIO LTD,"Mississauga, L4T0A4","1211-Supervisors, general office and administrative support workers",1
Ontario,    High Wage,2517271 ONTARIO INC,"Toronto, M1P3J2","0013-Senior managers - financial, communications and other business services",1
Ontario,    High Wage,2522927 ontario inc.,"HUNTSVILLE, P1H1G4",1431-Accounting and related clerks,1
Ontario,    High Wage,2549090 ONTARIO INC.,"WINDSOR, N9A4M7",6321-Chefs,1
Ontario,    High Wage,2559574 Ontario Inc.,"Hamilton, L8E1H8",0631-Restaurant and food service managers,1
Ontario,    High Wage,2582144 ONTARIO LTD.,"MISSISSAUGA, L5T1G1",0621-Retail and wholesale trade managers,1
Ontario,    High Wage,2583695 Ontario Inc.,"Brampton, L6T4L6",7332-Appliance servicers and repairers,2
Ontario,    High Wage,2702354 ON Inc.,"Brampton, L6W2B5","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Ontario,    High Wage,2715367 Ontario Inc. dba Basil,"Barrie, L4N5J4",0631-Restaurant and food service managers,1
Ontario,    High Wage,6510515 CANADA INC.,"LITTLE CURRENT, P0P1K0","6313-Accommodation, travel, tourism and related services supervisors",1
Ontario,    High Wage,6798837 Canada Inc.,"Thornhill, L3T1L6",4163-Business development officers and marketing researchers and consultants,1
Ontario,    High Wage,7928394 CANADA INC.,"Oakville, L6H7L3",5242-Interior designers and interior decorators,1
Ontario,    High Wage,7982216 CANADA INCORPORATED,"Mississauga, L5R3N1",2171-Information systems analysts and consultants,1
Ontario,    High Wage,8291322 Canada Ltd.,"Toronto, M6A3B4",7246-Telecommunications installation and repair workers,1
Ontario,    High Wage,8618097 Canada Inc.,"Brampton, L6Y3Y1",2171-Information systems analysts and consultants,1
Ontario,    High Wage,8777691 CANADA INC.,"MISSISSAUGA, L4T1Z7","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
Ontario,    High Wage,88 WEBSTUDIO INC.,"Etobicoke, M9B6M1",1221-Administrative officers,1
Ontario,    High Wage,A & Z Foods Inc,"Brampton, L6W2C2",0631-Restaurant and food service managers,1
Ontario,    High Wage,aarti impex inc,"brampton, L6P3W4",0621-Retail and wholesale trade managers,1
Ontario,    High Wage,Acrossor Ltd.,"Richmond Hill, L4B3L8",2174-Computer programmers and interactive media developers,1
Ontario,    High Wage,AcuityAds Inc,"Toronto, M5J2T3","0124-Advertising, marketing and public relations managers",1
Ontario,    High Wage,ADM DAIRY INC.,"MISSISSAUGA, L4W2Z6",6315-Cleaning supervisors,1
Ontario,    High Wage,Advance Solution Corp.,"Burlington, L7M2Z9",0711-Construction managers,1
Ontario,    High Wage,Alliance Insurance Brokers Ltd.,"Toronto, M2J4R4",6231-Insurance agents and brokers,1
Ontario,    High Wage,ALNICO SECURITY TECHNOLOGY INC,"Scarborough, M1V4T5",2283-Information systems testing technicians,1
Ontario,    High Wage,Amberson Education Group Inc.,"Toronto, M1W2S7",2175-Web designers and developers,1
Ontario,    High Wage,Animals Inc.,"TORONTO, M6J2R9","5131-Producers, directors, choreographers and related occupations",1
Ontario,    High Wage,Argcon Group Inc.,"Scarborough, M1R3C2","7284-Plasterers, drywall installers and finishers and lathers",1
Ontario,    High Wage,Argo Drywall Inc,"Brampton, L6S5X8","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Ontario,    High Wage,Arya-Vista Construction Corp.,"Toronto, M5B2L7","0016-Senior managers - construction, transportation, production and utilities",1
Ontario,    High Wage,Autobahn Freight Lines Ltd.,"Brampton, L6S5N8",7511-Transport truck drivers,1
Ontario,    High Wage,autotronic services inc.,"toronto, M1R4Z8","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Ontario,    High Wage,Benchmark Media Marketing Inc.,"Toronto, M3J3J4","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Ontario,    High Wage,BILT RITE WOODWORKING INC,"Etobicoke, M9W1G3",7271-Carpenters,1
Ontario,    High Wage,BIM MEE AEC DESIGN INC,"London, N6B2K6",2251-Architectural technologists and technicians,1
Ontario,    High Wage,Bock North America Ltd.,"Cambridge, N3H4R7",9422-Plastics processing machine operators,1
Ontario,    High Wage,BroFin Investment and Consulting Inc.,"TORONTO, M9C1Z7","0013-Senior managers - financial, communications and other business services",1
Ontario,    High Wage,Canadian Institute of  Telecommunications Inc.,"Mississauga, L4T2T7",2171-Information systems analysts and consultants,1
Ontario,    High Wage,Canamex-Carbra Transportation Services Inc.,"Mississauga, L4T1G8",1311-Accounting technicians and bookkeepers,1
Ontario,    High Wage,Cheung & Associates CPAs Professional Corporation,"Toronto, M3B3H9","1212-Supervisors, finance and insurance office workers",2
Ontario,    High Wage,CNC Vision Holding Inc,"Markham, L3R7P3",3231-Opticians,1
Ontario,    High Wage,Columbia Building Maintenance Co. Ltd.,"Toronto, M9V5C3",6315-Cleaning supervisors,1
Ontario,    High Wage,CRD Pharmaceuticals Inc.,"Ottawa, K2E8A5","0014-Senior managers - health, education, social and community services and membership organizations",1
Ontario,    High Wage,CREATIVE GLASS (2010) INC.,"Mississauga, L5N7X9",1221-Administrative officers,1
Ontario,    High Wage,Dibdaa Ltd,"Toronto, M5B2L2","0013-Senior managers - financial, communications and other business services",1
Ontario,    High Wage,DiPaolo Machine Tools Ltd,"Mississauga, L5S1K6",0911-Manufacturing managers,1
Ontario,    High Wage,Doctors Urgent Care Clinic Inc.,"Scarborough, M1B0A7",3112-General practitioners and family physicians,1
Ontario,    High Wage,DR JASPAL BHANDAL PROF CORP,"BRAMPTON, L7A0N9",1243-Medical administrative assistants,1
Ontario,    High Wage,Einbau Ltd,"Whitby, L1N7T8",7271-Carpenters,1
Ontario,    High Wage,Electro Mechanical Truck Repair Inc.,"Mississauga, L4W1N8",1221-Administrative officers,1
Ontario,    High Wage,Elite Digital Inc.,"Toronto, M9L1S7","1123-Professional occupations in advertising, marketing and public relations",1
Ontario,    High Wage,Faatih & Co. Ltd,"Kitchener, N2P2A4",0621-Retail and wholesale trade managers,1
Ontario,    High Wage,FALCON XPRESS TRANSPORTATION GROUP INC.,"Brampton, L7C3B7",7511-Transport truck drivers,5
Ontario,    High Wage,FIRST REFRIGERATION ENGINEERING LTD,"Scarborough, M1V5J9",6552-Other customer and information services representatives,1
Ontario,    High Wage,Fit and Glow Canada Inc.,"TORONTO, M6K3P6","0124-Advertising, marketing and public relations managers",1
Ontario,    High Wage,FIXTRONIKS INC,"Vaughn, L4K0G7","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Ontario,    High Wage,Focal Healthcare Inc.,"Toronto, M6R2J1",4163-Business development officers and marketing researchers and consultants,1
Ontario,    High Wage,Fonex Technologies,"Vaughn, L4H3A4","0013-Senior managers - financial, communications and other business services",1
Ontario,    High Wage,Freecan Inc.,"North York, M2M2V2","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Ontario,    High Wage,Gigg Express Inc,"Mississauga, L4W5L5",7511-Transport truck drivers,5
Ontario,    High Wage,Healthwinds Spas Inc,"Toronto, M4S2N5",3236-Massage therapists,1
Ontario,    High Wage,Himalya Express Inc.,"Brampton, L6W1T4",7511-Transport truck drivers,5
Ontario,    High Wage,Home Plus Life Inc.,"Markham, L3R1E4",7313-Refrigeration and air conditioning mechanics,1
Ontario,    High Wage,HR STAFF LTD,"BRAMPTON, L7A2T2",0125-Other business services managers,1
Ontario,    High Wage,"Hua Men Trading Co., Ltd.","Scarborough, M1B4Z7","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
Ontario,    High Wage,Ideal Mattress Factory Ltd.,"Mississauga, L4W1G4",1221-Administrative officers,1
Ontario,    High Wage,ILLUSTRATE INC,"TORONTO, M9B6H7",1221-Administrative officers,1
Ontario,    High Wage,International Language Academy of Canada,"Toronto, M4W3C7",1221-Administrative officers,1
Ontario,    High Wage,ISHINA DISTINGUISHED INDIAN CUISINE INC.,"NEPEAN, K2H8W2",0631-Restaurant and food service managers,1
Ontario,    High Wage,iTi Building Permit Designer Inc.,"Oakville, L6J6G6",2253-Drafting technologists and technicians,1
Ontario,    High Wage,J & Sons Transport Ltd.,"Brampton, L6T0G6",2282-User support technicians,1
Ontario,    High Wage,JVC Precision Ltd.,"Oro-Medonte, L3V0R4",2252-Industrial designers,1
Ontario,    High Wage,Kristofoam Industries Inc.,"concord, L4K2C7",2233-Industrial engineering and manufacturing technologists and technicians,1
Ontario,    High Wage,LAKELAND LONG TERM CARE SERVICES CORPORATION,"Parry Sound, P2A3A4",0311-Managers in health care,1
Ontario,    High Wage,Legno Custom Millwork Inc.,"Concord, L4K2B9",1225-Purchasing agents and officers,1
Ontario,    High Wage,Locomotive Investments Inc.,"Toronto, M5V1E3","0124-Advertising, marketing and public relations managers",1
Ontario,    High Wage,Luso Star Construction Inc,"North York, M3K1K3",2281-Computer network technicians,1
Ontario,    High Wage,Magcrete Logistics Corporation,"King City, L7B1C4",7511-Transport truck drivers,5
Ontario,    High Wage,Main Safety Solutions Inc,"Woodstock, N4T1C3",1221-Administrative officers,1
Ontario,    High Wage,Marcus LTD,"Toronto, M3H0B9",4163-Business development officers and marketing researchers and consultants,1
Ontario,    High Wage,Master's Trust Realty Inc.,"Markham, L3R1G9",1222-Executive assistants,1
Ontario,    High Wage,MH PRO PLUMBING SERVICES LTD,"Newmarket, L3Y5A4",7251-Plumbers,1
Ontario,    High Wage,MJMG HOldings Inc.,"Etobicoke, M9W4Z4",2221-Biological technologists and technicians,1
Ontario,    High Wage,MJR Contractors Ltd.,"Mississauga, L4Z1C2",7271-Carpenters,1
Ontario,    High Wage,Moneta Porcupine Mines Inc,"Timmins, P4N1C2",2113-Geoscientists and oceanographers,1
Ontario,    High Wage,Moss and Lam Inc.,"Toronto, M8Z2H1",5241-Graphic designers and illustrators,1
Ontario,    High Wage,Nursing Without Borders Incorporated,"Ancaster, L9K0H4",1311-Accounting technicians and bookkeepers,1
Ontario,    High Wage,OPC.TV INC,"TORONTO, M5A2N4","5131-Producers, directors, choreographers and related occupations",1
Ontario,    High Wage,P.P. Minerals Canada Corporation,"Oakville, L6H5R7",0911-Manufacturing managers,1
Ontario,    High Wage,Pal Trucking Inc,"Brampton, L7A2P1","7305-Supervisors, motor transport and other ground transit operators",1
Ontario,    High Wage,Partners Film Inc.,"TORONTO, M5A3C4","5131-Producers, directors, choreographers and related occupations",1
Ontario,    High Wage,Pely Pay International Trading Inc.,"Thornhill, L3T5R4","0013-Senior managers - financial, communications and other business services",1
Ontario,    High Wage,Phoenix Web Inc.,"Markham, L3R2M4",2243-Industrial instrument technicians and mechanics,1
Ontario,    High Wage,Pizza Pizza,"London, N5Y1A6",6311-Food service supervisors,1
Ontario,    High Wage,Proco Machinery Inc,"Mississauga, L4W3R7",7316-Machine fitters,1
Ontario,    High Wage,Public Services and Procurement Canada,"Ottawa, K1A0S5","5125-Translators, terminologists and interpreters",1
Ontario,    High Wage,Q2Hire Consulting Inc,"TORONTO, M9W5Z8",1122-Professional occupations in business management consulting,1
Ontario,    High Wage,Radke Films Ltd.,"TORONTO, M5A2N4","5131-Producers, directors, choreographers and related occupations",1
Ontario,    High Wage,Ravians International Electronics Trading Inc.,"Toronto, M4H1B8","0013-Senior managers - financial, communications and other business services",1
Ontario,    High Wage,Reach Out Interactive Media & Marketing Inc.,"MARKHAM, L3R6G2","0013-Senior managers - financial, communications and other business services",1
Ontario,    High Wage,Research Now Inc,"Toronto, M5B2L7",4163-Business development officers and marketing researchers and consultants,1
Ontario,    High Wage,ROAD XPRESS LTD.,"BRAMPTON, L6P4E6",7511-Transport truck drivers,3
Ontario,    High Wage,Rotari Construction Inc.,"Aurora, L4G0X5",2253-Drafting technologists and technicians,1
Ontario,    High Wage,Royal Alarms Limited,"Vaughan, L4K4R9",2242-Electronic service technicians (household and business equipment),1
Ontario,    High Wage,ROYAL SHOW INC.,"Concord, L4K2C8",6211-Retail sales supervisors,1
Ontario,    High Wage,Safe Unlimited Masonry Inc.,"Mississauga, L4T3Z8",7271-Carpenters,1
Ontario,    High Wage,Sao Fine Gems Incorporated,"Mississauga, L5N8R7","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Ontario,    High Wage,SARAI TRUCKING LIMITED,"BRAMPTON, L6P2K7",7511-Transport truck drivers,20
Ontario,    High Wage,Seed Visuals Inc.,"North York, M6M5C3",5135-Actors and comedians,1
Ontario,    High Wage,Sequoia Content Canada Limited,"Toronto, M5B2E7","5131-Producers, directors, choreographers and related occupations",1
Ontario,    High Wage,Service Plus Aquatics Inc.,"Mississauga, L5L5X9","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",1
Ontario,    High Wage,shamir canada optical inc,"london, N6H0B7",0213-Computer and information systems managers,1
Ontario,    High Wage,Shere Punjab Restaurant & Caters,"Niagara Falls, L2G3L5",6311-Food service supervisors,1
