"Employers who were issued a positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and business location in 2018 (July-September)",,,,,
Province/Territory,Stream,Employer,Address,Occupations under NOC 2011,Approved Positions
,,Eastern Exporters Ltd,"Souris, PE C0A 2B0",8431-General farm workers,3
,,Eastern Farms Ltd,"Pownal, PE C1B 3S5",8431-General farm workers,3
,,Jewell's of Prince Edward Island Inc,"York RR, PE C0A 1P0",8431-General farm workers,5
,,Mol Farms Inc,"KINKORA, PE C0B 1N0",8431-General farm workers,4
,,Pure Pork Farms Ltd.,"MOUNT ALLISON, PE C1B 4B3",8431-General farm workers,1
,,Smith Farms Ltd.,"KINKORA, PE C0B 1N0",8431-General farm workers,2
,,Vanco Farms Ltd,"Mount Albion, PE C1B 0R4",8431-General farm workers,4
,,Victoria Potato Farm Inc,"Crapaud, PE C0A 1J0",8431-General farm workers,2
,,Winterbay Farm Inc.,"Millcove, PE C0A 1T0",8431-General farm workers,2
Nova Scotia,    High Wage,3283551 Nova Scotia Limited,"DARTMOUTH, NS B2Y 3R5",0631-Restaurant and food service managers,1
,,Connors Transfer Limited,"Stellarton, NS B0K 1S0",7511-Transport truck drivers,10
,,Daytona Freignt Systems Inc,"DARTMOUTH, NS B3B 1L7",7511-Transport truck drivers,10
,,GTL Transportation Inc.,"Dartmouth, NS B3B 1X0",7511-Transport truck drivers,4
,,Irving Shipbuilding Inc.,"Halifax, NS B3K 5M7","0016-Senior managers - construction, transportation, production and utilities",2
,,,,0113-Purchasing managers,1
,,,,0211-Engineering managers,2
,,,,0711-Construction managers,2
,,,,0911-Manufacturing managers,2
,,,,"2148-Other professional engineers, n.e.c.",6
,,,,7235-Structural metal and platework fabricators and fitters,1
,,Middleton Physiotherapy and Osteopathy Inc,"Middleton, NS B0S 1P0",3232-Practitioners of natural healing,1
,,Nova Scotia Health Authority,"North Sydney, NS B2A 3M4",4151-Psychologists,1
,,Orienteering Association of Nova Scotia,"Halifax, NS B3J 1G6",2254-Land survey technologists and technicians,1
,,Royal Nova Scotia Yacht Squadron,"Halifax, NS B3P 1C7",5252-Coaches,2
,,Saint Mary's University,"Halifax, NS B3H 3C3",4011-University professors and lecturers,1
,,Scotia Suzuki School of Music Inc.,"HALIFAX, NS B3L 1K6",4021-College and other vocational instructors,1
,,"SHIL Technologies, Inc.","Halifax, NS B3J 3N2",2171-Information systems analysts and consultants,2
,,St. Francis Xavier University,"ANTIGONISH, NS B2G 2W5",4011-University professors and lecturers,1
,,TwinThread Canada Inc.,"BEDFORD, NS B4A 3Y4",2174-Computer programmers and interactive media developers,1
,,Waterford Energy Services Inc.,"Halifax, NS B3J 1Z4","8222-Contractors and supervisors, oil and gas drilling and services",1
,   Low Wage,3263797 Nova Scotia Limited,"HALIFAX, NS B3M 0A8",6211-Retail sales supervisors,2
,,Allegro Child Care Centre Limited,"HALIFAX, NS B3H 4K5",4214-Early childhood educators and assistants,1
,,Arisu Table BBQ and Sushi Bar Limited,"HALIFAX, NS B3J 1X3",6322-Cooks,1
,,Balodis Incorporated,"Westville, NS B0K 2A0",7511-Transport truck drivers,2
,,Care & Fun Childcare Limited,"HALIFAX, NS B3M 3V3",4214-Early childhood educators and assistants,1
,,I.L. MacIsaac Ivestments Inc.,"BRIDGEWATER, NS B4V 2S7",6332-Bakers,2
,,Les Enterprises Samson Enterprises Ltee,"Arichat, NS B0E 1A0",9531-Boat assemblers and inspectors,4
,,Mic Mac Beverage Room (2006) Ltd.,"Dartmouth, NS B2X 2C3",6322-Cooks,4
,,Naru Japanese Restaurant (NS) Ltd.,"Sydney, NS B1P 1G8",6311-Food service supervisors,1
,,,,6322-Cooks,2
,,Pizza Delight (C&M Veenhuis Pizzaria),"New Glasgow, NS B2H 5C5",6322-Cooks,1
,,Salt Shaker Deli Ltd.,"Lunenburg, NS B0J 2C0",6311-Food service supervisors,1
,,Slumber Inns Ltd.,"NEW MINAS, NS B4N 3K8",1241-Administrative assistants,1
,  Primary Agriculture,3226198 Nova Scotia Ltd/Vital Berry Farms,"Centreville, NS B0P 1J0",8431-General farm workers,18
,,Allen Farms Limited,"Centreville, NS B0P 1J0",8431-General farm workers,25
,,Bezanson & Chase Cranberry Company Inc.,"Aylesford, NS B0P 1C0",8431-General farm workers,3
,,Birchleigh Farms Ltd,"Berwick, NS B0P 1E0",8611-Harvesting labourers,4
,,Blue Ridge Farm,"Grafton, NS B0P 1V0",8431-General farm workers,3
,,CAP Farms Inc,"Grafton, NS B0P 1V0",8431-General farm workers,10
,,Charles Keddy Farms Limited,"Lakeville, NS B4N 3V7",8431-General farm workers,44
,,Craig Nichols Farms Ltd,"Aylesford, NS B0P 1C0",8431-General farm workers,5
,,den Haan Enterprises Ltd,"LAWRENCETOWN, NS B0S 1M0",8432-Nursery and greenhouse workers,18
,,Eisses Farms Ltd,"Centreville, NS B0P 1J0",8431-General farm workers,4
,,Elmridge Farm (2003) Ltd,"Centreville, NS B0P 1J0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,,,8431-General farm workers,1
,,G & C Hughes Enterprises Ltd,"New Ross, NS B0J 2M0",8432-Nursery and greenhouse workers,12
,,G.A.R. Tree Farms Ltd.,"Barss Corner, NS B0R 1A0",8432-Nursery and greenhouse workers,2
,,J & B Millen Farms Limited,"Great Village, NS B0M 1L0",8431-General farm workers,1
,,McConnell-Gordon Estates Ltd.,"Gaspereau, NS B4P 2R1",8431-General farm workers,2
,,Millen Farms Limited,"Great Village, NS B0M 1L0",8431-General farm workers,20
,,Noggins Corner Farm II Ltd,"Greenwich, NS B4P 2R2",8431-General farm workers,14
,,Power Farms Inc,"Canning, NS B0P 1H0",8431-General farm workers,11
,,Sarsfield Farms Inc,"KENTVILLE, NS B4N 3V7",8431-General farm workers,12
,,Town Plot Orchards Ltd,"Port Williams, NS B0P 1T0",8431-General farm workers,9
,,Traditional Evergreen Tree Farms Ltd,"Bridgewater, NS B4V 2W6",8432-Nursery and greenhouse workers,6
,,Van Meekeren Farms Ltd,"Lakeville, NS B4N 3V7",8431-General farm workers,9
,,Vermeulen Farms Limited,"Canning, NS B0P 1H0",8431-General farm workers,10
,,Wohlgemuth Farms Ltd,"Aylesford, NS B0P 1C0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
, Global Talent Stream,MOBIA Technology Innovations,"Dartmouth, NS B3B 0B3",2173-Software engineers and designers,1
,,Peer Ledger Inc.,"Halifax, NS B3H 4P3",2173-Software engineers and designers,2
,,Sustainable Fish Farming (Canada) Ltd,"Centre Burlington, NS B0N 1E0",0213-Computer and information systems managers,1
New Brunswick,    High Wage,AYR Motor Express Inc.,"Woodstock, NB E7M 4G2",7511-Transport truck drivers,10
,,BVE Transport Inc.,"WOODSTOCK, NB E7M 1P4",7511-Transport truck drivers,1
,,"DP World Saint John, Inc.","SAINT JOHN, NB E2M 7Y5",0731-Managers in transportation,1
,,FMI Atlantic Inc.,"Woodstock, NB E7M 5G5",0631-Restaurant and food service managers,1
,,"J.D. Irving, Limited","SAINT JOHN, NB E2L 4M3",2171-Information systems analysts and consultants,1
,,"Jolly Farmer Transport ,Inc.","Northhampton, NB E7N 1R6",7511-Transport truck drivers,1
,,JPS Trucking Ltd.,"Bloomfield, NB E7K 1C8",7511-Transport truck drivers,2
,,Lucky Freight Inc.,"Woodstock, NB E7M 1G2",7511-Transport truck drivers,2
,,Murray Enterprises Ltd,"Sussex Corner, NB E4E 2Y5",7511-Transport truck drivers,2
,,Regional Health Authority B,"FREDERICTON, NB E3B 5N5",3111-Specialist physicians,1
,,Tomotachi Sushi Inc.,"FREDERICTON, NB E3B 3H5",6322-Cooks,2
,,Zoa Mansu BBQ Inc.,"Dieppe, NB E1A 1G1",6322-Cooks,1
,   Low Wage,057033 N.B. INC o/a Manoir Pascal Poirier,"SHEDIAC, NB E4P 2K9",6731-Light duty cleaners,3
,,618479 NB Inc.,"MONCTON, NB E1G 3S6",6311-Food service supervisors,1
,,658579 NB Ltd,"FREDERICTON, NB E3C 1A2",6322-Cooks,2
,,701381 NB Inc.,"ST. JOHN, NB E2L 2J2",1241-Administrative assistants,1
,,"Botsford Fisheries Ltd., Les Pêcheries Botsford ltée","Cap-Pele, NB E4N 3B3",9463-Fish and seafood plant workers,43
,,Carpe Diem Food Inc.,"MONCTON, NB E1E 4H8",6322-Cooks,1
,,Ocean Pier Inc.,"Scoudouc, NB E4P 3R4",9463-Fish and seafood plant workers,15
,,Phillip Ouellette & Sons Ltd,"Petit Quai, NB E4N 2E8",9618-Labourers in fish and seafood processing,16
,,SOUTH SHORE TRADING CO.LTD,"PORT ELGIN, NB E4M 3Y9",9463-Fish and seafood plant workers,10
,,Vito's Pizzeria Food Production Ltd.,"Moncton, NB E1C 2P8",6322-Cooks,1
,  Primary Agriculture,Jolly Farmer Products Inc,"Northampton, NB E7N 1R6",8432-Nursery and greenhouse workers,28
,,Slocum's Farm Fresh Produce Ltd,"Waterborough, NB E4C 2Y3",8431-General farm workers,2
,,Verger Belliveau Orchard,"MEMRAMCOOK, NB E1A 9H9",8431-General farm workers,14
, Global Talent Stream,D.E. Consulting and Research Inc.,"SAINT JOHN, NB E2L 4V1",0213-Computer and information systems managers,1
Quebec,    High Wage,4175174 Canada Inc.,"Montréal, QC H3J 1S6",6321-Chefs,1
,,4385403 Canada Inc.,"ROUYN-NORANDA, QC J9X 3Y8",7312-Heavy-duty equipment mechanics,3
,,6450113 Canada Inc.,"Montréal, QC H4A 3J3",6322-Cooks,1
,,6933602 CANADA INC.,"Cote St-Luc, QC H4V 2V7",1223-Human resources and recruitment officers,1
,,7261969 Canada inc.,"St-Mathieu de Beloeil, QC J3G 0H1",6322-Cooks,1
,,8678537 Canada inc.,"Laval, QC H7L 5B7",2241-Electrical and electronics engineering technologists and technicians,1
,,9014-5590 Québec Inc,"MONTRÉAL, QC H1E 2L7","7334-Motorcycle, all-terrain vehicle and other related mechanics",1
,,9018-6560 Québec Inc.,"Montreal, QC H2Y 2E1","5232-Other performers, n.e.c.",1
,,9063-7547 Québec Inc.,"ROUYN-NORANDA, QC J9X 7B8",7231-Machinists and machining and tooling inspectors,2
,,9065-5911 QUEBEC INC,"MONTRÉAL, QC H4N 1M5",5244-Artisans and craftspersons,1
,,9069-4654 Québec Inc.,"LÉVIS, QC G7A 1B1",7237-Welders and related machine operators,3
,,,,7333-Electrical mechanics,1
,,9104-0857 Quebec Inc.,"POINTE-CLAIRE, QC H9R 5N8",2282-User support technicians,1
,,9104-4289 Québec Inc,"CHICOUTIMI, QC G7K 1J5",7237-Welders and related machine operators,4
,,9137-0619 Québec Inc.,"St-Lambert-de-Lauzon, QC G0S 2W0",7231-Machinists and machining and tooling inspectors,1
,,9167200 Canada Inc,"MONTREAL, QC H2J 2H1","5232-Other performers, n.e.c.",1
,,9216-1942 Quebec inc,"LAVAL, QC H7W 1C5","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
,,9219-1568 Québec Inc.,"Montreal, QC H4P 2H2",2173-Software engineers and designers,1
,,,,5241-Graphic designers and illustrators,1
,,9235-3804 QUÉBEC INC.,"Montréal, QC H1Y 1X6",6321-Chefs,1
,,9264-7502 Quebec Inc.,"ST-AMBROISE-DE-KILDARE, QC J0K 1C0",7333-Electrical mechanics,1
,,9288-5821 Québec Inc,"POINT-CLAIRE, QC H9R 4T2",1121-Human resources professionals,1
,,9310-9577 Québec inc.,"LÉVIS, QC G6W 8A8",6321-Chefs,1
,,,,6322-Cooks,1
,,9322-8666 Québec Inc,"MONTRÉAL, QC H2V 0A1",6321-Chefs,1
,,9332-5298 Québec inc.,"QUÉBEC, QC G6S 0K4","0124-Advertising, marketing and public relations managers",1
,,9333-2575 Québec inc,"Laval, QC H7K 2E1",5134-Dancers,1
,,9336-9379 Quebec Inc,"MIRABEL, QC J7J 2K1","7202-Contractors and supervisors, electrical trades and telecommunications occupations",1
,,9341-3375 Québec Inc,"VENISE-EN-QUÉBEC, QC J0J 2K0",6322-Cooks,5
,,9342-6476 Québec Inc,"Montréal, QC H3H 1M6",6322-Cooks,2
,,9344-2697 Québec Inc,"MONTRÉAL, QC H3B 2N2",2171-Information systems analysts and consultants,1
,,9347-8105 Québec Inc.,"MONTREAL, QC H2T 1W7","0124-Advertising, marketing and public relations managers",1
,,9357-4408 Québec Inc,"Montréal, QC H2J 2L9",1222-Executive assistants,1
,,9358-3409 Quebec Inc.,"MONTREAL, QC H2T 1S4",6321-Chefs,2
,,9360-9030 Québec inc.,"LÉVIS, QC G6W 8A8",6321-Chefs,1
,,9369-2895 Québec inc,"MONTREAL, QC H2S 3C9",1241-Administrative assistants,1
,,9376-2342 Québec Inc,"WESTMOUNT, QC H3Z 2P9",2234-Construction estimators,1
,,AAA Canada inc.,"SAINTE-THÉRÈSE, QC J7E 3H7","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,,,7315-Aircraft mechanics and aircraft inspectors,1
,,ACIER MARQUIS INC.,"St-Celestin, QC J0C 1G0",7237-Welders and related machine operators,2
,,Adnm International Inc.,"Laval, QC H7P 0J1",2174-Computer programmers and interactive media developers,1
,,Adux Strategies inc,"St-Ferdinand, QC G0N 1N0",2175-Web designers and developers,1
,,AgileDSS Inc.,"Montréal, QC H2Y 2G3",2171-Information systems analysts and consultants,1
,,ALTITUDE AEROSPACE INC.,"Montréal, QC H4S 1T2",2146-Aerospace engineers,1
,,Andy Transport Inc.,"Salaberry de Valleyfield, QC J6S 6J2",7511-Transport truck drivers,19
,,Armatures D.N.S. 2000 Inc.,"MONTREAL (NORD), QC H1G 4S7",7231-Machinists and machining and tooling inspectors,1
,,Artistes Folks inc,"Montréal, QC H3H 1E8",5241-Graphic designers and illustrators,1
,,ARTITALIA GROUP INC,"Montreal, QC H1E 7J8",7311-Construction millwrights and industrial mechanics,1
,,Association régionale de soccer de Québec (ARSQ),"Lévis, QC G6X 1L3","0513-Recreation, sports and fitness program and service directors",1
,,Atelier d'usinage Mégatech AQ inc.,"Québec, QC G1P 4M9",7231-Machinists and machining and tooling inspectors,3
,,Atomic Fiction Canada Inc.,"Montréal, QC H3A 2J5",5241-Graphic designers and illustrators,3
,,Aurel Harvey & Fils Inc.,"La Malbaie, QC G5A 1C5",7237-Welders and related machine operators,3
,,Autodesk Canada Co.,"Montreal, QC H3C 2L7",2173-Software engineers and designers,2
,,Bateaux Princecraft Inc,"PRINCEVILLE, QC G6L 5C2",7237-Welders and related machine operators,8
,,Bio V Pharma Inc.,"Dollard-des-Ormeaux, QC H9B 3J1",2232-Mechanical engineering technologists and technicians,1
,,Bisco inc.,"Warwick, QC J0A 1M0",7237-Welders and related machine operators,9
,,Bistro L'Interprète Inc.,"REPENTIGNY, QC J6A 2R8",6321-Chefs,1
,,BISTRO-BAR L'ATELIER INC,"Québec, QC G1R 2K5",6322-Cooks,1
,,BOULANGERIE ST-METHODE Inc.,"ADSTOCK, QC G0N 1S0",7311-Construction millwrights and industrial mechanics,1
,,Busbud Inc.,"Montréal, QC H2T 1X6",2175-Web designers and developers,1
,,C.A.T. INC.,"COTEAU-DU-LAC, QC J0P 1B0",7511-Transport truck drivers,6
,,CAVALIA Inc,"MONTRÉAL, QC H2H 2L5","5232-Other performers, n.e.c.",1
,,Centre de Santé et de Services Sociaux de Laval,"Laval, QC H7V 3Y7",3112-General practitioners and family physicians,1
,,Centre hospitalier de l'Université de Montréal,"Montréal, QC H2X 0A9",2111-Physicists and astronomers,1
,,,,3012-Registered nurses and registered psychiatric nurses,14
,,CENTRE INTÉGRÉ DE SANTÉ ET DE SERVICES SOCIAUX DE LA GASPÉSIE,"Sainte-Anne-des-Monts, QC G4V 2C4",3012-Registered nurses and registered psychiatric nurses,1
,,Chez Carl pizza & vin inc. (9154-0922 Quebec Inc.),"VERDUN, QC H3E 1T9",6321-Chefs,1
,,CHU Sainte-Justine,"Montréal, QC H3T 1C5",3111-Specialist physicians,1
,,Cinesite Inc.,"MONTRÉAL, QC H2Y 0A3",2173-Software engineers and designers,1
,,,,5241-Graphic designers and illustrators,2
,,Circuit Karting Mont-Tremblant Inc.,"Mont-Tremblant, QC J8E 1G7","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,Cirque du Soleil Canada Inc,"Montreal, QC H1Z 4M6",5252-Coaches,1
,,CISSS de la Montérégie-Centre,"Greenfield Park, QC J4V 2H1",3012-Registered nurses and registered psychiatric nurses,4
,,CISSS de la Montérégie-Est,"St-Hyancynthe, QC J2S 4Y8",3012-Registered nurses and registered psychiatric nurses,4
,,CISSS de la Montérégie-Ouest,"Châteauguay, QC J6K 4W8",3111-Specialist physicians,2
,,CISSS de l'Outaouais,"GATINEAU, QC J8T 4J3",3012-Registered nurses and registered psychiatric nurses,2
,,CIUSSS de l'Est-de l'Ile-de Montréal,"Montréal, QC H1T 2M4",3112-General practitioners and family physicians,2
,,Clermond Hamel Ltée,"SAINT-EPHREM-DE-BEAUCE, QC G0M 1R0",7231-Machinists and machining and tooling inspectors,1
,,,,7311-Construction millwrights and industrial mechanics,3
,,Cluster Systems,"MONTREAL, QC H4T 1K2",2174-Computer programmers and interactive media developers,1
,,Cofomo Développement Inc.,"Montréal, QC H3B 4W5",2174-Computer programmers and interactive media developers,1
,,Collectif 08,"Rouyn-Noranda, QC J9X 4N5",1241-Administrative assistants,1
,,Collège des médecins du Québec,"Montréal, QC H3B 0G2",3111-Specialist physicians,2
,,Commission Scolaire Kativik,"MONTRÉAL, QC H2Y 2Y3","4169-Other professional occupations in social science, n.e.c.",1
,,Communauté Hellénique du Grand Montréal,"Montréal, QC H3S 2V7",4032-Elementary school and kindergarten teachers,3
,,Communication Visuelle,"Laval, QC H7K 3N1","5232-Other performers, n.e.c.",2
,,Concordia University,"Montréal, QC H3G 1M8",4011-University professors and lecturers,5
,,Conférence internationale des arts de la scéne,"MONTRÉAL, QC H2X 1X2",1226-Conference and event planners,1
,,Consat Canada Inc.,"LAVAL, QC H7M 3Y2",0213-Computer and information systems managers,1
,,Conteneurs S.E.A. Inc.,"MONTRÉAL, QC H4C 3K4",7237-Welders and related machine operators,1
,,Corporation Interactive EIDOS,"MONTRÉAL, QC H3A 1L4",2174-Computer programmers and interactive media developers,1
,,,,"5131-Producers, directors, choreographers and related occupations",1
,,,,5241-Graphic designers and illustrators,1
,,Covalence média inc.,"MONTRÉAL, QC H3A 2G4","0124-Advertising, marketing and public relations managers",1
,,CRI Communication inc,"MONTRÉAL, QC H2Y 3V4",2171-Information systems analysts and consultants,1
,,DAO BE INC,"MONTRÉAL, QC H4C 2Z6",2232-Mechanical engineering technologists and technicians,1
,,Demeter Services Vétérinaires Inc.,"Lévis, QC G7A 3S8",3213-Animal health technologists and veterinary technicians,1
,,Développement Gameloft Live Inc.,"Montréal, QC H2R 2Z5",2174-Computer programmers and interactive media developers,1
,,,,2175-Web designers and developers,1
,,Divertissements Gameloft Inc.,"Montréal, QC H2R 2Z5",2281-Computer network technicians,1
,,DW Décarie Automobile inc,"Montréal, QC H4P 2M1","7334-Motorcycle, all-terrain vehicle and other related mechanics",1
,,E2M - ÉQUIPEMENT MÉDICAL MOBILE INC.,"MONTRÉAL, QC H3G 2T3",6221-Technical sales specialists - wholesale trade,1
,,EBI Electric Inc.,"SAINT-GEORGES, QC G5Y 7J7",2174-Computer programmers and interactive media developers,1
,,,,2241-Electrical and electronics engineering technologists and technicians,1
,,École de danse contemporaine de Montréal,"MONTREAL, QC H3A 2H7",5134-Dancers,1
,,École de Gymnastique Artistique du Haut-Richelieu,"SAINT-JEAN-SUR RICHELIEU, QC J2W 1N1",5252-Coaches,1
,,Ecole Polytechnique de Montréal,"Montréal, QC H3C 3A7",4011-University professors and lecturers,1
,,Elisen & Associés inc.,"Montreal, QC H8T 1A3",2146-Aerospace engineers,1
,,Emballage Cadeau Noble Inc.,"MONTRÉAL, QC H2Y 1Y1",1222-Executive assistants,1
,,Énergie CWP Inc.,"Montréal, QC H2Y 2G3",1112-Financial and investment analysts,1
,,Equipements Smartbox inc.,"Westmount, QC H3Z 1P7","0124-Advertising, marketing and public relations managers",1
,,Explorance inc.,"Montreal, QC H3A 1T1",2171-Information systems analysts and consultants,1
,,Fablab inc.,"MONTRÉAL, QC H2G 1Y9",2173-Software engineers and designers,1
,,Fabrication SBL Inc.,"SAINT-BENOIT-LABRE, QC G0M 1P0",7237-Welders and related machine operators,1
,,Fahey et Associés Inc.,"MONTREAL, QC H3C 3X6",2253-Drafting technologists and technicians,1
,,Fednav Limitee,"Montreal, QC H3B 4W5",4112-Lawyers and Quebec notaries,1
,,Fire Without Smoke Inc.,"MONTRÉAL, QC H2T 2T3","0124-Advertising, marketing and public relations managers",1
,,,,2174-Computer programmers and interactive media developers,1
,,Fundry Inc.,"Candiac, QC J5R 3Z4",1222-Executive assistants,1
,,Future Electronics Inc.,"Pointe-Claire, QC H9R 5C7",6221-Technical sales specialists - wholesale trade,1
,,Gamash Strategy Inc.,"MONTRÉAL, QC H1W 2C4","0124-Advertising, marketing and public relations managers",1
,,Gearbox Studio Québec Inc.,"Québec, QC G1K 8G3",5241-Graphic designers and illustrators,1
,,Gebo Cermex Canada Inc,"Laval, QC H7W 4V3",6221-Technical sales specialists - wholesale trade,1
,,Geometry GlobalLTD/Geometrie Globale Ltée,"MOntréal, QC H2Y 1M6","0124-Advertising, marketing and public relations managers",1
,,GFDD Windows Inc.,"MONTREAL, QC H3B 2N2","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
,,Global Mind Inc.,"MONTRÉAL, QC H2S 3C8",5241-Graphic designers and illustrators,1
,,Groupe Atallah inc.,"Montréal, QC H2N 2E7","5232-Other performers, n.e.c.",6
,,Groupe conseil PM SCADA inc,"Montreal, QC H2Y 1M6",2171-Information systems analysts and consultants,1
,,Groupe Domisa Inc.,"SAINT-JEAN-SUR-RICHELIEU, QC J3B 8J4","5254-Program leaders and instructors in recreation, sport and fitness",1
,,Groupe Holding Connexion Inc.,"Joliette, QC J6E 0L8",2233-Industrial engineering and manufacturing technologists and technicians,1
,,Groupe In-RGY Consultation Inc,"Montréal, QC H2Y 1Y3",2171-Information systems analysts and consultants,2
,,Groupe Nexio Inc.,"Montréal, QC H3A 2J5",2171-Information systems analysts and consultants,1
,,,,2174-Computer programmers and interactive media developers,1
,,,,2175-Web designers and developers,1
,,HEC Montréal,"Montréal, QC H3T 2A7",4011-University professors and lecturers,2
,,iBwave Solutions Inc.,"MONTRÉAL, QC H4M 2Z2",2174-Computer programmers and interactive media developers,2
,,INDUSTRIES DODEC INC,"CHICOUTIMI, QC G7K  1A",7237-Welders and related machine operators,3
,,Industries Fabkor Inc.,"St-Gabriel-de-Brandon, QC J0K 2N0",7237-Welders and related machine operators,10
,,,,9416-Metalworking and forging machine operators,4
,,Industries Fournier inc,"THETFORD MINES, QC G6H 2B5",7231-Machinists and machining and tooling inspectors,2
,,Industries Moreau,"ROUYN NORANDA, QC J9X 6T3",7231-Machinists and machining and tooling inspectors,1
,,,,7237-Welders and related machine operators,3
,,Institut Philippe-Pinel de Montréal,"MONTRÉAL, QC H1C 1H1",3111-Specialist physicians,1
,,Institut universitaire de cardiologie et de pneumologie de Québec,"QUÉBEC, QC G1V 4G5",3012-Registered nurses and registered psychiatric nurses,4
,,Instrumentation G.D.D. inc,"QUÉBEC, QC G1X 4B7",6221-Technical sales specialists - wholesale trade,1
,,Intermark Transport Inc.,"La Prairie, QC J5R 6W9",7511-Transport truck drivers,10
,,IT International Telecom Canada Inc.,"POINTE-CLAIRE, QC H9R 1G6",2255-Technical occupations in geomatics and meteorology,8
,,,,"2274-Engineer officers, water transport",2
,,,,6522-Pursers and flight attendants,1
,,,,7242-Industrial electricians,2
,,,,7271-Carpenters,1
,,,,7532-Water transport deck and engine room crew,23
,,Ivonis Mazzarolo Foundation,"Vaudreuil-Dorion, QC J7V 8P3",1241-Administrative assistants,1
,,Klimfax Inc.,"Longueuil, QC J4G 2M1",7313-Refrigeration and air conditioning mechanics,1
,,KPMG S.R.L / S.E.N.C.R.L,"MONTREAL, QC H3A 0A3",1111-Financial auditors and accountants,1
,,K-Trail Inc,"MONTMAGNY, QC G5V 3L8",7237-Welders and related machine operators,3
,,L. Fournier et Fils Inc.,"VAL-D'OR, QC J9P 6X6",7237-Welders and related machine operators,2
,,,,7312-Heavy-duty equipment mechanics,5
,,,,7333-Electrical mechanics,2
,,La Maison Simons,"MONTRÉAL, QC H2V 4M1",5221-Photographers,2
,,,,"5232-Other performers, n.e.c.",34
,,La Meunerie St-Patrice Inc.,"St-Patrice, QC G0S 1B0",7333-Electrical mechanics,1
,,Lanau Industries Inc,"Saint-Gabriel-de-Brandon, QC J0K 2N0",2253-Drafting technologists and technicians,1
,,,,7237-Welders and related machine operators,3
,,Laroche et Côté Inc.,"MONTRÉAL, QC H1W 1R1",3231-Opticians,1
,,Le Groupe 3D VS Publicité Inc.,"BOISBRIAND, QC J7G 2A7",5241-Graphic designers and illustrators,1
,,Le Maitre du marbre inc / The Marble Master inc,"LAVAL, QC H7X 2V4","5136-Painters, sculptors and other visual artists",1
,,"Le Saint-Hélène, Auberge & Spa Nordique Inc.","STE-HÉLÈNE-DE-CHESTER, QC G0P 1H0",6322-Cooks,2
