"Employers who were issued a positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and business location in 2018 (April-June)",,,,,
Province/Territory,Stream,Employer,Address,Occupation,Approved Positions
,,Bridgeview Acres Inc,"Albany, PE C0B 1A0",8431-General farm workers,2
,,Brookfield Gardens Inc,"Brookfield, PE C0A 1Y0",8431-General farm workers,14
,,Carol Blum Blum's Farm Market,"BELLEVUE, PE C0A 1A0",8611-Harvesting labourers,2
,,Eastern Farms Ltd,"POWNAL, PE C1B 3S5",8431-General farm workers,5
,,Frizzell's Valleyville Farm Inc.,"HUNTER RIVER, PE C0A 1N0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,HillTop Produce Ltd,"Kinkora, PE C0B 1N0",8611-Harvesting labourers,2
,,Hy-Croft Farms Inc,"Summerside, PE C1N 4V4",8431-General farm workers,15
,,Jewell's Produce,"YORK, PE C0A 1P0",8431-General farm workers,9
,,Matos Winery Inc.,"St. Catherines, PE C0A 1H1",8431-General farm workers,1
,,McCardle Bros.,"Kinkora, PE C0B 1N0",8431-General farm workers,2
,,Newland Farms Inc.,"HUNTER RIVER, PE C0A 1N0",8431-General farm workers,3
,,Ponds Edge Farms Inc.,"Souris, PE C0A 2B0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Power Line Pork Inc.,"Albany, PE C0B 1A0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",4
,,Van Diepen Produce Ltd,"Morell, PE C0A 1S0",8431-General farm workers,15
,,Vanco Farms Ltd,"Mount Albion, PE C1B 0R4",8431-General farm workers,36
,,Victoria Potato Farm Inc,"Crapaud, PE C0A 1J0",8431-General farm workers,1
, Global Talent Stream,Maximus Canada Services Inc.,"CHARLOTTETOWN, PE C1A 4K9",2174-Computer programmers and interactive media developers,1
Nova Scotia,    High Wage,3091914 NS Ltd.,"Halifax, NS B3K 1H8",6322-Cooks,1
,,B&R Elias Group,"CANNING, NS B0P 1H0",0621-Retail and wholesale trade managers,1
,,Clarke Road Transport Inc.,"Halifax, NS B3S 0B7",7511-Transport truck drivers,8
,,Classic Freight Systems (2011) Ltd.,"Dartmouth, NS B3N 1N8",7511-Transport truck drivers,4
,,Dalhousie University,"HALIFAX, NS B3H 4R2",4011-University professors and lecturers,1
,,Eassons Transport Ltd.,"Kentville, NS B4N 3V7",7511-Transport truck drivers,10
,,Gabadi Services Canada Inc.,"DARTMOUTH, NS B3B 1J4",7235-Structural metal and platework fabricators and fitters,7
,,High Liner Foods Incorporated,"Lunenburg, NS B0J 2C0","0016-Senior managers - construction, transportation, production and utilities",1
,,Irving Shipbuilding Inc.,"Halifax, NS B3K 5M7",0211-Engineering managers,3
,,,,0711-Construction managers,1
,,,,0911-Manufacturing managers,4
,,,,1122-Professional occupations in business management consulting,2
,,,,"2148-Other professional engineers, n.e.c.",3
,,Saint Mary's University,"HALIFAX, NS B3H 3C3",4011-University professors and lecturers,2
,,"SHIL Technologies, Inc.","Halifax, NS B3J 3N2",2173-Software engineers and designers,2
,,Ubisoft Divertissements Inc.,"HALIFAX, NS B3J 3R5","1123-Professional occupations in advertising, marketing and public relations",1
,,,,2175-Web designers and developers,1
,,,,5135-Actors and comedians,1
,,,,5241-Graphic designers and illustrators,2
,,Wolfville Nursing Homes Ltd,"Wolfville, NS B4P 1E9",3012-Registered nurses and registered psychiatric nurses,1
,   Low Wage,Amos and Andy Fisheries Ltd.,"SAMBRO, NS B3V 1L2",9618-Labourers in fish and seafood processing,3
,,Arisu Table BBQ and Sushi Bar Limited,"HALIFAX, NS B3J 1X3",6322-Cooks,2
,,Deveci Food Mart & Grocery Ltd,"Halifax, NS B3J 1H5",6322-Cooks,1
,,DJAJ Property Ltd.,"Halifax, NS B3L 1L2",6322-Cooks,1
,,Double Dragon Restaurant Inc.,"New Minas, NS B4N 3E2",6322-Cooks,1
,,Fong Sing Restaurant (1996) Ltd.,"Halifax, NS B3M 3N8",6322-Cooks,1
,,Helen's Family Barbershop Ltd.,"HALIFAX, NS B3K 5N6","6562-Estheticians, electrologists and related occupations",1
,,Indo Food Service Ltd,"HALIFAX, NS B3H 4H5",6322-Cooks,1
,,LJ Robicheau and Son Fisheries,"MIDDLETON, NS B0S 1P0",9463-Fish and seafood plant workers,6
,,Mandox Incorporated,"ANNAPOLIS ROYAL, NS B0S 1A0",6322-Cooks,2
,,Mic Mac Beverage Room (2006) Ltd.,"Dartmouth, NS B2X 2C3",6322-Cooks,5
,,North Nova Seafoods Ltd.,"Pictou, NS B0K 1H0",9463-Fish and seafood plant workers,20
,,Ocean Pride Fisheries Ltd.,"Lower Wedgeport, NS B0W 2B0",9618-Labourers in fish and seafood processing,30
,,Petit de Grat Packers Ltd.,"Arichat, NS B0E 1A0",9463-Fish and seafood plant workers,4
,,Riverside Lobster International Inc.,"Meteghan River, NS B0W 2L0",9463-Fish and seafood plant workers,17
,,The Growing Place:  Early Education Centre Ltd.,"DARTMOUTH, NS B2W 2S7",4214-Early childhood educators and assistants,4
,,Wolfville Nursing Homes Ltd,"Wolfville, NS B4P 1E9","3413-Nurse aides, orderlies and patient service associates",5
,  Primary Agriculture,3226198 Nova Scotia Ltd,"Centreville, NS B0P 1J0",8431-General farm workers,115
,,Apple Lane Farm Inc,"MORRISTOWN, NS B0P 1E0",8611-Harvesting labourers,8
,,Apples and Spice Orchard,"Waterville, NS B0P 1V0",8431-General farm workers,6
,,Barteaux Farms Ltd.,"MOSCHELLE, NS B0S 1A0",8431-General farm workers,6
,,Blue Ridge Farm,"Grafton, NS B0P 1V0",8431-General farm workers,2
,,Bolivar Farms / Wayne Bolivar,"Baker Settlement, NS B4V 7J3",8432-Nursery and greenhouse workers,5
,,Bragg Lumber Company Limited,"COLLINGWOOD, NS B0M 1E0",8431-General farm workers,5
,,Craig Nichols Farms,"Aylesford, NS B0P 1C0",8431-General farm workers,27
,,Crisp Growers Inc.,"Berwick, NS B0P 1E0",8431-General farm workers,18
,,Curtmar Farms Ltd,"Stewiacke, NS B0N 2J0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,den Haan Enterprises Ltd,"LAWRENCETOWN, NS B0S 1M0",8432-Nursery and greenhouse workers,5
,,Elmridge Farm (2003) Ltd,"Centreville, NS B0P 1J0",8431-General farm workers,3
,,Evangeline Orchards Limited,"PORT WILLIAMS, NS B0P 1T0",8431-General farm workers,3
,,Fuller Brothers Farm Inc.,"Avonport, NS B0P 1B0",8431-General farm workers,12
,,G & C Hughes Enterprises Ltd,"New Ross, NS B0J 2M0",8432-Nursery and greenhouse workers,20
,,Gouchers Farm and Market Ltd.,"KINGSTON, NS B0P 1R0",8431-General farm workers,4
,,High Point Orchards Ltd.,"Kentville, NS B4N 3V7",8431-General farm workers,26
,,Mahoney's Evergreens L.P.,"East Dalhousie, NS B0R 1H0",8432-Nursery and greenhouse workers,12
,,Melvin Farms Limited,"CANNING, NS B0P 1H0",8431-General farm workers,4
,,Mervin and Diana Toews / Hillside Produce,"BERWICK / WELSFORD, NS B0P 1E0",8431-General farm workers,12
,,Nazinga Farms Ltd,"Aylesford, NS B0P 1C0",8431-General farm workers,18
,,Oostdale Farm,"ANTIGONISH, NS B2G 2E5","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Perfect Berries Limited,"Berwick, NS B0P 1E0",8431-General farm workers,25
,,Sarsfield Farms Inc,"Kentville, NS B4N 3V7",8431-General farm workers,36
,,Sawler Gardens Ltd,"Berwick, NS B0P 1E0",8431-General farm workers,6
,,Scothorn Farms Ltd,"HARDWOOD LANDS, NS B0N 1Y0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",4
,,Spurr Brothers Farms,"Melvern Square, NS B0P 1R0",8431-General farm workers,2
,,,,8611-Harvesting labourers,3
,,Traditional Evergreen Tree Farms Limited,"BRIDGEWATER, NS B4V 2W6",8432-Nursery and greenhouse workers,3
,,Vermeuland Farms Limited,"Milford, NS B0N 1Y0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
, Global Talent Stream,Dilytics Canada Inc.,"HALIFAX, NS B3J 2N7",2173-Software engineers and designers,1
,,Eyeread Inc. (Operating as Squiggle Park),"DARTMOUTH, NS B3B 0R8",2175-Web designers and developers,1
,,"SHIL Technologies, Inc.","Halifax, NS B3J 3N2",2172-Database analysts and data administrators,2
,,Ubisoft Divertissements Inc.,"HALIFAX, NS B3J 3R5",2171-Information systems analysts and consultants,1
,,,,2174-Computer programmers and interactive media developers,8
,,,,2175-Web designers and developers,3
,,,,"5131-Producers, directors, choreographers and related occupations",1
New Brunswick,    High Wage,669955 N.B. Inc.,"Oromocto, NB E2V 1S2",6322-Cooks,1
,,AYR Motor Express Inc.,"Woodstock, NB E7M 4G2",7511-Transport truck drivers,10
,,BEUMER Group Canada Corporation,"FREDERICTON, NB E3B 5A6",0211-Engineering managers,1
,,County Line Trucking Ltd,"Wilmot, NB E7P 2V4",7511-Transport truck drivers,5
,,Culberson Trucking Ltd.,"Jacksonville, NB E7M 3J8",7511-Transport truck drivers,2
,,Elephant Transport Inc.,"SCOUDOUC, NB E4P 1A9",7511-Transport truck drivers,2
,,JPS Trucking Ltd.,"Bloomfield, NB E7K 1C8",7511-Transport truck drivers,2
,,Maritime Truck & Tractor Pull Association Inc.,"Richmond Corner, NB E7M 4W9","6722-Operators and attendants in amusement, recreation and sport",1
,,McConchie Trucking Ltd.,"Norton, NB E5T 1E8",7511-Transport truck drivers,2
,,Murray Enterprises Ltd.,"Sussex Corner, NB E4E 2Y5",7511-Transport truck drivers,4
,,NARU Japanese Restaurant Ltd.,"Fredericton, NB E3B 1B9",6322-Cooks,1
,,Pioneer Transport Inc.,"JACKSONVILLE, NB E7M 6B5",7511-Transport truck drivers,22
,,Quality Transportation Services (NB) Ltd,"Jacksonville, NB E7M 3S1",7511-Transport truck drivers,3
,,Regional Health Authority B,"SAINT JOHN, NB E2L 4L4",3111-Specialist physicians,1
,,Rite-Line Transportation Inc,"Florenceville-Bristol, NB E7L 3K6",7511-Transport truck drivers,6
,   Low Wage,507536 NB Inc.,"FREDERICTON, NB E3C 1A2",6322-Cooks,2
,,658711 NB Ltd.,"Miramichi, NB E1V 1X4",6322-Cooks,1
,,659309 NB Inc,"Moncton, NB E1C 1E4",6322-Cooks,1
,,692059 NB Inc. o/a Osaka Hibachi,"Moncton, NB E1C 1C8",6322-Cooks,1
,,699756 NB Inc.,"DIEPPE, NB E1A 5R4",6332-Bakers,1
,,Bathurst Pizza Ltd.,"CARAQUET, NB E1W 1B7",6311-Food service supervisors,1
,,Car-rizma Motorsports Ltd.,"SAINT JOHN, NB E2J 2H6",7535-Other automotive mechanical installers and servicers,1
,,Clamatco Home Enterprise Ltd.,"Shediac, NB E4P 2N1","3413-Nurse aides, orderlies and patient service associates",1
,,Fenety Convenience Store Ltd.  o/a Blue Canoe,"Waasis, NB E3B 9E1",6322-Cooks,3
,,JJ Food & Diner Inc.,"SACKVILLE, NB E4L 3N6",6322-Cooks,2
,,Kim's Mart Corporation,"Moncton, NB E1C 2R5",6322-Cooks,1
,,La Scierie Cap-Pele Sawmill Ltd/Ltee,"CAP-PELE, NB E4N 1C3",9533-Other wood products assemblers and inspectors,6
,,Leslie Leger and Sons Ltd.,"Cap-Pele, NB E4N 3B3",9463-Fish and seafood plant workers,45
,,M&M Cormier Fisheries Ltd.,"CAP-PELE, NB E4N 1L4",9463-Fish and seafood plant workers,5
,,Zoa Mansu BBQ Inc.,"Dieppe, NB E1A 1G1",6322-Cooks,1
,  Primary Agriculture,662100 NB Ltd,"Grande Anse, NB E8N 1A1",8431-General farm workers,2
,,Kent Coates / Nature's Route Farm,"POINT DE BUTE, NB E4L 2P1",8431-General farm workers,3
,,Les Fermes GAM Michaud Farms Inc,"ST ANDRE, NB E3Y 2X9",8431-General farm workers,2
,,Les Petits Fruits de Pré-d'en-Haut Inc,"Memramcook, NB E4K 1K8",8431-General farm workers,1
,,,,8611-Harvesting labourers,1
,,M&S Wild Blueberry Farms Ltd.,"Kouchibouguac, NB E4X 1L7",8431-General farm workers,22
,,Marlene Moffett Ltd,"PENOBSQUIS, NB E4G 2Z4","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Mountain View Packers Ltd,"FLORENCEVILLE, NB E7L 1Y9",8431-General farm workers,8
,,Moxon's Country Pumpkin Ltd,"Maugerville, NB E3A 8K8",8431-General farm workers,3
,,Orchard Shade Farms Ltd,"Northampton, NB E7N 1E2",8431-General farm workers,8
,,Roelridge Dairy Farm Ltd,"Mapledale, NB E7M 4T7","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,Shadowave Holsteins Inc.,"Second North River, NB E4J 2V9",8431-General farm workers,4
,,Slocum's Farm Fresh Produce Ltd,"Waterborough, NB E4C 2Y3",8431-General farm workers,3
, Global Talent Stream,OneSpan Canada Inc.,"SAINT-JOHN, NB E2L 4R8",2173-Software engineers and designers,1
Quebec,    High Wage,10036099 Canada Inc.,"Montréal, QC H3B 2E3",2173-Software engineers and designers,1
,,121352 Canada inc (Technosub),"ROUYN-NORANDA, QC J9X 4K8",7231-Machinists and machining and tooling inspectors,6
,,2964-3277 Quebec Inc.,"Lasalle, QC H8R 3H9",2281-Computer network technicians,1
,,2969-6366 Québec inc,"Maniwaki, QC J9E 3K6",7511-Transport truck drivers,2
,,3903214 Canada inc.,"Montreal, QC H1C 2A2","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",3
,,7345593 CANADA INC,"DORVAL, QC H9P 1E7",7237-Welders and related machine operators,1
,,9018-6560 Québec Inc.,"Montreal, QC H2Y 2E1","5232-Other performers, n.e.c.",1
,,9093-4233 Québec inc.,"MONT-ROYAL, QC H4P 1S1",2175-Web designers and developers,1
,,9103-8034 QUÉBEC INC,"St-Casimir, QC G0A 3L0",7231-Machinists and machining and tooling inspectors,2
,,,,7237-Welders and related machine operators,5
,,9105-8016 Québec inc,"Montréal, QC H4N 1M4",6321-Chefs,1
,,9140-8047 Québec Inc.,"Anjou, QC H1J 1K6","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,9178-8877 Québec Inc,"MONTREAL, QC H1M 2S5",2281-Computer network technicians,1
,,9181-9227 Québec Inc.,"MONTRÉAL, QC H1C 2A2",7511-Transport truck drivers,6
,,9208-4144 Québec Inc.,"Sherbrooke, QC J1C 0W2",2232-Mechanical engineering technologists and technicians,1
,,,,7237-Welders and related machine operators,1
,,,,7311-Construction millwrights and industrial mechanics,2
,,9219-1568 Québec Inc.,"Montreal, QC H4P 2H2",2174-Computer programmers and interactive media developers,1
,,,,6221-Technical sales specialists - wholesale trade,1
,,9250-2608 Québec inc,"Longueuil, QC J4G 2M1",0631-Restaurant and food service managers,1
,,9258-3897 Québec inc,"ST DENIS DE BROMPTON, QC J0B 2P0",4214-Early childhood educators and assistants,1
,,9287-8131 Québec Inc.,"MONTRÉAL, QC H3H 2L5",0631-Restaurant and food service managers,1
,,9299-1439 Québec inc.,"MONTRÉAL, QC H3B 3C8",6321-Chefs,1
,,9301-2672 Québec Inc,"MONTREAL, QC H3A 1T5",6322-Cooks,1
,,9322-7221 Quebec Inc.,"Montreal, QC H3A 1B5","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
,,9325-0033 Québec Inc.,"Montréal, QC H3H 2M4",6322-Cooks,1
,,9331-0084 Québec Inc.,"MONTREAL, QC H1P 2A9",7237-Welders and related machine operators,1
,,9339-1373 Québec Inc,"Montréal, QC H2A 2W8",5241-Graphic designers and illustrators,1
,,9365-8227 Québec Inc.,"MONTRÉAL, QC H2S 1R7",0621-Retail and wholesale trade managers,1
,,9368-1179 Quebec Inc.,"Pierrefonds, QC H9H 3E1","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
,,À la carte Express Inc.,"MONTRÉAL, QC H3H 1L8",1225-Purchasing agents and officers,1
,,AAA Canada inc.,"SAINTE-THÉRÈSE, QC J7E 3H7",2232-Mechanical engineering technologists and technicians,1
,,Abaplab Inc,"Montréal, QC H2P 2Y1",2174-Computer programmers and interactive media developers,1
,,Acier Sélect inc.,"St-Jean-sur-Richelieu, QC J2Y 1E1",7237-Welders and related machine operators,6
,,,,7311-Construction millwrights and industrial mechanics,1
,,Advantech sans fil Inc./Advantech Wireless Inc.,"Dorval, QC H9P 1G1",2147-Computer engineers (except software engineers and designers),1
,,Ajit Transport Inc.,"LASALLE, QC H8N 3A9",7511-Transport truck drivers,5
,,Alfid Services Immobiliers Limitée,"Montréal, QC H2Y 2W2","0124-Advertising, marketing and public relations managers",1
,,Aliments Shanti Inc.,"Montréal, QC H4N 1G5",6321-Chefs,1
,,Amaris Conseil Inc.,"Montreal, QC H2Y 2W8",2233-Industrial engineering and manufacturing technologists and technicians,1
,,Arche Technologies de l'information,"Montréal, QC H2G 1J4",2175-Web designers and developers,4
,,Atelier Pedro Inc.,"SHERBROOKE, QC J1L 2Z9",7231-Machinists and machining and tooling inspectors,2
,,Atlas Aeronautik,"GRANBY, QC J2G 3Z3",7231-Machinists and machining and tooling inspectors,6
,,Atomic Fiction Canada Inc.,"Montréal, QC H3A 2J5",5241-Graphic designers and illustrators,2
,,Auberge et SPA Le Nordik Inc.,"Gatineau, QC J8Z 3G4",2253-Drafting technologists and technicians,1
,,Auto Bugatti Inc.,"Montréal, QC H9P 1G4",7322-Motor vehicle body repairers,1
,,Banque Nationale du Canada,"Montréal, QC H3B 4L2",2171-Information systems analysts and consultants,1
,,Behaviour Interactive Inc.,"MONTREAL, QC H2S 3H1","0013-Senior managers - financial, communications and other business services",1
,,,,2174-Computer programmers and interactive media developers,2
,,,,5241-Graphic designers and illustrators,2
,,BNP Paribas Solutions TI Canada Inc.,"Montréal, QC H3A 2W8",2174-Computer programmers and interactive media developers,1
,,Boutique Surmesur inc.,"Québec, QC G1N 4G2","1123-Professional occupations in advertising, marketing and public relations",1
,,Camion-Remorque Revan Inc.,"LEVIS, QC G6Y 9E6","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,Capespan North America inc.,"Saint-Laurent, QC H4T 2B5","0124-Advertising, marketing and public relations managers",1
,,Carrefour Dentaire Elna inc,"Montréal, QC H3X 2T8",3113-Dentists,1
,,Carrosserie du Nord NV Inc.,"MONTREAL, QC H2W 1X5",7322-Motor vehicle body repairers,1
,,Carrosserie Idéale Internationale St-Leonard inc.,"Montreal, QC H1P 2B7",7322-Motor vehicle body repairers,2
,,CAVALIA Inc,"MONTRÉAL, QC H2H 2L5",2171-Information systems analysts and consultants,1
,,,,"5131-Producers, directors, choreographers and related occupations",1
,,,,"5226-Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",28
,,,,"5227-Support occupations in motion pictures, broadcasting, photography and the performing arts",1
,,,,"6313-Accommodation, travel, tourism and related services supervisors",2
,,,,"7384-Other trades and related occupations, n.e.c.",1
,,CDEC de Trois-Rivières,"TROIS-RIVIÈRES, QC G9A 1R8",1112-Financial and investment analysts,1
,,Centre d'aide et de lutte contre les agressions sexuelles de l'outaouais,"Gatineau, QC J8X 3Z1",4212-Social and community service workers,1
,,Centre de Collision Centre-Ville Inc.,"Montreal, QC H3K 2A4",7322-Motor vehicle body repairers,2
,,Centre hospitalier de l'Université de Montréal,"MONTRÉAL, QC H2X 0A9",3012-Registered nurses and registered psychiatric nurses,15
,,Charl-Pol inc.,"Portneuf, QC G0A 2Y0",7237-Welders and related machine operators,12
,,Cinesite Inc.,"MONTRÉAL, QC H2Y 0A3",5241-Graphic designers and illustrators,4
,,CISSS de l'Outaouais,"GATINEAU, QC J8T 4J3",3111-Specialist physicians,2
,,Cleargoals Company,"Montréal, QC H2X 2T6",2173-Software engineers and designers,1
,,Cofomo Développement Inc.,"MONTRÉAL, QC H3B 4W5",2171-Information systems analysts and consultants,2
,,,,2174-Computer programmers and interactive media developers,9
,,Collège des médecins du Québec,"Montréal, QC H3B 0G2",3111-Specialist physicians,1
,,Collège Universel,"Montréal, QC H3H 1M4",0421-Administrators - post-secondary education and vocational training,1
,,Communication Visuelle,"Laval, QC H7K 3N1","5232-Other performers, n.e.c.",1
,,Connexion Oenophilia Inc,"Montréal, QC H3B 2W4","0124-Advertising, marketing and public relations managers",1
,,Consultants F. Drapeau Inc.,"ST-MATHIEU-DE-BELOEIL, QC J3G 0S4",7312-Heavy-duty equipment mechanics,2
,,Consultants oXya Inc.,"MONTREAL, QC H3C 2M1",2171-Information systems analysts and consultants,1
,,Covalence média inc.,"MONTRÉAL, QC H3A 2G4",2174-Computer programmers and interactive media developers,1
,,Creaform Inc,"Lévis, QC G6W 0L9",2253-Drafting technologists and technicians,4
,,DAVIDSTEA Inc.,"Montréal, QC H4P 1M2",1241-Administrative assistants,1
,,Développement Samsao Inc.,"Montréal, QC H2W 1V1",2174-Computer programmers and interactive media developers,1
,,Distribution Carelo Inc.,"Saint-Léonard, QC H1P 3J8","0124-Advertising, marketing and public relations managers",1
,,Domaine du Diésel Inc.,"SAINTE-MARIE, QC G6E 3S9",7312-Heavy-duty equipment mechanics,1
,,"Dre Carinne Lavallière, Dentiste Inc.","SHERBROOKE, QC J1H 1N5",3113-Dentists,1
,,DTI Software,"Montréal, QC H2Y 1S1",2174-Computer programmers and interactive media developers,1
,,E. Gagnon et Fils Ltée,"Ste-Thérèse, QC G0C 3B0",6322-Cooks,1
,,EBC INC,"L'ANCIENNE-LORETTE, QC G2E 4M7",2173-Software engineers and designers,1
,,Équipements S. Laroche Inc.,"Issoudun, QC G0S 1L0",7237-Welders and related machine operators,2
,,Estampro Inc,"St-Évariste, QC G0M 1S0",7231-Machinists and machining and tooling inspectors,1
,,,,7333-Electrical mechanics,1
,,Ethnique Media Inc,"Montréal, QC H2T 2S2","1123-Professional occupations in advertising, marketing and public relations",1
,,Fednav International Ltd.,"Montreal, QC H3B 4W5",0731-Managers in transportation,2
,,Ferme g.e.c inc.,"St-Frédéric, QC G0N 1P0",7312-Heavy-duty equipment mechanics,1
,,Garage Desharnais & Fils Limitée,"Québec, QC G1N 2C1","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,Giverny Capital inc.,"MONTRÉAL, QC H2Y 2L7",1222-Executive assistants,1
,,Gordon Food Service Canada Ltd.,"QUÉBEC, QC G2C 2E2",7514-Delivery and courier service drivers,6
,,Groupe Atallah inc./SSENSE,"Montréal, QC H2N 2E7","5232-Other performers, n.e.c.",8
,,GROUPE C&G BEAULIEU INC.,"SAINT-BASILE-LE-GRAND, QC J3N 1M4","7284-Plasterers, drywall installers and finishers and lathers",1
,,Groupe conseil PM SCADA inc,"Montreal, QC H2Y 1M6",2171-Information systems analysts and consultants,1
,,Groupe Daoust/Forget Inc.,"Laval, QC H7S 2M2",6221-Technical sales specialists - wholesale trade,1
,,Groupe JL Leclerc inc.,"SAINT-ANTOINE-DE-TILLY, QC G0S 2C0",7231-Machinists and machining and tooling inspectors,1
,,,,7237-Welders and related machine operators,3
,,Groupe Marcelle,"Lachine, QC J7T 3E8","5232-Other performers, n.e.c.",1
,,Groupe Volvo Canada Inc,"MONTRÉAL, QC H3B 4M7",2233-Industrial engineering and manufacturing technologists and technicians,1
,,,,7312-Heavy-duty equipment mechanics,3
,,GTI Canada Inc.,"Montreal, QC H2Y 2H1",2174-Computer programmers and interactive media developers,1
,,INDUSTRIE DODEC INC,"CHICOUTIMI, QC G7K  1A",7231-Machinists and machining and tooling inspectors,3
,,Industries Chronox Inc,"ST-AUGUSTIN-DE-DESMAURE, QC G3A 2V1",7231-Machinists and machining and tooling inspectors,5
,,Industries Fournier inc,"THETFORD MINES, QC G6H 2B5",7231-Machinists and machining and tooling inspectors,3
,,Industries Valtech Inc.,"Salaberry-de-Valleyfield, QC J6T 6G4",7237-Welders and related machine operators,2
,,Inox Signature inc,"SAINTE-ANNE-DES-MONTS, QC G4V 3A3",2253-Drafting technologists and technicians,1
,,Intelerad Medical Systems Inc.,"MONTRÉAL, QC H2L 4L8",2173-Software engineers and designers,2
,,Intelligent Aujourd'hui,"Montreal, QC H2Y 1T9",1222-Executive assistants,1
,,Inverse Inc.,"Montréal, QC H3N 1X1",2171-Information systems analysts and consultants,1
,,ISE Métal Inc.,"SHERBROOKE, QC J1C 0E5",7231-Machinists and machining and tooling inspectors,7
,,Isolation Chaleur Royale Inc.,"Saint-Mathieu-du-Parc, QC G0X 1N0",7311-Construction millwrights and industrial mechanics,1
,,Ktalysis Inc.,"Montréal, QC H2Z 1S8",2171-Information systems analysts and consultants,1
,,La Maison Simons,"MONTRÉAL, QC H2V 4M1",5221-Photographers,2
,,,,"5232-Other performers, n.e.c.",18
,,,,5253-Sports officials and referees,1
,,Laboratoire dentaire A.I.D.E. inc,"Laval, QC H7L 5R2","3223-Dental technologists, technicians and laboratory assistants",1
