"Employers who were Issued a Positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and Business Location in 2020 (April-June)",,,,,
Province/Territory,Stream,Employer Name,Address,Occupation,Approved Positions
Nova Scotia,    High Wage,Dalhousie University,"Halifax, NS B3H 4H2",4011-University professors and lecturers,1
Nova Scotia,    High Wage,Governors St Francis Xavier University,"Antigonish, NS B2G 2W5",4011-University professors and lecturers,1
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7","0016-Senior managers - construction, transportation, production and utilities",2
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",0113-Purchasing managers,1
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",0211-Engineering managers,1
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",0911-Manufacturing managers,2
Nova Scotia,    High Wage,Nova Scotia Health Authority,"Truro, NS B2N  5A",3111-Specialist physicians,1
Nova Scotia,    High Wage,Sapori Italian Street Food Limited,"Halifax, NS B3J 3R7",0631-Restaurant and food service managers,1
Nova Scotia,   Low Wage,3099794 Nova Scotia Ltd.,"Enfield, NS B2T 1C8",6322-Cooks,2
Nova Scotia,   Low Wage,BMC Seafoods Limited,"Meteghan, NS B0W 2J0",9618-Labourers in fish and seafood processing,3
Nova Scotia,   Low Wage,DJAJ Property Ltd.,"Halifax, NS B3L 1L2",6322-Cooks,1
Nova Scotia,   Low Wage,Double Dragon Restaurant Inc.,"New Minas, NS B4N 3E2",6322-Cooks,2
Nova Scotia,   Low Wage,Granville Gates and Sons Ltd,"Blandford, NS B0J 1C0","9617-Labourers in food, beverage and associated products processing",2
Nova Scotia,   Low Wage,It Takes a Village Inc.,"Halifax, NS B3S 1P9",4214-Early childhood educators and assistants,1
Nova Scotia,   Low Wage,Ka'Le Bay Seafoods Limited,"Glace Bay, NS B1A 5V4",9463-Fish and seafood plant workers,10
Nova Scotia,   Low Wage,L.J. Robicheau & Son Fisheries Limited,"Little River, NS B0V 1C0",9463-Fish and seafood plant workers,24
Nova Scotia,   Low Wage,Mr González Mexican Cuisine,"Yarmouth, NS B5A 1H8",6311-Food service supervisors,1
Nova Scotia,   Low Wage,Ocean Pride Fisheries Ltd.,"Lower Wedgeport, NS B0W 2B0",9463-Fish and seafood plant workers,42
Nova Scotia,   Low Wage,Petit de Grat Packers Ltd.,"Petit de Grat, NS B0E 2L0",9618-Labourers in fish and seafood processing,20
Nova Scotia,  Primary Agriculture,Balamore Farm Ltd,"Great Village, NS B0M 1L0",8431-General farm workers,1
Nova Scotia,  Primary Agriculture,Black Avon Farms Ltd,"Antigonish, NS B0H 1R0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Nova Scotia,  Primary Agriculture,Curtmar Farms Limited,"Fort Ellis, NS B0N 2J0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Nova Scotia,  Primary Agriculture,Eisses Farms Ltd,"Centreville, NS B0P 1J0",8431-General farm workers,4
Nova Scotia,  Primary Agriculture,Elmridge Farm Ltd,"RR2 Centreville, NS B0P 1J0",8431-General farm workers,1
Nova Scotia,  Primary Agriculture,Fuller Brothers Farms Inc.,"Avonport, NS B0P 1B0",8431-General farm workers,12
Nova Scotia,  Primary Agriculture,G.A.R. Tree Farms Ltd,"Barss Corner, NS B0R 1A0",8432-Nursery and greenhouse workers,14
Nova Scotia,  Primary Agriculture,Harbour Island Ecologics Inc.,"Goldboro, NS B0H 1L0",0821-Managers in agriculture,1
Nova Scotia,  Primary Agriculture,High Point Orchards LTD.,"Kentville, NS B4N 3V7",8431-General farm workers,20
Nova Scotia,  Primary Agriculture,J & B Millen Farms Limited,"Great Village, NS B0M 1L0",8431-General farm workers,16
Nova Scotia,  Primary Agriculture,J & M Reeves Christmas Greens Limited,"New Ross, NS B0J 2M0",8432-Nursery and greenhouse workers,2
Nova Scotia,  Primary Agriculture,M. KEDDY FARM & FOREST LTD.,"New Ross, NS B0J 2M0",8432-Nursery and greenhouse workers,5
Nova Scotia,  Primary Agriculture,Morse's Farm Limited,"Berwick, NS B0P 1E0",8431-General farm workers,3
Nova Scotia,  Primary Agriculture,Perfect Berries Ltd.,"Berwick, NS B0P 1E0",8431-General farm workers,16
Nova Scotia,  Primary Agriculture,Randsland Farms Inc,"Canning, NS B0P 1H0",8431-General farm workers,1
Nova Scotia,  Primary Agriculture,Rivermac Farms Limited,"Antigonish, NS B2G 2K8","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Nova Scotia,  Primary Agriculture,Sarsfield Farms Incorporated,"Kentville, NS B4N 3V7",8431-General farm workers,30
Nova Scotia,  Primary Agriculture,Sawler Gardens Ltd.,"Berwick, NS B0P 1E0",8431-General farm workers,10
Nova Scotia,  Primary Agriculture,Spurr Brothers Farms Ltd,"Melvern Square, NS B0P 1R0",8431-General farm workers,10
Nova Scotia,  Primary Agriculture,Vermeulen Farms Limited,"Canning, NS B0P 1H0",8431-General farm workers,4
Nova Scotia,  Primary Agriculture,Webster Farms Limited,"Cambridge, NS B0P 1G0",8431-General farm workers,20
Nova Scotia, Global Talent Stream,CloudKettle Inc.,"Halifax, NS B3J 3J8",2173-Software engineers and designers,1
Nova Scotia, Global Talent Stream,Eden Valley Poultry Inc,"Berwick, NS B0P 1E0","0016-Senior managers - construction, transportation, production and utilities",1
Nova Scotia, Global Talent Stream,Kinduct Technologies Inc.,"Halifax, NS B3J 3R7",2173-Software engineers and designers,1
Nova Scotia, Global Talent Stream,Mindsea Development Incorporated,"Halifax, NS B3J 3M8",2175-Web designers and developers,1
Nova Scotia, Global Talent Stream,Proposify Inc.,"Halifax, NS B3J 1W5",2174-Computer programmers and interactive media developers,1
Nova Scotia, Global Talent Stream,Radiation Oncology Services Inc.,"Halifax, NS B3H 1V7",3111-Specialist physicians,1
Nova Scotia, Global Talent Stream,Sona Nanotech Inc.,"Halifax, NS B3J 3R7","0013-Senior managers - financial, communications and other business services",1
New Brunswick,    High Wage,682364 NB INC,"Fredericton, NB E3B 8P4",1311-Accounting technicians and bookkeepers,1
New Brunswick,    High Wage,700827 NB Inc.,"Fredericton, NB E3B 1B2",0631-Restaurant and food service managers,1
New Brunswick,    High Wage,700827 NB Inc.,"Fredericton, NB E3B 1B2",6322-Cooks,2
New Brunswick,    High Wage,AYR Motor Express Inc,"Woodstock, NB E7M 4G2",7511-Transport truck drivers,10
New Brunswick,    High Wage,C & H EUROLEVEL TRANSPORTATION INC,"WOODSTOCK, NB E7M 2T5",7511-Transport truck drivers,2
New Brunswick,    High Wage,COUNTY LINE TRUCKING LTD,"WILMOT, NB E7P 2V4",7511-Transport truck drivers,7
New Brunswick,    High Wage,ELEPHANT TRANSPORT INC,"Scoudouc, NB E4P 1A9",7511-Transport truck drivers,3
New Brunswick,    High Wage,"J.D. Irving, Limited - Woodlands Division","Saint John, NB E2L 4Z2",8241-Logging machinery operators,10
New Brunswick,    High Wage,JPS Trucking Ltd,"Northampton, NB E7N 1E4",7511-Transport truck drivers,4
New Brunswick,    High Wage,Lucky Freight Inc.,"Woodstock, NB E7M 1V3",7511-Transport truck drivers,4
New Brunswick,    High Wage,Murray Enterprises Ltd.,"sussex corner, NB E4E 2Y5",7511-Transport truck drivers,2
New Brunswick,    High Wage,Red Emerald R&D Ltd.,"Moncton, NB E1G 5W7",7511-Transport truck drivers,2
New Brunswick,    High Wage,RITE-LINE TRANSPORTATION INC.,"FLORENCEVILLE-BRISTOL, NB E7L 3K6",7511-Transport truck drivers,2
New Brunswick,    High Wage,Stewart Transfer Ltd,"PERTH-ANDOVER, NB E7H 5G3",7511-Transport truck drivers,3
New Brunswick,    High Wage,Sunbury Transport Limited,"SAINT JOHN, NB E2L 4H8",7511-Transport truck drivers,10
New Brunswick,    High Wage,Von Industries Ltd.,"Berry Mills, NB E1G 5X5","7302-Contractors and supervisors, heavy equipment operator crews",1
New Brunswick,    High Wage,WHITE ROCK FREIGHT SERVICES INC,"Moncton, NB E1C 6L9",7511-Transport truck drivers,3
New Brunswick,   Low Wage,671348 N.B. INC.,"MONCTON, NB E1C 1E3",6322-Cooks,2
New Brunswick,   Low Wage,Ocean Pier Inc,"Scoudouc, NB E4P 3R4",9463-Fish and seafood plant workers,50
New Brunswick,   Low Wage,R&L CONVENIENCE INC.,"ROTHESAY, NB E2E 5X4",6322-Cooks,2
New Brunswick,   Low Wage,Troyco Inc.,"Edmundston, NB E3V 3L1",6311-Food service supervisors,1
New Brunswick,   Low Wage,Zoa Mansu B.B.Q Inc,"Dieppe, NB E1A 1G1",6322-Cooks,1
New Brunswick,  Primary Agriculture,624888 N.-B. ltée,"St-Quentin, NB E8A 1N9",8431-General farm workers,1
New Brunswick,  Primary Agriculture,Cavendish Farms Corporation,"Dieppe, NB E1A 6X4",8431-General farm workers,1
New Brunswick,  Primary Agriculture,Hanscome Farms Ltd,"Perth-Andover, NB E7H 4K4",8431-General farm workers,12
New Brunswick,  Primary Agriculture,M&S Wild Blueberry Farms Ltd.,"Kouchibouguac, NB E4X 1L7",8431-General farm workers,9
New Brunswick,  Primary Agriculture,MOXON'S COUNTRY PUMPKIN LTD,"Maugerville, NB E3A 8K8",8431-General farm workers,5
New Brunswick,  Primary Agriculture,Verger Belliveau Orchard ltd.,"Memramcook, NB E4K 2S6",0821-Managers in agriculture,1
New Brunswick,  Primary Agriculture,Verger Belliveau Orchard ltd.,"Memramcook, NB E4K 2S6",8431-General farm workers,3
New Brunswick,  Primary Agriculture,Verger Belliveau Orchard ltd.,"Memramcook, NB E4K 2S6",8611-Harvesting labourers,1
New Brunswick,  Primary Agriculture,Waddy & Colpitts Ltd.,"Colpitts Settlement, NB E4J 0B6","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
New Brunswick, Global Talent Stream,Cavendish Farms Corporation,"Dieppe, NB E1A 6X4",0821-Managers in agriculture,1
Quebec,    High Wage,0972792 B.C. LTD,"Saint-Laurent, QC H4T 1V6","2161-Mathematicians, statisticians and actuaries",1
Quebec,    High Wage,121352 Canada Inc,"Rouyn-Noranda, QC J9X 4K8",7231-Machinists and machining and tooling inspectors,6
Quebec,    High Wage,1357-0726 Québec Inc.,"Québec, QC G1K 8L4",6322-Cooks,3
Quebec,    High Wage,2745-0709 QUÉBEC INC,"Montreal, QC H8P 1B3",6322-Cooks,1
Quebec,    High Wage,2842-3861 Québec Inc.,"MONTRÉAL, QC H4N 1G6",1222-Executive assistants,1
Quebec,    High Wage,2867-3598 Québec Inc.,"Montréal, QC H3H 2G9",6322-Cooks,1
Quebec,    High Wage,2950-0519 Québec inc.,"Rouyn-Noranda, QC J9X 6T3",2232-Mechanical engineering technologists and technicians,1
Quebec,    High Wage,2950-0519 Québec inc.,"Rouyn-Noranda, QC J9X 6T3",7311-Construction millwrights and industrial mechanics,2
Quebec,    High Wage,4427629 CANADA INC.,"St. Lazarre, QC J7T 2B5",0621-Retail and wholesale trade managers,1
Quebec,    High Wage,6144527 CANADA INC.,"VAUDREUIL-DORION, QC J7V 9H5",7511-Transport truck drivers,2
Quebec,    High Wage,6318703 Canada inc.,"Matane, QC G4W 3M6",2253-Drafting technologists and technicians,1
Quebec,    High Wage,6735240 Canada inc.,"Chelsea, QC J9B 1J3",6322-Cooks,3
Quebec,    High Wage,7/24 Express Inc.,"Montréal, QC H2Y 2W2","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Quebec,    High Wage,7605633 Canada Inc,"Saint-Eustache, QC J7P 4W9",4151-Psychologists,1
Quebec,    High Wage,8585547 Canada inc,"Pointe-Claire, QC H9R 5Z5",6321-Chefs,1
Quebec,    High Wage,9055-6580 Québec Inc. (Restaurant le St-Antoine),"Shawinigan, QC G9T 1A6",6322-Cooks,1
Quebec,    High Wage,9065-1183 QUÉBEC INC.,"Mont-Tremblant, QC J8E 1B1",6322-Cooks,2
Quebec,    High Wage,9072-4451 Québec Inc.,"Québec, QC G1P 1K7",6322-Cooks,1
Quebec,    High Wage,9086-3010 Québec Inc.,"Saint-Augustin-de-Desmaures, QC G3A 2V1",7231-Machinists and machining and tooling inspectors,1
Quebec,    High Wage,9099-7768 QUÉBEC INC.,"Saint-Augustin-de-Demaures, QC G3A 1V9",7231-Machinists and machining and tooling inspectors,1
Quebec,    High Wage,9099-7768 QUÉBEC INC.,"Saint-Augustin-de-Demaures, QC G3A 1V9",7237-Welders and related machine operators,1
Quebec,    High Wage,9101-6675 QUEBEC INC,"RIVIÈRE-DU-LOUP, QC G5R 5X9",7511-Transport truck drivers,1
Quebec,    High Wage,9105-9345 Quebec Inc,"MONTREAL, QC H2X 3P9",6321-Chefs,1
Quebec,    High Wage,9114-7652 Québec Inc.,"Chibougamau, QC G8P 1N6",6322-Cooks,3
Quebec,    High Wage,9123-4054 QUÉBEC INC.,"Saint-Laurent, QC H4N 1C8","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
Quebec,    High Wage,9150-2468 québec inc.,"Rouyn-Noranda, QC J9X 6M6","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",5
Quebec,    High Wage,9165-9441 QUEBEC INC.,"Québec, QC G1S 3E5",6322-Cooks,1
Quebec,    High Wage,9166-3104 Québec Inc. Burger King,"LONGUEUIL, QC J3Z 1H2",6311-Food service supervisors,6
Quebec,    High Wage,9177-9447 Québec Inc.,"Québec, QC G1C 3P8",6322-Cooks,1
Quebec,    High Wage,9185-0321 Québec inc,"Maniwaki, QC J9E 1Z9",6311-Food service supervisors,4
Quebec,    High Wage,9204-8842 Quebec Inc,"Val-d'Or, QC J9P 1G1",7322-Motor vehicle body repairers,2
Quebec,    High Wage,9207-0945 Québec Inc.,"Montréal, QC H4A 1E5",6322-Cooks,1
Quebec,    High Wage,9220-5442 Québec inc.,"BÉCANCOUR, QC G9H 3C2",6322-Cooks,1
Quebec,    High Wage,9221-1598 Québec inc,"Québec, QC G3J 1Y7",7322-Motor vehicle body repairers,1
Quebec,    High Wage,9221-8544 QUÉBEC INC.,"Saint-Jean-sur-Richelieu, QC J3B 7X4",7291-Roofers and shinglers,4
Quebec,    High Wage,9244-8398 Quebec INC,"Quebec, QC G1R 1S3",6322-Cooks,2
Quebec,    High Wage,9247-1416 Quebec Inc.,"Pierrefonds, QC H8Y 2B1",7511-Transport truck drivers,1
Quebec,    High Wage,9252-0618 Quebec Inc.,"Montreal, QC H4P 1P5",6321-Chefs,1
Quebec,    High Wage,9257-7006 QUEBEC INC.,"Saint-Leonard, QC H1S 1K2","3223-Dental technologists, technicians and laboratory assistants",1
Quebec,    High Wage,92848779 Québec Inc.,"Ste-Julie, QC J3E 0C3",7322-Motor vehicle body repairers,1
Quebec,    High Wage,9290 8185 QUEBEC INC,"Montreal, QC H1J 1R6",7332-Appliance servicers and repairers,4
Quebec,    High Wage,9305-2090 Quebec inc.,"Montreal, QC H4B 1V3",6322-Cooks,1
Quebec,    High Wage,9317-0942 Québec Inc,"Saint-Michel-des-Saints, QC J0K 3B0",1222-Executive assistants,1
Quebec,    High Wage,9320-6779 Québec Inc. (Presse Café),"Montréal, QC H3M 1T9",6311-Food service supervisors,1
Quebec,    High Wage,9330-1745 Québec Inc.  (Thaïzone,"Montréal, QC H2J 2L1",6322-Cooks,1
Quebec,    High Wage,9333-4787 Québec Inc. / Échelle Rive-Sud,"Saint-Hubert, QC J4T 2G1","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",1
Quebec,    High Wage,9336-2994 Quebec inc.,"Greenfield Park, QC J4V 2P7",6322-Cooks,1
Quebec,    High Wage,9338-2257 Québec inc.,"Québec, QC G1V 1V4","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
Quebec,    High Wage,9347 6596 QUEBEC INC,"MONTREAL, QC H2K 2B6",7237-Welders and related machine operators,2
Quebec,    High Wage,9347-2983 Québec Inc.,"Longueuil, QC J4J 2L1",7315-Aircraft mechanics and aircraft inspectors,2
Quebec,    High Wage,9348-8161 Québec Inc.,"Lévis, QC G6Y 0J4",7237-Welders and related machine operators,2
Quebec,    High Wage,9351-5666 Québec Inc.,"St-Georges, QC G5Y 2C7",6322-Cooks,1
Quebec,    High Wage,9352-7612 QUEBEC INC,"Québec, QC G1R 1Z1",6322-Cooks,1
Quebec,    High Wage,9364-9168 Québec Inc.,"Québec, QC G2G 2R1",6322-Cooks,1
Quebec,    High Wage,9379-7389 Québec Inc.,"Montréal, QC H3G 2B7",6322-Cooks,1
Quebec,    High Wage,A. Lacroix et Fils Granit Ltee,"St-Sébastien, QC G0Y 1M0",7231-Machinists and machining and tooling inspectors,3
Quebec,    High Wage,AAR Aircraft Services – Trois-Rivières ULC,"Trois-Rivières, QC G9B 2N8",7315-Aircraft mechanics and aircraft inspectors,1
Quebec,    High Wage,Alimentation Stéphane Thomassin inc.,"Québec, QC G1V 2V7","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
Quebec,    High Wage,ALIMENTS ALTRA INC,"Montreal, QC H1E 6W5",1221-Administrative officers,1
Quebec,    High Wage,Aliments Asta inc.,"St-Alexandre, QC G0L 2G0","9617-Labourers in food, beverage and associated products processing",2
Quebec,    High Wage,ALTEN Canada Inc.,"Montréal, QC H3B 4N4",0601-Corporate sales managers,1
Quebec,    High Wage,ARIVAC Inc.,"SAINT-HYACINTHE, QC J2S 6L7",0911-Manufacturing managers,1
Quebec,    High Wage,ARIVAC Inc.,"SAINT-HYACINTHE, QC J2S 6L7",2121-Biologists and related scientists,1
Quebec,    High Wage,ASTEK Canada Inc.,"Montréal, QC H2Y 1M6",2174-Computer programmers and interactive media developers,1
Quebec,    High Wage,Atelier D'Usinage F.J. Ltee-F.J. Machine Shop LTD.,"Baie d'Urfe, QC H9X 3T1",7231-Machinists and machining and tooling inspectors,1
Quebec,    High Wage,Atelier d'usinage Mégatech A.Q. Inc.,"Québec, QC G1P 4M9",7231-Machinists and machining and tooling inspectors,1
Quebec,    High Wage,Atelier Fabmec Inc.,"CHICOUTIMI, QC G7H 5B1",7237-Welders and related machine operators,3
Quebec,    High Wage,AUTO BUGATTI INC,"DORVAL, QC H9P 1G4",7322-Motor vehicle body repairers,1
Quebec,    High Wage,Autobus Thomas inc,"Drummondville, QC J2C 7V9","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
Quebec,    High Wage,Autobus Thomas inc,"Drummondville, QC J2C 7V9",7322-Motor vehicle body repairers,1
Quebec,    High Wage,Automobiles Carella inc.,"Amos, QC J9T 2X8","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Quebec,    High Wage,Autoroule inc,"Val-d'Or, QC J9P 1W2","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Quebec,    High Wage,Beenox inc.,"Quebec, QC G1K 3H3",5241-Graphic designers and illustrators,1
Quebec,    High Wage,Bercomac Limitée,"ADSTOCK, QC G0N 1S0",7237-Welders and related machine operators,6
Quebec,    High Wage,Boulangerie Casse Noisette Inc.,"dorval, QC H9P 1A3",7232-Tool and die makers,1
Quebec,    High Wage,Buf Canada Inc.,"MONTRÉAL, QC H2X 2T6",5241-Graphic designers and illustrators,1
Quebec,    High Wage,C.H. Express Inc.,"Saint-Jean-sur-Richelieu, QC J2X 5A9",7511-Transport truck drivers,2
Quebec,    High Wage,Café LB9 Inc.,"Québec, QC G2J 0C4",6311-Food service supervisors,1
Quebec,    High Wage,Camions Maska inc.,"La Présentation, QC J0H 1B0","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",3
Quebec,    High Wage,Carrosserie DRD inc,"Val-David, QC J0T 2N0",7322-Motor vehicle body repairers,2
Quebec,    High Wage,Carrosserie du parc inc,"Amos, QC J9T 4L5",7322-Motor vehicle body repairers,1
Quebec,    High Wage,Carrosserie Ferrazza M.S. Inc.,"LONGUEUIL, QC J4K 2Y8",7322-Motor vehicle body repairers,1
Quebec,    High Wage,CENTRE DE COLLISION MONTRÉAL-EST INC.,"Montreal, QC H1B 1C4",7322-Motor vehicle body repairers,1
Quebec,    High Wage,Centre de services scolaire de la Pointe-de-l’île,"Montreal, QC H1A 2T7",4031-Secondary school teachers,1
Quebec,    High Wage,Centre de services scolaire de la Pointe-de-l’île,"Montreal, QC H1A 2T7",4032-Elementary school and kindergarten teachers,13
Quebec,    High Wage,Centre Hospitalier de l'Université de Montréal,"MONTRÉAL, QC H2X 0A9",3012-Registered nurses and registered psychiatric nurses,6
Quebec,    High Wage,Centre Hospitalier de l'Université de Montréal,"MONTRÉAL, QC H2X 0A9",3111-Specialist physicians,1
Quebec,    High Wage,Centre intégré de santé et de CSSS DE LA HAUTE-GASPÉSIE,"Gaspé, QC G4X 2W2",3012-Registered nurses and registered psychiatric nurses,2
Quebec,    High Wage,Centre intégré de santé et de services sociaux de la Côte-Nord,"Baie-Comeau, QC G5C 1P5",3012-Registered nurses and registered psychiatric nurses,3
Quebec,    High Wage,Centre intégré de santé et services sociaux des Laurentides,"Saint-Jérôme, QC J7Z 5T3",3012-Registered nurses and registered psychiatric nurses,2
Quebec,    High Wage,Centre intégré universitaire de santé et de services sociaux de la Capitale Nationale,"Baie-Saint-Paul, QC G0A 3V0",3012-Registered nurses and registered psychiatric nurses,4
Quebec,    High Wage,Centre intégré universitaire de santé et de services sociaux de la Capitale Nationale,"Baie-Saint-Paul, QC G0A 3V0","3413-Nurse aides, orderlies and patient service associates",6
Quebec,    High Wage,Centre intégré universitaire de santé et de services sociaux de la Mauricie-et-du-Centre-du-Québec,"Trois-Rivières, QC G9A 5C5",3012-Registered nurses and registered psychiatric nurses,1
Quebec,    High Wage,Centre intégré universitaire de santé et services sociaux de l'Estrie - Centre hospitalier universit,"Sherbrooke, QC J1G 1B1",3012-Registered nurses and registered psychiatric nurses,6
Quebec,    High Wage,CENTRE-COLLISION HENRI-BOURASSA INC.,"Montréal, QC H1P 1Z9",7322-Motor vehicle body repairers,1
Quebec,    High Wage,Charles Tellier inc.,"Saint-Charles-Borromée, QC J6E 2B4",1222-Executive assistants,1
Quebec,    High Wage,Charl-Pol Inc.,"SAGUENAY, QC G7B 0J4",7237-Welders and related machine operators,5
Quebec,    High Wage,CHU de Québec-Université Laval,"QUÉBEC, QC G1R  2J",3012-Registered nurses and registered psychiatric nurses,6
Quebec,    High Wage,CHU Sainte-Justine,"MONTRÉAL, QC H3T 1C5",3012-Registered nurses and registered psychiatric nurses,2
Quebec,    High Wage,CHU Sainte-Justine,"MONTRÉAL, QC H3T 1C5",3125-Other professional occupations in health diagnosing and treating,1
Quebec,    High Wage,Cisolift Distribution Inc.,"St-Germain-de-Grantham, QC J0C 1K0",7311-Construction millwrights and industrial mechanics,1
Quebec,    High Wage,CISSS de la Montérégie-Centre,"SAINT-JEAN-SUR-RICHELIEU, QC J3A 1T6",3012-Registered nurses and registered psychiatric nurses,4
Quebec,    High Wage,CISSS de l'Outaouais,"GATINEAU, QC J8T 4J3",3012-Registered nurses and registered psychiatric nurses,3
Quebec,    High Wage,CIUSSS Centre-Sud de L'Île de Montréal,"MONTRÉAL, QC H1T 1C2",3012-Registered nurses and registered psychiatric nurses,3
