"Employers who were issued a positive Labour Market Impact Assessment (LMIA) by stream, National Occupational Classification (NOC) 2011 and business location in 2019 (April-June)",,,,,
Province/Territory,Stream,Employer,Address,Occupation,Approved Positions
,,University of Prince Edward Island,"Charlottetown, PE C1A 4P3",4011-University professors and lecturers,1
,   Low Wage,Blue Mussel Cafe,"North Rustico, PE C0A 1X0",0631-Restaurant and food service managers,1
,,,,6322-Cooks,1
,,Perry's Construction Ltd,"Tingish, PE C0B 2B0",7611-Construction trades helpers and labourers,8
,,Summerside Seafood Supreme Inc.,"Summerside, PE C1N 2V5",9463-Fish and seafood plant workers,25
,  Primary Agriculture,100556 PEI Inc. / GWR Visser Farms,"VERNON BRIDGE, PE C0A 2E0",8431-General farm workers,6
,,101497 P.E.I. Ashley Wood,"CHERRY VALLEY, PE C0A 2E0",8431-General farm workers,12
,,Brookfield Gardens Inc,"Brookfield, PE C0A 1Y0",8431-General farm workers,11
,,Carruthers Farms Ltd.,"Kensington, PE C0B 1M0",8431-General farm workers,4
,,Eastern Farms Ltd,"POWNAL, PE C1B 3S5",8431-General farm workers,8
,,Extondale Farms Ltd.,"Oyster Bed, PE C1E 1Z4","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Frizzell's Valleyville Farm Inc.,"HUNTER RIVER, PE C0A 1N0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,Hy-Croft Farms Inc,"Summerside, PE C1N 4V4",8431-General farm workers,12
,,Jewell's of Prince Edward Island Inc,"York RR, PE C0A 1P0",8431-General farm workers,4
,,Kouwenberg Farm Inc.,"Millview, PE C0A 2E0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Matos Winery and Distillery,"St. Catherines, PE C0A 1H1",8431-General farm workers,1
,,Nobra Holsteins Inc.,"Kensington, PE C0B 1M0",8431-General farm workers,3
,,Power Line Pork Inc.,"Albany, PE C0B 1A0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Productions Vegkiss PEI,"Vernon River, PE C0A 2E0",8431-General farm workers,28
,,Vanco Farms Ltd,"Mount Albion, PE C1B 0R4",8431-General farm workers,11
,,,,8432-Nursery and greenhouse workers,38
,,Victoria Potato Farm Inc,"Crapaud, PE C0A 1J0",8431-General farm workers,1
Nova Scotia,    High Wage,Arrival & Departures Communications Limited,"HALIFAX, NS B3J 1S9",5135-Actors and comedians,2
,,Eassons Transport Ltd.,"Kentville, NS B4N 3V7",7511-Transport truck drivers,10
,,GTL Transportation Inc.,"Dartmouth, NS B3B 1X0",7511-Transport truck drivers,4
,,INQT Media Inc.,"DARTMOUTH, NS B3A 4T1",2174-Computer programmers and interactive media developers,1
,,Irving Shipbuilding Inc.,"Halifax, NS B3K 5M7",0211-Engineering managers,2
,,,,"2148-Other professional engineers, n.e.c.",1
,,Masontech Inc.,"HALIFAX, NS B3K 3T6",7281-Bricklayers,1
,,Nova Scotia Health Authority,"Halifax, NS B3H 2Y9",4151-Psychologists,1
,,Royal Nova Scotia Yacht Squadron,"Halifax, NS B3P 1C7",5252-Coaches,2
,,RT Han & Kim Ltd.,"BEDFORD, NS B1B 0R1",0621-Retail and wholesale trade managers,1
,,Saint Mary's University,"HALIFAX, NS B3H 3C3",4011-University professors and lecturers,2
,,SaulTech Computers Inc.,"METEGHAN CENTRE, NS B0W 2K0",6221-Technical sales specialists - wholesale trade,1
,,Spar Marine Limited,"DARTMOUTH, NS B3B 1E4",7242-Industrial electricians,1
,,St. Francis Xavier University,"ANTIGONISH, NS B2G 2W5",4011-University professors and lecturers,1
,,Topaz Transport Inc.,"BEAVER BANK, NS B4E 3J4",7511-Transport truck drivers,3
,,Ubisoft Divertissements Inc.,"HALIFAX, NS B3J 3R5",2174-Computer programmers and interactive media developers,4
,,,,2282-User support technicians,1
,,,,5121-Authors and writers,1
,,,,5241-Graphic designers and illustrators,6
,   Low Wage,3091914 NS Ltd.,"Halifax, NS B3K 1H8",6322-Cooks,1
,,67527 Newfoundland and Labrador Ltd. O/A Aulds Cove Big Stop Restaurant,"OXFORD JUNCTION, NS B0M 1R0",6322-Cooks,3
,,Arirang Restaurant Inc,"HALIFAX, NS B3M 3W8",6322-Cooks,1
,,Athens Restaurant,"HALIFAX, NS B3L 1A4",6322-Cooks,2
,,John Ross & Sons Limited,"Halifax, NS B3S 1B3",7452-Material handlers,12
,,Kai Ping Restaurant,"Sydney River, NS B1S 1C7",0631-Restaurant and food service managers,1
,,LJ Robicheau and Son Fisheries,"MIDDLETON, NS B0S 1P0",9463-Fish and seafood plant workers,8
,,Mandox Incorporated,"ANNAPOLIS ROYAL, NS B0S 1A0",6322-Cooks,2
,,Ocean Pride Fisheries Ltd.,"Lower Wedgeport, NS B0W 2B0",9618-Labourers in fish and seafood processing,42
,,Riverside Lobster International Inc.,"Meteghan River, NS B0W 2L0",9463-Fish and seafood plant workers,60
,,Swiss Chalet,"Amherst, NS B4H 4L2",6322-Cooks,1
,,Sydney Fresh Casual Restaurants Inc.,"Amherst, NS B4H 4L2",6322-Cooks,2
,,W.J.Allen & Sons Inc. o/a Aulac Big Stop Restaurant,"Amherst, NS B4H 4L2",6322-Cooks,3
,,WOW!  Food Systems Inc.,"TRURO, NS B2N 6M5",6322-Cooks,1
,  Primary Agriculture,3226198 Nova Scotia Ltd,"Centreville, NS B0P 1J0",8431-General farm workers,53
,,Basinview Farms Ltd,"CANNING, NS B0P 1H0",8431-General farm workers,2
,,Craig Nichols Farms,"Aylesford, NS B0P 1C0",8431-General farm workers,33
,,DeLong Farm Products Limited,"New Germany, NS B0R 1E0",8432-Nursery and greenhouse workers,6
,,den Haan Enterprises Ltd,"LAWRENCETOWN, NS B0S 1M0",8431-General farm workers,4
,,Elmridge Farm,"Centreville, NS B0P 1J0",8431-General farm workers,3
,,Evangeline Orchards Limited,"Port Williams, NS B0P 1T0",8431-General farm workers,3
,,Fuller Brothers Farm Inc.,"Avonport, NS B0P 1B0",8431-General farm workers,12
,,G & C Hughes Enterprises Limited,"New Ross, NS B0J 2M0",8432-Nursery and greenhouse workers,1
,,Gouchers Farm and Market Ltd.,"KINGSTON, NS B0P 1R0",8431-General farm workers,8
,,Hilly Acres Farm Limited,"Millville, NS B1Y 2E1",8431-General farm workers,2
,,Mahoney's Evergreens L.P.,"East Dalhousie, NS B0R 1H0",8432-Nursery and greenhouse workers,12
,,Morse's Farm Limited,"Berwick, NS B0P 1E0",8431-General farm workers,3
,,Nazinga Farms Ltd,"Aylesford, NS B0P 1C0",8431-General farm workers,18
,,Power Farms Inc,"CANNING, NS B0P 1H0",8431-General farm workers,12
,,Sanhaven Farms Ltd,"Antigonish, NS B2G 2K9","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Skips General Maintenance,"WOLFVILLE, NS B4P 2R3",8431-General farm workers,4
,,Stirlings Mountainside Farms 2017 Ltd,"Centreville, NS B0P 1J0",8431-General farm workers,12
,,Traditional Evergreen Tree Farms Limited,"BRIDGEWATER, NS B4V 2W6",8431-General farm workers,3
,,Vermeuland Farms Limited,"Milford, NS B0N 1Y0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
, Global Talent Stream,Pitchperfect Software Inc,"HALIFAX, NS B3J 1W5",2173-Software engineers and designers,1
,,,,2174-Computer programmers and interactive media developers,5
,,REDspace Inc.,"BEDFORD, NS B4A 3Y4",2174-Computer programmers and interactive media developers,5
,,Ubisoft Divertissements Inc.,"HALIFAX, NS B3J 3R5",2171-Information systems analysts and consultants,1
,,,,2172-Database analysts and data administrators,1
,,,,2173-Software engineers and designers,1
,,,,2174-Computer programmers and interactive media developers,9
,,,,5241-Graphic designers and illustrators,3
New Brunswick,    High Wage,AYR Motor Express Inc.,"Woodstock, NB E7M 4G2",7511-Transport truck drivers,10
,,BEUMER Group Canada Corporation,"FREDERICTON, NB E3B 5A6",2232-Mechanical engineering technologists and technicians,1
,,Buchanan advertising (Canada) inc.,"SAINT JOHN, NB E2L 4S5","0124-Advertising, marketing and public relations managers",1
,,Culberson Trucking Ltd.,"Jacksonville, NB E7M 3J8",7511-Transport truck drivers,2
,,Irving Consumer Products Limited,"Dieppe, NB E1A 6X4",0911-Manufacturing managers,1
,,"J.D. Irving, Limited","SAINT JOHN, NB E2L 4M3",8241-Logging machinery operators,21
,,,,8422-Silviculture and forestry workers,30
,,Maritime Truck & Tractor Pull Association Inc.,"Richmond Corner, NB E7M 4W9","6722-Operators and attendants in amusement, recreation and sport",1
,,McConchie Trucking Ltd.,"Norton, NB E5T 1E8",7511-Transport truck drivers,3
,,Pioneer Transport Inc.,"JACKSONVILLE, NB E7M 6B5",7511-Transport truck drivers,22
,,Regional Health Authority B,"SAINT JOHN, NB E2L 4L4",3111-Specialist physicians,3
,,Rite-Line Transportation Inc,"Florenceville-Bristol, NB E7L 3K6",7511-Transport truck drivers,6
,   Low Wage,692663 New Brunswick Inc.,"MONCTON, NB E1G 3T6",6311-Food service supervisors,4
,,701664 NB Inc. o/a Sugar Roll Japanese Cuisine,"DIEPPE, NB E1A 1P2",6322-Cooks,1
,,Applewood Smoked BBQ House,"MONCTON, NB E1C 1G1",6311-Food service supervisors,1
,,,,6322-Cooks,2
,,Beacon Light Motel Ltd.  o/a Howard Johnson Inn,"MONCTON, NB E1C 2T1",6315-Cleaning supervisors,1
,,Enterprise L' Oriental Ltée o/a Restaurant l'Oriental,"Caraquet, NB E1W 1A3",6322-Cooks,1
,,Fenety Convenience Store Ltd.  o/a Blue Canoe,"Waasis, NB E3B 9E1",6322-Cooks,2
,,Kim's Mart Corporation,"Moncton, NB E1C 2R5",6322-Cooks,2
,,Leslie Leger and Sons Ltd,"Cap-Pele, NB E4N 3B3",9463-Fish and seafood plant workers,60
,,Leu's Market Inc.o/a Country Market,"ST. GEORGE, NB E5C 3H9",6332-Bakers,1
,,M.R. Enterprises Ltd. o/a Checker Cab & Deliveries,"RICHIBUCTO RD, NB E3A 6X7",7513-Taxi and limousine drivers and chauffeurs,1
,,Ocean Pier Inc.,"Scoudouc, NB E4P 3R4",9463-Fish and seafood plant workers,10
,,R & L Convenience Inc.,"Rothesay, NB E2E 5X4",6332-Bakers,1
,,Riverside Warehousing Ltd.,"MONCTON, NB E1C 8N8",7452-Material handlers,1
,,SOUTH SHORE TRADING CO.LTD,"PORT ELGIN, NB E4M 3Y9",9463-Fish and seafood plant workers,10
,,Subway McAllister Drive & King St,"Saint John, NB E2J 2S6",6311-Food service supervisors,1
,,Sunnymel S.E.C.,"CLAIR, NB E7A 2G6","9462-Industrial butchers and meat cutters, poultry preparers and related workers",14
,,Thai Union Canada Inc,"Tracadie-Sheila, NB E1X 1G4",9463-Fish and seafood plant workers,27
,  Primary Agriculture,Cavendish Farms - Island Holdings Nova Scotia,"Dieppe, NB E1A 6X4",8431-General farm workers,1
,,Hanscome Farms Ltd.,"PERTH-ANDOVER, NB E7H 4K4",8431-General farm workers,7
,,La Ferme Michaud Ltee/Michaud Farm Ltd,"BOUCTOUCHE BAY, NB E4S 4N9",8431-General farm workers,6
,,M&S Wild Blueberry Farms Ltd.,"Kouchibouguac, NB E4X 1L7",8431-General farm workers,14
,,Premier Blueberries Inc.,"MEMRAMCOOK, NB E4K 2V3",8431-General farm workers,2
,,Slocum's Farm Fresh Produce Ltd,"Waterborough, NB E4C 2Y3",8431-General farm workers,2
,,Tuddenham Farms Ltd,"ST.STEPHEN, NB E3L 2X1",8611-Harvesting labourers,6
, Global Talent Stream,AV Group NB Inc.,"Nackawic, NB E6G 1W4",2171-Information systems analysts and consultants,1
,,Cavendish Farms - Island Holdings Nova Scotia,"Dieppe, NB E1A 6X4",2121-Biologists and related scientists,1
,,Sedin Technologies Corp.,"FREDERICTON, NB E3C 0J1",2173-Software engineers and designers,3
,,Sonrai Security (Canada) Inc.,"FREDERICTON, NB E3C 2R2",2173-Software engineers and designers,2
Quebec,    High Wage,10092886 Canada Inc. / Le Royal Madurai,"MONTREAL, QC H3S 1Y7",6321-Chefs,1
,,10643645 Canada Inc.,"MONTREAL, QC H3G 1Z5",6321-Chefs,1
,,140629 Canada Inc.,"MONTRÉAL, QC H2S 3C6","5243-Theatre, fashion, exhibit and other creative designers",1
,,163972/Canada Inc/Judith & Charles,"Montreal, QC H2N 2E3","5232-Other performers, n.e.c.",1
,,1641-9749 Québec inc.,"Rougemont, QC J0L 1M0",7511-Transport truck drivers,4
,,1-Material inc.,"DORVAL, QC H9P 1K2",6221-Technical sales specialists - wholesale trade,1
,,2413-9636 Québec Inc.,"VICTORIAVILLE, QC G6P 4B6",6322-Cooks,3
,,2543-9985 Québec inc.,"DRUMMONDVILLE, QC J2C 2A8",6322-Cooks,1
,,2635-8762 Québec inc - dba Express Mondor,"Lanoraie, QC J0K 1E0",7237-Welders and related machine operators,1
,,,,"7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",3
,,2969-6366 Québec inc,"Maniwaki, QC J9E 3K6",7511-Transport truck drivers,2
,,2972-6924 Québec Inc,"LÉVIS, QC G7A 1B1",7237-Welders and related machine operators,1
,,2B LOV Inc.,"MONTRÉAL, QC H2V 0A6",6321-Chefs,1
,,3579000 Canada Inc.,"Laval, QC H7T 2H6",7322-Motor vehicle body repairers,1
,,3595650 Canada inc.,"GATINEAU, QC J8Z 1W8","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",3
,,3811981 CANADA INC.,"ÎLE BIZARD, QC H9C 1G9","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,4370155 Canada Inc.,"TERREBONNE, QC J6W 6M1",9473-Binding and finishing machine operators,1
,,4473191 CANADA INC,"MONTRÉAL, QC H3C 5X5",1121-Human resources professionals,1
,,6227945 Canada Inc.,"GATINEAU, QC J8R 0C6",2232-Mechanical engineering technologists and technicians,1
,,6637779 Canada inc.,"MASCOUCHE, QC J7K 1X9",7322-Motor vehicle body repairers,3
,,6838693 Canada Inc (Élite Mazda),"GATINEAU, QC J8T 8P2",1311-Accounting technicians and bookkeepers,1
,,7663609 CANADA INC.,"MONTREAL, QC H4M 2N6",2234-Construction estimators,1
,,8091048 Canada Inc,"MONTRÉAL, QC H2W 2R2",5241-Graphic designers and illustrators,1
,,8344795 Canada Inc.,"MONTRÉAL, QC H9P 1G9",1241-Administrative assistants,1
,,9010-1536 Québec Inc.,"ST-AUGUSTIN-DESMAURES, QC G3A 1X3",6311-Food service supervisors,1
,,9013-6482 Québec inc.,"MONTRÉAL, QC H4B 1T6",7322-Motor vehicle body repairers,1
,,9014-5459 Quebec Inc.,"Riviere du Loup, QC G5R 1E2",1311-Accounting technicians and bookkeepers,1
,,9029-7524 Québec Inc.,"GRANBY, QC J2J 0N3",7322-Motor vehicle body repairers,1
,,9046-0585 QUÉBEC INC. (Tim Hortons),"Sainte-Hélène-de-Bagot, QC J0H 1M0",6311-Food service supervisors,2
,,9069-4654 Québec Inc.,"LÉVIS, QC G7A 1B1",7311-Construction millwrights and industrial mechanics,2
,,9075-963 Québec inc DB/A Berkut Transport inc.,"ST-LÉONARD, QC H1S 2J2",7511-Transport truck drivers,1
,,9084-9597 Québec INC.,"TROIS-RIVIÈRE, QC G8Z 4H4",7312-Heavy-duty equipment mechanics,1
,,9092-8979,"RIMOUSKI, QC G5L 8T7",2282-User support technicians,1
,,9097-9998 QUÉBEC INC.,"SAINTE-FÉLICITÉ, QC G0R 4P0",7511-Transport truck drivers,2
,,9104-8884 Québec inc.,"VAL D'OR, QC J9P 6X9","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
,,9115-4625 Québec Inc.,"CHAMBORD, QC G0W 1G0",7237-Welders and related machine operators,1
,,9122-6266 Québec inc,"MATANE, QC G4W 0J8",7322-Motor vehicle body repairers,2
,,9135-0736 Québec inc.,"Montréal, QC H3B 0A2",6322-Cooks,1
,,9150-2468 QUÉBEC INC.,"ROUYN-NORANDA, QC J9X 6M6",7322-Motor vehicle body repairers,1
,,9176-7277 Quebec Inc.,"MONTRÉAL, QC H1J 1Z5",7272-Cabinetmakers,1
,,9183-2220 QUÉBEC INC. (Tim Hortons),"Saint-Liboire, QC J0H 1R0",6311-Food service supervisors,1
,,9188-3173 Québec Inc.,"Montreal, QC H2R 2W8","9213-Supervisors, food, beverage and associated products processing",1
,,9188-6374 Québec Inc.,"ST-RAYMOND, QC G3L 4Y4",7322-Motor vehicle body repairers,1
,,9210-1005 Québec Inc,"Longueuil, QC J4M 2L8",7237-Welders and related machine operators,2
,,9213-9286 Quebec Inc.,"ROUYN-NORANDA, QC J9X 6M6","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,9225-2915 Québec inc.,"LÉVIS, QC G6W 8B6","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,9262-1770 Québec Inc.,"MONTRÉAL, QC H4K 2E7","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,9278-8942 Québec Inc.,"Québec, QC G1V 2L8",6322-Cooks,1
,,9287-6291 Québec Inc.,"MONTRÉAL, QC H4E 1L7","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,9303-6408 Québec Inc.,"MONTRÉAL, QC H1S 3G4",7231-Machinists and machining and tooling inspectors,1
,,9312-6167 Québec Inc.,"MONTRÉAL, QC H3A 0A2",0632-Accommodation service managers,1
,,9314-8567 Québec Inc. Services Paysagers,"SAINT-BASILE-LE-GRAND, QC J3N 1M3",2225-Landscape and horticulture technicians and specialists,1
,,9315-3237 QUÉBEC INC. / ELF PHARMA RECHERCHE,"MONTRÉAL, QC H3G 1A7",1243-Medical administrative assistants,1
,,9318-6468 Québec Inc,"LASALLE, QC H8N 2B1",2264-Construction inspectors,1
,,9323-2221 Québec Inc,"MONTRÉAL, QC H2Y 1X4",7271-Carpenters,1
,,9324-3046,"ROSEMÈRE, QC J7A 4S9",6321-Chefs,1
,,9325-5685 Québec Inc.,"MONTRÉAL, QC H2X 2S8",6322-Cooks,1
,,9334-6815 Québec inc.,"QUÉBEC, QC G1K 3X3",0631-Restaurant and food service managers,1
,,9338-0186 Québec Inc.,"ROUYN-NORANDA, QC J9X 6P9",6311-Food service supervisors,5
,,9356-3302 Québec inc.,"MONTRÉAL, QC H1S 1K4",6311-Food service supervisors,1
,,9357-4408 Québec Inc,"Montréal, QC H2J 2L9",6321-Chefs,1
,,9369-2895 Québec inc,"MONTREAL, QC H2S 3C9",6321-Chefs,1
,,9371-8823 Québec Inc.,"MONTRÉAL, QC H2K 1G1",2281-Computer network technicians,1
,,9372-4334 Québec Inc.,"SAINT-EUSTACHE, QC J7R 2K9",1241-Administrative assistants,1
,,9374-3565 Québec Inc.,"VAUDREUIL-DORION, QC J7V 0V3","0651-Managers in customer and personal services, n.e.c.",1
,,9374-7442 Québec Inc.,"MONTRÉAL, QC H2W 2M7",1311-Accounting technicians and bookkeepers,1
,,A. Lacroix et Fils Granit Ltée,"ST-SÉBASTIEN, QC G0Y 1M0",7231-Machinists and machining and tooling inspectors,3
,,A7 Intégration Inc.,"Granby, QC J2J 1A8",7231-Machinists and machining and tooling inspectors,1
,,AAR Aircraft Services - Trois Rivières ULC,"TROIS-RIVIÈRES, QC G9B 2N8",7315-Aircraft mechanics and aircraft inspectors,1
,,Abaplab Inc,"Montréal, QC H2P 2Y1",2174-Computer programmers and interactive media developers,1
,,Accent-Fairchild Group inc.,"Montreal, QC H4R 2C8",2232-Mechanical engineering technologists and technicians,1
,,Acier Sélect inc.,"St-Jean-sur-Richelieu, QC J2Y 1E1",7237-Welders and related machine operators,5
,,Activix Inc.,"BOISBRIAND, QC J7H 0A4",2174-Computer programmers and interactive media developers,1
,,Agence Tuxedo Inc.,"Montreal, QC H3B 1A7","5232-Other performers, n.e.c.",1
,,Alten Canada inc.,"MONTRÉAL, QC H3B 4N4",2171-Information systems analysts and consultants,1
,,Altitude Aerospace Inc,"MONTRÉAL, QC H4S 1T2",2146-Aerospace engineers,1
,,,,2232-Mechanical engineering technologists and technicians,1
,,Amimac (2002) Ltée,"Jonquière, QC G7X 0C1",7237-Welders and related machine operators,10
,,Andy Transport Inc.,"SAINT-LAURENT, QC H4T 1K2",2281-Computer network technicians,1
,,ArcelorMittal Mining Canada G.P.,"LONGUEUIL, QC J4K 5G7","0016-Senior managers - construction, transportation, production and utilities",1
,,Arden Holdings Inc.,"Montreal, QC H4S 1W8",5221-Photographers,1
,,Arivac Inc.,"SAINT-HYACINTHE, QC J2S 6L7","0124-Advertising, marketing and public relations managers",1
,,,,1241-Administrative assistants,1
,,Armoires Conceptem Inc,"ST-BRUNO DE GUIGES, QC J0Z 2G0",7272-Cabinetmakers,1
,,Arthur Inc.,"MONTREAL, QC H3G 2C1","6342-Tailors, dressmakers, furriers and milliners",1
,,ASDR Canada inc.,"MALARTIC, QC J0Y 1Z0",2232-Mechanical engineering technologists and technicians,2
,,,,2241-Electrical and electronics engineering technologists and technicians,2
,,Association Touristique Région,"ROUYN-NORANDA, QC J9X 4T3","1123-Professional occupations in advertising, marketing and public relations",1
,,Atelier d'Usinage Carignan Inc.,"LÉVIS, QC G7A 1B3",7231-Machinists and machining and tooling inspectors,2
,,Atelier d'usinage Mégatech AQ inc.,"Québec, QC G1P 4M9",7231-Machinists and machining and tooling inspectors,1
,,Atelier Pedro Inc.,"SHERBROOKE, QC J1L 2Z9",7231-Machinists and machining and tooling inspectors,3
,,Ateliers de Carrosserie Houle inc,"N.D des Prairies, QC J6E 0M2",7322-Motor vehicle body repairers,2
,,Atlas Aeronautik,"GRANBY, QC J2G 3Z3",7231-Machinists and machining and tooling inspectors,7
,,Auberge La Muse et chez Bouquet Éco Bistro,"Baie St-Paul, QC G3Z 1M3",6322-Cooks,1
,,Aurel Harvey & Fils Inc.,"La Malbaie, QC G5A 1C5",7312-Heavy-duty equipment mechanics,1
,,Automobile B.W.Inc,"MONTRÉAL, QC H4N 2C6",7322-Motor vehicle body repairers,1
,,Autoroule Inc.,"VAL D'OR, QC J9P 1W2","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,Avantage Chrysler Inc.,"LA SARRE, QC J9Z 1N5","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,Axiscades Technology Canada Inc.,"MONTRÉAL, QC H3B 4G7",2132-Mechanical engineers,1
,,BARIN s.e.n.c.r.l.,"MONTRÉAL, QC H3Y 2W6",2253-Drafting technologists and technicians,1
,,Bateaux Princecraft Inc,"PRINCEVILLE, QC G6L 5C2",7237-Welders and related machine operators,1
,,BBA inc,"Mont-Saint-Hilaire, QC J3H 6C3",2241-Electrical and electronics engineering technologists and technicians,1
,,Beauregard Environnement Ltée,"MIRABEL, QC J7J 0H5",1241-Administrative assistants,1
,,Beenox,"Québec, QC G1K 3H3",5241-Graphic designers and illustrators,1
,,Bercomac Limitée,"ADSTOCK, QC G0N 1S0",7237-Welders and related machine operators,5
,,Bestar inc.,"LAC MÉGANTIC, QC G6B 2C3",7333-Electrical mechanics,1
,,Bifurk Inc.,"MONTRÉAL, QC H2T 2T3",5241-Graphic designers and illustrators,1
,,Biscuits Leclerc Ltee,"ST-AUGUSTIN-DE-DESMAURE, QC G3A 1T1",7333-Electrical mechanics,2
,,Bleu Tech Montreal Inc,"LAVAL, QC H7R 6E9",2253-Drafting technologists and technicians,1
,,BNP Paribas,"Montréal, QC H3A 2W8",1111-Financial auditors and accountants,1
,,,,1112-Financial and investment analysts,1
,,BNP Paribas Solutions TI Canada Inc.,"Montréal, QC H3A 2W8",1112-Financial and investment analysts,1
,,BO-DUC TRANSPORT INC.,"LYSTER, QC G0S 1V0",7312-Heavy-duty equipment mechanics,2
,,Bombardier Inc.,"MONTRÉAL, QC H3B 1Y8",2146-Aerospace engineers,1
,,Boucherie Tendre Gourmet Inc.,"CANDIAC, QC J5R 3L4","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
,,Boutique d'animaux Cartier Inc.,"SOREL-TRACY, QC J3P 3R2",6563-Pet groomers and animal care workers,1
,,BRP inc.,"VALCOURT, QC J0E 2L0",2232-Mechanical engineering technologists and technicians,1
,,,,5241-Graphic designers and illustrators,1
,,Buanderie Villeray Ltée,"MONTRÉAL, QC H1V 3T7",7333-Electrical mechanics,1
,,C.A.T. INC.,"COTEAU-DU-LAC, QC J0P 1B0",7511-Transport truck drivers,10
,,C.G Air Systèmes Inc,"SAINTE-MARGUERITE, QC G0S 2X0",2233-Industrial engineering and manufacturing technologists and technicians,1
,,Café Nouveau Peking,"Magog, QC J1X 4G1",6322-Cooks,1
,,Camions Freightliner Québec Inc.,"QUÉBEC, QC G1P 3X1","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
,,Camions Rouanda INC.,"ROUNY-NORANDA, QC J9X 7B6","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
,,Canam Bâtiments et Structures inc.,"SAINT-GEDEON-DE-BEAUCE, QC G0M 1T0",7237-Welders and related machine operators,2
,,Canmec Industriel Inc.,"CHICOUTIMI, QC G7K 1H7",7231-Machinists and machining and tooling inspectors,4
,,Canmec La Baie Inc.,"LA BAIE, QC G7B 3N8",7231-Machinists and machining and tooling inspectors,2
