"List of employers who were issued a negative Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and business location in 2017 (July-September)",,,,,
Province/Territory,Stream,Employer,Address,Occupations under NOC 2011,Requested Positions 
,,Restaurant Prima Luna Inc.,"Montreal, QC H1E 2Z6",0631-Restaurant and food service managers,1
,,Sailor Production Inc.,"Montreal, QC H2T 2S2","5227-Support occupations in motion pictures, broadcasting, photography and the performing arts",1
,,Société Conseil Groupe LGS,"Québec, QC G1V 4K5",2174-Computer programmers and interactive media developers,1
,   Low Wage,3521893 Canada Inc,"Montreal, QC H2T 1R2",7332-Appliance servicers and repairers,1
,,Auberge Handfield Inc.,"St-Marc-sur-Richelieu, QC J0L 2E0","5254-Program leaders and instructors in recreation, sport and fitness",1
,,Club de soccer Énergie Centre Mauricie,"Shawinigan, QC G9N 0E2",5252-Coaches,1
,,Écopierre Inc.,"Montreal, QC H8T 2V3","9414-Concrete, clay and stone forming operators",1
,,Groupe Vétéri Médic Inc.,"Brossard, QC J4Y 1A2",3114-Veterinarians,1
,,Immo Minko Gestion Immobilière Inc.,"Montréal, QC H4M 1E4","6733-Janitors, caretakers and building superintendents",1
,,Landr Audio Inc,"Montréal, QC H2T 1A8","1123-Professional occupations in advertising, marketing and public relations",1
,,MX Windsor Inc.,"Coaticook, QC J1A 2S2",9423-Rubber processing machine operators and related workers,1
,  Primary Agriculture,624899 Nouveau-Brunswick ltée,"St-Lambert, QC G0S 2W0",8431-General farm workers,2
Ontario,    High Wage,1904390 Ontario Inc,"Brampton, ON L6T 5K1",1221-Administrative officers,1
,,2001733 Ontario Ltd,"London, ON N6A 1A3",6322-Cooks,1
,,2224973 Ontario Inc.,"Hamilton, ON L8K 1C7",1221-Administrative officers,1
,,2241889 Ontario Inc.,"Iron Bridge, ON P0R 1H0","6313-Accommodation, travel, tourism and related services supervisors",1
,,2256027 Ontario Inc.,"Vaughan, ON L4K 4Y5",1311-Accounting technicians and bookkeepers,1
,,2320576 Ontario Inc.,"Mississauga, ON L5B 3L6",1241-Administrative assistants,1
,,2394063 Ontario Inc.,"Hamilton, ON L8P 3A3",3112-General practitioners and family physicians,1
,,2404023 ONTARIO LTD. O/A MARIO'S MEATS & SPECIALTY SHOP,"Maple, ON L6A 4H8","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
,,2543491 Ontario Incorporated,"Timmins, ON P4N 2W9",2281-Computer network technicians,1
,,6971971 Canada Inc,"Richmond Hill, ON L4E 0X9",6211-Retail sales supervisors,1
,,826380 Ontario Ltd.,"Brampton, ON L6W 3J6",7322-Motor vehicle body repairers,1
,,8476942 Canada Corp.,"Milton, ON L9T 7H0","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",1
,,8541698 Canada Inc.,"Brampton, ON L6P 3B7",0621-Retail and wholesale trade managers,1
,,9576398 Canada Inc.,"Pickering, ON L1V 1A4","0016-Senior managers - construction, transportation, production and utilities",1
,,9765158 Canada Inc,"Toronto, ON M5C 1N7",2141-Industrial and manufacturing engineers,1
,,All Seasons Weddings Ltd,"Kenmore, ON K0A 2G0",1226-Conference and event planners,1
,,Aluminum Window Designs Ltd.,"Woodbridge, ON L4L 4A3",2132-Mechanical engineers,1
,,Anzano General Contracting Corp.,"Scarborough, ON M1L 3L1","0124-Advertising, marketing and public relations managers",1
,,Applewood Roofing And Sheet Metal Ltd,"Toronto, ON M9L 1P6",7291-Roofers and shinglers,1
,,Arts & Sciences Dept. LLC,"Toronto, ON M6J 1H6","5131-Producers, directors, choreographers and related occupations",1
,,ASIA PACIFIC INTERNATIONAL INC,"Toronto, ON M5C 2M6",2252-Industrial designers,2
,,Asymetric Media Ltd.,"Toronto, ON M5B 2E7","5131-Producers, directors, choreographers and related occupations",2
,,Bawa Construction Inc.,"Brantford, ON N3R 4C5",7282-Concrete finishers,1
,,Bowmanville Medical Associates,"Bowmanville, ON L1C 1P6",3112-General practitioners and family physicians,1
,,Brevitas Consulting Inc.,"Richmond Hill, ON L4B 3B2",1122-Professional occupations in business management consulting,1
,,Castle Contracting Ltd.,"Nobleton, ON L0G 1N0","7204-Contractors and supervisors, carpentry trades",1
,,Chef's Plate Inc.,"Toronto, ON M5V 2C3","0013-Senior managers - financial, communications and other business services",1
,,Citco (Canada) Inc.,"Toronto, ON M4W 1A8","1212-Supervisors, finance and insurance office workers",1
,,Digital Extremes Ltd.,"London, ON N6A 6K2",5241-Graphic designers and illustrators,1
,,Eastside Chevrolet Buick GMC Ltd.,"Markham, ON L3R 2P4","0124-Advertising, marketing and public relations managers",1
,,,,"1123-Professional occupations in advertising, marketing and public relations",1
,,Everest Toronto Services Inc.,"Mississauga, ON L5B 2C4",0621-Retail and wholesale trade managers,1
,,Falcon Motor Xpress Ltd.,"Caledon, ON L7C 2X3",2281-Computer network technicians,1
,,Frischkorn Audio-Visual Corp,"Mississauga, ON L5A 3V3",5225-Audio and video recording technicians,1
,,Gears Bike & Ski Shops Limited,"Mississauga, ON L5H 1G4","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",1
,,GeoTerre Limited,"Brampton, ON L6T 4V9",2144-Geological engineers,1
,,Great Connections Employment Service Inc.,"North York, ON M3H 5T5",1222-Executive assistants,1
,,Green Valley Golf Schools,"London, ON N5Z 3N7","0513-Recreation, sports and fitness program and service directors",1
,,Harmony Hyundai Inc.,"Rockland, ON K4K 1J8",0621-Retail and wholesale trade managers,1
,,Historic Restoration inc.,"Toronto, ON M4M 2R5",7294-Painters and decorators (except interior decorators),1
,,Intervolt Electric Ltd.,"Toronto, ON M1R 3C3",7241-Electricians (except industrial and power system),1
,,ISX International Student Exchange of Canada,"Toronto, ON M4Y 2B6",6411-Sales and account representatives - wholesale trade (non-technical),1
,,Joe Amaral Landscaping & General Contract Ltd.,"Toronto, ON M6H 3T7",7282-Concrete finishers,1
,,Juice DMS Advertising Limited,"Toronto, ON M5V 3B1",0213-Computer and information systems managers,1
,,Kabayan South Travel Inc,"Brampton, ON L6S 0E7",0621-Retail and wholesale trade managers,1
,,Kelsey Trail Trucking Ltd,"Innisfil, ON L9S 3V6",7511-Transport truck drivers,6
,,Marin Contracting Limited,"Concord, ON L4K 4X2",7271-Carpenters,2
,,MK Dinner Inc,"Burlington, ON L7N 2R5",6322-Cooks,2
,,Niagara Learning Academy,"Welland, ON L3B 3Z8",1226-Conference and event planners,1
,,North Eastern Trucking Inc.,"Hamilton, ON L8G 5H3",7511-Transport truck drivers,4
,,Ontario Corporation #1904516,"Kitchener, ON N2C 2S1",7282-Concrete finishers,2
,,Ontario Corporation 1350793,"Scarborough, ON M1W 2X1",2225-Landscape and horticulture technicians and specialists,1
,,Onyx Fire Protection Services Inc.,"Etobicoke, ON M9W 4M2",2242-Electronic service technicians (household and business equipment),1
,,OPC.TV Inc.,"Toronto, ON M5A 2N4","5131-Producers, directors, choreographers and related occupations",2
,,"Optima Drywall & Acoustics, Ltd.","Richmond Hill, ON L4B 4T9","7204-Contractors and supervisors, carpentry trades",1
,,Prica Group Construction Management Inc.,"Waterloo, ON N2V 2M7",6221-Technical sales specialists - wholesale trade,1
,,Prime Nutrisource Inc.,"Scarborough, ON M1X 1E4",1225-Purchasing agents and officers,1
,,QG Meat Ltd,"Scarborogh, ON M1V 5C8","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,"Radke Films, Ltd.","Toronto, ON M5A 2N4","5131-Producers, directors, choreographers and related occupations",7
,,Rafat General Contractor Inc,"Caledon, ON L7E 2Y4",7312-Heavy-duty equipment mechanics,2
,,REAL-TIME CONTRACTING GROUP INC,"Mississauga, ON L5T 1M6",7291-Roofers and shinglers,1
,,Revolver Films Inc.,"Toronto, ON M5V 2B3","5131-Producers, directors, choreographers and related occupations",1
,,Ristorante Verdicchio Limited,"Sudbury, ON P3E 5P5",6321-Chefs,1
,,Sequoia Content Limited,"Toronto, ON M5B 2E7","5131-Producers, directors, choreographers and related occupations",1
,,"Soft Citizen, Inc.","Toronto, ON M5A 2N4","5131-Producers, directors, choreographers and related occupations",1
,,Someplace Nice Inc.,"Toronto, ON M6H 2X6","5131-Producers, directors, choreographers and related occupations",1
,,"Steam Films, Inc.","Toronto, ON M5A 2N4","5131-Producers, directors, choreographers and related occupations",1
,,Suneeva Ltd.,"Toronto, ON M5B 2E7","5131-Producers, directors, choreographers and related occupations",5
,,Sure Track West Ltd.,"Concord, ON L4K 5B5",7511-Transport truck drivers,1
,,The Corporation of The County of Simcoe,"Midhurst, ON L9X 1N6","4412-Home support workers, housekeepers and related occupations",1
,,The Lodges at Blue Mountain Corporation,"Aurora, ON L4G 7S8",0632-Accommodation service managers,1
,,Trivision Broadband and Telecom Inc,"Markham, ON L3R 2N7","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
,,U and MI Holdings Inc.,"Etobicoke, ON M9C 1B8",0631-Restaurant and food service managers,1
,,Vila Bricklaying Ltd,"Toronto, ON M6L 1H4",7281-Bricklayers,1
,,Westside Studio,"Toronto, ON M6H 4A6","5131-Producers, directors, choreographers and related occupations",1
,,Workplace Medical Corp,"Hamilton, ON L8R 1E2",3112-General practitioners and family physicians,1
,,Z and Z Pharmacies Ltd.,"Windsor, ON N8W 3S4",3112-General practitioners and family physicians,2
,   Low Wage,1231889 Ontario Limited,"Mississauga, ON L4T 2H5",6322-Cooks,2
,,1268887 Ontario Inc,"Toronto, ON M4K 2P8",6321-Chefs,1
,,1404087 Ontario Inc.,"Concord, ON L4K 2T8",2233-Industrial engineering and manufacturing technologists and technicians,1
,,1520636 Ontario Inc,"Brampton, ON L6R 2K7",0631-Restaurant and food service managers,1
,,1630604 Ontario Inc.,"Brampton, ON L6S 6L1",0631-Restaurant and food service managers,1
,,,,6322-Cooks,1
,,1845073 Ontario Inc.,"Milton, ON L9T 1P8",6322-Cooks,1
,,1845129 Ontario Ltd.,"Thornhill, ON L4J 8W1","6562-Estheticians, electrologists and related occupations",1
,,1855655 Ontario Inc,"London, ON N6G 5J3",6311-Food service supervisors,1
,,1928045 Ontario Ltd.,"Grimsby, ON L3M 4E8",6311-Food service supervisors,2
,,1st Ambuport Inc.,"North York, ON M3B 2T6",1241-Administrative assistants,1
,,2036062 Ontario Inc.,"Mississauga, ON L4T 2G8",6211-Retail sales supervisors,1
,,2053167 Ontario Inc.,"Toronto, ON M2N 5P9",6322-Cooks,1
,,2065283 Ontario Inc.,"Toronto, ON M5P 2H8","5254-Program leaders and instructors in recreation, sport and fitness",1
,,2138725 Ontario Inc.,"Pickering, ON L1V 6K3",6311-Food service supervisors,1
,,2202662 Ontario Inc.,"Toronto, ON M4Y 1K9",6311-Food service supervisors,1
,,2209000 Ontario Ltd.,"Waterloo, ON N2J 4H7",5241-Graphic designers and illustrators,1
,,2265122 Ontario Inc.,"Brampton, ON L6V 4N1",6322-Cooks,1
,,2354181 Ontario Inc,"Toronto, ON M4N 2L9",6322-Cooks,1
,,2387103 Ontario Inc.,"London, ON N6E 1V4",6322-Cooks,1
,,2447103 Ontario Inc.,"Richmond Hill, ON L4B 3B1",6321-Chefs,1
,,2478388 Ontario Inc.,"Mount Hope, ON L0R 1W0","8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",1
,,2480839 Ontario Inc.,"London, ON N5X 0L9",6211-Retail sales supervisors,1
,,2522618 Ontario Corporation,"Petawawa, ON K8H 2E2",6311-Food service supervisors,1
,,8320357 Canada Ltd.,"Brampton, ON L6R 2K7",6322-Cooks,1
,,8720568 Canada Inc,"Scarborough, ON M1S 5V9",6322-Cooks,5
,,Antica Pizzeria Inc.,"Niagara Falls, ON L2G 3L6",6322-Cooks,1
,,Belwood Poultry Limited,"Amherstburg, ON N9V 2Y9","9617-Labourers in food, beverage and associated products processing",6
,,Central Tree Care Ltd.,"Toronto, ON M1L 4M7","8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",1
,,Crystal Nail Spa Inc.,"Burlington, ON L7M 4C6","6562-Estheticians, electrologists and related occupations",2
,,D & J Manufacturing Co. Ltd,"Toronto, ON M8Z 5V5",7272-Cabinetmakers,1
,,DHG 09 Inc.,"Mississauga, ON L5W 1T2",6311-Food service supervisors,1
,,EAT ITALY LTD.,"Barrie, ON L4N 9N2",6322-Cooks,1
,,Halton Hills Labradoodles Inc.,"Burlington, ON L7P 0A6",6563-Pet groomers and animal care workers,1
,,Heng Hing Trading Ltd . 1759317 Ontario Inc,"Richmond Hill, ON L4B 3K7",1221-Administrative officers,1
,,"Hoya Lens Canada, Inc.","Mississauga, ON L5L 5Z9",2282-User support technicians,1
,,JDSM Creative Inc.,"Toronto, ON M6K 2T9","5243-Theatre, fashion, exhibit and other creative designers",1
,,Just Shawarma Inc.,"Stittsville, ON K2S 1B9",6322-Cooks,1
,,Kingsville Stamping Ltd.,"Kingsville, ON N9Y 2E5","9619-Other labourers in processing, manufacturing and utilities",9
,,kitchenforkitchen.com Inc.,"Toronto, ON M3N 1V7",7272-Cabinetmakers,1
,,Mohamad's Barber Shop,"Cambridge, ON N1T 1W2",6341-Hairstylists and barbers,1
,,Multi-Mold Plastics Inc.,"Concord, ON L4K 1G6","9214-Supervisors, plastic and rubber products manufacturing",1
,,Ontario Best Carrier Inc,"Bolton, ON L7E 3B6","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Ontario Potato Dist. (Alliston) Inc. 1991,"Alliston, ON L9R 1W1",7452-Material handlers,6
,,Phoenix Custom Autobody Inc.,"Brampton, ON L6W 1X9",7322-Motor vehicle body repairers,1
,,Pinecrest Remembrance Services Ltd.,"Ottawa, ON K2C 3H9",8612-Landscaping and grounds maintenance labourers,1
,,Preet Logistics LTD.,"Hornby, ON L0P 1E0",7511-Transport truck drivers,1
,,Pride Group Logistics Ltd.,"Mississauga, ON L5T 1A6",7511-Transport truck drivers,1
,,Projection Moulds Inc.,"Brantford, ON N3S 7X3",2233-Industrial engineering and manufacturing technologists and technicians,1
,,Promast Inc.,"Mississauga, ON L4X 2G1",1311-Accounting technicians and bookkeepers,1
,,S & A Crafts,"Concord, ON L4K 1J1",7272-Cabinetmakers,1
,,Shivam Inc. O/A Subway Restaurant,"Etobicoke, ON M9B 4J3",6311-Food service supervisors,1
,,St. Joseph's Health Care London,"London, ON N6A 4V2",0711-Construction managers,1
,,The Strategy Institute Inc.,"Toronto, ON N5V 3A8","1123-Professional occupations in advertising, marketing and public relations",1
,,Turco Persian Rug Company Inc,"Toronto, ON M5A 1R2","9442-Weavers, knitters and other fabric making occupations",1
,,ULS Corporate Inc.,"Toronto, ON M2N 5Y7",1225-Purchasing agents and officers,1
,,VBE Developments Ltd.,"Toronto, ON M8Y 3J6",1224-Property administrators,1
,,Zuimei Corporation Ltd.,"Toronto, ON M5V 1Z4",6311-Food service supervisors,1
,  Primary Agriculture,2492309 Ontario Ltd / Double Diamond Plant 3,"Leamington, ON N8H 3W2",8432-Nursery and greenhouse workers,4
,,Harwood Estate Vineyards Inc.,"Aurora, ON L4G 1H8",8431-General farm workers,2
,,Horizon Seeds Canada Inc.,"Courtland, ON N0J 1E0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,JM Hydroponics Ltd,"Kingsville, ON N9Y 2N5",8432-Nursery and greenhouse workers,20
,,Monaghan Mushrooms Ltd,"Campbellville, ON L0P 1B0",8611-Harvesting labourers,30
,,Pioneer Flower Farms Limited,"St. Catharines, ON L2R 6P9",8432-Nursery and greenhouse workers,18
,,Prism Farms Ltd,"Leamington, ON N8H 3V8",8432-Nursery and greenhouse workers,14
,,,,8611-Harvesting labourers,6
,,Roelands Plant Farms Inc,"Lambton Shores, ON N0N 1J5",8432-Nursery and greenhouse workers,10
,,Under Sun Acres Inc,"Staples, ON N0P 2J0",8432-Nursery and greenhouse workers,15
,,United Bait Inc.,"Stratford, ON N5A 1W3",8611-Harvesting labourers,7
,Permanent Resident Only,1087396 Ontario Ltd.,"Toronto, ON M4G 3B5",6321-Chefs,1
,,1295503 Ontario Inc.,"Mississauga, ON L5V 2H1","0016-Senior managers - construction, transportation, production and utilities",1
,,,,0731-Managers in transportation,1
,,1740367 Ontario Inc.,"Toronto, ON M1V 4S9",6421-Retail salespersons,1
,,2130038 Ontario Inc,"Mississauga, ON L5T 1B6",1221-Administrative officers,1
,,2207801 Ontario Inc.,"Brampton, ON L6W 1M6",6211-Retail sales supervisors,1
,,2212579 Ontario Ltd.,"Toronto, ON M5T 1S5","6313-Accommodation, travel, tourism and related services supervisors",1
,,6775187 Canada Inc.,"Brampton, ON L6R 1R7","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,A 2 Z Kitchen Cabinets Inc.,"Brampton, ON L6T 4M2","9224-Supervisors, furniture and fixtures manufacturing",1
,,A&C Law Firm LLP,"Ottawa, ON K1V 7Z3","4164-Social policy researchers, consultants and program officers",1
,,Ancam Solutions Company Ltd,"Oakville, ON L6L 6J4",1311-Accounting technicians and bookkeepers,1
,,APS Mann Legal Professional Corp.,"Brampton, ON L6T 4L9","0013-Senior managers - financial, communications and other business services",1
,,Clore Beauty Inc.,"Toronto, ON M6H 1M8",6211-Retail sales supervisors,1
,,Core Architects Inc,"Toronto, ON M5V 1P9","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",1
,,EP America Inc.,"Mississauga, ON L4W 4J4",1241-Administrative assistants,1
,,Everest Toronto Services Inc.,"Mississauga, ON L5B 2C4",0621-Retail and wholesale trade managers,3
,,Global IT Connect Ltd.,"Mississauga, ON L4V 1W1",2172-Database analysts and data administrators,1
,,Navid Manufacturing Inc,"Guelph, ON N1H 6H9","7201-Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",1
,,N-Patrol Inc.,"Woodbridge, ON L4H 0J2",6221-Technical sales specialists - wholesale trade,1
,,Rei Dos Leitos Bar & Grill Ltd,"London, ON N5Z 1T6",0631-Restaurant and food service managers,1
,,S & A Crafts,"Concord, ON L4K 1J1","7204-Contractors and supervisors, carpentry trades",1
,,St. Isidore Storage Limited,"St. Isidore, ON K0C 2B0",0714-Facility operation and maintenance managers,1
,,Standard Sweets and Restaurants Ltd.,"Brampton, ON L6R 2K4",6322-Cooks,1
,,Tamello Enterprises Inc.,"Concord, ON L4K 1L9",6322-Cooks,1
,,Toronto School of Management Inc.,"Toronto, ON M5G 1K2",4163-Business development officers and marketing researchers and consultants,1
Manitoba,    High Wage,4667710 Manitoba Ltd.,"Winnipeg, MB R3P 2P2",4214-Early childhood educators and assistants,2
,,Bison Family Medical Clinic Inc.,"Winnipeg, MB R3T 4Z7",4212-Social and community service workers,1
,,DFS Deck Freight Systems Inc.,"Winnipeg, MB R3S 1A3",7511-Transport truck drivers,3
,,Ingram Consulting Limited,"Winnipeg, MB R3B 1Z8",4211-Paralegal and related occupations,1
,,Lozman Canada Inc,"Winnipeg, MB R3N 0V7",0621-Retail and wholesale trade managers,1
,,Nyu Nyu International Ltd.,"Winnipeg, MB R3N 1P3",0632-Accommodation service managers,1
,,SH Construction & Renovation Inc,"Winnipeg, MB R2M 2P8",7283-Tilesetters,1
,,Urecoat Inc.,"Winnipeg, MB R2J 3R8",7293-Insulators,1
,   Low Wage,4195101 Manitoba Ltd.,"Winnipeg, MB R2M 5A9",6322-Cooks,2
,,6449434 Manitoba Ltd,"Winnipeg, MB R3T 4S5",6322-Cooks,1
,,Domo Gasoline Corporation Ltd,"Winnipeg, MB R3C 1E5",6211-Retail sales supervisors,2
,,Lozman Canada Inc,"Winnipeg, MB R3N 0V7",6421-Retail salespersons,2
,,Peter Bastians International,"Winnipeg, MB R3P 2H2",6322-Cooks,1
,,ShopDrop Ltd.,"Winnipeg, MB R3W 0G7",7514-Delivery and courier service drivers,3
,  Primary Agriculture,Calvern Farms Ltd.,"Argyle, MB R0C 0B0",8431-General farm workers,2
,Permanent Resident Only,Nexus Realty Brokerage,"Brandon, MB R7A 4K1","0016-Senior managers - construction, transportation, production and utilities",1
Saskatchewan,    High Wage,1647019 Ontario Inc.,"Regina, SK S4T 1E6",7312-Heavy-duty equipment mechanics,3
,,,,7511-Transport truck drivers,4
,,Five Hills Health Region,"Moose Jaw, SK S6J 0C2",3111-Specialist physicians,1
,,Olugbenga Abimbola Akinsanya Dental Prof Corp,"Prince Albert, SK S6V 4T1",3113-Dentists,1
,,Radiology Associates Of Regina Medical P.C. Inc.,"Regina, SK S4S 6X5",3111-Specialist physicians,1
,,S.K. Transportation Inc.,"Saskatoon, SK S7W 0X5",7511-Transport truck drivers,2
,   Low Wage,101105624 Saskatchewan Ltd.,"Lanigan, SK S0K 2M0",6311-Food service supervisors,1
,,101190264 Saskatchewan Ltd.,"Saskatoon, SK S7T 0G3",6322-Cooks,1
,,101298842 Saskatchewan Ltd.,"Big River, SK S0J 0E0",6311-Food service supervisors,1
,,102016053 Saskatchewan Ltd.,"Regina, SK S4V 1H1",0631-Restaurant and food service managers,1
,,AG Commercial Cleaner,"Prince Albert, SK S6V 1M1",6731-Light duty cleaners,1
,,Little Castle Childcare Centre,"Indian Head, SK S0G 2K0",4214-Early childhood educators and assistants,1
,,Moosomin Asian Food Mart Inc.,"Moosomin, SK S0G 3N0",6211-Retail sales supervisors,1
,,P & K Trading Ltd,"Hudson Bay, SK S0E 0Y0",6513-Food and beverage servers,1
Alberta,    High Wage,1020102 Alberta Ltd.,"Edmonton, AB T6V 1G5",0631-Restaurant and food service managers,1
,,1213344 AB Ltd.,"Grande Prairie, AB T8V 5L4","7201-Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",1
,,1487016 Alberta Ltd,"Calgary, AB T2G 1K4",6314-Customer and information services supervisors,1
,,1798529 Alberta Ltd,"Calgary, AB T2A 0V1",0621-Retail and wholesale trade managers,1
,,417643 Alberta Ltd. o/a Kastelen Sausage & Fine Meats,"Ardrossan, AB T8G 2G2",0621-Retail and wholesale trade managers,1
,,Comm-It Canada Inc o/a Comm-it,"Calgary, AB T2T 0H1",0213-Computer and information systems managers,1
,,Crane & IMJ Medical Clinics,"Chestermere, AB T1X 0T9",3112-General practitioners and family physicians,1
,,Future Forward Inc,"Calgary, AB T3C 3K8",2175-Web designers and developers,1
,,Hyrax Orthodontic Lab,"Okotoks, AB T1S 1J3","3223-Dental technologists, technicians and laboratory assistants",1
,,Ideal Contract Services Ltd.,"Edmonton, AB T6E 5C8","7284-Plasterers, drywall installers and finishers and lathers",1
,,iHome Media Inc,"Calgary, AB T2B 0K6",2282-User support technicians,1
,,Indo-Bridge Inc.,"Calgary, AB T2K 3R8","0013-Senior managers - financial, communications and other business services",1
,,Izah Corporation,"Edson, AB T7E 1V2",0621-Retail and wholesale trade managers,1
,,K. Sideri Professional Corporation,"Edmonton, AB T6G 1C3",1243-Medical administrative assistants,1
,,Kansas Ridge Trucking Ltd.,"Lacombe, AB T4L 2N4","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,M & T Ceramic Tile and Marble Ltd.,"Calgary, AB T3P 1G1","7284-Plasterers, drywall installers and finishers and lathers",2
,,Modus Enterprises Ltd.,"Calgary, AB T2B 3R3",7441-Residential and commercial installers and servicers,1
,,Municipal District of Mackenzie #23,"Fort Vermillion, AB T0H 1N0",2153-Urban and land use planners,1
,,Parcae Ltd.,"Sturgeon County, AB T8T 0C7","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",1
,,Regency Innovations Inc.,"Edmonton, AB T6E 5H7",1221-Administrative officers,1
,,Sameera & Sophina Restaurants Ltd,"Edmonton, AB T6K 4A2",0631-Restaurant and food service managers,1
,,Shamrock Building Services Ltd,"Edmonton, AB T5L 0T6","7204-Contractors and supervisors, carpentry trades",3
,,Thomas Insulation Constructors Inc.,"Calgary, AB T2E 6W1","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Tingley Implements Inc,"Lloydminster, AB T9V 3A3",7312-Heavy-duty equipment mechanics,1
,,"Two Pillars Financial Solutions, Inc.","Edmonton, AB T6W 0G9","1212-Supervisors, finance and insurance office workers",1
,,Westlock Motors Ltd.,"Westlock, AB T7P 2E4","7301-Contractors and supervisors, mechanic trades",1
,,Window Mart Inc.,"Edmonton, AB T6E 6M9",6221-Technical sales specialists - wholesale trade,1
,   Low Wage,100 West Ltd,"Lloydminster, AB T9V 3B7",6311-Food service supervisors,1
,,1007876 Alberta Ltd.,"Westlock, AB T7P 2C6",6311-Food service supervisors,1
,,1100512 Alberta Ltd,"Edmonton, AB T6G 1E4",6316-Other services supervisors,1
,,1172679 Alberta Ltd,"Edmonton, AB T6H 0K5",6322-Cooks,2
,,1205466 Alberta Ltd,"Grimshaw, AB T0H 1W0",6322-Cooks,1
,,1208922 Alberta Ltd,"Peace River, AB T8S 1S3",6311-Food service supervisors,1
,,1231023 Alberta Ltd,"Edmonton, AB T6W 1M9",6311-Food service supervisors,1
,,1425207 Alberta Ltd,"Edmonton, AB T6V 0C5",6311-Food service supervisors,1
,,1479554 Alberta Ltd.,"Calgary, AB T3E 6K6",6311-Food service supervisors,1
,,1482425 Alberta Ltd,"Edmonton, AB T5B 0G1",0631-Restaurant and food service managers,1
