"List of employers who were issued a negative Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and business location in 2017 (January-June)",,,,,
Province/Territory,Stream,Employer,Address,Occupations under NOC 2011,Requested Positions
,,8540268 Canada Inc.,"Gatineau, QC J8T 8G3","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,9139-7026 Québec Inc.,"Québec, QC G1V 4J9",6322-Cooks,1
,,9218-5792 Québec inc,"Laval, QC H7E 4H9",6322-Cooks,1
,,9223-7932 Québec Inc.,"Westmount, QC H3Z 1T3","0124-Advertising, marketing and public relations managers",3
,,,,1311-Accounting technicians and bookkeepers,2
,,,,2281-Computer network technicians,1
,,,,5123-Journalists,1
,,9242-0702 Québec Inc,"Prévost, QC J0R 1T0",6322-Cooks,1
,,9309-4142 Québec Inc.,"Montréal, QC H2X 2T6",6322-Cooks,1
,,9326-1519 Québec inc.,"Notre-Dame-des-Prairies, QC J6E 1G1",2241-Electrical and electronics engineering technologists and technicians,1
,,9329-5384 Québec inc.,"Montréal, QC H4R 1W8",0621-Retail and wholesale trade managers,1
,,9330-4236 Quebec Inc.,"L'Anse-à-Beaufils, QC G0C 1G0",0631-Restaurant and food service managers,1
,,9334-6328 Québec Inc.,"Montréal, QC H3X 3Z6",6321-Chefs,2
,,9339-4328 Québec inc,"Laval, QC H7T 2W9",0631-Restaurant and food service managers,1
,,9350-4389 Québec Inc,"Montreal, QC H3B 2E3",2173-Software engineers and designers,1
,,A.A. Juices Canada Inc.,"Montreal, QC H4R 1W8","0124-Advertising, marketing and public relations managers",1
,,Advantech sans fil Inc./Advantech Wireless Inc.,"Dorval, QC H9P 1G1",2133-Electrical and electronics engineers,1
,,Allo-Comptable,"Varennes, QC J3X 1P1",1311-Accounting technicians and bookkeepers,1
,,Altitude Aerospace Inc.,"Montréal, QC H4S 1T2",2146-Aerospace engineers,2
,,Amaris Conseil Inc.,"Montreal, QC H2Y 2W8",4162-Economists and economic policy researchers and analysts,1
,,ATELIER D'USINAGE ST-HUBERT LTÉE,"St-Hubert, QC J3Y 0A8",7231-Machinists and machining and tooling inspectors,1
,,Automated Tracking & Management Systems inc,"Saint-Laurent, QC H4T 1V3","0124-Advertising, marketing and public relations managers",1
,,Bio V Pharma Inc.,"Dollard-des-Ormeaux, QC H9B 3J1",2241-Electrical and electronics engineering technologists and technicians,1
,,Bombardier Inc.,"Montréal, QC H3B 1Y8",2133-Electrical and electronics engineers,1
,,Centre d'Apprentissage aux Mille et Une Astuces,"St-Jean-sur-Richelieu, QC J3B 5L7",3141-Audiologists and speech-language pathologists,1
,,Coco Pazzo Inc. (Restaurant),"Mont-Tremblant, QC J8E 1B1",6322-Cooks,2
,,COFOMO Québec inc.,"Québec, QC G2J 0B9",2174-Computer programmers and interactive media developers,2
,,COLO-D Inc.,"Drummondville, QC J2C 7W2",6221-Technical sales specialists - wholesale trade,1
,,CONSEILLERS EN GESTION ET INFORMATIQUE CGI INC,"Montreal, QC H3G 1T4",2171-Information systems analysts and consultants,3
,,Corporation Interactive EIDOS,"Montréal, QC H3A 1G1","0124-Advertising, marketing and public relations managers",1
,,David&Goliath Communication-Marketing Inc,"Outremont, QC H2V 1A5",1241-Administrative assistants,1
,,Demeter Services Vétérinaires Inc.,"Lévis, QC G7A 3S8",3114-Veterinarians,1
,,Dolphin Homeware Imports Inc,"Boucherville, QC J4B 8S6","0124-Advertising, marketing and public relations managers",1
,,EFFENTI INC.,"Québec, QC G1W 2K7",2174-Computer programmers and interactive media developers,1
,,Eskimo Express inc.,"St-Arsène, QC G0L 2K0",0731-Managers in transportation,1
,,Essential France Inc,"Montréal, QC H4G 1S8",4163-Business development officers and marketing researchers and consultants,1
,,Festival Chromatic,"Montréal, QC H2W 1Z3","0124-Advertising, marketing and public relations managers",1
,,Gestion Alivan Inc,"Montréal, QC H4E 1A4",0911-Manufacturing managers,1
,,Groupe Daoust/Forget Inc.,"Laval, QC H7S 2M2",6316-Other services supervisors,1
,,Groupe Money Globe Inc,"Montréal, QC H3C 4P2",2174-Computer programmers and interactive media developers,1
,,Institut national de la recherche scientifique (INRS),"Québec, QC G1K 9A9",2111-Physicists and astronomers,1
,,Jobillico inc.,"Québec, QC G1K 3J2",2171-Information systems analysts and consultants,1
,,Kinton Ramen 6 Montréal Inc,"Montréal, QC H3A 2S9",6322-Cooks,1
,,Klimfax Inc.,"Longueuil, QC J4G 2M1",7313-Refrigeration and air conditioning mechanics,1
,,La Fabrique Arhoma Inc.,"Montréal, QC H2L 1S7",6332-Bakers,2
,,Laboratoire De Test Enzyme,"Saint-Jérome, QC J7Y 1S5","5125-Translators, terminologists and interpreters",6
,,L'ATELIER MIRAGE DE REMBOURREURS SUR MESURE (2002) INC.,"Montréal, QC H4E 1A8",6345-Upholsterers,1
,,Le petit Théâtre du Vieux Noranda,"Rouyn-Noranda, QC J9X 1Z9","5226-Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",1
,,Les Produits SI Canada Inc,"Montréal, QC H4T 1N1",0601-Corporate sales managers,1
,,L'ÎLOT CÂLIN INC. (garderie),"Montreal, QC H2W 1X6",4214-Early childhood educators and assistants,1
,,L'industrielle Alliance,"Québec, QC G1K 7M3",0213-Computer and information systems managers,1
,,Luxury Retreats International,"Montréal, QC H4E 1A8","5131-Producers, directors, choreographers and related occupations",1
,,Ma Poule Mouillée inc.,"Montréal, QC H2W 2G9",6322-Cooks,1
,,Martov Inc,"Montreal, QC H2W 1Y2",5241-Graphic designers and illustrators,1
,,Morgan Stanley Canada Ltd,"Montréal, QC H3C 3S4",0213-Computer and information systems managers,1
,,Opal-Rt Technologies Inc.,"Montréal, QC H3K 1G6",2173-Software engineers and designers,1
,,Qualtech Solutions Inc.,"Québec, QC G1N 4K3",2134-Chemical engineers,1
,,Qube 4D Ventures Inc.,"Dorval, QC H9P 1G9",2174-Computer programmers and interactive media developers,1
,,Restaurant Avocado Sushi Express,"Sainte-Anne-des-Plaines, QC J0N 1H0",6321-Chefs,1
,,Restaurant Marché Central Bogaty Inc.,"Montréal, QC H4N 1K2",6321-Chefs,1
,,Restaurants William Gray Inc.,"Montréal, QC H2Y 2Z7",6322-Cooks,1
,,Rouge media Group Inc.,"Montréal, QC H2Z 1P8","1123-Professional occupations in advertising, marketing and public relations",1
,,Service de Conciergerie Luckey Homes Montreal,"Montreal, QC H2Y 2W2",1411-General office support workers,1
,,"Services Environnementaux Faucon, Inc","St-Lazare, QC J7T 2Z7",2121-Biologists and related scientists,1
,,Société Conseil Groupe LGS,"Québec, QC G1V 4K5",2174-Computer programmers and interactive media developers,1
,,The Aldo Group Inc.,"Montréal, QC H4R 3J4",0911-Manufacturing managers,1
,,Transilvania Plomberie Inc,"Montréal, QC H4E 1G9",7271-Carpenters,1
,,Tuango Inc.,"Montreal, QC H2Y 2L2","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Ultime Pression inc,"Anjou, QC H1J 3C1",7332-Appliance servicers and repairers,1
,,Verbom Inc.,"Valcourt, QC J0E 2L0",7333-Electrical mechanics,1
,   Low Wage,2867-3598 QUEBEC INC.,"Montréal, QC H3H 2G9",6322-Cooks,1
,,9248-9921 Québec inc.,"St-Léonard, QC H1S 2J3",7272-Cabinetmakers,1
,,9263-0805 Québec Inc,"Val-d'Or, QC J9P 1R1",0621-Retail and wholesale trade managers,1
,,9294970 Canada Inc,"Laval, QC H7T 1C8",6211-Retail sales supervisors,1
,,9323-7048 Québec Inc.,"Montréal, QC H2S 1G5",6322-Cooks,1
,,9337-3074 Québec Inc,"Montreal, QC H2Y 1H1",6322-Cooks,1
,,9346-6266 Québec Inc,"Montréal, QC H4Z 1E9",0712-Home building and renovation managers,1
,,Boutique Surmesur inc.,"Québec, QC G1N 4G2","1123-Professional occupations in advertising, marketing and public relations",1
,,CleverToday,"Montreal, QC H2Y 1T9",2174-Computer programmers and interactive media developers,1
,,Coiffure De Neuville,"Montreal, QC H1M 3M3",6341-Hairstylists and barbers,1
,,Doyon Hydraulique Inc,"Trois-Rivière, QC G9A 2W7",7231-Machinists and machining and tooling inspectors,1
,,Garderie au pays des Bambins Inc,"Montreal, QC H1H 5G6",4214-Early childhood educators and assistants,1
,,L'atelier moderne concepts bois Inc.,"Terrebonne, QC J6X 4K4",6411-Sales and account representatives - wholesale trade (non-technical),1
,,Les Fines herbes de Chez-Nous inc.,"St-Mathieu-de-Beloeil, QC J3G 0E3",7511-Transport truck drivers,1
,,Opsens Inc.,"Québec, QC G1P 4S3","9523-Electronics assemblers, fabricators, inspectors and testers",1
,,Patio Drummond Ltée,"Drummondville, QC J2A 3W8","9414-Concrete, clay and stone forming operators",4
,,Progazon Commercial Inc,"Saint-Lambert, QC J4R 1A7",2225-Landscape and horticulture technicians and specialists,1
,,Roymick inc.,"Val-d'Or, QC J9P 1S8",3219-Other medical technologists and technicians (except dental health),1
,,Salon Andalous,"Montréal, QC H2E 1T9",6341-Hairstylists and barbers,1
,,Salon de coiffure Jacques Despars (Les entreprises Jacques Despars inc.),"Montréal, QC H2S 1T4",6341-Hairstylists and barbers,1
,,Service d'arbres Nature (9125-1991 QUÉBEC INC.),"Blainville, QC J7C 6B4",2225-Landscape and horticulture technicians and specialists,1
,,Solutions Beeye Inc,"Montréal, QC H2L 3K8",1454-Survey interviewers and statistical clerks,1
,,Voyages Bernard Gendron Inc,"Valleyfield, QC J6S 1C2",1411-General office support workers,1
,  Primary Agriculture,6745369 Canada Inc,"Stoke, QC J0B 3G0",8431-General farm workers,4
,,Ferme Equestre Excalibur (Reining) inc.,"St-Basile-le-Grand, QC J3N 1M4","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,    High Wage,1081716 Ontario Limited,"Vaughan, ON L4H 3H9",7251-Plumbers,1
,,1231889 Ontario Limited,"Mississauga, ON L4T 2H5",0621-Retail and wholesale trade managers,1
,,1286346 Ontario Inc.,"Markham, ON L3R 1N3",1524-Purchasing and inventory control workers,1
,,1304943 Ont. Ltd,"Thunder Bay, ON P7A 4Z6",3216-Medical sonographers,1
,,1359238 Ontario Inc.,"Vaughan, ON L4K 8A3","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,1429481 Ontario Inc.,"Markham, ON L3R 1C7","0013-Senior managers - financial, communications and other business services",1
,,1471939 Ontario Inc,"Toronto, ON M6B 1P5",0621-Retail and wholesale trade managers,1
,,1597596 Ontario INC.,"Burlington, ON L7R 3T3",0632-Accommodation service managers,1
,,1695116 Ontario Limited,"Richmond Hill, ON L4S 2V5",7271-Carpenters,1
,,1749348 Ontario Inc.,"Tillsonburg, ON N4G 4W9",1122-Professional occupations in business management consulting,1
,,1785634 Ontario Inc,"Vaughan, ON L4J 0B8",7312-Heavy-duty equipment mechanics,1
,,,,7452-Material handlers,1
,,1829973 Ontario Ltd.,"Kingston, ON K7M 7N8","3223-Dental technologists, technicians and laboratory assistants",2
,,1858727 Ontario Inc,"Toronto, ON M4L 1J3",6321-Chefs,1
,,1940905 Ontario Inc.,"Vaughan, ON L4K 4R9",1122-Professional occupations in business management consulting,1
,,2073981 Ontario Inc.,"Toronto, ON M8X 2W8",0631-Restaurant and food service managers,1
,,2132243 Ontario Inc.,"Brampton, ON L6W 3G4",2174-Computer programmers and interactive media developers,1
,,2263260 Ontario Inc.,"Kitchener, ON N2E 0B3",6221-Technical sales specialists - wholesale trade,1
,,2333662 Ontario Inc o/a Bagel World Thornhill,"Thornhill, ON L4J 0A7",0112-Human resources managers,1
,,2358723 Ontario Inc.,"Halton Hills, ON L7G 4S7",1241-Administrative assistants,1
,,2391548 Ontario Inc.,"Toronto, ON M4S 2A2",6321-Chefs,1
,,2405237 Ontario Inc,"Richmond Hill, ON L4B 3A9",0631-Restaurant and food service managers,1
,,2429486 Ontario Limited,"Burlington, ON L7L 5Y3",1241-Administrative assistants,1
,,2455091 Ontario Inc.,"Mississauga, ON L5L 1T1",2232-Mechanical engineering technologists and technicians,1
,,2495091 Ontario Ltd.,"Richmond Hill, ON L4C 9S2",6321-Chefs,1
,,2512931 Ontario Inc.,"Toronto, ON M5S 1M4",6321-Chefs,1
,,2iSolutions Inc.,"North York, ON M3H 2M1",2174-Computer programmers and interactive media developers,2
,,444362 Ontario Limited,"Toronto, ON M2H 2E1",7231-Machinists and machining and tooling inspectors,2
,,453684 Ontario Ltd,"London, ON N6A 3H5",1225-Purchasing agents and officers,1
,,7150440 Canada Inc.,"Brampton, ON L6W 1K5","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,7679742 Canada Inc.,"Mississauga, ON L4T 3X1",5225-Audio and video recording technicians,1
,,8031991 Canada Corporation,"Dunrobin, ON K0A 1T0",0621-Retail and wholesale trade managers,1
,,8272450 Canada Inc.,"Brampton, ON L6X 4T7",1241-Administrative assistants,1
,,9054118 Canada Corp,"Mississauga, ON L5S 1M2",1121-Human resources professionals,1
,,Ad hoc Content Inc.,"Toronto, ON M6K 3E9","5131-Producers, directors, choreographers and related occupations",1
,,AKSSG Inc.,"Brampton, ON L6R 3H8",7511-Transport truck drivers,1
,,Alumicom Inc.,"Concord, ON L4K 1Z3",2251-Architectural technologists and technicians,2
,,Antara Design Build Inc.,"Mississauga, ON L5G 4R6",7271-Carpenters,1
,,Apollon Iron Works,"North York, ON M3J 2N1",7237-Welders and related machine operators,1
,,APS Interiors Inc.,"Pickering, ON L1W 3V5","7284-Plasterers, drywall installers and finishers and lathers",1
,,Arts & Sciences Dept. LLC,"Toronto, ON M6J 1H6","5131-Producers, directors, choreographers and related occupations",1
,,Asian Connections Inc.,"Toronto, ON M9W 1R6",5225-Audio and video recording technicians,1
,,ASL19 Inc.,"Toronto, ON M5T 2L7","0124-Advertising, marketing and public relations managers",1
,,ASTTF2 Group Ltd.,"Stoney Creek, ON L8E 5N7",2242-Electronic service technicians (household and business equipment),1
,,ATD Precision Ltd.,"Mississauga, ON L5T 1E8",2233-Industrial engineering and manufacturing technologists and technicians,1
,,Avida 2015 Inc.,"Etobicoke, ON M8Z 2X2",5241-Graphic designers and illustrators,1
,,Ax Pharma,"Richmond HIll, ON L4B 1H4","9232-Petroleum, gas and chemical process operators",1
,,Aztec Structual Restoration Inc.,"Bolton, ON L7E 7G4",7271-Carpenters,1
,,Balkan Flooring Inc.,"Kitchener, ON N2K 2Y8",7283-Tilesetters,1
,,Barton Truck Centre Ltd.,"Hamilton, ON L8H 3P6","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,Basecrete Inc.,"Woodbridge, ON L4L 8A8",7282-Concrete finishers,1
,,BBS Securities Inc,"Toronto, ON M2P 2B5",1122-Professional occupations in business management consulting,1
,,Bhardwaj Law Professional Corporation,"Woodbridge, ON L4H 0J2",4211-Paralegal and related occupations,1
,,BIO-RAD LABORATORIES (CANADA) LIMITED,"Mississauga, ON L5T 1C9",2241-Electrical and electronics engineering technologists and technicians,1
,,Bona Building Materials Inc.,"Markham, ON L6G 1B5",1225-Purchasing agents and officers,1
,,Bradley Compact Excavation Ltd,"Stouffville, ON L0G 1E0",7611-Construction trades helpers and labourers,1
,,Bramalea Steelworks Ltd.,"Mississauga, ON L5S 1S2",7237-Welders and related machine operators,1
,,Brampton Kitchen & Cabinets Ltd,"Brampton, ON L6W 3N5",7231-Machinists and machining and tooling inspectors,1
,,Bravo Textiles Inc.,"Toronto, ON M2N 2M8",4163-Business development officers and marketing researchers and consultants,1
,,BRC Restoration INC,"Concord, ON L4K 4W8",7271-Carpenters,1
,,Brian Isherwood & Associates Ltd.,"Mississauga, ON L5L 5M5",0211-Engineering managers,1
,,Buhler (Canada) Inc.,"Markham, ON L3R 4B9",6221-Technical sales specialists - wholesale trade,1
,,Canadian Tube Tooling Co. Ltd.,"Mississauga, ON L5T 2K7",7232-Tool and die makers,1
,,Cancoil Thermal Corporation,"Kingston, ON K7L 4V3",2253-Drafting technologists and technicians,2
,,Can-Sky Roofing and Sheet Metal Inc.,"Toronto, ON M9W 3A5","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",1
,,Cars Auto Collision Ltd,"Burlington, ON L7L 4X3",7322-Motor vehicle body repairers,2
,,Castlewall Developments Ltd.,"Toronto, ON M6M 2Y2",0711-Construction managers,1
,,Caxtec Systems Inc.,"Mississauga, ON L4Z 1V9",0213-Computer and information systems managers,1
,,Charoen Pokphand Foods Canada Inc.,"Markham, ON L3R 6G2","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
,,Chess Industrial Power Rectifiers Inc,"Sudbury, ON P3C 1B4",6221-Technical sales specialists - wholesale trade,1
,,Circle Productions Ltd.,"Toronto, ON M5V 1T2","5131-Producers, directors, choreographers and related occupations",1
,,City of Ottawa,"Ottawa, ON K1P 1J1",2171-Information systems analysts and consultants,1
,,CJ Marketing Ltd.,"Richmond Hill, ON L4B 3Z3","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Classic Crystal Decorative Glass Ltd.,"Toronto, ON M3J 1Z4",9413-Glass forming and finishing machine operators and glass cutters,1
,,Cluep Inc.,"Toronto, ON M6K 3G3",2175-Web designers and developers,1
,,CNC Cutting.ca,"Toronto, ON M6B 3Z4",2252-Industrial designers,1
,,Cogeneration & Energy Management Engineering,"St. Catharines, ON L2M 3Y2",2133-Electrical and electronics engineers,1
,,COMBC,"Oakville, ON L6H 0E6",7271-Carpenters,1
,,Complete Stainless Solutions Limited,"Mississauga, ON L4W 1Y4",7237-Welders and related machine operators,1
,,Compressed Air International Inc.,"Woodbridge, ON L4L 5V4",2242-Electronic service technicians (household and business equipment),1
,,Con-Drain Company (1983) Limited,"Concord, ON L4K 4R1",7282-Concrete finishers,1
,,Controlled Contents Management Inc.,"Toronto, ON M6B 3Y4",7271-Carpenters,1
,,Counting Opinions (Squire) Ltd,"Toronto, ON M2J 3Z8",2175-Web designers and developers,1
,,CQ Search Group Ltd,"Toronto, ON M9C 5K6",2173-Software engineers and designers,1
,,CroTech Electric Contractors Ltd.,"Burlington, ON L7L 0A3",2234-Construction estimators,1
,,Cumulus Architects Inc.,"Toronto, ON M5R 3P8",2251-Architectural technologists and technicians,2
,,CVH (NO. 2) LP,"Markham, ON L3R 4T9",3012-Registered nurses and registered psychiatric nurses,1
,,Cycloides Inc.,"Mississauga, ON L5T 2E7",0213-Computer and information systems managers,1
,,Dash Vapes Inc.,"Markham, ON L3R 9T5","1123-Professional occupations in advertising, marketing and public relations",1
,,DHT Electric Service Inc,"Mississauga, ON L5R 3N7",7241-Electricians (except industrial and power system),1
,,Dominion Voting Systems Corporation,"Toronto, ON M5T 2C7",2283-Information systems testing technicians,1
,,Dytronix Inc.,"Richmond Hill, ON L4S 0B8",2281-Computer network technicians,1
,,E & L Stairs and Railings Corp.,"Mississauga, ON L5T 1K8",1523-Production logistics co-ordinators,1
,,EastenGHouse Inc.,"Mississauga, ON L4W 2Z6",7241-Electricians (except industrial and power system),1
,,Electronic Pipeline Technology Ltd.,"Richmond Hill, ON L4E 0M8","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
,,Elite Email Inc.,"Toronto, ON M9L 1S7",2175-Web designers and developers,1
,,Enviro World Corporation,"Toronto, ON M9W 0A2","1211-Supervisors, general office and administrative support workers",1
,,Europro Tile & Marble Ltd,"Woodbridge, ON L4T 9H9",7283-Tilesetters,1
,,Everest Traders Inc.,"Mississauga, ON L4T 0A5",6222-Retail and wholesale buyers,1
,,Flixel Photos Inc,"Toronto, ON M6K 3G3","0124-Advertising, marketing and public relations managers",1
,,Flynn Canada Ltd.,"Mississauga, ON L4V 1K2",7233-Sheet metal workers,3
,,Frontier Inc,"Toronto, ON M8Z 2G9",7272-Cabinetmakers,1
,,FT EnE Canada Inc,"Brantford, ON N3T 5L8",2233-Industrial engineering and manufacturing technologists and technicians,3
,,Future Link Consultants Inc.,"Scarborough, ON M1P 4X4",1221-Administrative officers,1
,,FX Capital Ltd,"Ottawa, ON K2P 1B8","0013-Senior managers - financial, communications and other business services",1
,,Galrich Construction Services,"Toronto, ON M8W 1Z6",7441-Residential and commercial installers and servicers,2
,,GG Fabrication Inc,"Brampton, ON L6T 4J4",2233-Industrial engineering and manufacturing technologists and technicians,1
,,Gotcha Wildlife Removal Services Ltd.,"Etobicoke, ON M9A 4M6",7444-Pest controllers and fumigators,1
,,GSD Renovations Inc.,"Brampton, ON L6R 0M8",7313-Refrigeration and air conditioning mechanics,1
,,GSM Tennis Club Inc.,"Kitchener, ON N2P 2X6",5252-Coaches,1
,,H. Breiter Window Cleaning Ltd.,"North York, ON M6A 1P3",6315-Cleaning supervisors,2
,,H.S. Dhaliwal Transport Inc.,"Brampton, ON L6R 3A6",7322-Motor vehicle body repairers,2
,,,,7511-Transport truck drivers,9
,,Hakka Wow Inc.,"Toronto, ON M4L 1Z7",6321-Chefs,2
,,Halyard Inc.,"Toronto, ON M5C 1T4",2131-Civil engineers,1
,,Hero Response Inc.,"Toronto, ON M9W 4W4",7271-Carpenters,1
,,Holiday Films Inc.,"Toronto, ON M5V 1J2","5131-Producers, directors, choreographers and related occupations",1
,,Huntech Contracts Inc.,"Toronto, ON M3B 3H9",2147-Computer engineers (except software engineers and designers),1
,,Huntsville 100 Howland Drive Inc.,"Huntsville, ON P1H 2P9",1226-Conference and event planners,1
,,Hylan Group Inc.,"Toronto, ON M5H 3K6","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",1
,,Idea Networks Inc,"Mississauga, ON L4W 1C8",7245-Telecommunications line and cable workers,1
,,Iffy's Autobody Parts and Supply Ltd.,"Mississauga, ON L5S 1B1","1211-Supervisors, general office and administrative support workers",1
,,ILS Kitchen & Cabinets Inc.,"Hamilton, ON L8W 1G7",7441-Residential and commercial installers and servicers,1
,,Infinity Wealth Solutions Inc.,"Mississauga, ON L5R 3P5","2161-Mathematicians, statisticians and actuaries",1
,,Investica Real Estate Company Ltd,"Mississauga, ON L5W 1J3",2281-Computer network technicians,1
,,IVEE Solutions Ltd.,"Newmarket, ON L3X 0B8",2171-Information systems analysts and consultants,2
,,K Elevator Cabs Ltd,"Pickering, ON L1W 1X9",0711-Construction managers,1
,,Karam Group Inc.,"Markham, ON L3R 9X4","0124-Advertising, marketing and public relations managers",1
,,Karara The Indian Takeout Inc.,"Nepean, ON K2G 7B4",6321-Chefs,1
,,Kelso Lake Medical Centre,"Milton, ON L9T 0A5",1122-Professional occupations in business management consulting,1
,,Kijiji Canada Ltd.,"Toronto, ON M5V 1L9",2173-Software engineers and designers,1
,,King Cole Ducks Limited,"Stouffville, ON L4A 2V5",3233-Licensed practical nurses,1
,,King Szechuan (Canada) Chinese Restaurant Mgt Ltd.,"Oakville, ON L6J 7S8",6321-Chefs,1
,,Koni Ameri Tech Services (Canada) Inc.,"Toronto, ON M9W 5Z8",2171-Information systems analysts and consultants,1
,,,,4163-Business development officers and marketing researchers and consultants,1
,,KORE Wireless Canada Inc.,"Toronto, ON M9C 5L5",2147-Computer engineers (except software engineers and designers),1
,,Kristin Heeney Optometry Professional Corp,"Toronto, ON M5V 2K8",3231-Opticians,1
,,La Vie Medical Inc,"Kanata, ON K2K 3N2",1222-Executive assistants,1
,,Landshape Contracting,"Barrie, ON L4N 3J6",2253-Drafting technologists and technicians,1
,,Leds Inc,"Thornhill, ON L3T 4P3",1122-Professional occupations in business management consulting,1
,,Linamar Corporation,"Guelph, ON N1H 1C5",7242-Industrial electricians,15
,,Loadlane Express Inc,"Brampton, ON L6W 3J9",1221-Administrative officers,1
,,Longterm Technology Services Inc.,"London, ON N6A 5R8",2174-Computer programmers and interactive media developers,1
,,LTF Club Operations Company Canada Inc.,"Mississauga, ON L5L 4X5","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
,,McCowan Holdings Inc.,"Scarborough, ON M1S 4L4","0122-Banking, credit and other investment managers",1
,,Mclean Professional Painting Inc.,"Bracebridge, ON P1L 1W8",7294-Painters and decorators (except interior decorators),1
,,Midas Safety Inc.,"Toronto, ON M3B 3H9",0601-Corporate sales managers,1
,,Millworks Custom Manufacturing (2001) Inc,"Toronto, ON M6M 4M7",1311-Accounting technicians and bookkeepers,1
,,MIndBridge Analytics Inc.,"Ottawa, ON K2K 3G4",2174-Computer programmers and interactive media developers,1
,,Missionary Oblates of Mary Immaculate AP,"Toronto, ON M6R 2A1",4154-Professional occupations in religion,1
,,Montebello Packaging,"Hawkesbury, ON K6A 1K5",2133-Electrical and electronics engineers,1
