"Employers who were issued a negative Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and business location in 2018 (April-June)",,,,,
Province/Territory,Stream,Employer,Address,Occupation,Requested Positions
,,Qualtech inc,"QUÉBEC, QC G1N 4K3",7237-Welders and related machine operators,1
,,Société Conseil Groupe LGS,"QUÉBEC, QC G1V 4K5",2174-Computer programmers and interactive media developers,1
,,TECHNO-PIEUX INC.,"Thetford Mines, QC G6G 8B2",7237-Welders and related machine operators,1
,,Wabtec Canada Inc.,"Saint-Laurent, QC H4M 2V1",2132-Mechanical engineers,1
,,WC 5000 inc.,"Montréal, QC H2Y 1T3","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,   Low Wage,6144527 Canada Inc,"VAUDREUIL-DORION, QC J7V 9H5",7511-Transport truck drivers,1
,,7899220 Canada Inc. (Barbibelle Spa),"Gatineau, QC J9J 3J3",3236-Massage therapists,1
,,9018-7402 Québec Inc.,"St-Jean-sur-Richelieu, QC J2W 1C5",1241-Administrative assistants,1
,,9034-8202 QUÉBEC INC.,"MIRABEL, QC J7J 1H1",6322-Cooks,1
,,9097-2902 Quebec Inc.,"Gatineau, QC J9H 1A2",6332-Bakers,1
,,9129-0205 Québec inc,"Quebec, QC G1S 2N6",6332-Bakers,1
,,9329-8479 Québec Inc.,"MONTRÉAL, QC H4L 3M6",6322-Cooks,1
,,Bono Foods Inc.,"STE CLAIRE, QC G0R 2V0",6322-Cooks,1
,,Dépanneur Vieux Montréal (2016) Inc.,"Montréal, QC H2Y 1S6",6322-Cooks,1
,,Fruit d'Or Inc.,"Villeroy, QC G0S 3K0","9461-Process control and machine operators, food, beverage and associated products processing",7
,,Gordon Food Service Canada Ltd.,"QUÉBEC, QC G2C 2E2",7452-Material handlers,10
,,Les Entreprises Fervel Inc,"St-Laurent, QC H4N 2L3",6315-Cleaning supervisors,1
,,Récupération Delisle Inc.,"ST-APOLLINAIRE, QC G0S 2E0","9619-Other labourers in processing, manufacturing and utilities",1
,  Primary Agriculture,Ferme Guy Béland Inc.,"Neuville, QC G0A 2R0",8431-General farm workers,1
Ontario,    High Wage,1060436 Ontario Limited o/a Serano Bakery,"TORONTO, ON M4K 3T5",0621-Retail and wholesale trade managers,1
,,10623326 Canada Ltd.,"TORONTO, ON M9Y 1Y5",5251-Athletes,1
,,1214174 Ontario Inc.,"ETOBICOKE, ON M9V 3Z7","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",2
,,1514342 Ontario Ltd.,"Mississauga, ON L4W 1A1",1241-Administrative assistants,1
,,1550034 Ontario Inc. o/a Warraich Meat Shop Inc.,"BRAMPTON, ON L6R 1T4",6311-Food service supervisors,1
,,1633108 Ontario Inc.,"Mississauga, ON L5J 1K7","1212-Supervisors, finance and insurance office workers",1
,,1643707 Ont Inc. o/a Palma Door Systems Inc,"Toronto, ON M3N 1V9","9226-Supervisors, other mechanical and metal products manufacturing",1
,,1810091 Ontario Inc. o/a Green Mango Pho,"VAUGHAN, ON L4L 1A6",6321-Chefs,1
,,2057600 Ontario Inc. o/a Toronto Car Sales and Auto Service,"BRAMPTON, ON L6W 2B5",1221-Administrative officers,1
,,2122360 Ontario Inc.,"PORT ELGIN, ON N0H 2C0",0631-Restaurant and food service managers,1
,,2228977 Ontario Inc.,"Guelph, ON N1H 6H7",7611-Construction trades helpers and labourers,3
,,2230434 Ontario Inc,"ETOBICOKE, ON M9W 6P8",7271-Carpenters,1
,,,,7281-Bricklayers,1
,,,,7293-Insulators,1
,,2254562 Ontario Inc.,"MISSISSAUGA, ON L4W 1E4",1225-Purchasing agents and officers,1
,,2298679 Ontario Inc.,"Vaughan, ON L4K 4A5","7384-Other trades and related occupations, n.e.c.",7
,,2320610 Ontario Inc. o/a Active Security Enterprises,"BRAMPTON, ON L6Y 0P6",6221-Technical sales specialists - wholesale trade,1
,,2347401 Ontario Inc./ O/A Asian Food Centre,"CALEDON, ON L7C 3V4",6322-Cooks,1
,,2508051 Ontario Inc. o/a Bengla Sweets,"BRAMPTON, ON L6X 5E9",0631-Restaurant and food service managers,1
,,6671896 Canada Inc.,"OTTAWA, ON K2G 4V3",5252-Coaches,1
,,7214821 Canada Inc. o/a Taminka Metal Roofing,"Mississauga, ON L5H 2S1",7291-Roofers and shinglers,1
,,8001189 Canada Inc.,"GUELPH, ON N1L 1E9",1221-Administrative officers,1
,,8234124 Canada Corp,"CONCORD, ON L4K 4C6",7282-Concrete finishers,1
,,8773173 Canada Inc.,"BRAMPTON, ON L6V 4S3","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,9359435 CAN. INC o/a BK Auto Body Collision,"ETOBICOKE, ON M9W 4W6",7322-Motor vehicle body repairers,1
,,949710 Ontario Limited,"Mississauga, ON L4T 3M6",7322-Motor vehicle body repairers,1
,,Adias Impex Limited,"WOODBRIDGE, ON L4L 6C6","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",1
,,Amelt Corporation,"TORONTO, ON M2M 4K2",2131-Civil engineers,1
,,Andy's Masonry and Renovations Ltd.,"HAMILTON, ON L8T 2A7",7283-Tilesetters,1
,,Asymetric Media Ltd.,"Toronto, ON M5B 2E7","5131-Producers, directors, choreographers and related occupations",1
,,Ava Hair Studio,"Oakville, ON L6J 3C9",6341-Hairstylists and barbers,1
,,B Negative LLC,"SCARBOROUGH, ON M1N 4B5","5131-Producers, directors, choreographers and related occupations",1
,,Body Vision Fitness Inc.,"Richmond Hill, ON L4C 0A8",6411-Sales and account representatives - wholesale trade (non-technical),1
,,Can-Eng Furnaces International Ltd.,"Niagara Falls, ON L2E 6V5",2142-Metallurgical and materials engineers,1
,,Canprev Natural Health Products Ltd.,"Toronto, ON M1S 3R5",2175-Web designers and developers,1
,,Cataldi Fresh Market Inc.,"Woodbridge, ON L4L 4K9",6321-Chefs,1
,,CG Needle Arts Ltd.,"BRAMPTON, ON L6T 4Z6","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Champion Products Corp.,"Windsor, ON N8Y 0A5",6411-Sales and account representatives - wholesale trade (non-technical),1
,,CIA Inspection Inc,"Hannon, ON L0R 1P0",2132-Mechanical engineers,1
,,Clivia Products of Canada Inc.,"WOODBRIDGE, ON L4L 9G7",0621-Retail and wholesale trade managers,1
,,CRM Global Capital Inc.,"Toronto, ON M5H 3K6","0016-Senior managers - construction, transportation, production and utilities",1
,,Digital Extremes Ltd.,"London, ON N6A 6K2",5241-Graphic designers and illustrators,1
,,Elgra Inc.,"Vaughan, ON L4K 2M9",6221-Technical sales specialists - wholesale trade,1
,,Elirpa Construction & Materials Ltd,"Pickering, ON L1V 2R4","7302-Contractors and supervisors, heavy equipment operator crews",1
,,Euro Group Masonry Ltd.,"TORONTO, ON M6N 4Z9",7281-Bricklayers,1
,,Fanshawe Health Group,"London, ON N6G 5A9",3112-General practitioners and family physicians,1
,,Flynn Canada Ltd.,"Mississauga, ON L4V 1K2",7233-Sheet metal workers,2
,,,,7291-Roofers and shinglers,7
,,,,7292-Glaziers,3
,,Glen-Merritt Collision Ltd.,"ST. CATHERINES, ON L2S 0B6",7322-Motor vehicle body repairers,1
,,Goldenmount Capital International Inc.,"MARKHAM, ON L3R 5J2",1222-Executive assistants,1
,,H SANDERSON & SON CONSTRUCTION,"HUNTSVILLE, ON P1H 0A5","7204-Contractors and supervisors, carpentry trades",1
,,High Flyers Gymnastics Inc.,"Concord, ON L4K 5V6",5252-Coaches,1
,,Icon Motors Limited,"Puslinch, ON N0B 2J0","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
,,Icon Transportation Logistics Ltd,"Puslinch, ON N0B 2J0",7511-Transport truck drivers,5
,,Imam Hussian - Association,"Scarborough, ON M1V 5J5",5212-Technical occupations related to museums and art galleries,1
,,Indo Canadian Food Hut Inc.,"BRAMPTON, ON L6Y 0B5",6311-Food service supervisors,1
,,IntelliGo Networks Inc,"Toronto, ON M5J 1A7",6221-Technical sales specialists - wholesale trade,1
,,Interhealth Canada Ltd.,"Toronto, ON M5H 2T7",0111-Financial managers,1
,,Junaid Jamshed Incq,"Mississauga, ON L4Z 2J1",0621-Retail and wholesale trade managers,1
,,Kitchen & Bath Inc.,"OAKVILLE, ON L6H 6A2","0124-Advertising, marketing and public relations managers",1
,,Lamko Tool and Mold Inc.,"London, ON N6E 2T3",7231-Machinists and machining and tooling inspectors,3
,,,,7311-Construction millwrights and industrial mechanics,2
,,Learning Curves Foundation,"Toronto, ON M4M 2X4","7334-Motorcycle, all-terrain vehicle and other related mechanics",1
,,London Eco-Roof Manufacturing Inc.,"Dorchester, ON N0L 1G4",7291-Roofers and shinglers,3
,,Luthra Law Office,"MISSISSAUGA, ON L5S 0A2",1241-Administrative assistants,1
,,Marin Contracting Limited,"Concord, ON L4K 4X2",7271-Carpenters,2
,,Mario's Flooring Inc,"Mississauga, ON L5A 3T2",7295-Floor covering installers,1
,,Merinos Carpet Inc.,"MISSISSAUGA, ON L5T 1V9","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Milestone Tire Canada Corp.,"Scarborough, ON M1S 3A7","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Mircom Technologies Ltd.,"Vaughan, ON L4K 5W3",4021-College and other vocational instructors,1
,,MITACS Inc.,"TORONTO, ON M5H 4E3",1241-Administrative assistants,1
,,Modern Builders Construction Inc.,"MISSISSAUGA, ON L5N 5K5",7271-Carpenters,1
,,Neptune Security Services Inc.,"Mississauga, ON L5K 2R8",4163-Business development officers and marketing researchers and consultants,1
,,Noble Mortgages Inc.,"WOODBRIDGE, ON L4L 8S5",1241-Administrative assistants,1
,,North Legacy Group Inc.,"Toronto, ON M6J 1X5",7281-Bricklayers,1
,,Ontario Impex of Canada,"BRAMPTON, ON L6T 1E2",6211-Retail sales supervisors,1
,,Perpetuo Masonry Ltd.,"TORONTO, ON M6H 2L2",7281-Bricklayers,1
,,Poltech Buher Inc.,"Concord, ON L4K 3E4",2232-Mechanical engineering technologists and technicians,1
,,Popular Tire Sales & Services Inc,"Mississauga, ON L5S 1M5",1221-Administrative officers,1
,,Premium Host Inc. o/a Paramount Fine Foods,"Mississauga, ON L5W 1P7",0631-Restaurant and food service managers,1
,,Progressive Auto Sales (Sarnia) Inc,"Sarnia, ON N7S 3X9","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
,,Proplus Construction Inc.,"Scarborough, ON M1V 4S9",7237-Welders and related machine operators,3
,,Protech Chemicals Ltd.,"TORONTO, ON M9L 1X3",7311-Construction millwrights and industrial mechanics,1
,,Proteck Roofing & Sheet Metal Inc.,"Toronto, ON M9V 4K6",7291-Roofers and shinglers,1
,,Radke Films Ltd,"TORONTO, ON M5A 2N4","5131-Producers, directors, choreographers and related occupations",3
,,RBT Limited,"Acton, ON L7J 1W7","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Richmond Hill Medical and Surgical Centre,"RICHMOND HILL, ON L4C 0Y7",1222-Executive assistants,1
,,Royal Show Inc.,"Concord, ON L4K 1L4",6211-Retail sales supervisors,3
,,S.A. Concrete & Drain,"Kitchener, ON N2R 0B3",7282-Concrete finishers,3
,,Sanjha Punjab Radio and TV Inc.,"BRAMPTON, ON L6S 5Z4",1241-Administrative assistants,1
,,Sequoia Content Limited,"Toronto, ON M5B 2E7","5131-Producers, directors, choreographers and related occupations",1
,,,,"5227-Support occupations in motion pictures, broadcasting, photography and the performing arts",1
,,Shabad Transport Inc.,"WOODBRIDGE, ON L4L 1A7","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Simply Green Home Services Inc.,"North york, ON M2J 5C1",6221-Technical sales specialists - wholesale trade,1
,,Skotidakis Goat Farm,"St-Eugene, ON K0B 1P0","9213-Supervisors, food, beverage and associated products processing",1
,,Skydive Toronto Inc.,"EVERETT, ON L0M 1J0","5254-Program leaders and instructors in recreation, sport and fitness",2
,,"Soft Citizen, Inc","TORONTO, ON M5A 2N4","5131-Producers, directors, choreographers and related occupations",2
,,South Essex Fabricating Inc.,"Leamington, ON N8H 3W5",2132-Mechanical engineers,1
,,Steam Films Inc.,"TORONTO, ON M5A 2N4","5131-Producers, directors, choreographers and related occupations",1
,,Suneeva Ltd.,"Toronto, ON M5B 2E7","5131-Producers, directors, choreographers and related occupations",2
,,T.P. Construction Co.,"NORTH YORK, ON M3C 1A6",7292-Glaziers,1
,,TD International AG Inc.,"MONO, ON L9W 5W1",8612-Landscaping and grounds maintenance labourers,6
,,The Bagel House / 2187024 Ontario Inc,"Toronto, ON M5M 3Y6",0621-Retail and wholesale trade managers,1
,,The Japan Society,"Toronto, ON M5H 4E7",1221-Administrative officers,1
,,U of O Institute of mental health research,"Ottawa, ON K1Z 7K4",2121-Biologists and related scientists,1
,,Unilock Ltd,"GEORGETOWN, ON L7G 4X6",7242-Industrial electricians,1
,,UTD Systems Inc,"Vaughan, ON L4J 8R8",7235-Structural metal and platework fabricators and fitters,1
,,Value Mobile,"VAUGHAN, ON L4L 8A3",8431-General farm workers,2
,,Venture Steel Inc.,"ETOBICOKE, ON M9W 1L8",7311-Construction millwrights and industrial mechanics,1
,,Vision Entertainment Inc.,"Toronto, ON M6A 2A4","5131-Producers, directors, choreographers and related occupations",2
,,Vlad's Dance Company,"RICHMOND HILL, ON L4E 4J6","5243-Theatre, fashion, exhibit and other creative designers",1
,,Zurich Pharma Inc.,"Windsor, ON N8X 4L2",2211-Chemical technologists and technicians,1
,   Low Wage,1036074 Ontario Inc.,"TORONTO, ON M1S 4N8",0631-Restaurant and food service managers,1
,,1073197 Ontario Ltd.,"TORONTO, ON M4K 1B4",6321-Chefs,1
,,1397280 Ontario Ltd. o/a Western Town College for ESL,"TORONTO, ON M4P 1E8",6411-Sales and account representatives - wholesale trade (non-technical),1
,,1432126 Ontario Inc,"Mississauga, ON L4W 1G8",1241-Administrative assistants,1
,,1533371 Ontario Inc.,"Mississauga, ON L5S 1B1",7441-Residential and commercial installers and servicers,1
,,1568091 Ontario Ltd. o/a Mohan Wellness & Rehab Clinic,"Scarborough, ON M1S 4Z4",3232-Practitioners of natural healing,1
,,1574626 Ontario Inc. O/A Auto Spa Express,"Burlington, ON L7L 5H9",6732-Specialized cleaners,1
,,1599761 Ontario Ltd.,"Pefferlaw, ON L0E 1N0",7511-Transport truck drivers,2
,,1615029 Ontario Inc,"Mississauga, ON L5T 1E4",6211-Retail sales supervisors,1
,,1681748 Ont Inc. O/A Macs/Circle K,"Woodbridge, ON L4H 0J8",6211-Retail sales supervisors,1
,,1756555 Ontario Ltd.,"Toronto, ON M4Y 1J8",6322-Cooks,1
,,1759110 Ontario Inc o/a A&W Aberfoyle,"GUELPH, ON N1L 0C7","6711-Food counter attendants, kitchen helpers and related support occupations",1
,,1925Workbench Ltd.,"Etobicoke, ON M8W 3C5",7272-Cabinetmakers,1
,,1929382 Ontario Inc.,"Mississauga, ON L4Y 2Y5",6321-Chefs,1
,,1948785 Ontario Limited,"VAUGHN, ON L4K 5W7",6322-Cooks,2
,,1960408 Ontario Inc.,"MISSISSAUGA, ON L5N 8J4",6322-Cooks,1
,,2115722 Ontario Inc. o/a Wabora Fusion Japanese Restaurant,"BRACEBRIDGE, ON P1L 1P3",6322-Cooks,1
,,2120546 Ontario Inc. o/a Skydome Auto and Body Centre,"BRAMPTON, ON L6W 3K7",7237-Welders and related machine operators,1
,,2139111 Ontario Inc.,"Kemptville, ON K0G 1J0",6321-Chefs,1
,,2176738 Ontario Inc. o/a Subway Pembroke Downtown,"Pembroke, ON K8A 7A3",0631-Restaurant and food service managers,1
,,2265779 Ontario Inc. O/a 905 INK TATTOOS,"Brampton, ON L6S 0C1","6562-Estheticians, electrologists and related occupations",1
,,2294671 Ontario Inc. o/a Lahore Tikka House,"Toronto, ON M4L 1Z3",0631-Restaurant and food service managers,1
,,2322117 Ontario Inc.,"Ottawa, ON K2P 1M2",6321-Chefs,1
,,2355539 Ontario Inc. o/a Little Ceasars Pizza,"GEORGETOWN, ON L7G 5B5",6311-Food service supervisors,1
,,2373431 Ontario Inc.,"BRAMPTON, ON L6X 4X7",6311-Food service supervisors,1
,,2391884 Ontario Inc.,"ST. CATHARINES, ON L2T 3J8",0631-Restaurant and food service managers,1
,,2411603 Ontario Inc.,"WINDSOR, ON N9E 4N7",6322-Cooks,1
,,2423293 Ontario Inc. O/S Oakland Foods Store,"Oakland, ON N0E 1L0",6311-Food service supervisors,1
,,2482396 Ontario Inc. O/A Subway,"RED LAKE, ON P0V 2M0",6311-Food service supervisors,1
,,2500204 Ontario Inc. o/a KIBO SUSHI,"Toronto, ON M5V 3P7",0631-Restaurant and food service managers,1
,,7169191 Canada Ltd.,"Mississauga, ON L5T 2L2",1241-Administrative assistants,1
,,9109064 Canada Inc. o/a Marhaba Book Store & Hijab Fashion,"Mississauga, ON L5V 3A4",6211-Retail sales supervisors,1
,,9676392 Canada Inc.,"TORONTO, ON M2J 4R4",6321-Chefs,1
,,ACL Steel Ltd.,"Kitchener, ON N2B 3X4",7294-Painters and decorators (except interior decorators),1
,,Anatolia Tile & Stone Inc.,"VAUGHAN, ON L4L 1A5",5242-Interior designers and interior decorators,1
,,Arconas Corporation,"MISSISSAUGA, ON L5R 3H5",2282-User support technicians,1
,,Astoria Shish Kebob House Inc.,"TORONTO, ON M4K 1P3",6321-Chefs,1
,,Baklava House INC,"TORONTO, ON M4T 1Y5",6321-Chefs,1
,,Barilo's Fine Sausages Ltd,"Newmarket, ON L3Y 9E8","9461-Process control and machine operators, food, beverage and associated products processing",2
,,Baxter Kitchens Inc.,"Toronto, ON M1S 4A4",1431-Accounting and related clerks,1
,,Canephora Inc,"TORONTO, ON M2R 1M6",6321-Chefs,1
,,Chillies Indian Restaurant Inc,"Nepean, ON K2J 4Y6",6322-Cooks,1
,,Creeds Coffee Bar,"TORONTO, ON M9N 2V8",0631-Restaurant and food service managers,1
,,Dekora Album Corporation,"TORONTO, ON M3J 2W6",5244-Artisans and craftspersons,1
,,Dhanoa Group Ltd. o/a A&W,"Mississauga, ON L5W 1T2",6311-Food service supervisors,3
,,Eben-ezer Christian School,"CAMPDEN, ON L0R 1G0",4217-Other religious occupations,1
,,Fast Transport Inc.,"AURORA, ON L4G 1H9",7511-Transport truck drivers,5
,,Flynn Canada Ltd.,"Mississauga, ON L4V 1K2",7233-Sheet metal workers,2
,,,,7291-Roofers and shinglers,2
,,Hamdani Textiles Ltd,"ST. CATHARINES, ON L2R 5E9","9447-Inspectors and graders, textile, fabric, fur and leather products manufacturing",6
,,Hanna's Bakery Inc.,"Ottawa, ON K1B 3V3",6332-Bakers,1
,,Johnson's Sanitation Services Ltd.,"TORONTO, ON M9N 2S4",7511-Transport truck drivers,1
,,K&L Francis Inc.,"Huntsville, ON P1H 2K8",6311-Food service supervisors,3
,,Kintako Japanese Restaurant,"East York, ON M4G 3W4",6321-Chefs,1
,,Magnitude Well-Being Centre Inc.,"MISSISSUGA, ON L5L 5Y6","5254-Program leaders and instructors in recreation, sport and fitness",1
,,Marcantonio Designs Limited,"Concord, ON L4K 4T2",6345-Upholsterers,1
,,Metal Insulations Ltd.,"NIAGARA FALLS, ON L2G 7K3",7452-Material handlers,3
,,Michaels Hair Design Inc.,"Thunder Bay, ON P7C 5P5",6341-Hairstylists and barbers,1
,,MJ Tungsten Ltd.,"Markham, ON L3R 9R3",6623-Other sales related occupations,1
,,Mrakovic Meat & Deli,"Etobicoke, ON M9C 4R1",6332-Bakers,1
,,New Star Transport Inc,"Brampton, ON L6P 3X6",7511-Transport truck drivers,1
,,Om Shakti Maiya Inc.,"OAKVILLE, ON L6J 0A3",0621-Retail and wholesale trade managers,1
,,Ozone West Wellness Ltd.,"Cobourg, ON K9A 4J8",6311-Food service supervisors,1
,,Pizza Pizza #263,"Pickering, ON L1V 4M1",0631-Restaurant and food service managers,1
,,PJP INC.,"BURLINGTON, ON L7R 2E3",6322-Cooks,1
,,Premium Sauces Ltd,"UXBRIDGE, ON L9P 0C7","9461-Process control and machine operators, food, beverage and associated products processing",1
,,Queen Video Limited,"Mississauga, ON L5G 1E1",6322-Cooks,1
,,Royal Canadian Military Institute Services,"TORONTO, ON M5G 1S9",6322-Cooks,4
,,Safety First Consulting Professional Corp,"CONCORD, ON L4K 4S2","4165-Health policy researchers, consultants and program officers",1
,,Saigon House Restaruant Inc,"Brampton, ON L6T 5P1",6322-Cooks,2
,,Savonarota Enterprises Inc.,"Toronto, ON M2N 5P9",6322-Cooks,1
,,Sherwood Chicken Foods Inc.  o/a KFC Taco Bell,"NORTH YORK, ON M6A 3B4",6311-Food service supervisors,1
,,Shirini Sara Pastry House Ltd.,"Toronto, ON M3B 2M5",6332-Bakers,1
,,Sikgaek Inc.,"MISSISSAUGA, ON L4Y 2B6",6322-Cooks,1
,,Soul Restaurants Canada Inc. o/a KFC,"TORONTO, ON M2N 6K1",6311-Food service supervisors,1
,,Success Business Pages Inc.,"GEORGETOWN, ON L7G 5Y9",1241-Administrative assistants,1
,,Sushi 2 Go Queensway,"ETOBICOKE, ON M8Z 1N8",6322-Cooks,1
,,Symphony Communication Ltd. O/A Kusina Food Express,"MISSISSAUGA, ON L5B 4M4",6322-Cooks,1
,,TDA Landscape Services Inc.,"AJAX, ON L1S 2B9","8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",1
,,The Blue Heron Company Limited,"TOBERMORY, ON N0H 2R0","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,The Chunhwa Training Centre,"Ottawa, ON K1J 6N4","5254-Program leaders and instructors in recreation, sport and fitness",1
,,The Solar Group Inc,"SCARBOROUGH, ON M1N 1V4",6732-Specialized cleaners,5
,,Torba Restaurants Inc. o/a Wendy's Restaurant,"Schumacher, ON P0N 1G0","6711-Food counter attendants, kitchen helpers and related support occupations",2
,,Toronto Softtech Inc.,"Toronto, ON M6G 1L7",6322-Cooks,1
,,Turco Persian Rug Company Inc,"Toronto, ON M5A 1R2",7445-Other repairers and servicers,1
,,Union Worldwide Enterprise Ltd.,"TORONTO, ON M5R 2A7",7246-Telecommunications installation and repair workers,1
,,Vilampara Media - 2216639 Ontario Inc.,"TORONTO, ON M5R 2A5",5241-Graphic designers and illustrators,1
,,Warraich Meats Ltd,"BRAMPTON, ON L6P 2Z8",6311-Food service supervisors,1
,,"Yconic, Inc.","TORONTO, ON M4S 2B8","1123-Professional occupations in advertising, marketing and public relations",1
,  Primary Agriculture,1628760 Ontario Inc,"Hillier, ON K0K 2J0",8431-General farm workers,2
,,Brabantdale Farms,"Navan, ON K4B 0E4",8431-General farm workers,2
,,Carron Farms Ltd,"BRADFORD, ON L3Z 4C6",8431-General farm workers,4
,,Cuddy Farms Limited 2008,"Strathroy, ON N7G 3H6","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",10
,,Hao Fu Farm Ltd,"Toronto, ON M2J 4V6","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",4
,,Knotek Brothers Inc.,"Chatham, ON N7M 5J3",8432-Nursery and greenhouse workers,5
,,Rouge River Farms Inc,"GORMLEY, ON L0H 1G0",8431-General farm workers,13
,,Schouten Corner View Farms Ltd,"Richmond, ON K0A 2Z0",8431-General farm workers,5
,,SOUTH POND FARMS INC,"PONTYPOOL, ON L0A 1K0",8431-General farm workers,2
,,St Brigid's Dairy Ltd,"Brussels, ON N0G 1H0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,Woodville Farms Limited,"WOODVILLE, ON K0M 2T0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Manitoba,    High Wage,7325119 Manitoba Ltd,"Brandon, MB R7B 0M8",6322-Cooks,1
,,Ingram Consulting Limited,"Winnipeg, MB R3B 1Z8",4211-Paralegal and related occupations,1
,,J.R. Chandler Motors Ltd.,"Winnipeg, MB R2M 3S2","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,   Low Wage,House of Nanking Ltd,"Winnipeg, MB R3X 1M2",6322-Cooks,1
,,JW Ventures Ltd.,"Brandon, MB R7C 1A7",6322-Cooks,1
,,The Kitching Group (Canada) Inc.,"Winnipeg, MB R3M 0W5",0631-Restaurant and food service managers,1
,,The North West Company LP,"WINNIPEG, MB R3C 1A3",6311-Food service supervisors,6
,  Primary Agriculture,Cell Farms Ltd.,"Hartney, MB R0M 0X0",8431-General farm workers,1
Saskatchewan,    High Wage,Saskatchewan Cancer Agency,"SASKATOON, SK S7S 0A6",3111-Specialist physicians,1
,   Low Wage,101300746 Saskatchewan Ltd,"REGINA, SK S4R 2J6",9446-Industrial sewing machine operators,1
,,Hashtag International Inc,"SASKATOON, SK S7K 8C1",6211-Retail sales supervisors,1
,  Primary Agriculture,Hassan Farms Inc.,"STURGIS, SK S0A 4A0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,Parkland Honey Farms Ltd.,"Goodsoil, SK S0M 1A0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Alberta,    High Wage,1392635 Alberta Ltd. o/a Riteway Moving,"ROCKY VIEW, AB T4A 0E2","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,961945 Alberta Ltd,"Edmonton, AB T5L 2G9","7284-Plasterers, drywall installers and finishers and lathers",1
