"Employers who were issued a negative Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and business location in 2018 (July-September)",,,,,
Province/Territory,Stream,Employer,Address,Occupations under NOC 2011,Requested Positions
,,Metro Concrete Works (2016) Inc.,"Concord, ON L4K 3W4","4165-Health policy researchers, consultants and program officers",1
,,Mobile Climate Control Industries Inc.,"Vaughan, ON L4K 0A6",2233-Industrial engineering and manufacturing technologists and technicians,1
,,Omi Profile Ltd,"Toronto, ON M2N 6K1",4163-Business development officers and marketing researchers and consultants,1
,,Ontario Impex of Canada,"Brampton, ON L6T 1E2",6411-Sales and account representatives - wholesale trade (non-technical),1
,,OPC TV Inc.,"TORONTO, ON M5A 2N4","5131-Producers, directors, choreographers and related occupations",2
,,"Passport Health (Canada), LLC","TORONTO, ON M5C 1Y2",3012-Registered nurses and registered psychiatric nurses,1
,,Petro Plastics Corporation Ltd.,"Woodbridge, ON L4L 4A3","9214-Supervisors, plastic and rubber products manufacturing",1
,,Planetruck & Trailer Repairs Inc.,"Brampton, ON L6W 3N5",1221-Administrative officers,1
,,Polycote Inc.,"Concord, ON L4K 2A3",7231-Machinists and machining and tooling inspectors,1
,,Radke Films Ltd,"TORONTO, ON M5A 2N4","5131-Producers, directors, choreographers and related occupations",1
,,Revolver Films Inc.,"Toronto, ON M5V 2B3","5131-Producers, directors, choreographers and related occupations",1
,,Rex Beauty Inc.,"Toronto, ON M3M 2H7",6222-Retail and wholesale buyers,1
,,Rigarus Construction Inc.,"ELMIRA, ON N3B 2Z5","7202-Contractors and supervisors, electrical trades and telecommunications occupations",1
,,Safety First Security Services Inc.,"SCARBOROUGH, ON M1S 3L1",0114-Other administrative services managers,1
,,Save Tax Solutions,"Mississauga, ON L4T 0A7",1221-Administrative officers,1
,,Savoia Chair Frames Ltd.,"TORONTO, ON M6A 1Y7",1225-Purchasing agents and officers,1
,,Scouts Honour Inc,"TORONTO, ON M4M 2K9","5131-Producers, directors, choreographers and related occupations",1
,,Signature Precision Fabrication Inc.,"Whitby, ON L1N 5Z8",7237-Welders and related machine operators,1
,,SILOKING Canada Inc.,"PUTNAM, ON N0L 2B0",7312-Heavy-duty equipment mechanics,1
,,Smartway Trucking Inc.,"MILTON, ON L9T 3H3",1221-Administrative officers,1
,,"Soft Citizen, Inc.","TORONTO, ON M5A 2N4","5131-Producers, directors, choreographers and related occupations",2
,,Steam Films Inc.,"TORONTO, ON M5A 2N4","5131-Producers, directors, choreographers and related occupations",2
,,Suneeva Ltd.,"Toronto, ON M5B 2E7","5131-Producers, directors, choreographers and related occupations",4
,,The Blue Heron Company Limited,"TOBERMORY, ON N0H 2R0","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,The Christian Academy of Western Ontario,"LONDON, ON N6H 1H1",4217-Other religious occupations,1
,,Tian Bao Travel Ltd.,"Richmond Hill, ON L4B 1M6",1221-Administrative officers,1
,,Trio Masonry 2016 Ltd.,"Toronto, ON M6J 1X5",7281-Bricklayers,1
,,Unitek Truck Repair Inc.,"Mississauga, ON L5T 1E4",1221-Administrative officers,1
,,UTOI Management Consulting Inc.,"MARKHAM, ON L3R 0N8","1211-Supervisors, general office and administrative support workers",1
,,Vision Entertainment Inc.,"Toronto, ON M6A 2A4","5131-Producers, directors, choreographers and related occupations",3
,,Woodbridge Equipment Parts Inc.,"MISSISSAUGA, ON L5S 1M2",6221-Technical sales specialists - wholesale trade,1
,,YDFC Limited o/a Amaya Express,"North York, ON M6A 2T9",6322-Cooks,1
,   Low Wage,1268887 Ontario Inc,"Toronto, ON M9N 2S4",6321-Chefs,1
,,1448726 Ontario Limited,"Toronto, ON M8Z 1T8",0631-Restaurant and food service managers,1
,,1544744 Ontario Inc o/a Smaill Roofing,"LONDON, ON N5X 1B1",7611-Construction trades helpers and labourers,2
,,1776957 Ontario Ltd.(t/a) Blu Rist.,"TORONTO, ON M4W 1L1",6321-Chefs,1
,,1824107 Ontario Limited,"Woodbridge, ON L4H 0A8",6322-Cooks,1
,,1835779 Ontario Inc.,"NIAGARA FALLS, ON L2G 2J3","6313-Accommodation, travel, tourism and related services supervisors",1
,,2174636 Ontario Inc.,"Mississauga, ON L5N 6A3",6311-Food service supervisors,1
,,2279754 Ontario Inc.,"Thornhill, ON L3T 5W2",6322-Cooks,1
,,2281498 Ont Inc.,"BRAMPTON, ON L6R 0R6",7511-Transport truck drivers,2
,,2362978 Ontario Inc.,"Niagara Falls, ON L2G 3Y2",6311-Food service supervisors,1
,,2477303 Ontario Ltd.,"Richmond Hill, ON L4S 1P3",0631-Restaurant and food service managers,1
,,2477336 Ontario Ltd,"MISSISSAUGA, ON L5B 4M4",6322-Cooks,1
,,2508051 Ontario Inc.,"Brampton, ON L6X 5E9",6322-Cooks,2
,,2570601 Ontario Inc.,"TORONTO, ON M4S 1Z9",6322-Cooks,1
,,2609188 Ontario Ltd.,"AJAX, ON L1S 6A9",0631-Restaurant and food service managers,1
,,6325955 Canada Inc.,"North York, ON M6A 2X7",1241-Administrative assistants,1
,,6422322 Canada LTD (corp #1671761),"NEWMARKET, ON L3Y 7R6",6322-Cooks,1
,,6799159 Canada Inc.,"MAXVILLE, ON K0C 1T0",6322-Cooks,1
,,732309 Ontario Ltd.,"OAKVILLE, ON L6L 2C8",6311-Food service supervisors,1
,,806040 Ontario Ltd,"Toronto, ON M3J 2B9",7335-Other small engine and small equipment repairers,1
,,913976 Ontario Limited,"TORONTO, ON M3N 1H8","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
,,9900101 Canada Incorporated,"OTTAWA, ON K1P 5H8",6311-Food service supervisors,1
,,Airport Bukhara Restaurant,"Mississauga, ON L4T 2H2",6322-Cooks,1
,,Awans Limited,"OTTAWA, ON K1C 3Y4",6332-Bakers,1
,,Condor Security Inc,"TORONTO, ON M3H 5S4",6316-Other services supervisors,1
,,Dhanoa Group Ltd.O/A A&W,"Mississauga, ON L5W 1T2","6711-Food counter attendants, kitchen helpers and related support occupations",3
,,DHG 13 Inc.,"Mississauga, ON L5W 1T2",6311-Food service supervisors,1
,,Eddie's Meat & Deli Market Inc.,"Mississauga, ON L4X 1L5",6211-Retail sales supervisors,1
,,European Market Bakery,"Windsor, ON N9Y 2N9",6332-Bakers,1
,,Globefillchv Crystaltrading Niagara Inc.,"Niagara Falls, ON L2E 2P2",1311-Accounting technicians and bookkeepers,1
,,Kinder Kids International Corporation,"MISSISSAUGA, ON L5J 2X1",4214-Early childhood educators and assistants,1
,,L.A. Truck Repairs LTD.,"MISSISSAUGA, ON L4Z 1X2",7612-Other trades helpers and labourers,1
,,Lakeside Produce Inc.,"Leamington, ON N8H 3V5","9617-Labourers in food, beverage and associated products processing",1
,,Marcello's Market & Deli II Inc.,"OTTAWA, ON K1B 5N3",6332-Bakers,2
,,Marima Hospitality Inc.,"Thornhill, ON L3T 3C3",6322-Cooks,1
,,Masellis Supermarket Ltd.,"Toronto, ON M4J 1L9",6211-Retail sales supervisors,1
,,MDM Group INC.,"MISSISSAUGA, ON L4W 2S4",7271-Carpenters,1
,,Nature's Finest Produce Ltd,"PAIN COURT, ON N0P 1Z0","9617-Labourers in food, beverage and associated products processing",3
,,Nellascanada Ltd,"AURORA, ON L4G 0R4",6322-Cooks,1
,,Nolbu Toronto Korean Japanese Restaurant,"Toronto, ON M2N 1R3",6311-Food service supervisors,1
,,Olympos Ltd.,"Sudbury, ON P3C 1V8",6322-Cooks,1
,,ONTARIO DRIVING SCHOOL OF LONDON INC,"LONDON, ON N6E 2Z3",7511-Transport truck drivers,1
,,Ontario Korean Businessmen's Association,"ETOBICOKE, ON M9C 1C2",6411-Sales and account representatives - wholesale trade (non-technical),1
,,Oretta Hospitality Inc.,"TORONTO, ON M5V 1M5",6322-Cooks,1
,,Performance Boutique Inc,"OTTAWA, ON K2T 0K8",2242-Electronic service technicians (household and business equipment),1
,,Pho Viet Xpress Inc.,"VAUGHAN, ON L4J 6Y6",6321-Chefs,1
,,Popular Tire Sales & Services Inc,"Mississauga, ON L5S 1M5",6211-Retail sales supervisors,1
,,QJD Pekingduck (Markham) Restaurant Ltd,"Markham, ON L3R 1A3",6321-Chefs,1
,,Queen Video Limited,"Mississauga, ON L5G 1E1",6322-Cooks,1
,,Symphony Communication Ltd. O/A Kusina Food Express,"MISSISSAUGA, ON L5B 4M4",6322-Cooks,1
,,Thai Plate Orillia Inc.,"Orillia, ON L3V 5X7",6322-Cooks,1
,,The Food Dudes Inc.,"TORONTO, ON M4M 2R7",6321-Chefs,1
,,The Travel Agent Next Door INC,"Toronto, ON M5J 1R7",0621-Retail and wholesale trade managers,1
,,Three Sky Star Enterprises Corp.,"GRIMSBY, ON L3M 4E8",6311-Food service supervisors,1
,,Turner and Porter Funeral Directors Ltd,"TORONTO, ON M6S 3L4",6221-Technical sales specialists - wholesale trade,1
,,Udupi Madras Cafe Inc,"Mississauga, ON L5B 3Y7",1311-Accounting technicians and bookkeepers,1
,,Valanne Consulting Limited,"TORONTO, ON M6P 1N7",6235-Financial sales representatives,1
,,Vicky's Beauty Salon,"ST. CATHARINES, ON L2T 1P8",6341-Hairstylists and barbers,1
,,Zavcor Trucking Limited,"STEVENSVILLE, ON L0S 1S0",7511-Transport truck drivers,1
,  Primary Agriculture,617885 Ontario Limited,"RUTHVEN, ON N0P 2G0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,Kells Farms Limited,"Gilford, ON L0L 1R0",8432-Nursery and greenhouse workers,2
,,N Sawatzky Farms Inc,"Wheatley, ON N0P 2P0",8432-Nursery and greenhouse workers,7
,,Natura Naturals Inc.,"Leamington, ON N8H 4H3",8432-Nursery and greenhouse workers,15
,,Nature Fresh Farms Inc,"Leamington, ON N8H 3V8","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,Orchard Park Growers Ltd,"ST. CATHARINES, ON L2S 4A1",8432-Nursery and greenhouse workers,4
,,Wildhagen's Limited,"Campbellville, ON L0P 1B0",8432-Nursery and greenhouse workers,2
,,Woodville Farms Limited,"Woodville, ON K0M 2T0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Manitoba,    High Wage,JEDs Construction Ltd.,"WINNIEG, MB R2P 0H2",7271-Carpenters,1
,,Kings Truck & Trailer Repair Ltd,"WINNIPEG, MB R2P 1N1",7312-Heavy-duty equipment mechanics,1
,   Low Wage,Schulz Construction Inc.,"Marchand, MB R0A 0Z0",7611-Construction trades helpers and labourers,1
,  Primary Agriculture,Hammond Agriculture Limited,"Roblin, MB R0L 1P0",0821-Managers in agriculture,1
Saskatchewan,    High Wage,Miccar Aerial Ltd.,"YORKTON, SK S3N 2V6","2271-Air pilots, flight engineers and flying instructors",1
,,Pain Gone Management Corp.,"DELISLE, SK S0I 0P0",3144-Other professional occupations in therapy and assessment,1
,   Low Wage,101008494 Saskatchewan Ltd.,"North Battleford, SK S9A 0W6",6322-Cooks,3
,,Campbell & Haliburton Ins. Ltd,"REGINA, SK S4T 2K5","7284-Plasterers, drywall installers and finishers and lathers",1
,,La Ronge Native Women's Council Family Service Centre,"LA RONGE, SK S0J 1L0",4212-Social and community service workers,1
,,P & K Trading Ltd,"Hudson Bay, SK S0E 0Y0",6513-Food and beverage servers,1
,,Pump Jacks Saloon & Steakhouse,"Weyburn, SK S4H 3B3",6311-Food service supervisors,1
Alberta,    High Wage,1479705 Alberta Ltd,"Beaumont, AB T4X 1T3","7305-Supervisors, motor transport and other ground transit operators",1
,,1703561 ALBERTA LTD.,"EDMONTON, AB T6L 5J1",1221-Administrative officers,1
,,,,1311-Accounting technicians and bookkeepers,1
,,1832622 Alberta Ltd.,"Red Deer, AB T4P 2A8",0621-Retail and wholesale trade managers,1
,,2025526 Alberta Inc,"CALGARY, AB T3J 5C8","0121-Insurance, real estate and financial brokerage managers",1
,,2052393 Alberta Ltd,"Calgary, AB T2H 0J3",0621-Retail and wholesale trade managers,1
,,Adventure Aviation Inc.,"Grand Prairie, AB T8W 2R8","2271-Air pilots, flight engineers and flying instructors",1
,,Alberta Exteriors Ltd,"EDMONTON, AB T5T 2E3",7441-Residential and commercial installers and servicers,2
,,Alpharetta Construction Inc.,"CALGARY, AB T3M 2K4",7283-Tilesetters,1
,,Anup Kumar Sharma & Sons Ltd.,"Grande Prairie, AB T8W 2R2",6211-Retail sales supervisors,1
,,Bri Tin Foundations Inc.,"Millet, AB T0C 1Z0",7271-Carpenters,1
,,CITY CARPENTRY LTD.,"EDMONTON, AB T6T 0Z6",1221-Administrative officers,1
,,Danny's Food Equipment Ltd,"CALGARY, AB T2K 4W6",7237-Welders and related machine operators,1
,,Deol Transport Ltd.,"Edmonton, AB T6X 1K9",1311-Accounting technicians and bookkeepers,2
,,DevFacto Technologies Inc.,"Edmonton, AB T5J 3R8",2174-Computer programmers and interactive media developers,1
,,Forrest Builders Inc,"EDMONTON, AB T5Y 3S3",7271-Carpenters,1
,,G & S Gill Trucking Ltd,"EDMONTON, AB T5X 0E1","7305-Supervisors, motor transport and other ground transit operators",1
,,Gefest Industrial Ltd,"Okotoks, AB T1S 0J8","7284-Plasterers, drywall installers and finishers and lathers",1
,,Geo Auto Sale Ltd.,"Calgary, AB T3J 3W2","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,GSS Stucco Limited,"Edmonton, AB T6W 3C1","7284-Plasterers, drywall installers and finishers and lathers",2
,,Gurkirpa Transport Ltd.,"EDMONTON, AB T5L 4W3",1525-Dispatchers,1
,,Halliburton Group Canada Inc,"Calgary, AB T2P 4G8",2232-Mechanical engineering technologists and technicians,1
,,HS Sidhu Trucking Ltd.,"EDMONTON, AB T6T 0B2",1311-Accounting technicians and bookkeepers,1
,,Jacobs Canada Inc,"Calgary, AB T2C 3E7",2234-Construction estimators,1
,,Leo Construction & Contracting Ltd.,"EDMONTON, AB T5Z 0K1","7284-Plasterers, drywall installers and finishers and lathers",1
,,Light Speed Logistics Inc,"Calgary, AB T2Z 3W3",6411-Sales and account representatives - wholesale trade (non-technical),1
,,Lynx Brand Fence Products Alta. Ltd,"Calgary, AB T2C 2J2",2242-Electronic service technicians (household and business equipment),1
,,Martin's General Contracting Ltd,"EDMONTON, AB T5Y 3R6","7302-Contractors and supervisors, heavy equipment operator crews",1
,,Michels Canada Co.,"Nisku, AB T9E 0A9",7311-Construction millwrights and industrial mechanics,1
,,Multistar Roofing Inc.,"CALGARY, AB T3N 0J7",7441-Residential and commercial installers and servicers,1
,,Northern Oil Tool Inc,"Leduc, AB T9E 7E4",7231-Machinists and machining and tooling inspectors,8
,,People Express Transport Ltd,"Calgary, AB T3J 0C3",6411-Sales and account representatives - wholesale trade (non-technical),1
,,Petrosun Resources Inc.,"Calgary, AB T2P 3J4","0124-Advertising, marketing and public relations managers",1
,,Primecare Health Inc.,"Calgary, AB T2Z 3R6",3112-General practitioners and family physicians,1
,,Pro-Formance Intermodel Inc,"CALGARY, AB T3J 0K6","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Rockeast Energy Corp.,"CALGARY, AB T2P 3T7","0016-Senior managers - construction, transportation, production and utilities",1
,,Roof Runner Roofing Ltd.,"Red Deer Country, AB T4S 2A4","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",1
,,Sabre Concrete Construction Inc,"EDMONTON, AB T6L 1R2",7282-Concrete finishers,1
,,The Rimbey Christian School Society,"RIMBEY, AB T0C 2J0",0422-School principals and administrators of elementary and secondary education,1
,,Tomco Production Services Ltd,"Rocky Mountain House, AB T4T 1A8",0711-Construction managers,1
,,Tuner Automotive & Auto Sales Inc.,"CALGARY, AB T2A 0P6",0621-Retail and wholesale trade managers,1
,,Universal Painting Ltd,"CALGARY, AB T3H 1W5",7294-Painters and decorators (except interior decorators),2
,,Western Chevrolet Buick GMC Ltd,"Drumheller, AB T0J 0Y0","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,Wiz-Tec Computing Technologies Inc.,"CALGARY, AB T2G 4V3",2283-Information systems testing technicians,1
,   Low Wage,1011248 Alberta Ltd.,"Edmonton, AB T5G 0P2",6311-Food service supervisors,1
,,1025480 Alberta Ltd o/a Los Mariachis Mexican Restaurant,"Calgary, AB T2H 0L9",6322-Cooks,1
,,1100500 Alberta Ltd,"Edmonton, AB T6A 0J3",6211-Retail sales supervisors,1
,,1182854 Alberta Ltd,"Edmonton, AB T6E 0A6",1521-Shippers and receivers,1
,,1199172 Alberta Inc,"Okotoks, AB T1S 1J3",6321-Chefs,1
,,1235286 Alberta Ltd,"Drayton Valley, AB T7A 1S1","6313-Accommodation, travel, tourism and related services supervisors",1
,,1287180 Alberta Ltd,"Jasper, AB T0E 1E0",6322-Cooks,2
,,1316189 Alberta Ltd,"Spruce Grove, AB T7X 2H4",6311-Food service supervisors,1
,,1476829 Alberta Ltd.,"Calgary, AB T2A 7X6",6211-Retail sales supervisors,1
,,1528621 Alberta Ltd,"Edmonton, AB T6J 5M8",6322-Cooks,1
,,1637200 Alberta Ltd,"EDMONTON, AB T6L 3M4",6311-Food service supervisors,1
