"Employers who were Issued a Negative Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and Business Location in 2020(July-September)",,,,,
Province/Territory,Stream,Employer,Address,Occupation,Requested Positions
New Brunswick,   Low Wage,YA MU SPECIAL CARE HOME INC.,"Saint John, NB E2K 4Z2","3413-Nurse aides, orderlies and patient service associates",2
Quebec,    High Wage,9135-5735 Québec Inc. (Restaurant Toyo grillade à la Japonaise),"Laval, QC H7V 3N8",6321-Chefs,2
Quebec,    High Wage,9209-5488 Quebec Inc,"Baie-Comeau, QC G4Z 1S8","6313-Accommodation, travel, tourism and related services supervisors",1
Quebec,    High Wage,9375-6351 Québec inc./ Restaurant Végano Inc.,"MONTRÉAL, QC H2H 1J5",6321-Chefs,1
Quebec,    High Wage,9387-8429 Québec Inc.,"Salaberry-de-Valleyfield, QC J6S 3V6",6321-Chefs,2
Quebec,    High Wage,Café Cherrier Inc,"Montréal, QC H2X 3L6",6321-Chefs,1
Quebec,    High Wage,INFLIGHT CANADA INC.,"Montréal, QC H4S 1C7",2253-Drafting technologists and technicians,1
Quebec,    High Wage,Les Armoires Gibson inc.,"Rouyn-Noranda, QC J0Z 1Y0",7272-Cabinetmakers,1
Quebec,    High Wage,MT DEFENSE AEROSPACE,"Longueuil, QC J3Y 0T7",6411-Sales and account representatives - wholesale trade (non-technical),1
Quebec,    High Wage,Mylo Financial Technologies Inc.,"MONTRÉAL, QC H4C 3C5","1123-Professional occupations in advertising, marketing and public relations",1
Quebec,   Low Wage,9303-4320 Québec Inc.,"Ste-Marguerite-du-Lac, QC J0L 1L0",8612-Landscaping and grounds maintenance labourers,1
Quebec,   Low Wage,Ébénisterie A.D. Plus inc.,"SAINTE-MARIE, QC G6E 1H4","9619-Other labourers in processing, manufacturing and utilities",1
Quebec,   Low Wage,Esthetique dela Beaute et Sante Inc.,"Montreal, QC H4G 3M5",6341-Hairstylists and barbers,1
Quebec,  Primary Agriculture,SBEC 2006 Senc.,"HOWICK, QC J0S 1G0",8431-General farm workers,1
Ontario,    High Wage, 2389387 ONTARIO INC.,"Parry Sound, ON P2A 1S3",0631-Restaurant and food service managers,1
Ontario,    High Wage,1000234 Ontario Ltd.,"Kitchener, ON N2M 3M5",7612-Other trades helpers and labourers,1
Ontario,    High Wage,10825158 Canada Inc.,"Brampton, ON L6Y 5G8",6321-Chefs,3
Ontario,    High Wage,10967548 Canada Ltd.,"Brampton, ON L6R 3P8",7511-Transport truck drivers,1
Ontario,    High Wage,11634640 Canada Ltd,"London, ON N6E 3R9","0014-Senior managers - health, education, social and community services and membership organizations",1
Ontario,    High Wage,11820737 Canada Inc.,"Brampton, ON L6T 1V1",0631-Restaurant and food service managers,1
Ontario,    High Wage,11833693 Canada Ltd.,"Brampton, ON L6R 0V6",0213-Computer and information systems managers,1
Ontario,    High Wage,11837141 Canada Limited,"London, ON N5V 0B8","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Ontario,    High Wage,11882805 Canada Inc.,"Markham, ON L3R 6W7","1211-Supervisors, general office and administrative support workers",1
Ontario,    High Wage,11989189 Canada Inc.,"Brampton, ON L6W 4T3","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Ontario,    High Wage,1560153 Ontari Corporation,"Toronto, ON M4L 2N3",5225-Audio and video recording technicians,1
Ontario,    High Wage,2097148 Ontario Inc.,"Mississauga, ON L5T 1T9","7305-Supervisors, motor transport and other ground transit operators",1
Ontario,    High Wage,2275938 Ontario Inc.,"Toronto, ON L3T 0C7","0016-Senior managers - construction, transportation, production and utilities",1
Ontario,    High Wage,2293891 Ontario Inc.,"North York, ON M3N 1H6",1221-Administrative officers,1
Ontario,    High Wage,2310705 ontario inc,"Woodstock, ON N4S 7V8",6411-Sales and account representatives - wholesale trade (non-technical),1
Ontario,    High Wage,2339366 ONTARIO INC,"CALEDON, ON L7C 0X4",7282-Concrete finishers,1
Ontario,    High Wage,2420335 ONTARIO INC.,"MISSISSAUGA, ON L5T 2G1",0621-Retail and wholesale trade managers,1
Ontario,    High Wage,2506139 Ontario Inc.,"Toronto, ON M5J 2R9","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Ontario,    High Wage,5023152 Ontario Ltd. o/a Maqamat International of Arts and Heritage,"Cambridge, ON N3H 4R7","0651-Managers in customer and personal services, n.e.c.",1
Ontario,    High Wage,A-CLASS UPHOLSTERY LTD.,"Brampton, ON L6T 3V1","0016-Senior managers - construction, transportation, production and utilities",1
Ontario,    High Wage,AEM Equipment Rentals Limited,"Oakville, ON L6H 5R7","0013-Senior managers - financial, communications and other business services",1
Ontario,    High Wage,Airox Nigen Projects & Equipment Ltd.,"Mississauga, ON L4W 5A6","0016-Senior managers - construction, transportation, production and utilities",1
Ontario,    High Wage,All in AA Consulting Inc.,"Toronto, ON M5B 2L7",0125-Other business services managers,1
Ontario,    High Wage,ALLIED CANS LIMITED,"MILTON, ON L9T 0J8",2243-Industrial instrument technicians and mechanics,1
Ontario,    High Wage,Amberson Education Group Inc.,"Toronto, ON M1W 2S7",2175-Web designers and developers,1
Ontario,    High Wage,Animals Inc.,"TORONTO, ON M6J 2R9","5131-Producers, directors, choreographers and related occupations",2
Ontario,    High Wage,ARCA PROPERTY MANAGEMENT 2009 INC,"Almonte, ON K0A 1A0",1221-Administrative officers,1
Ontario,    High Wage,Atronic Enterprises Inc.,"Thornhill, ON L4J 1V8","0016-Senior managers - construction, transportation, production and utilities",1
Ontario,    High Wage,Auxilium Professional Corporation,"Toronto, ON M5A 2X1",1311-Accounting technicians and bookkeepers,1
Ontario,    High Wage,Ax Pharmaceutical Corp,"Concord, ON L4K 0J9","9232-Petroleum, gas and chemical process operators",1
Ontario,    High Wage,Benchmark Media Marketing Inc.,"Toronto, ON M3J 3J4","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Ontario,    High Wage,Bertucci MedSpa Inc.,"North York, ON M3B 3P6",3012-Registered nurses and registered psychiatric nurses,1
Ontario,    High Wage,BIDWTEK INC,"Windsor, ON N9G 3E4",0601-Corporate sales managers,1
Ontario,    High Wage,Bluets Manufacturing & Technologies Inc.,"Barrie, ON L4N 5J4","0016-Senior managers - construction, transportation, production and utilities",1
Ontario,    High Wage,Burlington Royal Arts Adacemy inc,"Burlington, ON L7P 1A8","1123-Professional occupations in advertising, marketing and public relations",1
Ontario,    High Wage,Can-Sync Consulting Ltd.,"Brampton, ON L6V 4L1","0013-Senior managers - financial, communications and other business services",1
Ontario,    High Wage,CAST GROUP INC,"TORONTO, ON M6S 3P2","0014-Senior managers - health, education, social and community services and membership organizations",1
Ontario,    High Wage,Castle Makers,"Mississauga, ON L5M 6K1",0621-Retail and wholesale trade managers,1
Ontario,    High Wage,CBK INTERNATIONAL INC,"MISSISSAUGA, ON L5T 1A3","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
Ontario,    High Wage,Chains & Charms Inc.,"Brampton, ON L6W 3E7",0621-Retail and wholesale trade managers,2
Ontario,    High Wage,City Welding Sudbury (2015) Limited,"Sudbury, ON P3A 5K1",1523-Production logistics co-ordinators,1
Ontario,    High Wage,Civil ArSa Engineering Inc.,"Queensville, ON L0R 1R0",0111-Financial managers,1
Ontario,    High Wage,CJ HOME TEXTILE LTD,"Burlington, ON L7N 3G2","0124-Advertising, marketing and public relations managers",1
Ontario,    High Wage,Colour Innovations Inc.,"North York, ON M3N 1Y2",2175-Web designers and developers,1
Ontario,    High Wage,Compass Industrial Supplies Corporation,"Hamilton, ON L8P 4W7","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Ontario,    High Wage,CORNER CLUBHOUSE DAYCARE CENTRE INC.,"KINGSTON, ON K7L 4C3","5254-Program leaders and instructors in recreation, sport and fitness",1
Ontario,    High Wage,Dr. P. Diavolitsis Medicine Professional Corporation,"Thamesford, ON N0M 2M0",3112-General practitioners and family physicians,1
Ontario,    High Wage,EAGLE SHUNT SERVICE LTD.,"BRAMPTON, ON L6W 4N6",7511-Transport truck drivers,6
Ontario,    High Wage,Ecopack Canada Inc.,"Brantford, ON N3P 1J5","0016-Senior managers - construction, transportation, production and utilities",2
Ontario,    High Wage,Elements Office Installations Inc,"Pickering, ON L1W 3G8",7292-Glaziers,1
Ontario,    High Wage,EMInS Inc.,"Scarborough, ON M1E  2W","0013-Senior managers - financial, communications and other business services",1
Ontario,    High Wage,Energy Network Services Inc.,"RICHMOND HILL, ON L4B 1C6",0711-Construction managers,1
Ontario,    High Wage,Extox Industries Inc,"Mississauga, ON L5T 1C3",7332-Appliance servicers and repairers,1
Ontario,    High Wage,FH International High School Corp.,"Toronto, ON M1H 3A4",4031-Secondary school teachers,1
Ontario,    High Wage,FREIGHT MASTERS LOGISTICS INC.,"MISSISSAUGA, ON L4V 1T1",1521-Shippers and receivers,1
Ontario,    High Wage,G.V. Pool & Spa LTD.,"Ajax, ON L1S 7E4","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",1
Ontario,    High Wage,GTA Waste Services Inc.,"Newmarket, ON L3Y 8E1",0731-Managers in transportation,1
Ontario,    High Wage,GWA Business Solutions Canada Inc.,"Stouffville, ON L4A 1M5",2171-Information systems analysts and consultants,1
Ontario,    High Wage,Hanscomb Limited,"Toronto, ON M4S 3C3",2234-Construction estimators,1
Ontario,    High Wage,"Hua Men Trading Co., Ltd.","Scarborough, ON M1B 4Z7","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
Ontario,    High Wage,IDataStory Inc.,"Mississauga, ON L5R 0E1",0213-Computer and information systems managers,1
Ontario,    High Wage,International paper Converters Limited,"Thornhill, ON L4K 2G1","9215-Supervisors, forest products processing",1
Ontario,    High Wage,International Trucking Incorporated,"Kitchener, ON N2A 0C6",7511-Transport truck drivers,3
Ontario,    High Wage,Ithaca Life Consulting Inc.,"Toronto, ON M3J 2T2","0013-Senior managers - financial, communications and other business services",1
Ontario,    High Wage,iTi Building Permit Designer Inc.,"Oakville, ON L6J 6G6","7204-Contractors and supervisors, carpentry trades",1
Ontario,    High Wage,Jas Boyal Management Inc.,"Mississauga, ON L4W 4H3",6211-Retail sales supervisors,1
Ontario,    High Wage,KAMLIN LTD.,"KITCHENER, ON N2K 1M3",1225-Purchasing agents and officers,1
Ontario,    High Wage,Kids dancing club prime Inc.,"Toronto, ON M3J 2T2","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Ontario,    High Wage,KIN&KITH Restaurant Investment INC.,"Hamilton, ON L8R 1J4","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Ontario,    High Wage,Legno Custom Millwork Inc.,"Concord, ON L4K 2B9",1225-Purchasing agents and officers,1
Ontario,    High Wage,Livespace Interiors Canada Ltd.,"Mississauga, ON L4W 3W6","0016-Senior managers - construction, transportation, production and utilities",1
Ontario,    High Wage,MACVAD (CANADA USA) LIMITED,"Mississauga, ON L5L 3S3",6222-Retail and wholesale buyers,1
Ontario,    High Wage,Malton Medical Urgent Care Center Inside Wal-Mart,"Malton, ON L4T 2T8",1243-Medical administrative assistants,1
Ontario,    High Wage,Max Electric and Fire Protection Ltd.,"Richmond Hill, ON L4B 1G2",1225-Purchasing agents and officers,1
Ontario,    High Wage,MG Sky Cargo Ltd.,"Newmarket, ON L3X 1X4","0014-Senior managers - health, education, social and community services and membership organizations",1
Ontario,    High Wage,Mohan Wellness & Rehab Clinic,"Scarborough, ON M1S 4Z4",1243-Medical administrative assistants,2
Ontario,    High Wage,Motherbird Entertainment Inc. dba Spy Films,"Woodbridge, ON L4L 4H2","5131-Producers, directors, choreographers and related occupations",1
Ontario,    High Wage,Naber Accounting and Financial Advisory Service,"Toronto, ON M6P 1Z9",0111-Financial managers,1
Ontario,    High Wage,National Event Management Inc.,"markham, ON L3R 8H8","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Ontario,    High Wage,NSUS Group Inc.,"North York, ON M2M 4K2","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Ontario,    High Wage,Online Print Decor Inc.,"Toronto, ON M8W 3S2","7303-Supervisors, printing and related occupations",1
Ontario,    High Wage,Out of the Box Packaging Inc.,"North York, ON M3J 3K6","9213-Supervisors, food, beverage and associated products processing",1
Ontario,    High Wage,P&P Interior Decorator Inc.,"Mississauga, ON L5S 1V6","7201-Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",1
Ontario,    High Wage,Panda Painting and Wallpapering,"Niagara Falls, ON L2H 3G1",7294-Painters and decorators (except interior decorators),3
Ontario,    High Wage,Partners Film Inc,"Toronto, ON M5A 3C4","5131-Producers, directors, choreographers and related occupations",1
Ontario,    High Wage,PAUL ACCOUNTING ASSOCIATES LTD.,"MISSISSAUGA, ON L5T 1B6","1212-Supervisors, finance and insurance office workers",1
Ontario,    High Wage,Pharmhill Inc,"Toronto, ON M2M 3W2","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
Ontario,    High Wage,Quad Infotech Inc.,"Toronto, ON M2N 6X3",0211-Engineering managers,1
Ontario,    High Wage,RAW MECHANICAL LTD.,"PICKERING, ON L1W 3V2",7313-Refrigeration and air conditioning mechanics,1
Ontario,    High Wage,Rock Valley Natural Stone Inc,"Woodbridge, ON L4L 1A7","9414-Concrete, clay and stone forming operators",1
Ontario,    High Wage,SabSolutions Inc.,"Whitby, ON L1N 4R5",1311-Accounting technicians and bookkeepers,1
Ontario,    High Wage,Saxon Facility Services Inc.,"Woodbridge, ON L4L 8K5",6315-Cleaning supervisors,1
Ontario,    High Wage,Si Petit Baby Home FMA Inc.,"Mississauga, ON L4Z 1V9",0621-Retail and wholesale trade managers,1
Ontario,    High Wage,"SOFT CITIZEN, INC","Toronto, ON M5A 2N4","5131-Producers, directors, choreographers and related occupations",1
Ontario,    High Wage,Spartan Freight Systems Inc.,"Mississauga, ON L5S 1K4",1221-Administrative officers,1
Ontario,    High Wage,SQUARE CONSTRUCTION CORP.,"RICHMOND HILL, ON L4C 2J2",1221-Administrative officers,1
Ontario,    High Wage,Sunrise Beijing International Inc,"Richmond Hill, ON L4B 3J6","1123-Professional occupations in advertising, marketing and public relations",1
Ontario,    High Wage,Terra Nova Steel & Iron Inc.,"Mississauga, ON L5C 2V1",1523-Production logistics co-ordinators,1
Ontario,    High Wage,TRUELINE CONSTRUCTION CO. LTD.,"WOODBRIDGE, ON L4H 3G5",7611-Construction trades helpers and labourers,1
Ontario,    High Wage,Ubisoft Toronto Inc.,"Toronto, ON M6H 1V7",5241-Graphic designers and illustrators,2
Ontario,    High Wage,UFT CAN. Inc.,"Brantford, ON N3S 0H4",2241-Electrical and electronics engineering technologists and technicians,4
Ontario,    High Wage,United Mobile & Accessories Inc.,"St. Catherines, ON L2N 2G3",0621-Retail and wholesale trade managers,1
Ontario,    High Wage,U-Save Center Inc,"Etobicoke, ON M8Z 4X4","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
Ontario,    High Wage,UTOI Management Consulting Inc.,"Markham, ON L3R 0N8",1221-Administrative officers,1
Ontario,    High Wage,Valueway Global Logistics Inc.,"toronto, ON M9W 4Y8","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",2
Ontario,    High Wage,VRP Logistics Inc.,"Woodstock, ON N4V 0A2","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
Ontario,    High Wage,Western Best Landing Corp,"Hamilton, ON L8H 7P4",2281-Computer network technicians,1
Ontario,    High Wage,Willfix Inc.,"Mississauga, ON L5A 2B3","7284-Plasterers, drywall installers and finishers and lathers",1
Ontario,    High Wage,Wittington Properties Ltd.,"Toronto, ON M4T 2S8",6312-Executive housekeepers,1
Ontario,    High Wage,ZEAL EXPRESS LOGISTICS INC.,"Brampton, ON L6Z 3W8","0016-Senior managers - construction, transportation, production and utilities",1
Ontario,    High Wage,Zeus Holdings Inc. d/b/a Stay Home Forever,"Ajax, ON L1S 2B9","0014-Senior managers - health, education, social and community services and membership organizations",1
Ontario,   Low Wage,1000 Curry Inc,"Kingston, ON K7P 0K4",6322-Cooks,1
Ontario,   Low Wage,10138401 Canada Inc.,"Toronto, ON M2N 7H2",1241-Administrative assistants,1
Ontario,   Low Wage,1044783 Ontario Inc.,"Brampton, ON L6Z 3S4","6711-Food counter attendants, kitchen helpers and related support occupations",1
Ontario,   Low Wage,10604593 Canada Inc,"Mississauga, ON L4T 2H3",1311-Accounting technicians and bookkeepers,1
Ontario,   Low Wage,10962562 Canada Inc. o/a Lemon (Bistro),"Markham, ON L3P 1X5",0631-Restaurant and food service managers,1
Ontario,   Low Wage,1379914 Ontario Inc. o/a New York Fries,"Severn, ON L3V 7E1",6311-Food service supervisors,1
Ontario,   Low Wage,1651708 Ontario Inc.,"Toronto, ON M6L 3C9",6311-Food service supervisors,1
Ontario,   Low Wage,1674947 Ontario Limited,"North Bay, ON P1A 2C7",6211-Retail sales supervisors,1
Ontario,   Low Wage,1867989 Ontario Inc,"Toronto, ON M3B 1Y2",6311-Food service supervisors,1
Ontario,   Low Wage,1892714 Ontario Inc.,"Oakville, ON L6J 2W7",6321-Chefs,3
Ontario,   Low Wage,1932558 ONTARIO INC.,"NORTH YORK, ON M3B 1Y2",6311-Food service supervisors,1
Ontario,   Low Wage,1970144 Ontario Inc.,"St. Catharines, ON L2R 5L3",6322-Cooks,1
Ontario,   Low Wage,1988066 Ontario Limited,"Sudbury, ON P3B 1B2","7305-Supervisors, motor transport and other ground transit operators",1
Ontario,   Low Wage,2087689 ONTARIO INC,"Niagara Falls, ON L2G 2A8",6321-Chefs,1
Ontario,   Low Wage,2097148 Ontario Inc.,"Mississauga, ON L5T 1T9",1241-Administrative assistants,1
Ontario,   Low Wage,2118033 Ontario Ltd.,"Burlington, ON L7N 3G2","3413-Nurse aides, orderlies and patient service associates",4
Ontario,   Low Wage,2202136 Ontario Ltd. DBA Twice the Deal Pizza,"Waterloo, ON N2V 0A2",0631-Restaurant and food service managers,1
Ontario,   Low Wage,2368182 Ontario Inc.,"Brampton, ON L6Y 0P6",6322-Cooks,2
Ontario,   Low Wage,2369460 ontario ltd,"toronto, ON M3M 3E5",3219-Other medical technologists and technicians (except dental health),1
Ontario,   Low Wage,2398202 ONTARIO INC.,"Brampton, ON L7A 0S9",7511-Transport truck drivers,2
Ontario,   Low Wage,2441488 ONTARIO INC,"MILTON, ON L9T 7K6",6311-Food service supervisors,1
Ontario,   Low Wage,2467690 ONTARIO INC.,"Dryden, ON P8N 2Z1",6311-Food service supervisors,1
Ontario,   Low Wage,2469522 ONTARIO INC.,"BARRIE, ON L4N 9C7",6322-Cooks,1
Ontario,   Low Wage,2498576 ONTARIO LTD.,"Brampton, ON L6T 4L6",6311-Food service supervisors,2
Ontario,   Low Wage,2524879 ONTARIO INC.,"North York, ON M9L 1Y8",1221-Administrative officers,2
Ontario,   Low Wage,2559574 Ontario Inc.,"Hamilton, ON L8E 1H8",6322-Cooks,1
Ontario,   Low Wage,2632398 ONTARIO INC.,"SCARBOROUGH, ON M1B 4Y7",6311-Food service supervisors,2
Ontario,   Low Wage,2643868 Ontario Inc.,"Edwardsburgh Cardinal, ON K0E 1E0",6211-Retail sales supervisors,1
Ontario,   Low Wage,2646894 Ontario Inc.,"Toronto, ON M5B 2L6",6322-Cooks,2
Ontario,   Low Wage,2733304 Ontario Inc.,"Mississauga, ON L5V 0B5",6311-Food service supervisors,1
Ontario,   Low Wage,875784 Ontario Ltd,"Brampton, ON L6W 3G4",6211-Retail sales supervisors,1
Ontario,   Low Wage,9185313 Canada Inc,"Concord, ON L4K 4X2",1221-Administrative officers,1
Ontario,   Low Wage,9437908 CANADA INC.,"Brampton, ON L6W 3G3",1221-Administrative officers,1
Ontario,   Low Wage,9570896 Canada Ltd,"Toronto, ON M2N 5N4",0631-Restaurant and food service managers,1
Ontario,   Low Wage,9796037 Canada Inc.,"Mississauga, ON L4Z 2V4",6332-Bakers,1
Ontario,   Low Wage,Anthony Furlano Construction Inc.,"New Tecumseth, ON L9R 0M1",7441-Residential and commercial installers and servicers,4
Ontario,   Low Wage,Bairrada Churrasqueira Grill House,"Toronto, ON M6H 1A7",6322-Cooks,1
Ontario,   Low Wage,Berk & Nanda Foods Ltd,"Toronto, ON M9W 1P7",6311-Food service supervisors,1
Ontario,   Low Wage,Brampton Sports Centre,"Brampton, ON L6W 3J5",6211-Retail sales supervisors,1
Ontario,   Low Wage,Campus Auto Collision and Heavy Equipment Refinishing Ltd.,"North York, ON M3J 2A2",7237-Welders and related machine operators,1
Ontario,   Low Wage,Central Montessori School York Mills,"North York, ON M3B 1Y7",4214-Early childhood educators and assistants,1
Ontario,   Low Wage,CES PowerON Services Inc.,"Vaughan, ON L4L 8Z3",1221-Administrative officers,1
Ontario,   Low Wage,Channel Punjabi Television Inc.,"brampton, ON L6T 5E8",5231-Announcers and other broadcasters,1
Ontario,   Low Wage,CROSS BORDERS EXPEDITE LTD.,"Brampton, ON L6T 2W4",1241-Administrative assistants,1
Ontario,   Low Wage,"Dunn, Pierre, Barnett and Company, Canada Ltd.","Toronto, ON M5X 1C7",5241-Graphic designers and illustrators,1
Ontario,   Low Wage,Elegance Salon Ltd.,"Brampton, ON L6S 0C1","6562-Estheticians, electrologists and related occupations",1
Ontario,   Low Wage,Estar Inc.,"Aurora, ON L4G 3V1",6222-Retail and wholesale buyers,1
Ontario,   Low Wage,ETHICA INC,"Toronto, ON M6R 2B2",0631-Restaurant and food service managers,1
Ontario,   Low Wage,Falls Sushi House,"Niagara Falls, ON L2G 3L1",6322-Cooks,1
Ontario,   Low Wage,Future Scholars Montessori Academy,"Ottawa, ON K1V 7Z8",4214-Early childhood educators and assistants,1
Ontario,   Low Wage,GANADA STUDY INFO INC,"Toronto, ON M5R 2A7",1241-Administrative assistants,1
Ontario,   Low Wage,General Machinery & Cutter Inc.,"Scarborough, ON M1R 3C3",7231-Machinists and machining and tooling inspectors,1
Ontario,   Low Wage,GRASS N SNOW ANGEL INC,"BURLINGTON, ON L7N 3M1",6731-Light duty cleaners,2
Ontario,   Low Wage,GVR Imports Inc,"Mississauga, ON L5W 1L2",1411-General office support workers,1
Ontario,   Low Wage,HANJRA HAULERS INC.,"BRAMPTON, ON L6P 1W3",7511-Transport truck drivers,5
Ontario,   Low Wage,India Village Grill Restaurant & Catering Ltd.,"Dundas, ON L9H 1T9",6322-Cooks,1
Ontario,   Low Wage,L. Bertelli Pharmacy Inc.,"Toronto, ON M6G 4C1",6211-Retail sales supervisors,1
Ontario,   Low Wage,LA GLOBAL AUTO PARTS & BUMPER RECYCLERS LTD.,"Mississauga, ON L5T 1B8",7237-Welders and related machine operators,1
Ontario,   Low Wage,M & A PIZZA INC.,"North York, ON M2N 3A8",6322-Cooks,1
Ontario,   Low Wage,Marben Holdings Inc.,"Oakville, ON L6L 0B7",6322-Cooks,1
Ontario,   Low Wage,Marcheleo's INC.,"Toronto, ON M4P 1J4",6322-Cooks,1
Ontario,   Low Wage,Maric Kitchen Distributors Inc.,"Windsor, ON N8T 2W8",1311-Accounting technicians and bookkeepers,1
Ontario,   Low Wage,Mar-Tec Woodworking LTD,"Mississauga, ON L5T 2G9",7272-Cabinetmakers,4
Ontario,   Low Wage,Masterstire & Rim Inc.,"Brampton, ON L6T 1A7",6211-Retail sales supervisors,1
Ontario,   Low Wage,Mifi Inc.,"Markham, ON L3R 0Y5",1241-Administrative assistants,1
Ontario,   Low Wage,NAPA VALLEY KITCHENS INC,"woodbridge, ON L4L 4Y3",7294-Painters and decorators (except interior decorators),1
Ontario,   Low Wage,One Society Security Inc.,"RICHMOND HILL, ON L4B 3B2",6316-Other services supervisors,1
Ontario,   Low Wage,Onsite Utility Services Canada Ltd,"Mississauga, ON L5N 5M1",7522-Public works maintenance equipment operators and related workers,1
Ontario,   Low Wage,ONTARIO BAKERY SUPPLIES LIMITED,"NORTH YORK, ON M3N 1V9",6332-Bakers,1
Ontario,   Low Wage,Ontario Potato Dist. (Alliston) Inc. 1991,"Alliston, ON L9R 1W1",2222-Agricultural and fish products inspectors,2
Ontario,   Low Wage,Ottawa Classic Stairs & Bannisters Inc.,"Ottawa, ON K1B 3W4",7271-Carpenters,1
Ontario,   Low Wage,Pebbles Play Based Learning Centre,"Toronto, ON M4L 1H9",4214-Early childhood educators and assistants,1
Ontario,   Low Wage,Prayosha Threading and Wax Bar,"Toronto, ON M4N 2H7",1221-Administrative officers,1
Ontario,   Low Wage,R.T. FLOORING LTD.,"MISSISSAUGA, ON L4T 1B8",7295-Floor covering installers,1
Ontario,   Low Wage,Schutten Bros. Holdings Ltd,"ANCASTER, ON L9G 3K9",7611-Construction trades helpers and labourers,2
Ontario,   Low Wage,SCIENTIFIC UTILITY BRANDS INTERNATIONAL INC.,"London, ON N6B 1P5",1523-Production logistics co-ordinators,1
Ontario,   Low Wage,Sofari Collections Limited,"MISSISSAUGA, ON L4Z 2E5",6316-Other services supervisors,1
Ontario,   Low Wage,South Simcoe Dental Laboratory Inc.,"Alliston, ON L9R 1E8","3223-Dental technologists, technicians and laboratory assistants",1
Ontario,   Low Wage,Spaw Boutique Inc.,"Toronto, ON M5V 1P1",6211-Retail sales supervisors,1
Ontario,   Low Wage,Summit SKS Limited,"Oakville, ON L6L 6L7",5223-Graphic arts technicians,1
Ontario,   Low Wage,Transport Minimax Express Inc.,"Cornwall, ON K6H 6C7",1241-Administrative assistants,1
Ontario,   Low Wage,Urban Machinery Corporation,"Cambridge, ON N1T 1N7",2232-Mechanical engineering technologists and technicians,1
Ontario,   Low Wage,Vieira & Associates Insurance Brokers Ltd,"Toronto, ON M6J 1X8",6231-Insurance agents and brokers,1
Ontario,   Low Wage,WINDWARD CONTRACTING INC,"AURORA, ON L4G 3E5",7611-Construction trades helpers and labourers,1
