"Employers who were issued a negative Labour Market Impact Assessment (LMIA) by stream, National Occupational Classification (NOC) 2011 and business location in 2019 (January-March)",,,,,
Province/Territory,Stream,Employer,Address,Occupation,Requested Positions
,,Agriculture Environmental Renewal Canada Inc.,"NEPEAN, ON K2G 5P6",2121-Biologists and related scientists,1
,,Akal Optical Ltd.,"ETOBICOKE, ON M9V 1A7",6211-Retail sales supervisors,1
,,Altaqwa Academy Foundation,"LONDON, ON N5V 3H4",0422-School principals and administrators of elementary and secondary education,4
,,Animals Inc.,"TORONTO, ON M6J 2R9","5131-Producers, directors, choreographers and related occupations",2
,,Antica Osteria Italian Eatery Ltd.,"CALEDON, ON L7C 2G2",6321-Chefs,1
,,Atif Ageel Architect Inc,"MISSISSAUGA, ON L5M 2K8",2231-Civil engineering technologists and technicians,1
,,Aussie Stone Marble & Granite Inc.,"BURLINGTON, ON L7R 3P6","9414-Concrete, clay and stone forming operators",1
,,B Negative LLC,"SCARBOROUGH, ON M1N 4B5","5131-Producers, directors, choreographers and related occupations",1
,,B.G.A. Construction,"MISSISSAUGA, ON L5M 6P1",1241-Administrative assistants,1
,,Bah & Sons Ltd.,"BRAMPTON, ON L6R 3C4",7511-Transport truck drivers,3
,,Baumeier Corporation,"CAMBRIDGE, ON N3H 4R7",7231-Machinists and machining and tooling inspectors,1
,,Bay Street Real Estate Investment Ltd.,"MARKHAM, ON L3R 9Y7",1242-Legal administrative assistants,1
,,Bello Horizonte Construction Ltd,"North York, ON M6L 1H7",7271-Carpenters,1
,,Benson Mortgages Corp.,"RICHMOND HILL, ON L4C 3B8",2171-Information systems analysts and consultants,1
,,Bento Nouveau Ltd,"Markham, ON L3R 5N8",1241-Administrative assistants,1
,,Bormill Inc,"Hamilton, ON L8M 1M8","7202-Contractors and supervisors, electrical trades and telecommunications occupations",1
,,BTE ASSEMBLY LIMITED,"LISTOWEL, ON N4W 3H2","9535-Plastic products assemblers, finishers and inspectors",5
,,CaffComm Systems Inc.,"THORNHILL, ON L3T 0B3",2281-Computer network technicians,1
,,Camp Forming Ltd.,"CONCORD, ON L4K 1P2",7611-Construction trades helpers and labourers,1
,,Canprev Natural Health Products Ltd.,"Toronto, ON M1S 3R5",2174-Computer programmers and interactive media developers,1
,,Castanas Inc.  o/a Marron Bistro,"TORONTO, ON M6C 2C2",6322-Cooks,1
,,Children's Hospital Of Eastern Ontario,"Ottawa, ON K1H 8L1",3111-Specialist physicians,1
,,CIRC Radio Inc.,"BRAMPTON, ON L6S 0E8",5123-Journalists,1
,,Circle Productions Ltd,"Toronto, ON M5V 1T2","5131-Producers, directors, choreographers and related occupations",1
,,Companion Healthcare Corporation,"TORONTO, ON M3B 2R2",3111-Specialist physicians,1
,,Condor Security Inc,"TORONTO, ON M3H 5S4",6316-Other services supervisors,1
,,Delstar (2000) Inc.,"Brampton, ON L6S 5X2",7231-Machinists and machining and tooling inspectors,1
,,Dick's Garage Limited,"SAULT STE MARIE, ON P6A 5K9","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,DMN Transportation Limited,"OAKVILLE, ON L6H 7V4","0016-Senior managers - construction, transportation, production and utilities",1
,,Dr. Emel Arat Dentistry Professional Corporation,"TORONTO, ON M4G 3B7","0124-Advertising, marketing and public relations managers",1
,,Durose Manufacturing Ltd.,"GUELPH, ON N1E 6C1",7237-Welders and related machine operators,5
,,Elite Alliance Services Inc.,"NORTH YORK, ON M2N 0G3","0124-Advertising, marketing and public relations managers",1
,,Everest Transportation Inc.,"CALEDON EAST, ON L7C 2X6",7511-Transport truck drivers,5
,,Fantilli Carpentry Ltd.,"Toronto, ON M6J 2Z8",7272-Cabinetmakers,1
,,FC Locksmiths Ltd.,"CONCORD, ON L4K 0A8","7384-Other trades and related occupations, n.e.c.",1
,,Flynn Canada Ltd.,"Mississauga, ON L4V 1K2",7292-Glaziers,1
,,FMF Glass Hardware Inc.,"WOODBRIDGE, ON L4L 0A2",1311-Accounting technicians and bookkeepers,1
,,Gameloft Entertainment Toronto Inc.,"Toronto, ON M6K 3J7",5241-Graphic designers and illustrators,1
,,Gip Sing International Ltd.,"Toronto, ON M1S 5H6",2175-Web designers and developers,1
,,Glen-Merritt Collision Ltd.,"ST. CATHERINES, ON L2S 0B6",7322-Motor vehicle body repairers,1
,,Golden Grain Inc.,"WINDSOR, ON N9G 2Y2","9524-Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",1
,,Hydrauli-Chrome Inc.,"OTTAWA, ON K1B 4S1",7231-Machinists and machining and tooling inspectors,3
,,IDC Technologies Canada,"NORTH YORK, ON M2P 2A8","0013-Senior managers - financial, communications and other business services",1
,,Infinite Outsourcing Solutions Inc.,"TORONTO, ON M9N 3W3",1521-Shippers and receivers,10
,,Innovative Processing Technologies Inc,"WATERLOO, ON N2V 1N2",2233-Industrial engineering and manufacturing technologists and technicians,1
,,Jagjot Express Inc.,"ETOBICOKE, ON M9W 1L4",1311-Accounting technicians and bookkeepers,1
,,,,7511-Transport truck drivers,3
,,James McDermott Services Inc,"TORONTO, ON M5A 1W7","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
,,Jamrock Irie Jerk/2270243 Ontario Inc.,"ST. CATHARINES, ON L2R 2P5",0631-Restaurant and food service managers,1
,,JD Property Canada Corp. o/a JD Development Group,"MARKHAM, ON L3R 5J2",0111-Financial managers,1
,,Jewish Family Services of Ottawa,"OTTAWA, ON K2B 7Z5","4153-Family, marriage and other related counsellors",1
,,Konnection Recycles Inc,"BRAMPTON, ON L6R 3W3","0013-Senior managers - financial, communications and other business services",1
,,Korbitec Inc,"Toronto, ON M5C 1B5",2174-Computer programmers and interactive media developers,1
,,Lima's Gardens & Construction Inc.,"Toronto, ON M9L 1X6",7312-Heavy-duty equipment mechanics,1
,,LIME TREE FINANCIAL GROUP INC.,"THORNHILL, ON L3T 0C4",1241-Administrative assistants,1
,,Linkglobal Food,"Richmond Hill, ON L4B 1L5",1241-Administrative assistants,1
,,LJP Corporation o/a Hockley Valley Resort,"Mono, ON L9W 5X7",6322-Cooks,1
,,Loosestring Designs o/a 2543491 Ontario Incorporated,"Timmins, ON P4N 2W9",2281-Computer network technicians,1
,,Mansumi Welding Corporation,"STOUFFVILLE, ON L4A 1X6",0211-Engineering managers,1
,,Mayar International Inc.,"Markham, ON L3R 3B2","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Mc Garr Industries Limited,"Cambridge, ON N1R 5R5",7231-Machinists and machining and tooling inspectors,1
,,Mid-Ontario Diesel Limited,"MAPLE, ON L6A 4R6","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,Norfinch Glass & Mirror Mfg Limited.  o/a Norfinch Glass & Mirror,"TORONTO, ON M9W 7A4",0711-Construction managers,1
,,Nous Infosystems Private Ltd,"MISSISSAUGA, ON L4Z 1H8",4163-Business development officers and marketing researchers and consultants,1
,,Ontario Impex of Canada,"BRAMPTON, ON L6T 1E2","5131-Producers, directors, choreographers and related occupations",1
,,OPC TV Inc.,"TORONTO, ON M5A 2N4","5131-Producers, directors, choreographers and related occupations",1
,,Paradise Roadways Inc.,"BRANTFORD, ON N3T 0E5","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Picture Depot Inc.,"TORONTO, ON M3J 2A7","9214-Supervisors, plastic and rubber products manufacturing",1
,,Premium Window Cleaning Ltd.,"Uxbridge, ON L9P 1B7",6315-Cleaning supervisors,1
,,Presidential Life Inc.,"Mississauga, ON L5T 2J6",0111-Financial managers,1
,,ProDesign Automation Inc.,"BRAMPTON, ON L6T 4Z5",2232-Mechanical engineering technologists and technicians,1
,,Public Disposal and Recycling Inc.,"Kleinburg, ON L0J 1C0",7271-Carpenters,1
,,Punjabi Dhaba,"Mississauga, ON L4T 1A6",6322-Cooks,1
,,Purba Furniture Ltd,"Mississauga, ON L4T 1A1",6211-Retail sales supervisors,1
,,R Office Solutions,"Toronto, ON M3J 2X4","9224-Supervisors, furniture and fixtures manufacturing",1
,,Rafat General Contractor Inc,"Caledon, ON L7E 2Y4","7301-Contractors and supervisors, mechanic trades",1
,,Ready Go Transport Inc.,"HALTON HILLS, ON L9T 2X9","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Reliance Carriers Inc.,"MISSISSAUGA, ON L5N 8L2",1221-Administrative officers,1
,,Reliance Collision Centre Ltd.,"MISSISSAUGA, ON L4W 2R4","7301-Contractors and supervisors, mechanic trades",1
,,Restorex Contracting Ltd.,"Brampton, ON L6T 5G2",7271-Carpenters,5
,,Rigarus Construction Inc.,"ELMIRA, ON N3B 2Z5",7245-Telecommunications line and cable workers,1
,,Rudy Mak Surveying Ltd,"BARRIE, ON L4N 8M5",2154-Land surveyors,1
,,Sayan Restaurants Canada Inc. o/a KFC,"TORONTO, ON M2N 6K1",6311-Food service supervisors,1
,,Scorpion Road Link Inc.,"ALLISTON, ON L9R 0N8","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Sequoia Content International Ltd,"Toronto, ON M5B 2E7","5131-Producers, directors, choreographers and related occupations",1
,,Shahid Malik Law Office Professional Corp.,"MISSISSAUGA, ON L4Z 1X1",1242-Legal administrative assistants,1
,,Siali Corporation,"CHAPLEAU, ON P0M 1K0","6313-Accommodation, travel, tourism and related services supervisors",1
,,Sirius Auto Parts Corp.,"Woodbridge, ON L4L 6B4","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Sky Ride Transport Inc.,"BRAMPTON, ON L6W 3G2",1241-Administrative assistants,1
,,Southern Cross Plumbing Inc,"Toronto, ON M1E 5C8",7294-Painters and decorators (except interior decorators),1
,,Sparks Productions,"Toronto, ON M6K 3J1","5131-Producers, directors, choreographers and related occupations",1
,,Specialized Metal Fabricators Inc.,"WOODBRIDGE, ON L4L 5Y6","0124-Advertising, marketing and public relations managers",1
,,Stargate Logistics Ltd.,"Mississauga, ON L5T 2S6",1221-Administrative officers,1
,,Steam Films Inc.,"TORONTO, ON M5A 2N4","5131-Producers, directors, choreographers and related occupations",1
,,Streamline Cable Solutions Inc,"Woodbridge, ON L4H 0R6",7247-Cable television service and maintenance technicians,1
,,Suneeva Ltd.,"Toronto, ON M5B 2E7","5131-Producers, directors, choreographers and related occupations",2
,,Sure Track Courier Ltd.,"Concord, ON L4K 5B5","7305-Supervisors, motor transport and other ground transit operators",1
,,T. Weber Co. Ltd.,"BLOOMINGDALE, ON N0B 1K0",7611-Construction trades helpers and labourers,2
,,The Tempered Room Ltd,"TORONTO, ON M6K 1L7",6332-Bakers,1
,,"The Tree Specialists, Inc","OAKVILLE, ON L6L 4A7",2225-Landscape and horticulture technicians and specialists,1
,,Tito Construction Ltd.,"Toronto, ON M9L 1M3",7271-Carpenters,1
,,Trican Masonry Contractors Inc.,"Mississauga, ON L5G 1M8",7281-Bricklayers,2
,,TTEC Computers Inc.,"BRAMPTON, ON L6Y 1M5",2281-Computer network technicians,1
,,Ubisoft Toronto Inc.,"Toronto, ON M6H 1V7","1123-Professional occupations in advertising, marketing and public relations",1
,,,,5121-Authors and writers,1
,,VAL/MAR Construction Inc.,"Scarborough, ON M1K 2X4",7311-Construction millwrights and industrial mechanics,1
,,Voyzant Inc.,"MARKHAM, ON L3R 5J2","6313-Accommodation, travel, tourism and related services supervisors",1
,   Low Wage,1100852 Ontario Ltd.,"Mississauga, ON L5A 1X1","5254-Program leaders and instructors in recreation, sport and fitness",1
,,1559778 Ontario Inc. o/a Tim Hortons,"LINDSAY, ON K9V 5N2",6311-Food service supervisors,4
,,1623385 Ontario Inc. o/a Purba Vision,"GUELPH, ON N1L 1N5",6211-Retail sales supervisors,1
,,1672251 Ontario Ltd. o/a Rio 40 Degrees Restaurant & Bar,"Toronto, ON M6E 1B9",6322-Cooks,1
,,1678183 Ontario Inc.,"TORONTO, ON M1G 2V7",1241-Administrative assistants,1
,,1717495 Ontario Inc.  o/a Green Mango Tree Thai Fusion,"COLLINGWOOD, ON L9Y 1A5",6322-Cooks,2
,,1748302 Ontario Inc.,"FLESHERTON, ON N0C 1E0","6711-Food counter attendants, kitchen helpers and related support occupations",1
,,1784402 Ontario Limited o/a Ruth's Chris Steak House,"Niagara Falls, ON L2G 3V9",6322-Cooks,1
,,1875600 Ontario Inc,"ETOBICOKE, ON M9B 4Y7",6321-Chefs,2
,,1877351 Ontario Ltd.  o/a Captain George's Fish & Chips,"Toronto, ON M9V 5E2",6322-Cooks,1
,,1897366 Ontario Inc. o/a Pizza Pizza,"KANATA, ON K2W 0C5",6311-Food service supervisors,1
,,1975471 Ontario Ltd. O/A Canadian Tire Gas,"COBOURG, ON K9A 5T9",6211-Retail sales supervisors,1
,,2061054 Ontario Inc.,"NORTH YORK, ON M3N 2V3",6311-Food service supervisors,1
,,2096899 Ontario Inc.,"Toronto, ON M5S 1X8",6321-Chefs,1
,,2105727 Ontario Inc.,"Oakville, ON L6H 6K7",6311-Food service supervisors,1
,,2237923 Ontario Inc.  o/a Las Delicias,"MISSISSAUGA, ON L5B 1H7",6322-Cooks,1
,,2290605 Ontario Inc. (STL),"CALEDON, ON L7C 3A6",7511-Transport truck drivers,1
,,2316957 Ontario Corp o/a Sushi California,"Toronto, ON M6E 1B7",6322-Cooks,1
,,2323886 Ontario Inc. o/a Man O Salwa Foods,"TORONTO, ON M1B 5M3",6311-Food service supervisors,1
,,2328392 Ontario Inc o/a Dollar Bits & Discounts,"BRAMPTON, ON L0G 1W0",6211-Retail sales supervisors,1
,,2354181 Ont Inc.,"Toronto, ON M4N 2L9",6322-Cooks,2
,,2381062 Ontario Inc. o/a Hampton Inn Suites by Hilton Thunder Bay,"THUNDER BAY, ON P7E 5R9",6731-Light duty cleaners,1
,,2383879 Ontario Inc,"Etobicoke, ON M9W 0B3","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
,,2409955 ONTARIO INC.,"BRAMPTON, ON L6S 5H2",7511-Transport truck drivers,2
,,2436853 Ontario Inc.  o/a Kibo Sushi House,"Toronto, ON M6C 1B2",6322-Cooks,1
,,5004554 Ontario Inc.,"HAMILTON, ON L8R 1C4",0621-Retail and wholesale trade managers,1
,,666448 Ontario Limited O/A Mister Produce,"ETOBICOKE, ON M8Z 2H1","9617-Labourers in food, beverage and associated products processing",9
,,8331090 Canada Inc.,"BARRIE, ON L4N 0B1",6311-Food service supervisors,1
,,8773173 Canada Inc.,"BRAMPTON, ON L6V 4S3",7511-Transport truck drivers,5
,,AW Shucks Inc.,"RICHMOND HILL, ON L4C 6C6",0631-Restaurant and food service managers,1
,,BrightPath Kids Corp,"TORONTO, ON M8X 2X3",4214-Early childhood educators and assistants,1
,,Dekora Album Corporation,"TORONTO, ON M3J 2W6",5244-Artisans and craftspersons,1
,,Direct Plumbing & Renovations Ltd.,"MARKHAM, ON L3R 2W2",7251-Plumbers,1
,,Future Bakery Ltd.,"Toronto, ON M8Z 2E2",6332-Bakers,1
,,Golden Grain Inc.,"WINDSOR, ON N9G 2Y2",8612-Landscaping and grounds maintenance labourers,1
,,Jag 'N Sugar Restaurants Inc.,"TIMMINS, ON P4N 7C3",6311-Food service supervisors,7
,,Jomarnik Holdings Ltd. o/a Red Dog Inn,"TERRACE BAY, ON P0T 2W0",6513-Food and beverage servers,1
,,Kal-Trading Inc.,"MISSISSAUGA, ON L5C 1W4",9422-Plastics processing machine operators,1
,,Kivalo Fine Cabinetry Inc.,"AURORA, ON L4G 3S5",7272-Cabinetmakers,1
,,National Countertops Inc.,"Mississauga, ON L4T 3X2",6211-Retail sales supervisors,1
,,Nestor's Truck Mobile Service Inc,"WOODBRIDGE, ON L4H 2N3",7612-Other trades helpers and labourers,1
,,North Durham Veterinary Professional Corp.,"OSHAWA, ON L1G 4X8",3213-Animal health technologists and veterinary technicians,1
,,Onnki Donburi Ltd.,"TORONTO, ON M4Y 1V8",6322-Cooks,1
,,Ontario Gasket Inc,"OTTAWA, ON K1J 9E5",7232-Tool and die makers,1
,,Ottawa Textiles 2000 Inc,"OTTAWA, ON K1G 1A2","9619-Other labourers in processing, manufacturing and utilities",1
,,Palma Pasta Corporation,"Mississauga, ON L5C 4P9",6332-Bakers,1
,,Peter & Paul's Manor Ltd,"KING, ON L7B 0C7",6321-Chefs,1
,,Pramukh Krupa Enterprises Ltd.,"ORILLIA, ON L3V 8A2",6311-Food service supervisors,1
,,"ROMAN SHAMRAY, operating: SHAMRAYS ENTERPRISE","Ottawa, ON K1V 6V8",7271-Carpenters,1
,,Rosi Educational Services Inc.,"RICHMOND HILL, ON L4S 2A2",4214-Early childhood educators and assistants,1
,,Shoetopia Footware Inc.,"FERGUS, ON N1M 3N7",6421-Retail salespersons,1
,,Skyventure Ontario Ltd. o/a iFLY Toronto,"Oakville, ON L6H 6P5","5254-Program leaders and instructors in recreation, sport and fitness",2
,,Soul Restaurants Canada Inc. o/a KFC,"TORONTO, ON M2N 6K1",6311-Food service supervisors,1
,,SSRP Telecom Inc.,"BRAMPTON, ON L6P 2K9",6211-Retail sales supervisors,1
,,Tabule Inc,"Toronto, ON M4S 1Z8",6321-Chefs,1
,,"Triple  ""A"" Cheese Co. Ltd.","Mississauga, ON L4T 3L7","9461-Process control and machine operators, food, beverage and associated products processing",1
,,VERICO The Financial Forum Ltd.,"VAUGHN, ON L4L 8S9",1241-Administrative assistants,1
,  Primary Agriculture,Brian's Poultry Services Ltd,"MILDMAY, ON N0G 2J0",8431-General farm workers,28
,,Canadian Poultry Services,"MILDMAY, ON N0G 2J0",8431-General farm workers,12
,,Chin Tai Ginseng Co. Ltd,"RICHMOND HILL, ON L4B 1C8",8611-Harvesting labourers,4
,,Closson Chase Vineyards Inc,"Hillier, ON K0K 2J0",8431-General farm workers,7
,,Hendriks Greenhouses,"Beamsville, ON L0R 1B3","8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",4
,,Henry J. Peters Farms Ltd,"THEDFORD, ON N0M 2N0",8431-General farm workers,1
,,J & L Walker Farms Ltd,"Aylmer, ON N5H 2R1","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,LEL Farms Inc,"GUELPH, ON N1L 1G3",8431-General farm workers,1
,,Meyers Fruit Farms Ltd,"Niagara on the lake, ON L0S 1J0",8432-Nursery and greenhouse workers,1
,,Scotlynn Sweetpac Growers Inc,"Vittoria, ON N0E 1W0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,The Hop Farm Inc.,"GORMLEY, ON L0H 1G0",8431-General farm workers,4
Manitoba,    High Wage,6081283 Manitoba Ltd. o/a Star Motel - Morden,"MORDEN, MB R6M 1P4",0632-Accommodation service managers,1
,,Allmar Inc.,"Winnipeg, MB R2L 0N2",2263-Inspectors in public and environmental health and occupational health and safety,1
,,Bev's Repair Inc,"MANITOU, MB R0G 1G0",7322-Motor vehicle body repairers,1
,,Canada Tiger Mountain Ltd.,"TREHERNE, MB R0G 2V0",0621-Retail and wholesale trade managers,1
,,Ishar Automobiles Inc.,"WINNIPEG, MB R2P 1M2",1311-Accounting technicians and bookkeepers,1
,,Mountain City Aviation Inc.,"MORDEN, MB R6M 1J1",0421-Administrators - post-secondary education and vocational training,1
