"Employers who were issued a negative Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and business location in 2018 (October-December)",,,,,
Province/Territory,Stream,Employer,Address,Occupaitons under NOC 2011,Requested Positions
,,1407407 Ontario Ltd o/a Astra Healthcare,"Brampton, ON L6S 0C9",6221-Technical sales specialists - wholesale trade,1
,,1435901 Ontario Inc. o/a Luxi Design,"Scarborough, ON M1S 5C1",1221-Administrative officers,1
,,1441998 Ontario Inc. o/a JB Rand Express,"FREELTON, ON L0R 1K0",1431-Accounting and related clerks,1
,,1727362 Ontario Inc.,"ETOBICOKE, ON M8W 2W6","6313-Accommodation, travel, tourism and related services supervisors",1
,,1785634 Ontario Inc,"THORNHILL, ON L3T 1L3",7511-Transport truck drivers,1
,,1839493 Ontairo Ltd. o/a Oropomodoro Pizza Ltd.,"WINDSOR, ON N9E 4N3","9213-Supervisors, food, beverage and associated products processing",1
,,1945516 Ontario Inc.,"LA SALLE, ON N9H 1W6",6321-Chefs,1
,,1957341 Ontario Inc.,"RICHMOND HILL, ON L4E 0W9","1123-Professional occupations in advertising, marketing and public relations",1
,,2065618 Ontario Inc.,"NEWMARKET, ON L3Y 8L3",7271-Carpenters,1
,,2256876 Ontario Inc. o/a Industrial Automation Repair,"Mississauga, ON L4W 1R1",1241-Administrative assistants,1
,,2277376 Ontario Inc.  o/a Adore,"Concord, ON L4K 1G6",6211-Retail sales supervisors,1
,,2358749 Ontario Inc.,"BRAMPTON, ON L6W 0B3","6313-Accommodation, travel, tourism and related services supervisors",1
,,2479254 Ontario Inc.  o/a Beckers,"BURLINGTON, ON L4M 0Y9",6421-Retail salespersons,1
,,2486610 Ontario Inc. o/a IRYNA GALEVSKA - BROKER,"TORONTO, ON M3H 5S4",1221-Administrative officers,1
,,7091354 Canada Inc,"BRAMPTON, ON L6P 1G2",7241-Electricians (except industrial and power system),1
,,9084380 Canada Inc.,"ETOBICOKE, ON M9V 1E4","7305-Supervisors, motor transport and other ground transit operators",1
,,Ahmedsamy Pharmacy Ltd.,"HAMILTON, ON L8L 3B4",3112-General practitioners and family physicians,1
,,Alpha Trans Ltd.,"BRAMPTON, ON L6T 1B5",7511-Transport truck drivers,2
,,Animals Inc.,"TORONTO, ON M6J 2R9","5131-Producers, directors, choreographers and related occupations",1
,,Annata Dynamics Canada Inc.,"BURLINGTON, ON L7L 6A3",2174-Computer programmers and interactive media developers,1
,,Apolloni Construction Corp.,"Woodbridge, ON L4H 0Z1",7233-Sheet metal workers,1
,,Ary Foods Limited o/a Amaya Express,"Toronto, ON M5J 2L9",6322-Cooks,1
,,At Dinner Inc.,"Ajax, ON L1S 6L8",6322-Cooks,2
,,Atlantic Contracting Group Inc.,"NORTH YORK, ON M6L 2C3",7281-Bricklayers,3
,,Bello Horizonte Construction Ltd,"North York, ON M6L 1H7",7271-Carpenters,1
,,BK Tax & Accounting Services Inc.,"BRAMPTON, ON L6T 1A2",1311-Accounting technicians and bookkeepers,2
,,C & C Fibers Inc.,"RICHMOND HILL, ON L4B 0A9","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,C.A.I. Construction and Other Service Inc.,"BRADFORD, ON L3Z 0C1",7271-Carpenters,1
,,Canadian Nuclear Laboratories Ltd.,"Chalk River, ON K0J 1J0",2115-Other professional occupations in physical sciences,1
,,,,"2148-Other professional engineers, n.e.c.",1
,,Canamex Logistics Services Inc,"Mississauga, ON L4T 1G8",1221-Administrative officers,1
,,Caresupportlife Inc,"BRAMPTON, ON L6P 4G9",3233-Licensed practical nurses,1
,,Cash For Carz Ltd,"SUNDERLAND, ON L0C 1H0","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
,,Charger Global Logistics Canada Limited,"Mississauga, ON L5J 1K7","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Clyde River Consultants Inc.,"BRAMPTON, ON L6X 0M6",2174-Computer programmers and interactive media developers,1
,,Dieroll Metal Products Inc.,"MISSISSAUGA, ON L4X 1M4",2253-Drafting technologists and technicians,1
,,Direct Motor Company Ltd,"OTTAWA, ON K1T 1M8",0112-Human resources managers,1
,,E.D.S. Contracting & Repair Services Ltd.,"Concord, ON L4K 1A5",7282-Concrete finishers,1
,,Elliott Matsuura Canada Inc,"OAKVILLE, ON L6H 5X2",6221-Technical sales specialists - wholesale trade,1
,,Engineering & Acoustics Canada Inc.,"BRAMPTON, ON L6R 0W3",2132-Mechanical engineers,1
,,F. Borges & Sons Construction Ltd.,"Woodbridge, ON L4H 2B1",7282-Concrete finishers,3
,,Falcon Motor Xpress Ltd,"CALEDON, ON L7C 2X3",7511-Transport truck drivers,3
,,Faymond's Furniture Inc.,"Markham, ON L3R 1B9",5242-Interior designers and interior decorators,1
,,FMP Li Investment Inc,"Markham, ON L6E 0L4",6322-Cooks,1
,,ForYou - Quality Immigration Solutions Inc.,"MARKHAM, ON L3S 0B6","0013-Senior managers - financial, communications and other business services",1
,,Friday Harbour Resort Holdings Inc.,"INNISFIL, ON L9S 1A1",6321-Chefs,1
,,Gg Forestry and Landscaping Consulting,"OTTAWA, ON K2E 6V5",2225-Landscape and horticulture technicians and specialists,1
,,Global Professional Services Partners Inc.,"GUELPH, ON N1K 1B3",7231-Machinists and machining and tooling inspectors,1
,,Global Stainless Steel Inc.,"MISSISSAUGA, ON L4Y 3Y3",0601-Corporate sales managers,1
,,Harbourfront Corporation (1990) o/a Power Plant Contemporary Art Gallery,"Toronto, ON M5J 2G8",5112-Conservators and curators,1
,,HM Kitchener Inc.,"KITCHENER, ON N2B 3S4",3232-Practitioners of natural healing,1
,,HNM Logistics Inc.,"MISSISSAUGA, ON L4W 1G7",1221-Administrative officers,1
,,HNR Properties Limited,"TORONTO, ON M5B 1M4",1122-Professional occupations in business management consulting,1
,,Indian Enterprises Corporation,"TORONTO, ON M4C 3N9","6344-Jewellers, jewellery and watch repairers and related occupations",1
,,International Brestfeeding Centre,"Toronto, ON M2K 1E2",3124-Allied primary health practitioners,1
,,International Paper Converters Limited,"CONCORD, ON L4K 2G1","9215-Supervisors, forest products processing",1
,,Jasmine Consulting International Corporation,"Ottawa, ON K1J 8V3",1121-Human resources professionals,1
,,Jenco Canada Inc,"Brampton, ON L6T 3W4",1221-Administrative officers,1
,,JLC International Canada Inc.,"SCARBOROUGH, ON M1H 2X1","0124-Advertising, marketing and public relations managers",1
,,Juddco Mechanical Inc.,"TORONTO, ON M1P 4S2",7251-Plumbers,1
,,Lake of the Woods Brewing Company Inc.,"Kenora, ON P9N 1G5","9461-Process control and machine operators, food, beverage and associated products processing",1
,,Leblon Carpentry Inc.,"KING CITY, ON L7B 1E4",7271-Carpenters,1
,,Lee Design & Build Inc.,"Toronto, ON M2N 5W9",1241-Administrative assistants,1
,,Leon's Furniture Ltd.,"Toronto, ON M9N 3X3",0213-Computer and information systems managers,1
,,LJP Corporation o/a Hockley Valley Resort,"Mono, ON L9W 5X7",0631-Restaurant and food service managers,1
,,Madan Chartered Accountant Professional Corporation,"Mississauga, ON L4Z 3L3",1111-Financial auditors and accountants,3
,,Mahi Ontario Inc.  o/a Subway,"Cornwall, ON K6J 5T9",0631-Restaurant and food service managers,1
,,Malwa Welding & Fabrication Ltd.,"BRAMPTON, ON L6T 4J4",1311-Accounting technicians and bookkeepers,1
,,Mampster Inc,"SCARBOROUGH, ON M1V 5E4",6322-Cooks,1
,,Marin Contracting Limited,"Concord, ON L4K 4X2",7271-Carpenters,7
,,MATCOM INDUSTRIAL INSTALLATIONS INC.,"VAUGHAN, ON L4K 5V6",7316-Machine fitters,1
,,Mealfix Ontario Inc.,"VAUGHAN, ON L4K 4K7",1311-Accounting technicians and bookkeepers,1
,,Milford Auto Collision LTD.,"TORONTO, ON M6M 2W1",7322-Motor vehicle body repairers,1
,,MJR Contractors Ltd.,"Mississauga, ON L4Z 1C2",7271-Carpenters,2
,,Mother Earth Natural Health,"OTTAWA, ON K2A 0G6",4217-Other religious occupations,1
,,Mr. Johnfoods Co. Ltd,"ETOBICOKE, ON M9W 1M3",6211-Retail sales supervisors,1
,,nanopay Corporation,"TORONTO, ON M6K 3G9",2173-Software engineers and designers,1
,,Old Castle Canada Building Products Inc.,"Concord, ON L4K 5W1",2252-Industrial designers,1
,,OLS-NA Inc.,"AYR, ON N0B 1E0","7301-Contractors and supervisors, mechanic trades",1
,,Om Shri India Albion Inc. o/a Om India Food Centre,"Etobicoke, ON M9V 4J9",0621-Retail and wholesale trade managers,1
,,One and Only Design Inc,"CONCORD, ON L4K 0H8",7271-Carpenters,1
,,Paper Trading Corporation,"WHITBY, ON L1P 0A4",1225-Purchasing agents and officers,1
,,Partners Film Inc.,"Toronto, ON M5A 3C4","5131-Producers, directors, choreographers and related occupations",1
,,Perfecto Mobile Canada Inc.,"MISSISSAUGA, ON L5S 1L4",2171-Information systems analysts and consultants,1
,,Poliakov Consulting Inc.,"TORONTO, ON M3J 2T2","0014-Senior managers - health, education, social and community services and membership organizations",1
,,Precision Truck Lines Inc.,"Woodbridge, ON L4H 0S6",7511-Transport truck drivers,20
,,Prica Group Construction Management Inc.,"WATERLOO, ON N2L 6R7",7312-Heavy-duty equipment mechanics,1
,,Proteck Roofing & Sheet Metal Inc.,"Toronto, ON M9V 4K6",7291-Roofers and shinglers,2
,,Quality and Company Inc.,"Concord, ON L4K 5N8",1225-Purchasing agents and officers,1
,,Quality Marble & Stone Inc.,"MAPLE, ON L6A 1L5",7611-Construction trades helpers and labourers,1
,,R Gill Corporation,"CALEDON EAST, ON L7C 2T4",7511-Transport truck drivers,2
,,Radke Films Ltd,"TORONTO, ON M5A 2N4","5131-Producers, directors, choreographers and related occupations",1
,,Roca Networks Inc.,"MARKHAM, ON L3R 9X7",2147-Computer engineers (except software engineers and designers),1
,,Royal Canadian Steel Inc.,"Brampton, ON L6T 4A3",0111-Financial managers,1
,,Royal Windsor Plus Musical Group Inc.,"MARKHAM, ON L3R 0V1",0421-Administrators - post-secondary education and vocational training,1
,,RUPERT ACRES LIMITED,"AWERES TOWNSHIP, ON P6A 5K7",1224-Property administrators,1
,,Safety First Consulting Professional Corp,"CONCORD, ON L4K 4S2","4165-Health policy researchers, consultants and program officers",1
,,Saturn Tool & Die (Windsor) Inc.,"TORONTO, ON M5H 4E3",7232-Tool and die makers,4
,,Sequoia Content Limited,"Toronto, ON M5B 2E7","5131-Producers, directors, choreographers and related occupations",2
,,Sew Industries o/a 2379976 Ontario Inc.,"SCARBOROUGH, ON M1S 4E4",1221-Administrative officers,1
,,Shoes by Chavez Inc.,"MISSISSAUGA, ON L4Y 2H3","0013-Senior managers - financial, communications and other business services",1
,,Siali Corporation,"CHAPLEAU, ON P0M 1K0","6313-Accommodation, travel, tourism and related services supervisors",1
,,SimFront Simulation Systems Corporation,"OTTAWA, ON K2K 2E1",2171-Information systems analysts and consultants,1
,,Skin and Bones Film Company Inc.,"Toronto, ON M6J 1H6","5131-Producers, directors, choreographers and related occupations",1
,,SMC Project Realization and Management Inc.,"Stouffville, ON L4A 0N2","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",1
,,"Soft Citizen, Inc","TORONTO, ON M5A 2N4","5131-Producers, directors, choreographers and related occupations",3
,,Steam Films Inc.,"TORONTO, ON M5A 2N4","5131-Producers, directors, choreographers and related occupations",1
,,Suneeva Ltd.,"Toronto, ON M5B 2E7","5131-Producers, directors, choreographers and related occupations",1
,,Tech Toronto Inc.,"Toronto, ON M6G 3K3",1226-Conference and event planners,1
,,The Spice Room Inc.,"CONCORD, ON L4K 2N1",6321-Chefs,2
,,Topack Ltd,"MARKHAM, ON L3R 9V1","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
,,Town And Country Window Cleaning,"Acton, ON L7J 2L9",6315-Cleaning supervisors,1
,,Toytexx Inc.,"Toronto, ON M2H 3H7",6222-Retail and wholesale buyers,1
,,Trurating Canada Ltd.,"TORONTO, ON M5A 3X9",0601-Corporate sales managers,1
,,U Sculpt Plastic Surgery,"VAUGHAN, ON L4K 2Z5","0014-Senior managers - health, education, social and community services and membership organizations",1
,,Universal Promotions and Publishers Inc.,"Brampton, ON L6T 4X3",5122-Editors,1
,,University Of Windsor,"Windsor, ON N9B 3P4",4011-University professors and lecturers,1
,,UTOI Management Consulting Inc.,"MARKHAM, ON L3R 0N8","1211-Supervisors, general office and administrative support workers",1
,,Zetra Enterprises Inc.,"Maple, ON L4L 6X4","7302-Contractors and supervisors, heavy equipment operator crews",1
,   Low Wage,1030983 Ontario Ltd o/a Brar Sweets and Restaurant,"Brampton, ON L6T 4N2",6322-Cooks,3
,,1036074 Ontario Inc.,"TORONTO, ON M1S 4N8",0631-Restaurant and food service managers,1
,,1114093 Ontario Limited,"KITCHENER, ON N2N 2J5",6321-Chefs,1
,,1415619 Ontario Ltd. o b a India Gate Exclusive Indian Cuisine,"Newmarket, ON L3X 1P6",6322-Cooks,1
,,1681748 Ont Inc. O/A Macs/Circle K,"Woodbridge, ON L4H 0J8",6211-Retail sales supervisors,1
,,1931288 Ontario Inc.,"TORONTO, ON M5A 2Z7",6322-Cooks,1
,,2101977 Ontario Inc,"CHATHAM, ON N7L 5H1",6211-Retail sales supervisors,1
,,2124964 Ontario Inc. o/a Petro Canada,"Georgetown, ON L7G 4S8",6421-Retail salespersons,2
,,2223348 Ontario Inc. o/a Tim Hortons,"COLLINGWOOD, ON L9Y 4H8",6311-Food service supervisors,1
,,2277666 Ontario Corp.,"MISSISSAUGA, ON L5L 4K5",7511-Transport truck drivers,1
,,2320610 Ontario Inc. o/a Active Security Enterprises,"Brampton, ON L6Y 0P6",6316-Other services supervisors,2
,,2331136 Ontario Inc. Silver Spoon Take Out & Catering,"SCARBOROUGH, ON M1S 4N5",6311-Food service supervisors,1
,,2387296 Ontario Ltd. o/a Ramen Isshin,"Toronto, ON M5T 1T1",6511-Maîtres d'hôtel and hosts/hostesses,1
,,2430957 Ontario Inc.,"BRAMPTON, ON L6Z 0G6",6311-Food service supervisors,1
,,2483895 ONTARIO INC.,"KESWICK, ON L4P 3Y4",6311-Food service supervisors,1
,,2498404 Ontario Inc. o/a Freshii,"BRAMPTON, ON L6W 3Y4",6311-Food service supervisors,1
,,2610093 Ontario Inc,"TORONTO, ON M2M 3V7",6322-Cooks,1
,,360Artistry INC.,"PICKERING, ON L1V 6W9","5132-Conductors, composers and arrangers",1
,,8790299 Canada Inc.,"NORTH BAY, ON P1A 2B7",6321-Chefs,1
,,Adobo Queen Ltd.,"HAMILTON, ON L8R 2V4",6322-Cooks,1
,,Albert Bazzoni Ltd. o/a Contintental Motel,"WHITE RIVER, ON P0M  3G",6311-Food service supervisors,1
,,APD Printing Inc.,"BRANTFORD, ON N3S 3C1",9473-Binding and finishing machine operators,1
,,Birman & Sons Ltd o/a Empire Bakery,"NORTH YORK, ON M3J 2W8",6332-Bakers,1
,,Bombay Bakers o/a 2347489 Ontario Inc.,"BRAMPTON, ON L6V 4S6",6311-Food service supervisors,1
,,Cem Foot Care & Medical Supplies,"SCARBOROUGH, ON M1S 3G9",6211-Retail sales supervisors,1
,,Centric Health,"TORONTO, ON M4R 1K8",3219-Other medical technologists and technicians (except dental health),1
,,Chillies Indian Restaurant Inc,"Nepean, ON K2J 4Y6",6322-Cooks,1
,,Clarity Recruitment Inc.,"TORONTO, ON M5H 3V9",1122-Professional occupations in business management consulting,1
,,D&G Pizza Bee Inc.,"PENETANGUISHENE, ON L9M 1M7",6322-Cooks,1
,,Dr. Maria Rotondi Dentistry Professional Corp,"WOODBRIDGE, ON L4L 1S6",1414-Receptionists,1
,,Familia Fine Foods and Services Inc.,"OAKVILLE, ON L6M 3T2",6322-Cooks,1
,,Finlayson Hospitality Partners Inc,"MARKHAM, ON L3R 1N3",6311-Food service supervisors,1
,,Greystone Design Group Inc.,"KITCHENER, ON N2P 2N6",5242-Interior designers and interior decorators,1
,,Handaan Filipino Cuisine,"MISSISSAUGA, ON L5B 1S4",6322-Cooks,2
,,Hans Dairy Inc,"Mississauga, ON L4V 1C1","9213-Supervisors, food, beverage and associated products processing",1
,,Helpfast Personnel Inc.,"MISSISSAUGA, ON L4W 1N6",7511-Transport truck drivers,10
,,J. Lipani & Son Sod Farms Ltd,"Queensville, ON L0G 1R0",8612-Landscaping and grounds maintenance labourers,1
,,Johns United Auto Clinic Ltd,"Mississauga, ON L5S 1N4","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,Kalyani Indian Cuisine Inc,"Toronto, ON M1N 1R4",6322-Cooks,1
,,Kanadario Stone Ltd.,"NORTH YORK, ON M9L 1Y4","9414-Concrete, clay and stone forming operators",1
,,Kids and Company Ltd.,"RICHMOND HILL, ON L4B 4N4",4214-Early childhood educators and assistants,1
,,Kopper Kettle Bistro & Chocolate Lounge,"MILTON, ON L9T 0A5",6311-Food service supervisors,1
,,Kyra Foods Ltd.,"TORONTO, ON M6J 1E6",6311-Food service supervisors,1
,,Lakeside Produce Inc.,"Leamington, ON N8H 3V5",7511-Transport truck drivers,4
,,LBMX Inc.,"LONDON, ON N6A 5P3",6221-Technical sales specialists - wholesale trade,1
,,Little Guy Games Inc.,"TORONTO, ON M5V 1T2",5223-Graphic arts technicians,1
,,MSW Plastics Inc.,"PALMERSTON, ON N0G 2P0","9535-Plastic products assemblers, finishers and inspectors",2
,,Pioneer Food Services Limited,"BURLINGTON, ON L7L 6A5",0631-Restaurant and food service managers,1
,,Protestant Reformed School in Wingham,"Wingham, ON N0G 2W0",4217-Other religious occupations,1
,,Redberry Alberta Restaurants Inc. o/a Pizza Hut,"MISSISSAUGA, ON L4W 5L9",6311-Food service supervisors,1
,,Robert Design Group Ltd.,"MISSISSAUGA, ON L4W 1H7",7272-Cabinetmakers,1
,,Roopa Knitting Mills Ltd.,"MISSISSAUGA, ON L5S 1P2","9442-Weavers, knitters and other fabric making occupations",2
,,Rosi Educational Services Inc.,"RICHMOND HILL, ON L4S 2A2",4214-Early childhood educators and assistants,1
,,Royal Red Builders,"VAUGHAN, ON L4K 5L1",7611-Construction trades helpers and labourers,1
,,RUPERT ACRES LIMITED,"AWERES TOWNSHIP, ON P6A 5K7",1224-Property administrators,1
,,Shawarma House Corporation,"LONDON, ON N6K 1C9",6321-Chefs,1
,,Shirini Sara Pastry House Ltd.,"Toronto, ON M3B 2M5",6332-Bakers,1
,,Silver Hotel (Pantages) Inc.,"Toronto, ON M5B 1V8",6311-Food service supervisors,1
,,Stubbe's Workforce Inc.,"Harley, ON N0E 1E0","9414-Concrete, clay and stone forming operators",5
,,TDA Landscape Services Inc.,"AJAX, ON L1S 2B9",8612-Landscaping and grounds maintenance labourers,3
,,Traffic Team Inc.,"MISSISSAUGA, ON L5S 1H9",1241-Administrative assistants,1
,,VNV Logistics Express Ltd.,"Etobicoke, ON M8X 1A2",7511-Transport truck drivers,1
,  Primary Agriculture,2317945 Ontario Inc.,"MADOC, ON K0K 2K0",8431-General farm workers,8
,,A.G. Dick & Sons Ltd,"Ruthven, ON N0P 2G0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,Brookdale Treeland Nurseries Ltd,"Schomberg, ON L0G 1T0",8432-Nursery and greenhouse workers,10
,,Howard Greenhouses & Produce Inc,"Simcoe, ON N3Y 4K6",8431-General farm workers,16
,,J & L Walker Farms Ltd,"Aylmer, ON N5H 2R1","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,Nature Fresh Farms Inc.,"LEAMINGTON, ON N8H 3V8",0822-Managers in horticulture,1
,,Nine Mile Farms Inc.,"CRYSLER, ON K0A 1R0",8431-General farm workers,4
Manitoba,    High Wage,5785091 Manitoba Ltd o/a WCA Smart Auto,"WINNIPEG, MB R3R 3X7",0621-Retail and wholesale trade managers,1
,   Low Wage,4664613 Manitoba Ltd.,"Flin Flon, MB R8A 0C6",6311-Food service supervisors,1
,,Harjit Pal Singh Joda o/a Clubhouse Pizza,"WINNIPEG, MB R2P 1R8",6311-Food service supervisors,1
,  Primary Agriculture,AJC Fergusson Farms Ltd.,"ALEXANDER, MB R0K 0A0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Saskatchewan,    High Wage,Northgate Laboratories Ltd,"REGINA, SK S4R 3J3",0311-Managers in health care,3
,,Trade Field International Incorporated,"Regina, SK S4N 5B1","5245-Patternmakers - textile, leather and fur products",1
,   Low Wage,Moosomin Asian Food Mart Inc.,"Moosomin, SK S0G 3N0",6211-Retail sales supervisors,1
,,Sew Creative and Interiors,"Moosomin, SK S0G 3N0",6211-Retail sales supervisors,1
,,Skyway Brands Regina Inc.  o/a Skyway Grill,"REGINA, SK S4W 1B3",6311-Food service supervisors,2
,  Primary Agriculture,OHG Farms Ltd.,"WEYBURN, SK S4H 3N2",8431-General farm workers,3
Alberta,    High Wage,1365068 Alberta Ltd o/a H & B DRYWALL AND INSULATION,"EDMONTON, AB T5Y  0L","7284-Plasterers, drywall installers and finishers and lathers",1
,,1431716 Alberta Ltd o/a West Edmonton Truck Wash,"Edmonton, AB T5V 1M8",1431-Accounting and related clerks,1
,,186632 Alberta Ltd,"CALGARY, AB T2E 2S7",0631-Restaurant and food service managers,1
,,1911594 ALBERTA LTD. O/A VIKING HOTEL,"VIKING, AB T0B 4N0",0632-Accommodation service managers,1
,,1944092 Alberta Ltd.,"EDMONTON, AB T5X 6C3",0621-Retail and wholesale trade managers,1
,,786 Auto's Inc,"Calgary, AB T3J 4N4","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,Aquarelle Painting Ltd.,"CALGARY, AB T3M 1A5",7294-Painters and decorators (except interior decorators),1
,,Beauty Concept Esthetics 2012 (INC),"EDMONTON, AB T5N 4C2",0621-Retail and wholesale trade managers,1
,,Jake OB OPCO Ltd.,"COCHRANE, AB T4C 2B5","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,Lethbridge Thai Massage & Spa Inc,"LETHBRIDGE, AB T1H 2M6",3236-Massage therapists,2
,,North 67 Transport Inc.,"EDMONTON, AB T6X 0Y2",1221-Administrative officers,1
,,Noya Investments Inc.,"Calgary, AB T2T 4P3",6211-Retail sales supervisors,1
,,PTL Carrier Ltd,"EDMONTON, AB T6X 2C6",1411-General office support workers,1
,,Rashida & Anwar Management Ltd,"Sturgeon County, AB T8T 0B9",1224-Property administrators,1
,,Rockeast Energy Corp.,"CALGARY, AB T2P 3T7","0016-Senior managers - construction, transportation, production and utilities",1
,,Rock-Rose Landscaping Ltd,"Calgary, AB T2G 3R9",2253-Drafting technologists and technicians,1
,,Rocky Mountain Equipment Canada Ltd,"Calgary, AB T2G 3A4",7312-Heavy-duty equipment mechanics,3
