"List of employers who were issued a positive  Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and business location in 2017 (October-December)",,,,,
Province/Territory,Stream,Employer,Address,Occupations under NOC 2011,Positions Approved
,,J W Mason & Sons (2013) Limited,"Windsor, NS B0N 2T0",8431-General farm workers,20
,,J&L Oostvogels Farms Inc.,"Antigonish, NS B2G 2J1","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Lindenright Farm,"Antigonish, NS B2G 2K9","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,Mahoney's Evergreens,"East Dalhousie, NS B0R 1H0",8432-Nursery and greenhouse workers,8
,,Sarsfield Farms Inc,"Canning, NS B0P 1H0",8431-General farm workers,12
,,Spurr Brothers Farms Ltd,"Melvern Square, NS B0P 1R0",8431-General farm workers,6
,,Stokdijk Greenhouses Ltd,"Beaver Brook, NS B6L 1H3",8432-Nursery and greenhouse workers,14
,,TapRoot Farms Inc.,"Port Williams, NS B0P 1T0",8431-General farm workers,14
,,Town Plot Orchards Ltd,"Port Williams, NS B0P 1T0",8431-General farm workers,4
,,Traditional Evergreen Tree Farms Ltd,"Bridgewater, NS B4V 2W6",8432-Nursery and greenhouse workers,4
,,Vermeulen Farms Limited,"Canning, NS B0P 1H0",8431-General farm workers,22
,,Wohlgemuth Farms Ltd,"Aylesford, NS B0P 1C0",8431-General farm workers,10
, Global Talent Stream,MOBIA Technology Innovations,"Dartmouth, NS B3B 0B3",2173-Software engineers and designers,1
,,Sona Nanotech Limited,"Halifax, NS B3J 3R7","0013-Senior managers - financial, communications and other business services",1
,,Workiva Canada ULC,"Halifax, NS B3J 2X2",2173-Software engineers and designers,1
New Brunswick,    High Wage,658711 NB Ltd.,"Miramichi, NB E1V 1X4",6322-Cooks,1
,,Alexandru & Camelia Trucking,"Woodstock, NB E7M 2L3",7511-Transport truck drivers,2
,,Colbr Consulting Inc.,"Fredricton, NB E3A 4L5","4169-Other professional occupations in social science, n.e.c.",1
,,County Line Trucking Ltd,"Wilmot, NB E7P 2V4",7511-Transport truck drivers,5
,,D-U-C Trucking Inc.,"Woodstock, NB E7M 1Y7",7511-Transport truck drivers,1
,,"Jolly Farmer Transport, Inc.","Northhampton, NB E7N 1R6",7511-Transport truck drivers,2
,,McConnell Transport Ltd.,"Woodstock, NB E7M 6B5",7511-Transport truck drivers,20
,,Murray Enterprises Ltd,"Sussex Corner, NB E4E 2Y5",7511-Transport truck drivers,2
,,Regional Health Authority B,"Saint John, NB E2L 4L2",3111-Specialist physicians,1
,,Safonov's International Business Corportation,"Moncton, NB E1G 0P8",7511-Transport truck drivers,2
,,Sunbury Transport Limited,"Saint John, NB E2L 4H8",7511-Transport truck drivers,22
,   Low Wage,658579 NB Ltd,"Fredericton, NB E3C 1A2",6322-Cooks,2
,,665606 NB Inc,"Moncton, NB E1A 5L1",6311-Food service supervisors,1
,,,,6322-Cooks,1
,,666727 NB. Ltd,"Moncton, NB E1A 3R4",6322-Cooks,1
,,7726848 Canada Ltd.,"Moncton, NB E1C 2T9",6311-Food service supervisors,1
,,,,6322-Cooks,3
,,Bouctouche Bay Inn Inc.,"Bouctouche, NB E4S 2T5",6322-Cooks,2
,,Brun Fisheries Ltd.,"Petit-Cap, NB E4N 2G8",9618-Labourers in fish and seafood processing,2
,,Cape Bald Packers Ltd,"Cap-PelÇ, NB E4N 1E3",9463-Fish and seafood plant workers,156
,,Captain Dan's Inc.,"Richibouctou-Village, NB E4W 1C9",9463-Fish and seafood plant workers,44
,,Caraquet Pizza Inc.,"Caraquet, NB E1W 1B8",6322-Cooks,1
,,Jack's Pizza & Donairs,"Fredericton, NB E3B 1E4",6322-Cooks,2
,,Kuro Sushi,"Shediac, NB E4P 2B3",6322-Cooks,1
,,La Residence Castel Des Flots Bleus Ltee,"Cap-Pele, NB E4N 0B5",6731-Light duty cleaners,3
,,NAM & RIM Inc.,"St. George, NB E5C 1A9",6322-Cooks,1
,,Ocean Pier Inc.,"Scoudouc, NB E4P 3R4",9463-Fish and seafood plant workers,1
,,R & L Convenience Inc.,"Rothesay, NB E2E 5X4",6322-Cooks,2
,,Shediac Lobster Shop Ltd.,"Shediac, NB E4P 2A6",9463-Fish and seafood plant workers,60
,,Spoon Sushi Express Ltd.,"Moncton, NB E1G 2H9",6322-Cooks,2
,,Thai Manao Inc,"Frederiction, NB E3C 0B8",6322-Cooks,1
,,Westmorland Fisheries Ltd.,"Cap-PelÇ, NB E4N 1V3",9463-Fish and seafood plant workers,78
,  Primary Agriculture,BTN Atlantic (615317 NB Inc),"Berwick, NB E5P 3H5",8432-Nursery and greenhouse workers,10
,,Jolly Farmer Products Inc,"Northampton, NB E7N 1R6",8432-Nursery and greenhouse workers,23
,,Marlene Moffett Ltd,"Penobquis, NB E4G 2Z4","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Quebec,    High Wage,149942 CANADA INC,"Laval, QC H7L 3T6",6321-Chefs,1
,,2164-8431 QUêBEC INC.,"QuÇbec, QC G1N 3E7",1241-Administrative assistants,1
,,3094561 CANADA INC.,"Montreal, QC H4N 1G5",6222-Retail and wholesale buyers,1
,,6179631 Canada Inc,"MontrÇal, QC H2T 1Y1",5241-Graphic designers and illustrators,1
,,7106106 CANADA INC.,"Gatineau, QC J8Y 3Y7",6322-Cooks,1
,,7270356 Canada inc.,"Ville Saint-Laurent, QC H4M 2Z2",2175-Web designers and developers,2
,,8326312 Canada Inc,"MontrÇal, QC H3B 1A6",2174-Computer programmers and interactive media developers,1
,,,,5241-Graphic designers and illustrators,1
,,8769788 Canada Inc,"Montreal, QC H1R 2Y9",5241-Graphic designers and illustrators,1
,,8884625 Canada Inc.,"Gatineau, QC J9J 2V5",6322-Cooks,1
,,9013-1806 QuÇbec inc,"Mont-Royal, QC H3P 2B6",6321-Chefs,1
,,9018-6560 QuÇbec Inc.,"Montreal, QC H2Y 2E1","5232-Other performers, n.e.c.",2
,,9021-1889 QUEBEC INC,"LaSalle, QC H8N 2W9",1311-Accounting technicians and bookkeepers,1
,,9066-2479 QuÇbec Inc.,"Candiac, QC J5R 6G9",2171-Information systems analysts and consultants,1
,,9093-0280 QuÇbec Inc.,"MontrÇal, QC H2R 2B1",6321-Chefs,1
,,9095-5451 QuÇbec Inc.,"Lachine, QC H8S 4H2","0124-Advertising, marketing and public relations managers",1
,,9096-6029 Quebec Inc.,"St-Jean-Sur-Richelieu, QC J2X 5N5",2232-Mechanical engineering technologists and technicians,1
,,9108-7817 Quebec Inc,"Montreal, QC H2S 2Z2",2225-Landscape and horticulture technicians and specialists,1
,,9136665 Canada Inc.,"MontrÇal, QC H4P 1V6",2171-Information systems analysts and consultants,1
,,9179-6565 QuÇbec Inc.,"MontrÇal, QC H1W 1G2","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,9182-9481 Qc Inc.,"St-Hyacinthe, QC J2S 3W1",2232-Mechanical engineering technologists and technicians,1
,,9208-5489 QuÇbec Inc. (Pizzeria Bottega Laval),"Laval, QC H7S 1N3",6321-Chefs,1
,,9219-1568 QuÇbec Inc.,"Montreal, QC H4P 2H2",2175-Web designers and developers,2
,,9226-3268 QuÇbec Inc,"MontrÇal, QC H2L 2A5",6321-Chefs,1
,,9252-0618 QuÇbec Inc.,"MontrÇal, QC H4P 1P5",6321-Chefs,1
,,9256-5332 QuÇbec inc.,"Montreal, QC H3N 1W7",1223-Human resources and recruitment officers,1
,,9257-4607 Quebec Inc.,"Laval, QC H7L 3J4",6421-Retail salespersons,1
,,9257-4680 QuÇbec Inc.,"MontrÇal, QC H4A 1V5",6322-Cooks,1
,,9258-6429 QuÇbec Inc,"MontrÇal, QC H8R 3W8","6331-Butchers, meat cutters and fishmongers - retail and wholesale",2
,,9273-0829 QuÇbec Inc.,"Montreal, QC H2Y 2V3",6332-Bakers,1
,,9275-1171 QuÇbec Inc.,"MontrÇal, QC H3H 1M1",6321-Chefs,1
,,9287-1847 QuÇbec inc.,"QuÇbec, QC G1R 2S6",6322-Cooks,1
,,9287-2159 QuÇbec Inc,"MontrÇal, QC H4Z 1H1",6321-Chefs,1
,,9291-5651 QuÇbec Inc,"Magog, QC J1X 7Y1",7322-Motor vehicle body repairers,1
,,9298-5266 QuÇbec Inc.,"MontrÇal, QC H2J 3B4",2241-Electrical and electronics engineering technologists and technicians,1
,,9301-0031 QuÇbec Inc,"Montreal, QC H2Y 2W8",0632-Accommodation service managers,1
,,9312-6167 QuÇbec Inc.,"Montreal, QC H3A 0A2",3232-Practitioners of natural healing,1
,,9323-6933 QuÇbec Inc.,"St-Laurent, QC H4R 0G4",2175-Web designers and developers,1
,,9324-1743 QuÇbec Inc.,"Lasalle, QC H8R 3H6",6322-Cooks,1
,,9327-7358 QuÇbec Inc.,"MontrÇal, QC H3K 1G6","0124-Advertising, marketing and public relations managers",1
,,9330-4236 Quebec Inc.,"L'Anse-Ö-Beaufils, QC G0C 1G0",0631-Restaurant and food service managers,1
,,9331-3450 QuÇbec Inc.,"Coaticook, QC J1A 2S5",0632-Accommodation service managers,1
,,9342-6484 QuÇbec Inc,"MontrÇal, QC H2Y 2P4",6322-Cooks,1
,,9363-5746 QuÇbec Inc.,"St-AndrÇ-d'Argenteuil, QC J0V 1X0","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
,,,,1311-Accounting technicians and bookkeepers,1
,,∑ CHACUN SON PAIN INC.,"Baie-Saint-Paul, QC G3Z 2W2",6332-Bakers,1
,,A.A. Juices Canada Inc.,"Montreal, QC H4R 1W8",0601-Corporate sales managers,1
,,Advantech sans fil Inc./Advantech Wireless Inc.,"Dorval, QC H9P 1G1",2253-Drafting technologists and technicians,1
,,Agence êvidence inc.,"MontrÇal, QC H3G 2E3",2175-Web designers and developers,1
,,"AGT Clic Foods, Inc.","Laval, QC H7S 1N5",4163-Business development officers and marketing researchers and consultants,1
,,Air Canada,"Ville Saint-Laurent, QC H4S 1Z3",1122-Professional occupations in business management consulting,1
,,,,2171-Information systems analysts and consultants,1
,,Akka Groupe AmÇrique du Nord Inc.,"MontrÇal, QC H3A 2W5",2146-Aerospace engineers,2
,,ALTITUDE AEROSPACE INC.,"MontrÇal, QC H4S 1T2",2146-Aerospace engineers,1
,,,,2232-Mechanical engineering technologists and technicians,1
,,Aurel Harvey & Fils Inc.,"La Malbaie, QC G5A 1C5","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
,,Autodesk Canada Co.,"Montreal, QC H2Y 2E1",2173-Software engineers and designers,1
,,Aux Petits DÇlices G.T.inc,"QuÇbec, QC G1N 4L5",6322-Cooks,1
,,Ballistiq Digital Inc.,"Montreal, QC H3C 2M7",2175-Web designers and developers,2
,,Beauchemin TrÇpanier CPA inc.,"MontrÇal, QC H2X 1X2",1111-Financial auditors and accountants,1
,,Beenox inc.,"QuÇbec, QC G1K 3H3",5241-Graphic designers and illustrators,1
,,Behaviour Interactive Inc.,"MontrÇal, QC H2S 3H1","0124-Advertising, marketing and public relations managers",1
,,Beland & Nadeau Inc,"Mascouche, QC J7K 3E6",3231-Opticians,1
,,Bell MobilitÇ inc.,"Verdun, QC H3E 3B3",2171-Information systems analysts and consultants,1
,,Beyond Technologies Consulting Inc./Solutions Beyond Technologies Inc.,"MontrÇal, QC H3C 2M1",2171-Information systems analysts and consultants,1
,,Big Bang ERP Inc.,"Montreal, QC H2N 1A3",2171-Information systems analysts and consultants,1
,,BNP Paribas Solutions TI Canada Inc.,"MontrÇal, QC H3A 2W8",2171-Information systems analysts and consultants,3
,,,,2174-Computer programmers and interactive media developers,1
,,BOA-FRANC S.E.N.C.,"Saint-Georges, QC G5Y 8J5",2174-Computer programmers and interactive media developers,1
,,,,2281-Computer network technicians,1
,,,,7333-Electrical mechanics,2
,,Boccard Life Sciences Inc.,"Montreal, QC H2Y 1T4",0211-Engineering managers,1
,,Bombardier Inc.,"MontrÇal, QC H3B 1Y8",2132-Mechanical engineers,1
,,,,2146-Aerospace engineers,1
,,Boutique Tristan & Iseut Inc.,"Montreal, QC H3K 3K3",2233-Industrial engineering and manufacturing technologists and technicians,1
,,BRP inc.,"Valcourt, QC J0E 2L0",2253-Drafting technologists and technicians,1
,,Bulle Chaussures inc.,"Quebec, QC G1N 4N5",5241-Graphic designers and illustrators,1
,,Busbud Inc.,"MontrÇal, QC H2T 1X6",2175-Web designers and developers,1
,,C.N.C. TRACY INC.,"Sorel-Tracy, QC J3R 2B9",7231-Machinists and machining and tooling inspectors,3
,,C5 Knowledge,"MontrÇal, QC H3A 1X6",2173-Software engineers and designers,2
,,Caisse de DÇpìt et Placements du QuÇbec,"MontrÇal, QC H2Z 2B3",1112-Financial and investment analysts,1
,,CamÇlÇon Vert Plantes Tropicales Inc,"Beaconsfield, QC H9W 4W2",5241-Graphic designers and illustrators,1
,,Canadian National Railway Company,"MontrÇal, QC H3B 2M9",0731-Managers in transportation,1
,,Cargomar Inc.,"MontrÇal, QC H2Y 1T9","0016-Senior managers - construction, transportation, production and utilities",1
,,Cascades Centre des Technologies,"Brossard, QC J4Y 3B7",1112-Financial and investment analysts,1
,,Centre de SantÇ et de Services Sociaux de Laval,"Laval, QC H7V 3Y7",3112-General practitioners and family physicians,1
,,Centre d'Çvaluation neuropsychologie CENOP,"Montreal, QC H3L 1S8",4151-Psychologists,1
,,Centre hospitalier de l'UniversitÇ de MontrÇal,"MontrÇal, QC H2X 0A9",3012-Registered nurses and registered psychiatric nurses,2
,,CEP Forensique inc.,"Laval, QC H7L 5X6",2171-Information systems analysts and consultants,1
,,Chawarma chicco 1,"Gatineau, QC J8M 2C1",6322-Cooks,1
,,ChronoMÇtriq Inc.,"MontrÇal, QC J4H 2X7",2175-Web designers and developers,1
,,CHU de QuÇbec - UniversitÇ Laval,"QuÇbec, QC G1R 2J6",3111-Specialist physicians,1
,,Cinesite Inc.,"MontrÇal, QC H2Y 0A3",2174-Computer programmers and interactive media developers,1
,,,,5241-Graphic designers and illustrators,13
,,CISSS de la MontÇrÇgie-Est (Pierre-de Saurel),"St-Hyancynthe, QC J2S 4Y8",3111-Specialist physicians,1
,,CISSS de l'Abitibi-TÇmiscamingue,"Val d'or, QC J9P 3Y2",3012-Registered nurses and registered psychiatric nurses,5
,,,,3112-General practitioners and family physicians,1
,,CISSS de l'Outaouais,"Gatineau, QC J8P 7H2",3012-Registered nurses and registered psychiatric nurses,1
,,CIUSSS de la Mauricie-et-du-Centre-du-Quebec,"Trois-Riviäres, QC G9A 5C5",3111-Specialist physicians,1
,,CIUSSS du Nord-de-l'Ile-de-Montreal,"MontrÇal, QC H4J 1C5",3111-Specialist physicians,1
,,Cleargoals Company,"MontrÇal, QC H2X 2T6",2173-Software engineers and designers,1
,,Coco Pazzo Inc. (Restaurant),"Mont-Tremblant, QC J8E 1B1",6321-Chefs,1
,,Cofomo DÇveloppement Inc.,"MontrÇal, QC H3B 4W5",2174-Computer programmers and interactive media developers,3
,,Colläge des mÇdecins du QuÇbec,"MontrÇal, QC H3B 0G2",3111-Specialist physicians,7
,,,,3112-General practitioners and family physicians,4
,,Communication Visuelle,"Laval, QC H7K 3N1","5232-Other performers, n.e.c.",2
,,Concordia University,"MontrÇal, QC H3G 1M8",4011-University professors and lecturers,2
,,CONSEILLERS EN GESTION ET INFORMATIQUE CGI INC,"Montreal, QC H3G 1T4",2171-Information systems analysts and consultants,17
,,,,2173-Software engineers and designers,1
,,,,2174-Computer programmers and interactive media developers,19
,,,,2282-User support technicians,2
,,Construction Minisini inc.,"Ste Sophie, QC J5J 2K6",7291-Roofers and shinglers,1
,,Consulair Inc.,"QuÇbec, QC G1N 4L5",2241-Electrical and electronics engineering technologists and technicians,1
,,Consulting Information HN Inc.,"Brossard, QC J4Z 0E5",2174-Computer programmers and interactive media developers,1
,,Corporation Fiera Capital,"Montreal, QC H3A 3M8",1112-Financial and investment analysts,1
,,Corporation Interactive EIDOS,"MontrÇal, QC H3A 1G1",5241-Graphic designers and illustrators,1
,,"Corporation MacDonald, Dettwiler et associÇs","Ste-Anne-de-Bellevue, QC H9X 3R2",2146-Aerospace engineers,1
,,Creation 4u2c inc,"MontrÇal, QC H2S 3H1",5241-Graphic designers and illustrators,1
,,Croisiäres AML inc,"QuÇbec, QC G1K 4A7","0124-Advertising, marketing and public relations managers",1
,,Dempton Groupe Conseil,"MontrÇal, QC H3B 3B6",2171-Information systems analysts and consultants,2
,,Diana Food Canada Inc.,"Champlain, QC G0X 1C0",0911-Manufacturing managers,1
,,Digitech 3D Inc.,"Verchäres, QC J0L 2R0","0124-Advertising, marketing and public relations managers",1
,,Divertissements Gameloft Inc.,"MontrÇal, QC H2R 2Z5",2174-Computer programmers and interactive media developers,2
,,,,2283-Information systems testing technicians,1
,,,,"5131-Producers, directors, choreographers and related occupations",1
,,,,5225-Audio and video recording technicians,1
,,,,5241-Graphic designers and illustrators,1
,,Domtar Inc.,"Montreal, QC H3A 1L6","0016-Senior managers - construction, transportation, production and utilities",1
,,Dynapompe Inc.,"MontrÇal, QC H4P 1R3",1222-Executive assistants,1
,,EBC INC,"MontrÇal, QC H3C 3X6",2132-Mechanical engineers,1
,,Ecole Polytechnique de MontrÇal,"MontrÇal, QC H3C 3A7",4011-University professors and lecturers,1
,,êcole Satyam De Hatha Yoga,"MontrÇal, QC H2Y 2M2","5254-Program leaders and instructors in recreation, sport and fitness",1
,,EFFENTI INC.,"QuÇbec, QC G1W 2K7",2174-Computer programmers and interactive media developers,1
,,Element AI Inc.,"MontrÇal, QC H2W 2R2",2171-Information systems analysts and consultants,1
,,,,2173-Software engineers and designers,1
,,Engie Services Inc.,"MontrÇal, QC H3A 1B9",2171-Information systems analysts and consultants,1
,,Engrenages SpÇcialisÇs Inc.,"Richmond, QC J0B 2H0",7231-Machinists and machining and tooling inspectors,3
,,Enterprise Rent-A-Car Ltd,"Mont-Royal, QC H4T 1B1",1311-Accounting technicians and bookkeepers,1
,,Entreprise SLIK Inc,"Lachine, QC H8S 3S5",2253-Drafting technologists and technicians,1
,,êquipements Lafontaine Inc.,"LÇvis, QC G6V 7M5",7312-Heavy-duty equipment mechanics,1
,,Estampro Inc,"St-êvariste, QC G0M 1S0",7237-Welders and related machine operators,17
,,Ethica CRO Inc.,"Montreal, QC H4S 1Z6",0212-Architecture and science managers,1
,,exp Services Inc.,"MontrÇal, QC H3A 3C8",2253-Drafting technologists and technicians,1
,,Expertus Technologies Inc,"MontrÇal, QC H3A 1V4",2174-Computer programmers and interactive media developers,1
,,Express Logan Inc.,"Windsor, QC J1S 2Z7",7511-Transport truck drivers,6
,,Expressco Marketing inc.,"MontrÇal, QC H4Z 1H1",1222-Executive assistants,1
,,Fabrication Dalji Inc.,"Saint-Isidore, QC G0S 2S0",7237-Welders and related machine operators,2
,,FACC Solutions Canada Inc,"St-Eustache, QC J7R 7G6",9534-Furniture finishers and refinishers,1
,,FacilitÇ Conseils et Solutions Inc.,"MontrÇal, QC H3B 2G2",2171-Information systems analysts and consultants,1
,,,,2174-Computer programmers and interactive media developers,2
,,Festival TransAmÇriques,"MontrÇal, QC H5B 1C3",5241-Graphic designers and illustrators,1
,,FM Resto Design Inc,"MontrÇal, QC H3A 1S8",6322-Cooks,1
