"Employers who were issued a positive Labour Market Impact Assessment (LMIA) by stream, National Occupational Classification (NOC) 2011 and business location in 2019 (January-March)",,,,,
Province/Territory,Stream,Employer,Address,Occupation,Approved Positions
,,Jessy's Pizza Spryfield Ltd.,"HALIFAX, NS B3R 1W2",6322-Cooks,2
,,Lismore Seafoods Inc.,"Merigomish, NS B0K 1G0",9463-Fish and seafood plant workers,25
,,Naru Japanese Restaurant (NS) Ltd.,"Sydney, NS B1P 1G8",6322-Cooks,1
,,North Nova Seafoods Ltd.,"Pictou, NS B0K 1H0",9463-Fish and seafood plant workers,87
,,Pêcherie Cheticamp Fisheries Intl. (2016) Ltd.,"Cheticamp, NS B0E 1H0",9463-Fish and seafood plant workers,34
,,Riverside Lobster International Inc.,"Meteghan River, NS B0W 2L0",9463-Fish and seafood plant workers,31
,,Sushi Jet Japanese Cuisine Inc,"HALIFAX, NS B3N 2S8",6322-Cooks,3
,,Swiss Chalet,"Amherst, NS B4H 4L2",6322-Cooks,1
,,Victoria Co-operative Fisheries Ltd.,"Neil's Harbour, NS B0C 1N0",9463-Fish and seafood plant workers,12
,  Primary Agriculture,3226198 Nova Scotia Ltd,"Centreville, NS B0P 1J0",8431-General farm workers,5
,,Afton Hills Farm Limited,"Afton, NS B0H 1A0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Barteaux Farms Ltd.,"MOSCHELLE, NS B0S 1A0",8431-General farm workers,8
,,Berfelo Hog Farms Ltd.,"Stewiacke, NS B0N 2J0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Blue Ridge Farm,"Grafton, NS B0P 1V0",8431-General farm workers,4
,,Bragg Lumber Company,"COLLINGWOOD, NS B0M 1E0",8431-General farm workers,7
,,Canard Orchards Ltd,"Centreville, NS B0P 1J0",8431-General farm workers,16
,,CAP Farms Inc,"Grafton, NS B0P 1V0",8431-General farm workers,2
,,Craig Nichols Farms,"Aylesford, NS B0P 1C0",8431-General farm workers,15
,,D & M Lightfoot Farms Ltd.,"WOLFVILLE, NS B4P 2S3",8431-General farm workers,4
,,Ellslea Farms Ltd,"CANNING, NS B0P 1H0",8431-General farm workers,3
,,G & C Hughes Enterprises Limited,"New Ross, NS B0J 2M0",8432-Nursery and greenhouse workers,20
,,High Point Orchards Ltd.,"Kentville, NS B4N 3V7",8431-General farm workers,8
,,J & B Millen Farms Limited,"Great Village, NS B0M 1L0",8431-General farm workers,62
,,Jost Vineyards Limited,"NORTH SHORE (MALAGASH), NS B0K 1E0",8431-General farm workers,8
,,Luckett Farms Ltd,"WALLBROOK, NS B4P 2R3",8431-General farm workers,4
,,Lutz Family Farm Ltd,"Berwick, NS B0P 1E0",8431-General farm workers,12
,,Melvin Farms Limited,"CANNING, NS B0P 1H0",8431-General farm workers,32
,,Oxford Berry Farm,"Oxford, NS B0M 1P0",8431-General farm workers,18
,,Perfect Berries Limited,"Berwick, NS B0P 1E0",8431-General farm workers,13
,,Power Farms Inc,"CANNING, NS B0P 1H0",8431-General farm workers,4
,,Randsland Farms Inc,"CANNING, NS B0P 1H0",8431-General farm workers,41
,,Reimer Gardens Inc.,"Waterville, NS B0P 1V0",8431-General farm workers,14
,,River Breeze Farm Ltd,"Upper Onslow, NS B6L 6Y3",8431-General farm workers,12
,,Sarsfield Farms Inc,"Kentville, NS B4N 3V7",8431-General farm workers,37
,,Sawler Gardens Ltd,"Berwick, NS B0P 1E0",8431-General farm workers,8
,,Spurr Brothers Farms,"Melvern Square, NS B0P 1R0",8431-General farm workers,9
,,Stirling Fruit Farms (2000) Ltd,"GREENWICH, NS B4P 2R2",8431-General farm workers,36
,,TE Boyle Farm & Forestry Ltd,"., NS B0H 1A0",8431-General farm workers,4
,,Vermeulen Farms Limited,"CANNING, NS B0P 1H0",8431-General farm workers,62
,,Webster Farms Ltd,"Cambridge, NS B0P 1G0",8431-General farm workers,42
, Global Talent Stream,Arigato Machine Inc,"HALIFAX, NS B3J 3K5",2174-Computer programmers and interactive media developers,1
,,Mindsea Development Incorporated,"HALIFAX, NS B3J 3M8",2175-Web designers and developers,1
,,Ubisoft Divertissements Inc.,"HALIFAX, NS B3J 3R5",0213-Computer and information systems managers,1
,,,,2171-Information systems analysts and consultants,1
,,,,2174-Computer programmers and interactive media developers,12
,,,,2175-Web designers and developers,2
,,,,5241-Graphic designers and illustrators,1
New Brunswick,    High Wage,697028 NB Inc. o/a Amal Transport Inc.,"Woodstock, NB E7M 2M1",7511-Transport truck drivers,2
,,AYR Motor Express Inc.,"Woodstock, NB E7M 4G2",7511-Transport truck drivers,10
,,County Line Trucking Ltd,"Wilmot, NB E7P 2V4",7511-Transport truck drivers,7
,,Culberson Trucking Ltd.,"Jacksonville, NB E7M 3J8",7511-Transport truck drivers,4
,,Eastern Hospitality Inc o/a Canada's Best Value Inn,"SAINT JOHN, NB E2K 4H8","6313-Accommodation, travel, tourism and related services supervisors",1
,,Elephant Transport Inc.,"SCOUDOUC, NB E4P 1A9",7511-Transport truck drivers,2
,,FMI Atlantic Inc.,"WOODSTOCK, NB E7M  5G",6311-Food service supervisors,6
,,FMI National Inc.,"WOODSTOCK, NB E7M  5G",6311-Food service supervisors,2
,,G. B. Sport (2005) Inc.,"CAMPBELLTON, NB E3N 2G8","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,McConchie Trucking Ltd.,"Norton, NB E5T 1E8",7511-Transport truck drivers,2
,,McConnell Transport Ltd.,"Jacksonville, NB E7M 3R7",7511-Transport truck drivers,35
,,Murray Enterprises Ltd.,"Sussex Corner, NB E4E 2Y5",7511-Transport truck drivers,2
,,OneSpan Canada Inc.,"SAINT-JOHN, NB E2L 4R8",1223-Human resources and recruitment officers,1
,,Regional Health Authority B,"SAINT JOHN, NB E2L 4L4",3111-Specialist physicians,1
,,Saigon Thai Restaurant,"Moncton, NB E1C 4L6",6322-Cooks,1
,   Low Wage,"622735 NB, Inc. o/a Mads Truckstop/Acorn Restaurant","Lake George, NB E6K 3P9",6322-Cooks,1
,,692059 NB Inc. o/a Osaka Hibachi,"Moncton, NB E1C 1C8",6322-Cooks,1
,,694156 NB Inc. o/a Kuro Sushi,"Shediac, NB E4P 2B3",6311-Food service supervisors,1
,,695716 NB Ltd.,"OROMOCTO, NB E2V 2H5",6322-Cooks,2
,,701664 NB Inc. o/a Sugar Roll Japanese Cuisine,"DIEPPE, NB E1A 1P2",6322-Cooks,1
,,Baie Ste. Anne Seafoods (2014) Inc.,"ESCUMINAC, NB E9A 1V6",9463-Fish and seafood plant workers,40
,,C&A Toner Ltd.,"GRANDFALLS, NB E3Z 1A6",6311-Food service supervisors,3
,,Cape Bald Packers Ltd,"Cap-Pelé, NB E4N 1E3",9463-Fish and seafood plant workers,211
,,Captain Dan's Inc.,"Richibouctou-Village, NB E4W 1C9",9463-Fish and seafood plant workers,67
,,Carpe Diem Food Inc.,"MONCTON, NB E1E 4H8",6322-Cooks,1
,,Despres Fisheries Ltd.,"PETIT CAP, NB E4N 2G6",9463-Fish and seafood plant workers,2
,,Edmond Gagnon Ltd,"Grand-Barachois, NB E4P 8A4",9463-Fish and seafood plant workers,70
,,Elphege & Norbert Leblanc Ltd.,"Petit Cap, NB E4N 2E8",9618-Labourers in fish and seafood processing,17
,,JNB Restaurants o/a Red Rooster Country Store,"OAK BAY, NB E3L 3W7",6332-Bakers,1
,,Kids Korral Day Care 2017 Inc.,"FREDERICTON, NB E3A 3X3",4214-Early childhood educators and assistants,1
,,La Residence Castel Des Flots Bleus Ltee o/a Castel Des Flots Bleu,"Cap-Pele, NB E4N 0B5",6731-Light duty cleaners,4
,,La Scierie Cap-Pele Sawmill Ltd/Ltee,"CAP-PELE, NB E4N 1C3",9533-Other wood products assemblers and inspectors,8
,,L'Association Coopérative des Pêcheurs de l'Île Ltée./Island Fishermen's Cooperative Association Ltd,"Pointe-Sapin, NB E9A 1V1",9463-Fish and seafood plant workers,32
,,Mott Enterprises Ltd.,"WILLOW GROVE, NB E2S 1G7",6322-Cooks,1
,,o/a Maple Leaf Queen's Buffet,"Moncton, NB E1C 2S4",6322-Cooks,2
,,R & L Convenience Inc.,"Rothesay, NB E2E 5X4",6322-Cooks,2
,,Suncoast Seafood Inc.,"GRAND-DIGUE, NB E4R 4H7",9463-Fish and seafood plant workers,85
,,Westmorland Fisheries Ltd.,"Cap-Pelé, NB E4N 1V3",9463-Fish and seafood plant workers,212
,  Primary Agriculture,662100 NB Ltd,"Grande Anse, NB E8N 1A1",8431-General farm workers,3
,,Ashworth Farms Ltd,"ANFIELD, NB E7G 3T2","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Cavendish Farms - Island Holdings Nova Scotia,"Dieppe, NB E1A 6X4",8431-General farm workers,6
,,Ferme Bancourt Ltee,"St. Quentin, NB E8A 2L3","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,"J.D. Irving, Limited","SAINT JOHN, NB E2L 4M3",8432-Nursery and greenhouse workers,4
,,J.T. Toner & Sons Ltd.,"GRAND FALLS, NB E3Z 2X8",8431-General farm workers,2
,,"Jolly Farmer Products, Inc","Northampton, NB E7N 1R6",8432-Nursery and greenhouse workers,9
,,Les Petits Fruits de Pré-d'en-Haut Inc,"Memramcook, NB E4K 1K8",8431-General farm workers,39
,,M&S Wild Blueberry Farms Ltd.,"Kouchibouguac, NB E4X 1L7",8432-Nursery and greenhouse workers,10
,,Mountain View Packers Ltd,"FLORENCEVILLE, NB E7L 1Y9",8431-General farm workers,8
,,Moxon's Country Pumpkin Ltd,"Maugerville, NB E3A 8K8",8431-General farm workers,3
,,Orchard Shade Farms Ltd,"Northampton, NB E7N 1E2",8431-General farm workers,12
,,Royal Gardens (2012) Ltd,"PENOBSQUIS, NB E4G 2C5",8432-Nursery and greenhouse workers,12
,,Slocum's Farm Fresh Produce Ltd,"Waterborough, NB E4C 2Y3",8431-General farm workers,9
,,Toner Produce Ltd,"GRAND FALLS, NB E3Z 2R5",8431-General farm workers,2
,,Verger Belliveau Orchard Ltd.,"Memramcook, NB E4K 2S6",8431-General farm workers,8
,,Waldow Farms Ltd.,"CORN HILL, NB E4Z 1M5","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",3
, Global Talent Stream,Cavendish Agri Services Limited,"Dieppe, NB E1A 6X4","0016-Senior managers - construction, transportation, production and utilities",1
Quebec,    High Wage,2737-2846 Qc Inc / Garage J. Fortier Inc.,"DRUMMONDVILLE, QC J2B 1T7","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",3
,,2843-5816 Québec Inc. Portes LAMBTON,"Lambton, QC G0M 1H0",7272-Cabinetmakers,2
,,28592491 Quebec Inc,"LOURDES DE BLANC SABLON, QC G0G 1W0",1311-Accounting technicians and bookkeepers,1
,,2962-6827 Québec inc.,"COTE ST-LUC, QC H4W 2J4","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,3256308 CANADA INC.,"LaSalle, QC H8N 2K4",0111-Financial managers,1
,,6236651 Canada Inc.,"LASALLE, QC H8R 2E8",7237-Welders and related machine operators,1
,,6362222 Canada Inc.,"Montréal, QC H3E 3B3",2171-Information systems analysts and consultants,1
,,701 7006 Canada Inc,"LAVAL, QC H7S 2N1",6221-Technical sales specialists - wholesale trade,1
,,7348550 Canada inc.,"MONTRÉAL, QC H2V 4G7","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
,,8340773 Canada inc.,"LAVAL, QC H3Z 1R6","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,9019-6452 Québec inc.,"Mont-Tremblant, QC J8E 1B1",6322-Cooks,1
,,9022-5814 Québec Inc,"Laval, QC H7L 3S4",2174-Computer programmers and interactive media developers,1
,,9041-7569 QUÉBEC INC,"Montréal, QC H3K 1G6",1241-Administrative assistants,1
,,9047166 CANADA INC.,"Lachute, QC J8H 2C5",7272-Cabinetmakers,1
,,9052-9470 Québec Inc.,"St-Lazare, QC J7T 2B8",7231-Machinists and machining and tooling inspectors,1
,,9095-6921 Québec inc / Transport M.A.I.,"ST-GERMAIN, QC J0C 1K0","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
,,9097-9287 Quebec Inc.,"TRING-JONCTION, QC G0N 1X0","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",4
,,9099-7768 Québec Inc. (EBM Laser),"SAINT-AUGUSTIN-DE-DESMAURES, QC G3A 1V9",2234-Construction estimators,1
,,9108-1471 Québec inc.,"DRUMMONDVILLE, QC J2C 2B9",6322-Cooks,1
,,9108-6173 Québec inc.,"QUÉBEC, QC G1C 0H1",7322-Motor vehicle body repairers,1
,,9119-6832 QUEBEC INC.,"LÉVIS, QC G6W 8B6","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,9126-0760 Quebec Inc.,"MONTRÉAL, QC H2S 2M7",6321-Chefs,1
,,9137-0619 Québec Inc.,"St-Lambert-de-Lauzon, QC G0S 2W0",7231-Machinists and machining and tooling inspectors,1
,,9150-2468 QUÉBEC INC.,"ROUYN-NORANDA, QC J9X 6M6","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
,,9154-6397 Quebec inc.,"SAINT-CLET, QC J0P 1P0",7612-Other trades helpers and labourers,1
,,9167200 Canada Inc,"MONTREAL, QC H2J 2H1","0124-Advertising, marketing and public relations managers",1
,,9183-6452 Québec inc.,"L'ASSOMPTION, QC J5W 4M9",7322-Motor vehicle body repairers,1
,,9191-4499 Québec Inc (Restaurant Eggsquis),"Sherbrooke, QC J1J 3V5",6321-Chefs,1
,,9221-4790 Québec inc (Raby Auto),"VAL D'OR, QC J9P 1W1","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
,,9222-2603 Quebec Inc.,"MONTREAL, QC H2S 3C8","0124-Advertising, marketing and public relations managers",1
,,9225-6502 Québec Inc. (Mile Public House,"CARIGNAN, QC J3L 3P9",6322-Cooks,1
,,9227-4646 Quebec Inc.,"POINTE CLAIRE, QC H9R 5B1",6321-Chefs,1
,,9248-9921 Québec inc.,"St-Léonard, QC H1S 2J3",7272-Cabinetmakers,2
,,9257-2734 Québec Inc.,"ANJOU, QC H1M 0A1",6321-Chefs,3
,,9258-6478 QUÉBEC INC.,"MONTREAL, QC H9H 4W2",7511-Transport truck drivers,1
,,9276-9397 Québec Inc.,"MONTRÉAL, QC H2J 1Y4",1241-Administrative assistants,1
,,9277-8372 Québec inc.,"LACHINE, QC H8T 1A9","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,9289-9707 Quebec inc. (Café Bistro Van Houtte),"MONTRÉAL, QC H3A 1L4",0631-Restaurant and food service managers,1
,,9298-2230 Québec Inc.,"MONTRÉAL, QC H2S 3C9",6321-Chefs,2
,,9317-0942 Québec Inc,"St-Michel-des-Saints, QC J0K 3B0",6321-Chefs,1
,,9329-4866 Québec Inc,"MONTREAL, QC H4C 1N9",6321-Chefs,1
,,9348-6702 Québec Inc. / Pizzeria Sofia,"BROSSARD, QC J4Y 0L1",6321-Chefs,1
,,9349 - 9515 Québec Inc.,"MONTRÉAL, QC H2C 3H2",0631-Restaurant and food service managers,1
,,9350-9636 Quebec Inc.,"LACHINE, QC H8S 2P4",0631-Restaurant and food service managers,1
,,9354-1456 Québec Inc.,"MONTREAL, QC H4C 1A1",5241-Graphic designers and illustrators,1
,,9358-2013 QC inc.,"Montréal, QC H2Y 2A3",6321-Chefs,1
,,9796851 Canada Inc.,"Montreal, QC H3A 2R7",6321-Chefs,1
,,A. Malo Compagnie Limitée,"Joliette, QC J6E 5N9",2253-Drafting technologists and technicians,1
,,,,7231-Machinists and machining and tooling inspectors,2
,,,,7237-Welders and related machine operators,3
,,AAR Aircraft Services - Trois Rivières ULC,"TROIS-RIVIÈRES, QC G9B 2N8",7315-Aircraft mechanics and aircraft inspectors,5
,,Absolunet inc.,"Boisbriand, QC J7H 1S6",2171-Information systems analysts and consultants,1
,,Académie de Judo de Sept-Iles,"Sept-Îles, QC G4R 2B4",5252-Coaches,1
,,Acass Canada Ltd,"Montréal, QC H4T 2B5","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Accès Industriel Minier Inc,"ROUYN-NORANDA, QC J9X 7A5",7312-Heavy-duty equipment mechanics,1
,,ACIER MARQUIS INC.,"St-Celestin, QC J0C 1G0",7237-Welders and related machine operators,4
,,Aciers Regifab inc.,"SAINT-JOSEPTH-DE-SOREL, QC J3R 3T8",7237-Welders and related machine operators,5
,,Agence du revenu du Québec,"Québec, QC G1X 4A5",2171-Information systems analysts and consultants,15
,,,,2172-Database analysts and data administrators,8
,,,,2173-Software engineers and designers,4
,,,,2174-Computer programmers and interactive media developers,1
,,AgileDSS Inc.,"Montréal, QC H2Y 2G3",2171-Information systems analysts and consultants,1
,,Agri-Fusion 2000 Inc,"St-Polycarpe, QC J0X 1X0",8431-General farm workers,6
,,Agropur Coopérative,"SAINT-HUBERT, QC J3Z 1G5","9461-Process control and machine operators, food, beverage and associated products processing",1
,,Air Canada,"Dorval, QC H4Y 1H4",1122-Professional occupations in business management consulting,1
,,Akka Groupe Amérique du Nord Inc.,"Montréal, QC H3A 2W5",2146-Aerospace engineers,1
,,Alithya Canada Inc,"Montréal, QC H3B 5M2",1223-Human resources and recruitment officers,1
,,Altitude Aerospace Inc,"MONTRÉAL, QC H4S 1T2",2232-Mechanical engineering technologists and technicians,1
,,Ani-Mat Inc.,"SHERBROOKE, QC J1R 0S7",7333-Electrical mechanics,2
,,ArcelorMittal Produits Longs Canada SENC,"Contrecoeur, QC J0L 1C0",0111-Financial managers,1
,,Arden Holdings Inc.,"Montreal, QC H4S 1W8","5232-Other performers, n.e.c.",1
,,ARTITALIA GROUP INC,"Montreal, QC H1E 7J8",2252-Industrial designers,1
,,ATELIER D'USINAGE QUENNEVILLE INC,"SALABERRY-DE-VALLEYFIELD, QC J6T 2R1",7231-Machinists and machining and tooling inspectors,5
,,ATELIER D'USINAGE ST-HUBERT LTÉE,"St-Hubert, QC J3Y 0A8",7231-Machinists and machining and tooling inspectors,1
,,Atelier Usinage Richelieu Inc.,"STE-VICTOIRE-DE-SOREL, QC J0G 1T0",7231-Machinists and machining and tooling inspectors,4
,,Au Petit Resto,"MONTRÉAL, QC H1H 1V3",6321-Chefs,1
,,Aurel Harvey & Fils Inc.,"La Malbaie, QC G5A 1C5","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,Automobiles Barrauté Limité,"VAL D'OR, QC J9P 1R7","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,Banque Nationale du Canada,"Montréal, QC H3B 4L2",2171-Information systems analysts and consultants,2
,,,,2173-Software engineers and designers,1
,,,,2174-Computer programmers and interactive media developers,1
,,Barrette-Chapais Ltée,"SAINT-JEAN-SUR-RICHELIEU, QC J3B 8K1",7311-Construction millwrights and industrial mechanics,3
,,Behavox Software (Canada) Inc.,"MONTRÉAL, QC H3A 2A5",0114-Other administrative services managers,1
,,,,1222-Executive assistants,1
,,,,1223-Human resources and recruitment officers,1
,,Béton Bolduc Inc.,"SAINTE-MARIE DE BEAUCE, QC G6E 1G8",7311-Construction millwrights and industrial mechanics,1
,,Béton Provincial Ltée,"Matane, QC G4W 3M6",2174-Computer programmers and interactive media developers,1
,,Bijouterie Mukesh Inc.,"MONTRÉAL, QC H3B 1M1",6211-Retail sales supervisors,1
,,Biothentique inc.,"MONTRÉAL, QC H1V 1Y8","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Biscuits Leclerc Ltee,"ST-AUGUSTIN-DE-DESMAURE, QC G3A 1T1",7333-Electrical mechanics,1
,,BNP Paribas,"Montréal, QC H3A 2W8",1111-Financial auditors and accountants,1
,,BOIS FRANC NORD INC.,"Lac-Drolet, QC G0Y 1C0",7311-Construction millwrights and industrial mechanics,2
,,,,7452-Material handlers,10
,,Bombardier Inc.,"MONTRÉAL, QC H3B 1Y8",2146-Aerospace engineers,1
,,Bottega Pizzeria,"Montréal, QC H2S 1K6",6322-Cooks,1
,,Boulangerie La Mère Michèle inc.,"Québec, QC G1V 4P9",1241-Administrative assistants,1
,,BOULANGERIE ST-METHODE Inc.,"ADSTOCK, QC G0N 1S0","6733-Janitors, caretakers and building superintendents",2
,,,,7311-Construction millwrights and industrial mechanics,1
,,,,"9617-Labourers in food, beverage and associated products processing",5
,,Brio Innovation Inc,"LAVAL, QC H7L 5Z6",2252-Industrial designers,1
,,Brisson Paysagiste inc,"Plessisville, QC G6L 2Y2",8612-Landscaping and grounds maintenance labourers,8
,,BRP inc.,"VALCOURT, QC J0E 2L0",2232-Mechanical engineering technologists and technicians,1
,,Buanderie Beaudoin inc.,"VICTORIAVILLE, QC G6T 1V6",1241-Administrative assistants,1
,,C.N.C. TRACY INC.,"Sorel-Tracy, QC J3R 2B9",7231-Machinists and machining and tooling inspectors,2
,,Canadian National Railway Company,"Montréal, QC H3B 2M9",0213-Computer and information systems managers,1
,,Carrossier ProColor Sainte-Julie,"Ste-Julie, QC J3E 0C3",7322-Motor vehicle body repairers,2
,,CBR LASER INC.,"Plessisville, QC G6L 2Y2",2232-Mechanical engineering technologists and technicians,2
,,,,7231-Machinists and machining and tooling inspectors,18
,,,,7237-Welders and related machine operators,5
,,Centre de collision des concessionnaires affiliées de Shawinigan Inc.,"SHAWINIGAN, QC G9N 4Y3",7322-Motor vehicle body repairers,1
,,Centre de Collision ouest inc.,"POINTE-CLAIRE, QC H9R 4L6",7322-Motor vehicle body repairers,4
,,CENTRE DE LA PETITE ENFANCE STE-JUSTINE,"MONTRÉAL, QC H3T 1C5",4214-Early childhood educators and assistants,1
,,Centre de réparation hydraulique Hydrep Inc.,"JONQUIÈRE, QC G7X 9H3",7333-Electrical mechanics,2
,,CENTRE INTERDISCIPLINAIRE DE DÉVELOPPEMENT EN CARTOGRAPHIE DES OCÉANS (CIDCO),"RIMOUSKI, QC G5L 4B6",2113-Geoscientists and oceanographers,1
,,Champag Inc,"Verchères, QC J0L 2R0",2232-Mechanical engineering technologists and technicians,1
