"Employers Who Were Issued a Positive Labour Market Impact Assessment (LMIA) by Program Stream, National Occupational Classification (NOC) 2011 and Business Location, January to March 2020",,,,,
Province/Territory,Program Stream,Employer ,Address,Occupation,Approved Positions
Prince Edward Island,   Low Wage,Royal Star Foods Ltd,"Tignish, C0B2B0",9463-Fish and seafood plant workers,81
Prince Edward Island,   Low Wage,Seafood 2000 Ltd.,"Georgetown, C0A1L0",9463-Fish and seafood plant workers,102
Prince Edward Island,   Low Wage,South Shore Seafoods Ltd.,"Bloomfield, C0B1E0",9463-Fish and seafood plant workers,137
Prince Edward Island,   Low Wage,Summerside Seafood Supreme Inc.,"Summerside, C1N2V5",9463-Fish and seafood plant workers,25
Prince Edward Island,  Primary Agriculture,101497 PEI Inc,"Cherry Valley, C0A2E0",8431-General farm workers,12
Prince Edward Island,  Primary Agriculture,Birch Farms Ltd.,"Summerside, C1N4J9",8431-General farm workers,2
Prince Edward Island,  Primary Agriculture,Canadian Nature Roots LTD.,"Stratford, C1B2Y5","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",5
Prince Edward Island,  Primary Agriculture,Canadian Nature Roots LTD.,"Stratford, C1B2Y5",8431-General farm workers,12
Prince Edward Island,  Primary Agriculture,Eastern Exporters Limited,"Souris, C0A2B0",8431-General farm workers,2
Prince Edward Island,  Primary Agriculture,Eastern Farms Ltd.,"Pownal, C1B3S5",8431-General farm workers,1
Prince Edward Island,  Primary Agriculture,Extondale Farms Ltd.,"Oyster Bed, C1E0L9","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Prince Edward Island,  Primary Agriculture,Havenlee Farms Inc.,"Summerside, C1N4J9",8431-General farm workers,2
Prince Edward Island,  Primary Agriculture,HILLTOP PRODUCE LTD,"Kinkora, C0B1N0",8431-General farm workers,4
Prince Edward Island,  Primary Agriculture,King's County Pork Inc.,"Montague, C0A1R0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Prince Edward Island,  Primary Agriculture,King's County Pork Inc.,"Montague, C0A1R0",8431-General farm workers,3
Prince Edward Island,  Primary Agriculture,MGS Holdings & Distribution Ltd.,"Alberton, C0B1B0",8431-General farm workers,65
Prince Edward Island,  Primary Agriculture,Mol Farms Inc.,"Kinkora, C0B1N0",8431-General farm workers,4
Prince Edward Island,  Primary Agriculture,Smith Farms Ltd.,"Kinkora, C0B1N0",8431-General farm workers,4
Prince Edward Island,  Primary Agriculture,van Diepen Produce Ltd.,"Morell, C0A1S0",8431-General farm workers,15
Prince Edward Island,  Primary Agriculture,Vanco Farms Ltd.,"Mount Albion, C1B0R4",8431-General farm workers,7
Prince Edward Island,  Primary Agriculture,Verdant LLC,"Cardigan, C0A1G0",8431-General farm workers,8
Prince Edward Island, Global Talent Stream,Marinenav Ltd,"Montague, C0A1R0",0911-Manufacturing managers,1
Nova Scotia,    High Wage,10094277 Canada Inc,"Halifax, B3J2T9",2175-Web designers and developers,2
Nova Scotia,    High Wage,BANNOCKBURN TOURS LIMITED,"SYDNEY, B1P5T3","0651-Managers in customer and personal services, n.e.c.",1
Nova Scotia,    High Wage,CONNORS TRANSFER LIMITED,"Stellarton, B0K1S0",7511-Transport truck drivers,15
Nova Scotia,    High Wage,Dalhousie University,"Halifax, B3H4H2",4011-University professors and lecturers,1
Nova Scotia,    High Wage,Green Value Management Ltd,"Halifax, B3H1B3",0811-Managers in natural resources production and fishing,1
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, B3K5M7","0016-Senior managers - construction, transportation, production and utilities",1
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, B3K5M7",0113-Purchasing managers,1
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, B3K5M7",0711-Construction managers,1
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, B3K5M7",0911-Manufacturing managers,1
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, B3K5M7","2148-Other professional engineers, n.e.c.",1
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, B3K5M7",2172-Database analysts and data administrators,1
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, B3K5M7",4021-College and other vocational instructors,1
Nova Scotia,    High Wage,Kingsport Studios Limited,"Kingsport, B0P1H0",3232-Practitioners of natural healing,1
Nova Scotia,    High Wage,Maritime Vehicle Providers Limited,"Dartmouth, B3B1P4",1241-Administrative assistants,1
Nova Scotia,    High Wage,Maritime Vehicle Providers Limited,"Dartmouth, B3B1P4",1311-Accounting technicians and bookkeepers,1
Nova Scotia,    High Wage,Nova Scotia Health Authority,"Truro, B2N 5A1",3112-General practitioners and family physicians,1
Nova Scotia,    High Wage,Phoenix Rehabilitation Services Inc,"Sydney, B1M0A1",4151-Psychologists,1
Nova Scotia,    High Wage,PRECISION CONCRETE SERVICES LIMITED,"Bedford, B4B1H1",7282-Concrete finishers,8
Nova Scotia,    High Wage,QED Operations Inc.,"BLIND BAY, B3Z4C4","0013-Senior managers - financial, communications and other business services",1
Nova Scotia,   Low Wage, WASABI HOUSE RESTAURANT LTD.,"Halifax, B3L1B6",6322-Cooks,1
Nova Scotia,   Low Wage,3231974 Nova Scotia Limited,"Eastern Passage, B3G1M4",9618-Labourers in fish and seafood processing,3
Nova Scotia,   Low Wage,3311543 Nova Scotia Limited,"Halifax, B3L1A4",6322-Cooks,1
Nova Scotia,   Low Wage,3323091 Nova Scotia Ltd.,"Truro, B2N4Z6",6525-Hotel front desk clerks,2
Nova Scotia,   Low Wage,Arirang Restaurant Incorporated,"Halifax, B3M3W8",0631-Restaurant and food service managers,1
Nova Scotia,   Low Wage,Arirang Restaurant Incorporated,"Halifax, B3M3W8",6322-Cooks,1
Nova Scotia,   Low Wage,Blue Elephant Thai Restaurant,"Bedford, B3M0G2",6322-Cooks,1
Nova Scotia,   Low Wage,Chase's Lobster Pound Ltd.,"Port Howe, B0K1K0",9463-Fish and seafood plant workers,4
Nova Scotia,   Low Wage,Chrismaria Family Restaurant LTD,"New Minas, B4N3C9",6322-Cooks,1
Nova Scotia,   Low Wage,d`Eon Boatbuilding Ltd,"Yarmouth, B0W2M0",7271-Carpenters,2
Nova Scotia,   Low Wage,Evangeline Inn & Motel Inc.,"Grand Pre, B0P1M0",6322-Cooks,2
Nova Scotia,   Low Wage,Granville Gates and Sons Ltd,"Blandford, B0J1C0","9617-Labourers in food, beverage and associated products processing",4
Nova Scotia,   Low Wage,It Takes a Village Inc.,"Halifax, B3S1P9",4214-Early childhood educators and assistants,1
Nova Scotia,   Low Wage,Joe E Brands Limited,"Bible Hill, B2N2S7",6322-Cooks,1
Nova Scotia,   Low Wage,K-BEAUTY SALON INC,"Halifax, B3L1A4",6341-Hairstylists and barbers,1
Nova Scotia,   Low Wage,Mandox Inc.,"Annapolis Royal, B0S1A0",6322-Cooks,2
Nova Scotia,   Low Wage,Maritime Vehicle Providers Limited,"Dartmouth, B3B1P4",6421-Retail salespersons,1
Nova Scotia,   Low Wage,Maritime Vehicle Providers Limited,"Dartmouth, B3B1P4",6732-Specialized cleaners,1
Nova Scotia,   Low Wage,Mic-mac beverage room (2006) ltd,"Dartmouth, B2X2C3",6322-Cooks,4
Nova Scotia,   Low Wage,Pecheries Cheticamp Fisheries Intl. (2016) Ltd,"Cheticamp, B0E1H0",9463-Fish and seafood plant workers,60
Nova Scotia,   Low Wage,Riverside Lobster International Inc,"Meteghan River, B0W2L0",9463-Fish and seafood plant workers,84
Nova Scotia,   Low Wage,Victoria Co-operative Fisheries Ltd.,"Neil's Harbour, B0C1N0",9463-Fish and seafood plant workers,12
Nova Scotia,  Primary Agriculture,Balamore Farm Ltd,"Great Village, B0M1L0",8431-General farm workers,160
Nova Scotia,  Primary Agriculture,Barteaux Farms Ltd,"Moschelle, B0S1A0",8431-General farm workers,8
Nova Scotia,  Primary Agriculture,CAP Farms Inc,"Grafton, B0P1V0",8431-General farm workers,4
Nova Scotia,  Primary Agriculture,Charles Keddy Farms Limited,"Kentville, B4N3V7",8431-General farm workers,22
Nova Scotia,  Primary Agriculture,Craig Nichols Farms Limited,"Aylesford, B0P1C0",8431-General farm workers,41
Nova Scotia,  Primary Agriculture,DeLong Farm Products Limited,"New Germany, B0R1E0",8432-Nursery and greenhouse workers,8
Nova Scotia,  Primary Agriculture,Eisses Farms Ltd,"Centreville, B0P1J0",8431-General farm workers,18
Nova Scotia,  Primary Agriculture,G.A.R. Tree Farms Ltd,"Barss Corner, B0R1A0",8431-General farm workers,8
Nova Scotia,  Primary Agriculture,Gouchers Farm And Market Limited,"Kingston, B0P1R0",8431-General farm workers,10
Nova Scotia,  Primary Agriculture,H.B. Morse + Sons. Trucking Ltd,"Somerset, B0P1E0",8431-General farm workers,4
Nova Scotia,  Primary Agriculture,High Point Orchards LTD.,"Paradise, B0S1R0",8431-General farm workers,12
Nova Scotia,  Primary Agriculture,J & M Reeves Christmas Greens Limited,"New Ross, B0J2M0",8432-Nursery and greenhouse workers,2
Nova Scotia,  Primary Agriculture,MacGregor Dairy Farm Ltd.,"Churchville, B0K1B0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Nova Scotia,  Primary Agriculture,McConnell-Gordon Estates Ltd.,"Wolfville, B4P2R1",8431-General farm workers,6
Nova Scotia,  Primary Agriculture,Melvin Farms Limited,"Canning, B0P1H0",8431-General farm workers,32
Nova Scotia,  Primary Agriculture,Nazinga Farms Ltd,"Aylesford, B0P1C0",8431-General farm workers,14
Nova Scotia,  Primary Agriculture,Noggins Corner Farm II Ltd.,"Greenwich, B4P2R2",8431-General farm workers,27
Nova Scotia,  Primary Agriculture,North 45 Orchards Limited,"Elderbank, B0N1K0",8431-General farm workers,20
Nova Scotia,  Primary Agriculture,Perfect Berries Ltd.,"Berwick, B0P1E0",8431-General farm workers,20
Nova Scotia,  Primary Agriculture,Power Farms Inc.,"RR#2 Canning, B0P1H0",8431-General farm workers,4
Nova Scotia,  Primary Agriculture,Randsland Farms Inc,"Canning, B0P1H0",8431-General farm workers,21
Nova Scotia,  Primary Agriculture,River Breeze Farm Limited,"Upper Onslow, B6L6Y3",8431-General farm workers,12
Nova Scotia,  Primary Agriculture,Sarsfield Farms Incorporated,"Canning, B0P1H0",8431-General farm workers,12
Nova Scotia,  Primary Agriculture,Spurr Brothers Farms Ltd,"Melvern Square, B0P1R0",8431-General farm workers,15
Nova Scotia,  Primary Agriculture,Stirling Fruit Farms (2000) Ltd,"Greenwich, B4P2R2",8431-General farm workers,2
Nova Scotia,  Primary Agriculture,T. E. Boyle Farm & Forestry Limited,"Antigonish County, B0H1A0",8431-General farm workers,4
Nova Scotia,  Primary Agriculture,Thiessen Farm Ltd.,"Grafton, B0P1V0",8431-General farm workers,6
Nova Scotia,  Primary Agriculture,Van Meekeren Farms Ltd.,"Lakeville, B4N3V7",8431-General farm workers,7
Nova Scotia,  Primary Agriculture,Webster Farms Limited,"Cambridge, B0P1G0",8431-General farm workers,42
Nova Scotia,  Primary Agriculture,Wildroot Farm Limited,"Waterville, B0P1V0",8431-General farm workers,4
Nova Scotia, Global Talent Stream,3rDi Laboratory Inc.,"Wolfville, B4P3R6",2175-Web designers and developers,2
Nova Scotia, Global Talent Stream,MagicLamp Software Solutions Inc.,"Halifax, B3L0B5",2173-Software engineers and designers,1
Nova Scotia, Global Talent Stream,REDspace Inc.,"BEDFORD, B4A3Y4",2171-Information systems analysts and consultants,1
Nova Scotia, Global Talent Stream,REDspace Inc.,"BEDFORD, B4A3Y5",2174-Computer programmers and interactive media developers,1
New Brunswick,    High Wage,700827 NB Inc.,"Fredericton, E3B1B2",6322-Cooks,2
New Brunswick,    High Wage,AYR Motor Express Inc,"Woodstock, E7M4G2",7511-Transport truck drivers,10
New Brunswick,    High Wage,FMI Atlantic Inc.,"Woodstock, E7M5G5",0631-Restaurant and food service managers,1
New Brunswick,    High Wage,FMI Atlantic Inc.,"Woodstock, E7M5G5",6311-Food service supervisors,4
New Brunswick,    High Wage,FMI National Inc,"Woodstock, E7M5G5",6311-Food service supervisors,1
New Brunswick,    High Wage,"J.D. Irving, Limited - Woodlands Division","Saint John, E2L4Z2",8422-Silviculture and forestry workers,65
New Brunswick,    High Wage,Keenan Truck Repair Inc,"Woodstock, E7M4G2","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
New Brunswick,    High Wage,Maritime Truck and Tractor Pull Association Inc.,"Richmond Corner, E7M4W9","6722-Operators and attendants in amusement, recreation and sport",1
New Brunswick,    High Wage,Murray Enterprises Ltd.,"sussex corner, E4E2Y5",7511-Transport truck drivers,2
New Brunswick,    High Wage,POINT QUEEN FISHERIES LTD.,"L'Etete, E5C2R6",0621-Retail and wholesale trade managers,1
New Brunswick,    High Wage,Rogers Communications Canada Inc,"Moncton, E1C0G1","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
New Brunswick,    High Wage,WHITE ROCK FREIGHT SERVICES INC,"Moncton, E1C6L9",7511-Transport truck drivers,3
New Brunswick,   Low Wage,507536 NB INC,"Fredericton, E3C1A2",6322-Cooks,2
New Brunswick,   Low Wage,611179 NB Inc.,"Moncton, E1G2W5",6311-Food service supervisors,1
New Brunswick,   Low Wage,620694 nb ltd,"Fredericton, E3A6S2",6322-Cooks,1
New Brunswick,   Low Wage,665606 NB Inc.,"MONCTON, E1A5L1",6322-Cooks,1
New Brunswick,   Low Wage,669950 N.B LTD,"Fredericton, E3B1B9",6322-Cooks,1
New Brunswick,   Low Wage,671348 N.B. INC.,"MONCTON, E1C1E3",6322-Cooks,1
New Brunswick,   Low Wage,677032 N.B. Ltd.,"Rothesay, E2E2N6",6322-Cooks,1
New Brunswick,   Low Wage,692663 New Brunswick Inc.,"Moncton, E1G3T6",6211-Retail sales supervisors,1
New Brunswick,   Low Wage,695716 NB Ltd,"Oromocto, E2V2H5",6322-Cooks,1
New Brunswick,   Low Wage,696455 NB Inc.,"Moncton, E1A5G7",6211-Retail sales supervisors,1
New Brunswick,   Low Wage,698075 NB Ltd.,"Shediac, E4P2G1",6322-Cooks,1
New Brunswick,   Low Wage,700827 NB Inc.,"Fredericton, E3B1B2",6311-Food service supervisors,1
New Brunswick,   Low Wage,701664 NB Inc,"Dieppe, E1A1P2",6322-Cooks,1
New Brunswick,   Low Wage,707326 NB Inc.,"Moncton, E1G1A5",6322-Cooks,1
New Brunswick,   Low Wage,709320 NB INC.,"SACKVILLE, E4L3N6",6322-Cooks,1
New Brunswick,   Low Wage,B.A.Richard Ltd,"Sainte-Anne-de-Kent, E4S1M6",9463-Fish and seafood plant workers,20
New Brunswick,   Low Wage,Baie Ste Anne Seafoods (2014) Inc.,"Escuminac, E9A1V6",9463-Fish and seafood plant workers,80
New Brunswick,   Low Wage,BOLERO Shellfish Processing Inc.,"St.-Simon, E8P2B2",9463-Fish and seafood plant workers,42
New Brunswick,   Low Wage,Botsford Fisheries Ltd.,"Petit-Cap, E4N2J8",9463-Fish and seafood plant workers,28
New Brunswick,   Low Wage,Bouctouche Bay Inn Inc.,"Lincoln, E3B9J1",6322-Cooks,1
New Brunswick,   Low Wage,C & P Bakery Ltd,"St. Stephen, E3L2C7",6311-Food service supervisors,2
New Brunswick,   Low Wage,Cape Bald Packers Ltd,"Cap-Pelé, E4N1E3",9463-Fish and seafood plant workers,219
New Brunswick,   Low Wage,Captain Dan's Inc.,"Richibouctou-Village, E4W1C9",9463-Fish and seafood plant workers,60
New Brunswick,   Low Wage,CARPE DIEM FOOD INC.,"MONCTON, E1E4H8",6322-Cooks,1
New Brunswick,   Low Wage,Cecile Enterprise Ltee,"Cap Pele, E4N1C2",6322-Cooks,3
New Brunswick,   Low Wage,Despres Fisheries Ltd.,"Petit-Cap, E4N2G6",9463-Fish and seafood plant workers,4
New Brunswick,   Low Wage,Edmond Gagnon Ltd,"Grand-Barachois, E4P8A4",9463-Fish and seafood plant workers,100
New Brunswick,   Low Wage,Fenety Convenience Store Ltd,"Waasis, E3B9E1",6322-Cooks,3
New Brunswick,   Low Wage,Gaston's Catering (2008) Inc.,"Moncton, E1E4C6",6322-Cooks,1
New Brunswick,   Low Wage,HAMONI RESTAURANT INC.,"SACKVILLE, E4L3N5",6322-Cooks,2
New Brunswick,   Low Wage,Leslie Leger & Sons Ltd,"Cap Pele, E4N3B3",9463-Fish and seafood plant workers,70
New Brunswick,   Low Wage,Mariarch Trading Inc.,"Saint John, E2J2G5",6211-Retail sales supervisors,1
New Brunswick,   Low Wage,MDB Holdings Ltd.,"Richibucto, E4W4C9",6311-Food service supervisors,1
New Brunswick,   Low Wage,Pêcheries Lebreton &Fils Ltee,"Grande-Anse, E8N1G4",9463-Fish and seafood plant workers,24
New Brunswick,   Low Wage,Pêcheries Shippagan Fisheries Inc,"Shippagan, E8S3E1",9618-Labourers in fish and seafood processing,6
New Brunswick,   Low Wage,Philip Ouellette & Son Ltd,"Petit Cap, E4N2E9",9463-Fish and seafood plant workers,19
New Brunswick,   Low Wage,Poissonnerie Arseneau Ltée,"Nigadoo, E8K3S8",9463-Fish and seafood plant workers,10
New Brunswick,   Low Wage,R&L CONVENIENCE INC.,"ROTHESAY, E2E5X4",6322-Cooks,1
New Brunswick,   Low Wage,Raymond O'Neill & Son Fisheries Ltd,"Escuminac, E9A1V6",9463-Fish and seafood plant workers,20
New Brunswick,   Low Wage,Robin&Grace Retail Ltd.,"Scoudouc, E4P3S1",6211-Retail sales supervisors,1
New Brunswick,   Low Wage,South Shore Trading Co. Ltd.,"Port Elgin, E4M3Y9",9463-Fish and seafood plant workers,2
New Brunswick,   Low Wage,Suncoast Seafood Inc,"Grande-Digue, E4R4H7",9463-Fish and seafood plant workers,120
New Brunswick,   Low Wage,THAI UNION CANADA INC,"TRACADIE-SHEILA, E1X1G4",9463-Fish and seafood plant workers,32
New Brunswick,   Low Wage,Westmorland Fisheries Ltd,"Cap-Pele, E4N1V3",9463-Fish and seafood plant workers,211
New Brunswick,  Primary Agriculture,Cavendish Farms Corporation,"Dieppe, E1A6X4",8431-General farm workers,22
New Brunswick,  Primary Agriculture,"J.D. Irving, Limited - Woodlands Division","Saint John, E2L4Z2",8432-Nursery and greenhouse workers,6
New Brunswick,  Primary Agriculture,La Ferme Michaud Ltée / Michaud Farm Ltd.,"Baie de Bouctouche, E4S4N9",8431-General farm workers,8
New Brunswick,  Primary Agriculture,Les Petits Fruits de Pré-d'en-Haut Inc.,"Memramcook, E4K1K8",8431-General farm workers,40
New Brunswick,  Primary Agriculture,M&S Wild Blueberry Farms Ltd.,"Kouchibouguac, E4X1L7",8431-General farm workers,10
New Brunswick,  Primary Agriculture,Marlene Moffett Ltd,"Penobsquis, E4G2Z4","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
New Brunswick,  Primary Agriculture,Mountain View Packers Ltd,"Florenceville, E7L1Y9",8431-General farm workers,8
New Brunswick,  Primary Agriculture,Orchard Shade Farms Ltd.,"NORTHAMPTON, E7N1E2",8431-General farm workers,8
New Brunswick,  Primary Agriculture,Shadowave Holsteins Inc,"Second North River, E4J2V9",8431-General farm workers,10
New Brunswick,  Primary Agriculture,Slocum's Farm Fresh Produce Ltd.,"Waterborough, E4C2Y3",8431-General farm workers,12
New Brunswick,  Primary Agriculture,Tuddenham Farms Ltd,"St. Stephen, E3L2X1",8431-General farm workers,6
New Brunswick, Global Talent Stream,Cavendish Farms Corporation,"Dieppe, E1A6X4",0821-Managers in agriculture,1
New Brunswick, Global Talent Stream,Educode Canada Inc.,"Moncton, E1C1G2",0213-Computer and information systems managers,1
New Brunswick, Global Talent Stream,Moltex Energy Canada Inc.,"Saint John, E2L2B2",2112-Chemists,1
New Brunswick, Global Talent Stream,Rogers Communications Canada Inc,"Moncton, E1C0G1",0213-Computer and information systems managers,1
New Brunswick, Global Talent Stream,Rogers Communications Canada Inc,"Moncton, E1C0G1",2173-Software engineers and designers,1
New Brunswick, Global Talent Stream,Rogers Communications Canada Inc,"Moncton, E1C0G1",2174-Computer programmers and interactive media developers,1
Quebec,    High Wage, 9053-8513 Québec Inc.,"Saint-Hyacinthe, J2S4Z8",6311-Food service supervisors,2
Quebec,    High Wage,1006823 B.C. LTD.,"Tadoussac, G0T2A0",6321-Chefs,1
Quebec,    High Wage,10355372 Canada Inc.,"Baie-Comeau, G4Z3A8","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
Quebec,    High Wage,10573876 Canada Inc.,"BROSSARD, J4X2Y3",1226-Conference and event planners,1
Quebec,    High Wage,1357-0726 Québec Inc.,"QUÉBEC, G1K8L4",6322-Cooks,1
Quebec,    High Wage,167239 canada inc,"mont laurier, J9L3J1",6322-Cooks,2
Quebec,    High Wage,213A Studio Créatif Inc.,"Montréal, H2S3X3",2175-Web designers and developers,1
Quebec,    High Wage,2332-3983 QUÉBEC INC.,"Contrecoeur, J0L1C0",7511-Transport truck drivers,2
Quebec,    High Wage,2413-9636 Québec Inc,"Victoriaville, G6P4B6",6322-Cooks,1
Quebec,    High Wage,2539-2903 Québec inc,"Val-Alain, G0S3H0",7311-Construction millwrights and industrial mechanics,1
Quebec,    High Wage,2859-2491 Quebec Inc.,"Lourdes de Blanc-Sablon, G0G1W0",6211-Retail sales supervisors,1
Quebec,    High Wage,2956-3632 Québec Inc.,"Montréal, H1Z3B7",7322-Motor vehicle body repairers,3
Quebec,    High Wage,2M Ressources Inc.,"SAINT-JEAN-SUR-RICHELIEU, J3B1T4",7333-Electrical mechanics,5
Quebec,    High Wage,3091-3206 Québec Inc. (Équipements DRL Inc),"Dorval, H9P2R8",7312-Heavy-duty equipment mechanics,2
Quebec,    High Wage,3130606 Canada Inc.,"Gatineau, J9H 3C8",6322-Cooks,3
Quebec,    High Wage,3235149 Canada Inc,"Vaudreuil-Dorion, J7V8P2",0731-Managers in transportation,1
Quebec,    High Wage,3557928 Canada Inc.,"Gatineau, J8P1E2",6311-Food service supervisors,3
Quebec,    High Wage,3579000 canada Inc.,"Laval, H7T2H6",7322-Motor vehicle body repairers,2
Quebec,    High Wage,3887952 CANADA INC.,"Sept-îles, G4R4X6",7237-Welders and related machine operators,1
Quebec,    High Wage,3887952 CANADA INC.,"Sept-îles, G4R4X7","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",8
Quebec,    High Wage,4175174 Canada Inc.,"MONTREAL, H3J1S6","0124-Advertising, marketing and public relations managers",1
Quebec,    High Wage,4229002 Canada Inc.,"MONTRÉAL, H2E1V3",6321-Chefs,1
Quebec,    High Wage,6213359 Canada Inc.,"St Laurent, H4L3R5",1225-Purchasing agents and officers,1
Quebec,    High Wage,6735240 Canada inc.,"Chelsea, J9B1J3",6322-Cooks,1
Quebec,    High Wage,6817441 Canada Inc.,"Gatineau, J8T8G8",7322-Motor vehicle body repairers,1
Quebec,    High Wage,6829783 CANADA LTÉE,"Montréal, H2T1P3",6322-Cooks,1
Quebec,    High Wage,7917066 Canada Inc.,"St-Bruno-de-Guigues, J0Z2G0",7312-Heavy-duty equipment mechanics,2
Quebec,    High Wage,8394687 CANADA INC.,"Châteauguay, J6J4Z2",7322-Motor vehicle body repairers,1
Quebec,    High Wage,8835349 Canada Inc.,"Montréal, H2X1A1",1222-Executive assistants,1
Quebec,    High Wage,9002-6683 QUÉBEC INC.,"Saint-Alexis-des-Monts, J0K1V0","7334-Motorcycle, all-terrain vehicle and other related mechanics",1
Quebec,    High Wage,9005-1319 Québec inc.,"Berthierville, J0K1A0",7322-Motor vehicle body repairers,2
Quebec,    High Wage,9013-7134 QUEBEC INC,"Québec, G1R3T3",6322-Cooks,1
Quebec,    High Wage,9016-7974 québec inc.,"Trois-Rivières, G9A6M1",6322-Cooks,3
